year (AD),d18O (permil),Sr_Ca (mmol/mol)
1919.87,-4.3036,8.931
1919.78,-4.3684,8.881
1919.7,-4.192,8.881
1919.62,-4.1903,8.8752
1919.53,-4.348,8.8747
1919.45,-4.2455,8.9015
1919.37,-4.016,8.9347
1919.28,-3.9297,8.9557
1919.2,-3.978,8.994
1919.12,-3.9127,8.953
1919.03,-3.9612,8.9138
1918.95,-4.099,8.876
1918.87,-4.1851,8.8649
1918.78,-4.2528,8.8557
1918.7,-4.306,8.848
1918.62,-4.3018,8.8705
1918.53,-4.2743,8.899
1918.45,-4.2555,8.9035
1918.37,-4.1683,8.9163
1918.28,-3.9758,8.9652
1918.2,-3.83,9.006
1918.12,-3.7525,8.9985
1918.03,-3.8623,8.9803
1917.95,-4.0335,8.945
1917.87,-4.1993,8.9083
1917.78,-4.3113,8.8815
1917.7,-4.298,8.844
1917.62,-4.2472,8.8673
1917.53,-4.1023,8.8993
1917.45,-3.9685,8.929
1917.37,-3.8457,8.9333
1917.28,-3.7232,8.9097
1917.2,-3.674,8.908
1917.12,-3.7032,8.933
1917.03,-3.7557,8.922
1916.95,-3.8795,8.912
1916.87,-4.087,8.9003
1916.78,-4.291,8.8773
1916.7,-4.241,8.859
1916.62,-4.2993,8.9159
1916.53,-4.2597,8.9378
1916.45,-4.143,8.932
1916.37,-4.0027,8.9306
1916.28,-3.8947,8.9332
1916.2,-3.812,8.939
1916.12,-3.8022,8.9277
1916.03,-3.7924,8.9164
1915.95,-3.8865,8.896
1915.87,-3.985,8.8752
1915.78,-4.0845,8.8556
1915.7,-4.184,8.836
1915.62,-4.3954,8.8671
1915.53,-4.3546,8.8939
1915.45,-4.219,8.954
1915.37,-4.2275,8.9241
1915.28,-4.0145,8.9528
1915.2,-3.933,8.971
1915.12,-3.8772,8.9685
1915.03,-3.8593,8.9327
1914.95,-3.94,8.895
1914.87,-4.1007,8.8733
1914.78,-4.2478,8.8683
1914.7,-4.217,8.86
1914.62,-4.3462,8.8808
1914.53,-4.3556,8.8922
1914.45,-4.271,8.896
1914.37,-4.037,8.9203
1914.28,-3.9171,8.9472
1914.2,-3.887,8.976
1914.12,-3.8634,8.967
1914.03,-3.9603,8.9501
1913.95,-4.152,8.927
1913.87,-4.2888,8.9221
1913.78,-4.3497,8.9204
1913.7,-4.351,8.921
1913.62,-4.2152,8.9268
1913.53,-4.106,8.9307
1913.45,-3.9145,8.95
1913.37,-3.774,8.9573
1913.28,-3.7802,8.9505
1913.2,-3.711,9.023
1913.12,-3.8041,8.9647
1913.03,-3.8973,8.9063
1912.95,-4.002,8.897
1912.87,-4.1065,8.8893
1912.78,-4.1937,8.8706
1912.7,-4.281,8.852
1912.62,-4.3581,8.8666
1912.53,-4.3087,8.882
1912.45,-4.16,8.898
1912.37,-3.9663,8.9306
1912.28,-3.8491,8.954
1912.2,-3.792,8.97
1912.12,-3.7663,8.9658
1912.03,-3.788,8.9536
1911.95,-3.847,8.935
1911.87,-4.0324,8.9211
1911.78,-4.2095,8.9024
1911.7,-4.38,8.88
1911.62,-4.3583,8.8908
1911.53,-4.36,8.889
1911.45,-4.371,8.899
1911.37,-4.2747,8.9267
1911.28,-4.0452,8.9628
1911.2,-3.941,8.987
1911.12,-3.891,8.967
1911.03,-3.9743,8.9183
1910.95,-4.1485,8.88
1910.87,-4.3047,8.864
1910.78,-4.3803,8.8653
1910.7,-4.472,8.872
1910.62,-4.3903,8.8728
1910.53,-4.2913,8.9043
1910.45,-4.1715,8.9345
1910.37,-4.024,8.954
1910.28,-3.9052,8.966
1910.2,-4.001,8.976
1910.12,-3.9093,8.9448
1910.03,-3.8801,8.9131
1909.95,-3.9,8.881
1909.87,-4.0472,8.8636
1909.78,-4.2179,8.8553
1909.7,-4.407,8.854
1909.62,-4.5378,8.8632
1909.53,-4.532,8.8697
1909.45,-4.405,8.8925
1909.37,-4.2513,8.9207
1909.28,-4.144,8.9407
1909.2,-4.034,8.964
1909.12,-4.0604,8.9574
1909.03,-4.1206,8.9176
1908.95,-4.083,8.904
1908.87,-4.3452,8.877
1908.78,-4.2748,8.853
1908.7,-4.607,8.884
1908.62,-4.5078,8.8582
1908.53,-4.2053,8.8577
1908.45,-4.0245,8.9125
1908.37,-3.959,8.9707
1908.28,-3.8858,8.9912
1908.2,-3.78,9.037
1908.12,-3.9009,8.9993
1908.03,-3.871,8.9417
1907.95,-3.981,8.905
1907.87,-4.3244,8.8751
1907.78,-4.4353,8.8813
1907.7,-4.463,8.857
1907.62,-4.4137,8.8619
1907.53,-4.2682,8.8715
1907.45,-4.047,8.885
1907.37,-3.7963,8.9697
1907.28,-3.6673,9.0052
1907.2,-3.634,9.002
1907.12,-3.4556,8.9808
1907.03,-3.4942,8.9714
1906.95,-3.7225,8.919
1906.87,-4.035,8.8709
1906.78,-4.0914,8.8302
1906.7,-4.209,8.849
1906.62,-4.2776,8.8584
1906.53,-4.2527,8.8443
1906.45,-4.201,8.869
1906.37,-3.9221,8.9664
1906.28,-3.7973,8.9833
1906.2,-3.708,8.986
1906.12,-3.747,8.9474
1906.03,-4.073,8.9066
1905.95,-4.043,8.872
1905.87,-4.2979,8.8733
1905.78,-4.4701,8.8557
1905.7,-4.52,8.814
1905.62,-4.2633,8.8365
1905.53,-4.1627,8.877
1905.45,-4.0515,8.9185
1905.37,-3.85,8.951
1905.28,-3.6082,8.9735
1905.2,-3.549,8.996
1905.12,-3.6448,8.9654
1905.03,-3.7714,8.9215
1904.95,-3.922,8.867
1904.87,-4.1067,8.858
1904.78,-4.1668,8.8515
1904.7,-4.129,8.847
1904.62,-4.1546,8.8872
1904.53,-4.1184,8.9159
1904.45,-3.851,8.94
1904.37,-3.7617,8.9207
1904.28,-3.6793,9.0133
1904.2,-3.611,9.023
1904.12,-3.5339,9.0038
1904.03,-3.6801,8.9751
1903.95,-3.801,8.961
1903.87,-4.0992,8.883
1903.78,-4.2548,8.833
1903.7,-4.325,8.838
1903.62,-4.1964,8.857
1903.53,-4.2556,8.832
1903.45,-4.243,8.89
1903.37,-3.9575,8.927
1903.28,-3.9195,8.978
1903.2,-4.119,9.011
1903.12,-3.8224,8.9648
1903.03,-4.0569,8.9375
1902.95,-4.2005,8.9185
1902.87,-4.2834,8.9279
1902.78,-4.3341,8.8915
1902.7,-4.241,8.877
1902.62,-4.2977,8.9162
1902.53,-4.1363,8.9507
1902.45,-4.0375,8.968
1902.37,-3.9543,8.9777
1902.28,-3.7908,8.9893
1902.2,-3.68,8.991
1902.12,-3.8242,9.0002
1902.03,-3.943,8.942
1901.95,-4.147,8.89
1901.87,-4.329,8.854
1901.78,-4.3575,8.828
1901.7,-4.27,8.838
1901.62,-4.3919,8.8742
1901.53,-4.2401,8.8529
1901.45,-4.071,8.93
1901.37,-4.1281,8.9362
1901.28,-3.9569,8.9418
1901.2,-3.892,8.974
1901.12,-3.7818,8.9541
1901.03,-3.9262,8.9319
1900.95,-4.009,8.876
1900.87,-4.1237,8.8524
1900.78,-4.2923,8.8876
1900.7,-4.417,8.825
1900.62,-4.2395,8.8242
1900.53,-4.1667,8.8653
1900.45,-4.137,8.9075
1900.37,-4.1547,8.9283
1900.28,-4.1735,8.9342
1900.2,-3.981,8.97
1900.12,-3.9143,8.9558
1900.03,-3.9797,8.9417
1899.95,-4.032,8.9265
1899.87,-4.1267,8.9157
1899.78,-4.314,8.8937
1899.7,-4.434,8.797
1899.62,-4.3769,8.8624
1899.53,-4.3731,8.8226
1899.45,-4.265,8.847
1899.37,-4.1703,8.9157
1899.28,-3.9287,8.9593
1899.2,-3.858,9.027
1899.12,-3.8213,9.0128
1899.03,-3.842,8.9753
1898.95,-3.8855,8.941
1898.87,-4.017,8.8863
1898.78,-4.2485,8.8168
1898.7,-4.386,8.846
1898.62,-4.4661,8.8296
1898.53,-4.2929,8.8434
1898.45,-4.344,8.88
1898.37,-4.395,8.8673
1898.28,-4.196,8.8987
1898.2,-3.989,8.995
1898.12,-3.8813,8.9663
1898.03,-3.912,8.9669
1897.95,-3.957,8.9175
1897.87,-4.0491,8.878
1897.78,-4.3321,8.8467
1897.7,-4.337,8.823
1897.62,-4.476,8.8322
1897.53,-4.451,8.8359
1897.45,-4.12,8.866
1897.37,-3.896,8.8978
1897.28,-3.846,8.9182
1897.2,-3.799,8.911
1897.12,-4.0431,8.8817
1897.03,-3.8718,8.8993
1896.95,-4.098,8.873
1896.87,-4.1644,8.7779
1896.78,-4.1746,8.8241
1896.7,-4.137,8.765
1896.62,-4.1862,8.7933
1896.53,-4.238,8.813
1896.45,-4.1085,8.836
1896.37,-3.902,8.876
1896.28,-3.7962,8.9243
1896.2,-3.827,8.926
1896.12,-3.8103,8.9545
1896.03,-3.7998,8.9555
1895.95,-3.794,8.935
1895.87,-3.8065,8.9496
1895.78,-3.8874,8.9136
1895.7,-4.022,8.838
