year (AD),depth (cm),d18O (permil),d13C (permil)
-414,83,-8.37,-11.23
-418,83.1,-8.46,-11.47
-421,83.21,-8.54,-11.23
-425,83.31,-8.32,-10.8
-429,83.42,-8.18,-10.52
-433,83.53,-8.22,-10.09
-436,83.63,-8.42,-10.39
-440,83.74,-8.63,-10.34
-444,83.84,-8.63,-10.49
-447,83.94,-8.8,-10.59
-451,84.04,-9.3,-10.37
-454,84.14,-9.08,-9.72
-458,84.24,-8.74,-9.94
-462,84.34,-8.62,-9.82
-465,84.44,-8.92,-9.26
-469,84.53,-8.91,-9.26
-472,84.63,-8.9,-9.58
-476,84.73,-8.65,-9.56
-479,84.83,-8.3,-10.28
-483,84.93,-9.08,-10.8
-486,85.03,-8.85,-11.05
-490,85.13,-8.86,-11.34
-493,85.23,-8.99,-11.33
-497,85.33,-8.94,-11.4
-500,85.42,-9.05,-11.45
-504,85.52,-8.98,-11.48
-507,85.62,-8.83,-11.13
-511,85.72,-8.83,-11.29
-514,85.82,-8.76,-11.1
-518,85.92,-8.49,-10.63
-521,86.02,-9.13,-10.61
-525,86.12,-9.07,-10.81
-528,86.22,-8.43,-10.31
-532,86.31,-8.2,-10.61
-535,86.41,-8.41,-10.37
-539,86.51,-8.34,-10.34
-542,86.61,-8.22,-10.15
-546,86.71,-8.44,-10.55
-549,86.81,-8.15,-10.64
-553,86.91,-8.45,-11.02
-567,87.3,-8.38,-11.32
-585,87.8,-8.39,-10.78
-602,88.29,-8.56,-11.28
-620,88.79,-8.82,-11.3
-637,89.28,-9.12,-10.72
-655,89.78,-9.1,-10.84
-673,90.27,-8.44,-10.9
-690,90.76,-8.52,-11.42
-717,91.26,-8.66,-10.43
-733,91.75,-9.06,-11.13
-748,92.25,-8.95,-10.93
-764,92.74,-8.54,-10.59
-779,93.24,-8.24,-9.87
-794,93.73,-7.97,-10
-810,94.23,-8.59,-10.82
-825,94.72,-8.19,-9.45
-840,95.21,-8.61,-11.85
-856,95.71,-8.45,-11.43
-871,96.2,-8.85,-11.56
-887,96.7,-8.54,-11.13
-902,97.19,-8.69,-12
-917,97.69,-8.96,-12.04
-933,98.18,-8.4,-11.35
-945,98.58,-9.03,-10.94
-954,98.86,-8.88,-11.68
-967,99.27,-8.97,-11.29
-979,99.68,-8.87,-11.14
-992,100.09,-9.01,-11.96
-1019,100.97,-8.98,-11.58
-1034,101.43,-8.64,-10.18
-1048,101.9,-9,-10.5
-1063,102.37,-9.02,-10.89
-1077,102.83,-9.17,-11.01
-1092,103.3,-9.12,-11.19
-1108,103.8,-9.41,-11.77
-1123,104.3,-8.67,-10.92
-1139,104.8,-8.84,-11.89
-1154,105.3,-8.35,-11.31
-1170,105.8,-8.48,-10.56
-1185,106.3,-8.28,-10.55
-1216,107.3,-8.68,-11.26
-1232,107.8,-8.26,-10.38
-1248,108.3,-8.27,-10.35
-1263,108.8,-8.15,-10.07
-1291,109.3,-8.11,-10.3
-1321,109.8,-8.67,-10.67
-1350,110.3,-8.65,-11.24
-1379,110.8,-8.62,-11.06
-1409,111.3,-8.28,-10.84
-1438,111.8,-8.25,-11.71
-1467,112.3,-8.86,-11.52
-1497,112.8,-8.8,-11.6
-1526,113.3,-8.57,-11.66
-1555,113.8,-8.49,-11.86
-1585,114.3,-8.43,-11.88
-1614,114.8,-8.17,-10.49
-1643,115.3,-8.33,-11.27
-1673,115.8,-8.56,-11.43
-1702,116.3,-8.38,-11.06
-1731,116.8,-8.61,-10.94
-1761,117.3,-8.84,-10.96
-1790,117.8,-9.01,-10.46
-1819,118.3,-8.73,-11.53
-1849,118.8,-9.03,-11.14
-1878,119.3,-9.24,-11.61
-1907,119.8,-9,-11.5
-1937,120.3,-8.95,-11.28
-1966,120.8,-9.13,-11.63
-1979,121.3,-9.29,-11.45
-1993,121.8,-8.89,-11.1
-2006,122.3,-8.5,-10.44
-2019,122.8,-9.7,-11.69
-2033,123.3,-8.99,-10.68
-2046,123.8,-8.96,-11.87
-2059,124.3,-9.25,-11.75
-2072,124.78,-9.33,-11.86
-2085,125.27,-8.93,-11.8
-2098,125.75,-9.01,-11.16
-2111,126.23,-9.27,-11.52
-2123,126.72,-8.52,-10.89
-2136,127.2,-8.57,-12.03
-2150,127.73,-8.51,-10.99
-2165,128.27,-8.51,-10.54
-2179,128.8,-9.43,-11.7
-2193,129.33,-8.21,-10.33
-2207,129.87,-8.73,-10.86
-2221,130.4,-9.17,-11.53
-2236,130.95,-8.63,-10.86
-2247,131.5,-8.47,-10.1
-2261,132.05,-8.43,-11.06
-2276,132.6,-8.64,-11.06
-2291,133.15,-8.65,-11.09
-2305,133.7,-8.75,-11.25
-2322,134.33,-8.87,-10.7
-2339,134.96,-8.61,-10.46
-2356,135.59,-9,-11.48
-2372,136.22,-9.06,-11.72
-2389,136.85,-8.07,-9.79
-2406,137.48,-8.85,-11.02
-2423,138.11,-8.58,-9.85
-2439,138.74,-8.87,-10.21
-2456,139.37,-8.39,-9.55
-2473,140,-9.26,-11.42
-2486,140.5,-9.1,-11.67
-2500,141,-8.73,-11.57
-2513,141.5,-8.78,-11.46
-2526,142,-8.86,-11.77
-2550,142.5,-9.26,-11.12
-2575,143,-9.39,-10.63
-2600,143.5,-9.24,-11.52
-2625,144,-8.75,-10.52
-2649,144.5,-9.23,-10.9
-2674,145,-9.02,-11.48
-2702,145.56,-8.81,-10.69
-2730,146.12,-9.25,-11.31
-2758,146.68,-8.92,-10.94
-2786,147.24,-8.84,-10.69
-2814,147.8,-9.29,-11.07
-2841,148.36,-9.11,-10.39
-2869,148.92,-8.95,-11.04
-2897,149.48,-8.9,-11.53
-2925,150.04,-9.44,-11.74
-2953,150.6,-9.35,-11.03
-2976,151.06,-9.95,-11.69
-2999,151.52,-9.7,-11.93
-3022,151.98,-9.37,-11.65
-3044,152.44,-9.1,-11.29
-3067,152.9,-9.62,-12.12
-3090,153.36,-9.78,-12.21
-3113,153.82,-9.36,-11.13
-3137,154.28,-9.64,-10.93
-3151,154.74,-9.65,-11.08
-3163,155.11,-9.54,-10.71
-3175,155.49,-9.42,-10.71
-3187,155.87,-10.07,-11.71
-3199,156.25,-9.72,-12.17
-3211,156.63,-9.18,-11.16
-3223,157.01,-9.35,-11.61
-3237,157.48,-9.15,-10.29
-3251,157.9,-10.19,-11.32
-3264,158.33,-10.31,-11.99
-3278,158.75,-9.5,-10.92
-3291,159.18,-10.26,-11.34
-3304,159.6,-9.93,-10.69
-3318,160.03,-9.59,-11.6
-3331,160.46,-8.8,-9.9
-3347,160.96,-9.41,-10.31
-3363,161.46,-9.63,-10.86
-3378,161.96,-9.61,-11.22
-3394,162.46,-9.58,-11.31
-3410,162.96,-9.47,-10.96
-3426,163.46,-9.6,-11.5
-3442,163.96,-10.08,-11.93
-3457,164.46,-9.98,-11.82
-3473,164.96,-10.15,-11.93
-3489,165.46,-8.94,-10.68
-3505,165.96,-9.25,-10.91
-3523,166.46,-9.75,-11.02
-3552,166.96,-9.6,-11.59
-3582,167.46,-10.01,-11.81
-3611,167.96,-9.44,-11.39
-3640,168.46,-9.27,-11.63
-3669,168.96,-9.3,-10.9
-3699,169.46,-10.04,-12
-3725,169.91,-9.75,-10.4
-3751,170.36,-10.4,-11.9
-3778,170.81,-9.57,-10.32
-3804,171.26,-9.71,-10.76
-3830,171.71,-9.91,-11.1
-3857,172.16,-9.97,-11.84
-3883,172.61,-9.82,-11.08
-3909,173.06,-10.1,-11.38
-3936,173.51,-9.87,-11.48
-3962,173.96,-9.45,-11.03
-3988,174.41,-9.07,-9.74
-4014,174.86,-9.31,-10.31
-4050,175.46,-9.54,-10.7
-4085,176.06,-9.11,-9.39
-4120,176.66,-9.81,-11.84
-4155,177.26,-9.26,-10.7
-4204,177.86,-9.77,-11.93
-4258,178.46,-9.95,-11.4
-4310,179.02,-10.17,-11.97
-4361,179.59,-9.98,-12.03
-4413,180.15,-9.04,-10.99
-4465,180.72,-9.85,-11.74
-4516,181.29,-9.63,-11.14
-4568,181.86,-9.54,-10.95
-4613,182.36,-9.18,-10.75
-4659,182.86,-9.08,-10.88
-4704,183.36,-8.87,-9.66
-4760,183.86,-8.77,-9.57
-4770,184.36,-10.21,-11.02
-4780,184.86,-10.16,-11.64
-4787,185.26,-10.29,-12.12
-4795,185.66,-9.76,-11.86
-4803,186.06,-9.28,-10.57
-4811,186.46,-9.13,-9.67
-4819,186.86,-9.18,-11.11
-4827,187.26,-8.72,-9.75
-4835,187.66,-9.13,-10.34
-4843,188.06,-9.34,-10.88
-4850,188.46,-9.7,-11.53
-4858,188.86,-9.5,-11.2
-4866,189.26,-10.15,-12.28
-4874,189.66,-10.33,-11.86
-4882,190.06,-9.85,-11.7
-4890,190.46,-9.18,-10.56
-4898,190.86,-9.96,-12.24
-4905,191.26,-9.93,-12.12
-4913,191.66,-9.61,-11.65
-4921,192.06,-9.92,-11.67
-4931,192.56,-9.88,-11.72
-4941,193.06,-9.36,-11.02
-4950,193.56,-9.54,-10.86
-4965,194.06,-9.43,-11.31
-4981,194.56,-9.67,-11.62
-4996,195.06,-9.51,-11.17
-5008,195.46,-9.12,-10.85
-5020,195.86,-8.79,-9.98
-5032,196.26,-9.99,-12.19
-5044,196.66,-10.44,-12.68
-5056,197.06,-10.32,-12.38
-5068,197.46,-10.2,-11.47
-5081,197.86,-9.96,-11.92
-5093,198.26,-8.98,-10.69
-5105,198.66,-8.84,-8.47
-5117,199.06,-9.27,-10.57
-5129,199.46,-9.18,-9.62
-5141,199.86,-9.71,-11.14
-5152,200.21,-9.66,-10.9
-5163,200.56,-9.43,-10.56
-5173,200.91,-9.81,-11.32
-5184,201.26,-9.74,-11.16
-5194,201.61,-10.01,-11.12
-5205,201.96,-10.35,-11.69
-5218,202.37,-9.64,-11.37
-5230,202.79,-10.3,-11.47
-5243,203.2,-10.05,-10.34
-5256,203.62,-9.93,-10.15
-5268,204.04,-10.46,-11
-5281,204.46,-9.55,-10.7
-5295,204.92,-9.5,-11.14
-5309,205.39,-9.44,-10.28
-5323,205.86,-9.04,-9.77
-5337,206.32,-9.18,-8.59
-5352,206.79,-9.04,-8.61
-5366,207.26,-9.39,-10.14
-5378,207.67,-9.3,-9.95
-5391,208.09,-9.18,-9.49
-5407,208.5,-9.34,-9.42
-5424,208.92,-9.55,-10.22
-5442,209.34,-10.1,-11.51
-5459,209.76,-10.56,-11.93
-5478,210.22,-10.05,-10.67
-5497,210.68,-10.56,-11.5
-5516,211.14,-9.75,-10.58
-5535,211.6,-9.8,-11.02
-5554,212.06,-9.43,-10.29
-5572,212.52,-9.24,-9.57
-5591,212.98,-9.61,-10.32
-5610,213.44,-10.31,-11.81
-5629,213.9,-10.22,-11.7
-5648,214.36,-9.97,-10.97
-5675,215,-10.17,-10.92
-5701,215.64,-9.86,-11.83
-5727,216.28,-9.82,-11.03
-5754,216.92,-9.65,-10.75
-5793,218.2,-10.08,-11.6
-5809,218.84,-10.22,-11.42
-5825,219.48,-9.9,-11.27
-5840,220.12,-10.05,-11.21
-5856,220.76,-8.9,-10.12
-5867,221.19,-9.09,-10.5
-5878,221.62,-10.05,-11.3
-5888,222.05,-9.07,-10.37
-5899,222.48,-9.59,-10.43
-5910,222.91,-9.41,-11.13
-5920,223.34,-9.88,-11.43
-5931,223.77,-9.8,-11.09
-5942,224.2,-9.88,-11.22
-5952,224.63,-9.76,-10.74
-5963,225.06,-9.71,-11.52
-5975,225.53,-9.72,-11.02
-5986,226,-9.44,-10.8
-5998,226.47,-9.34,-10.34
-6010,226.94,-9.38,-10.45
-6021,227.41,-9.59,-10.65
-6033,227.88,-9.96,-11.59
-6059,228.35,-8.95,-9.35
-6084,228.82,-9.36,-10.37
-6110,229.29,-9.49,-10.53
-6135,229.76,-9.15,-8.69
-6167,230.36,-9.8,-11.3
-6199,230.96,-8.99,-9.17
-6231,231.56,-9.02,-10.34
-6264,232.16,-8.66,-8.68
-6296,232.76,-8.54,-7.4
-6328,233.36,-8.84,-9.01
-6360,233.96,-9.31,-8.39
-6392,234.56,-9.12,-9.1
-6425,235.16,-9.05,-9.23
-6457,235.76,-9.42,-8.4
-6486,236.3,-9.06,-8.49
-6510,236.75,-10.43,-10.52
-6534,237.2,-9.89,-9.57
-6558,237.65,-9.7,-9.52
-6582,238.1,-8.59,-8.11
-6607,238.55,-9.11,-9.66
-6631,239,-9.09,-10.56
-6655,239.45,-9.31,-9.48
-6679,239.9,-8.82,-8.74
-6701,240.26,-9.38,-8.53
-6732,240.76,-9.7,-11.14
-6764,241.26,-9.25,-9.19
-6795,241.76,-9.85,-11.77
-6827,242.26,-10.09,-11.93
-6858,242.76,-9.92,-10
-6890,243.26,-9.36,-8.82
-6921,243.76,-9.06,-9.42
-6953,244.26,-9.16,-8.83
-6984,244.76,-9.76,-8.97
-7016,245.26,-9.03,-8.86
-7047,245.76,-9.58,-10.88
-7079,246.26,-9.86,-11.4
-7110,246.76,-9.96,-11.42
-7173,247.76,-9.15,-9.09
-7205,248.26,-9.2,-8.89
-7236,248.76,-9.56,-8.72
-7268,249.26,-9.32,-7.53
-7299,249.76,-9.2,-7.47
-7331,250.26,-9.25,-8.96
-7362,250.76,-8.31,-5.4
-7425,251.76,-8.63,-6.24
-7457,252.26,-8.23,-4.57
-7488,252.76,-8.37,-4.51
-7520,253.26,-8.01,-3.65
