year (AD),depth (cm),d18O (permil),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
940,98.63,-35.8,96
939,98.72,-35.6,96
938,98.82,-35.2,96
937,98.92,-35.7,96
936,99.01,-37.2,96
935,99.11,-37.4,96
934,99.2,-36.1,96
933,99.3,-35.9,96
932,99.39,-36.7,96
931,99.49,-36.4,96
930,99.59,-34.8,96
929,99.68,-33.5,96
928,99.78,-33.2,96
927,99.87,-32.9,96
926,99.97,-33.3,96
925,100.07,-34.1,96
924,100.16,-34.2,96
923,100.26,-34.2,96
922,100.35,-34.6,96
921,100.45,-35.4,96
920,100.55,-35.3,96
919,100.64,-34.8,96
918,100.74,-34.5,96
917,100.83,-34.5,96
916,100.93,-35,95
915,101.03,-34.8,96
914,101.12,-34.5,96
913,101.22,-35.1,96
912,101.31,-35.6,96
911,101.41,-35.6,96
910,101.51,-35.4,96
909,101.6,-35.6,96
908,101.7,-35.3,96
907,101.79,-34.5,96
906,101.89,-33.7,96
905,101.99,-33.5,96
904,102.08,-33.3,95
903,102.18,-34.8,96
902,102.27,-35.8,96
901,102.37,-35.8,96
900,102.46,-35.8,96
899,102.56,-35.6,96
898,102.66,-35.8,96
897,102.75,-36.4,96
896,102.85,-37.1,96
895,102.94,-36.2,96
894,103.04,-35,96
893,103.14,-35.3,96
892,103.23,-36.6,95
891,103.33,-37.2,96
890,103.42,-36.9,96
889,103.52,-35.6,96
888,103.62,-34.4,96
887,103.71,-33.8,96
886,103.81,-33.7,96
885,103.9,-33.7,96
884,104,-33.7,96
883,104.1,-34.1,96
882,104.19,-34.9,96
881,104.29,-36,96
880,104.38,-36,95
879,104.48,-35.6,96
878,104.57,-34.8,96
877,104.67,-33.9,96
876,104.77,-33.9,96
875,104.86,-34.1,96
874,104.96,-33.5,96
873,105.05,-33.2,96
872,105.15,-33.5,96
871,105.25,-34.2,96
870,105.34,-33.9,96
869,105.44,-33.7,96
868,105.53,-34.8,95
867,105.63,-34.7,96
866,105.73,-34.2,96
865,105.82,-33.2,96
864,105.92,-33.5,96
863,106.01,-34.6,96
862,106.11,-34.6,96
861,106.21,-34.8,96
860,106.3,-35.7,96
859,106.4,-36.1,96
858,106.49,-36.5,96
857,106.59,-35.2,96
856,106.69,-36.3,95
855,106.78,-36.8,96
854,106.88,-37,96
853,106.97,-37.6,96
852,107.07,-37.4,96
851,107.16,-36.9,96
850,107.26,-34.9,96
849,107.36,-34,96
848,107.45,-34.2,96
847,107.55,-33.6,96
846,107.64,-34.1,96
845,107.74,-35.2,96
844,107.84,-35.6,95
843,107.93,-34.9,96
842,108.03,-34.8,96
841,108.12,-35.7,96
840,108.22,-36.8,96
839,108.32,-37.3,96
838,108.41,-36.7,96
837,108.51,-36.3,96
836,108.6,-36.8,96
835,108.7,-37.6,96
834,108.8,-37.9,96
833,108.89,-38.2,96
832,108.99,-38.2,95
831,109.08,-37.5,96
830,109.18,-36.3,96
829,109.27,-35.2,96
828,109.37,-33.8,96
827,109.47,-33.6,96
826,109.56,-34.2,96
825,109.66,-34.7,96
824,109.75,-35.3,96
823,109.85,-35.3,96
822,109.95,-35.2,96
821,110.04,-35,96
820,110.14,-35.7,95
819,110.23,-36.3,96
818,110.33,-36.2,96
817,110.43,-35.8,96
816,110.52,-35.6,96
815,110.62,-35.2,96
814,110.71,-35.6,96
813,110.81,-36.4,96
812,110.91,-36.3,96
811,111,-35.9,96
810,111.1,-35.9,96
809,111.19,-35.4,96
808,111.29,-34.7,95
807,111.38,-34.4,96
806,111.48,-35.1,96
805,111.58,-36.2,96
804,111.67,-37.1,96
803,111.77,-38.4,96
802,111.86,-38.7,96
801,111.96,-37.6,96
800,112.06,-35.6,96
799,112.15,-34.8,96
798,112.25,-35.5,96
797,112.34,-36.9,96
796,112.44,-38,95
795,112.54,-37.7,96
794,112.63,-36.3,96
793,112.73,-36.5,96
792,112.82,-36.9,96
791,112.92,-36.9,96
790,113.02,-36.6,96
789,113.11,-35.8,96
788,113.21,-34.7,96
787,113.3,-34,96
786,113.4,-34,96
785,113.5,-34.8,96
784,113.59,-35.8,95
783,113.69,-36.5,96
782,113.78,-35.9,96
781,113.88,-34.8,96
780,113.97,-34,96
779,114.07,-35.1,96
778,114.17,-36.8,96
777,114.26,-38,96
776,114.36,-38.1,96
775,114.45,-37.6,96
774,114.55,-36.2,96
773,114.65,-35.4,96
772,114.74,-35.2,95
771,114.84,-36.2,96
770,114.93,-36.9,96
769,115.03,-35.4,96
768,115.13,-34.3,96
767,115.22,-34.4,96
766,115.32,-35.9,96
765,115.41,-36.6,96
764,115.51,-35.9,96
763,115.61,-35.2,96
762,115.7,-34.1,96
761,115.8,-33.5,96
760,115.89,-33.6,95
759,115.99,-33.5,96
758,116.08,-33.8,96
757,116.18,-34.2,96
756,116.28,-34.7,96
755,116.37,-35.5,96
754,116.47,-36.4,96
753,116.56,-36.4,96
