year (AD),d18O (permil)
1931.37,-4.91
1931.29,-5.06
1931.21,-4.93
1931.12,-4.92
1931.04,-4.94
1930.96,-5.11
1930.87,-5.15
1930.79,-5.29
1930.71,-5.14
1930.62,-5.31
1930.54,-5.13
1930.46,-5.01
1930.37,-5.04
1930.29,-5.01
1930.21,-5.05
1930.12,-4.98
1930.04,-5.07
1929.96,-5.03
1929.87,-5.11
1929.79,-5.22
1929.71,-5.28
1929.62,-5.39
1929.54,-5.37
1929.46,-5.24
1929.37,-4.98
1929.29,-5.07
1929.21,-5.07
1929.12,-5.01
1929.04,-5.05
1928.96,-5.1
1928.87,-5.07
1928.79,-5.09
1928.71,-5.31
1928.62,-5.28
1928.54,-5.29
1928.46,-5.09
1928.37,-5.22
1928.29,-5.13
1928.21,-5.11
1928.12,-5.02
1928.04,-5.05
1927.96,-5.08
1927.87,-5.17
1927.79,-5.21
1927.71,-5.25
1927.62,-5.38
1927.54,-5.27
1927.46,-5.23
1927.37,-5.11
1927.29,-5.17
1927.21,-5.2
1927.12,-5.04
1927.04,-5.09
1926.96,-5.06
1926.87,-5.11
1926.79,-5.19
1926.71,-5.28
1926.62,-5.36
1926.54,-5.3
1926.46,-5.08
1926.37,-4.99
1926.29,-5.03
1926.21,-4.9
1926.12,-4.85
1926.04,-4.91
1925.96,-4.87
1925.87,-4.97
1925.79,-5
1925.71,-5.17
1925.62,-5.18
1925.54,-5.16
1925.46,-5.2
1925.37,-5.09
1925.29,-4.99
1925.21,-4.97
1925.12,-4.96
1925.04,-4.98
1924.96,-5.07
1924.87,-5.05
1924.79,-5.13
1924.71,-5.26
1924.62,-5.26
1924.54,-5.22
1924.46,-5.1
1924.37,-5.01
1924.29,-5.02
1924.21,-4.98
1924.12,-4.97
1924.04,-5
1923.96,-5.1
1923.87,-5.14
1923.79,-5.22
1923.71,-5.23
1923.62,-5.25
1923.54,-5.19
1923.46,-5.04
1923.37,-5.05
1923.29,-5.09
1923.21,-5.02
1923.12,-4.98
1923.04,-5
1922.96,-5.12
1922.87,-5.04
1922.79,-5.24
1922.71,-5.27
1922.62,-5.3
1922.54,-5.26
1922.46,-5
1922.37,-5.13
1922.29,-5.02
1922.21,-5.02
