year (AD),d18O (permil),depthice (m),depthwe (m),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
1211,-35.7,126.44,94.53,116
1210,-35.7,126.57,94.65,116
1209,-37.2,126.71,94.76,116
1208,-38.4,126.84,94.88,116
1207,-35.6,126.97,94.99,116
1206,-34,127.1,95.11,116
1205,-35.6,127.23,95.23,116
1204,-36.3,127.36,95.34,116
1203,-36.3,127.49,95.46,116
1202,-36.3,127.62,95.57,116
1201,-36.7,127.75,95.69,116
1200,-37.7,127.88,95.8,116
1199,-38.3,128.01,95.92,116
1198,-38.6,128.14,96.04,116
1197,-37.6,128.27,96.15,116
1196,-36.8,128.4,96.27,116
1195,-37.5,128.53,96.38,116
1194,-36.9,128.66,96.5,116
1193,-36.1,128.79,96.61,116
1192,-34.2,128.92,96.73,116
1191,-33.3,129.05,96.85,116
1190,-35.4,129.18,96.96,116
1189,-37.5,129.31,97.08,116
1188,-38.2,129.44,97.19,116
1187,-40.1,129.57,97.31,116
1186,-40.1,129.7,97.42,116
1185,-37.5,129.83,97.54,116
1184,-36.9,129.96,97.66,116
1183,-37.1,130.09,97.77,116
1182,-37.9,130.22,97.89,116
1181,-37.4,130.35,98,116
1180,-36.2,130.48,98.12,116
1179,-35.9,130.61,98.23,116
1178,-34.6,130.74,98.35,116
1177,-33.5,130.87,98.47,116
1176,-34.1,131,98.58,116
1175,-34.7,131.13,98.7,116
1174,-34.4,131.26,98.81,116
1173,-35.4,131.39,98.93,116
1172,-36.4,131.53,99.04,116
1171,-36.7,131.65,99.16,116
1170,-36.2,131.78,99.28,116
1169,-35.6,131.91,99.39,116
1168,-35.1,132.05,99.51,116
1167,-34.1,132.18,99.62,116
1166,-35.1,132.31,99.74,116
1165,-36.9,132.44,99.85,116
1164,-36.7,132.57,99.97,116
1163,-36.6,132.7,100.09,116
1162,-35.9,132.83,100.2,115
1161,-34.9,132.96,100.32,116
1160,-35.9,133.09,100.43,116
1159,-37.1,133.22,100.55,116
1158,-36.7,133.35,100.67,115
1157,-36.5,133.48,100.78,116
1156,-36.4,133.61,100.9,116
1155,-36.6,133.74,101.01,115
1154,-36.1,133.87,101.13,116
1153,-34.9,134,101.24,116
1152,-33.2,134.13,101.36,116
1151,-33.8,134.26,101.48,115
1150,-33.9,134.39,101.59,116
1149,-32.9,134.52,101.71,116
1148,-34.5,134.65,101.82,115
1147,-37.3,134.78,101.94,116
1146,-37.4,134.91,102.05,116
1145,-37.2,135.04,102.17,116
1144,-36.7,135.17,102.29,115
1143,-36.3,135.3,102.4,116
1142,-37.4,135.43,102.52,116
1141,-37,135.56,102.63,116
1140,-35.6,135.69,102.75,115
1139,-35.2,135.82,102.86,116
1138,-35.1,135.95,102.98,116
1137,-35.9,136.08,103.1,115
1136,-36.9,136.21,103.21,116
1135,-35.9,136.34,103.33,116
1134,-35.4,136.47,103.44,116
1133,-35.6,136.6,103.56,115
1132,-37,136.73,103.67,116
1131,-37.8,136.86,103.79,116
1130,-36.6,136.99,103.91,116
1129,-35.1,137.12,104.02,115
1128,-35,137.25,104.14,116
1127,-37.3,137.38,104.25,116
1126,-38.5,137.51,104.37,115
1125,-38,137.64,104.48,116
1124,-37.6,137.77,104.6,116
1123,-36.7,137.9,104.72,116
1122,-36.2,138.03,104.83,115
1121,-35.4,138.16,104.95,116
1120,-34.6,138.29,105.06,116
1119,-34.6,138.41,105.18,116
1118,-36.4,138.55,105.29,115
1117,-37.1,138.68,105.41,116
1116,-35.9,138.8,105.53,116
1115,-35.9,138.93,105.64,115
1114,-37,139.06,105.76,116
1113,-37.1,139.2,105.87,116
1112,-37.2,139.32,105.99,116
1111,-37.1,139.45,106.1,115
1110,-36.8,139.58,106.22,116
1109,-36.6,139.71,106.34,116
1108,-36.4,139.84,106.45,115
1107,-36.5,139.97,106.57,116
1106,-36.1,140.1,106.68,116
1105,-36.2,140.23,106.8,116
1104,-37,140.36,106.91,115
1103,-36.8,140.49,107.03,116
1102,-33.9,140.62,107.15,116
1101,-33.3,140.75,107.26,116
1100,-35.2,140.88,107.38,115
1099,-36.5,141.01,107.49,116
1098,-37.2,141.14,107.61,116
1097,-36.7,141.27,107.72,115
1096,-35.4,141.4,107.84,116
1095,-35.1,141.53,107.96,116
1094,-35.4,141.66,108.07,116
1093,-35.7,141.79,108.19,115
1092,-36,141.92,108.3,116
1091,-35.8,142.05,108.42,116
1090,-35.7,142.18,108.53,116
1089,-35.1,142.31,108.65,115
1088,-34.7,142.44,108.77,116
1087,-34.8,142.57,108.88,116
1086,-35.3,142.7,109,115
1085,-35,142.83,109.11,116
1084,-34.5,142.96,109.23,116
1083,-34.9,143.09,109.34,116
1082,-35.6,143.22,109.46,115
1081,-35.9,143.35,109.58,116
1080,-36,143.48,109.69,116
1079,-35.9,143.61,109.81,116
1078,-35.2,143.74,109.92,115
1077,-34.8,143.87,110.04,116
1076,-35.6,144,110.15,116
1075,-36.5,144.13,110.27,115
1074,-36.1,144.26,110.39,116
1073,-35.3,144.39,110.5,116
1072,-35,144.51,110.62,116
1071,-36.2,144.65,110.73,115
1070,-36.6,144.78,110.85,116
1069,-34.1,144.9,110.96,116
1068,-32.6,145.03,111.08,115
1067,-33.3,145.16,111.2,116
1066,-34.1,145.29,111.31,116
1065,-35.8,145.42,111.43,116
1064,-37,145.55,111.54,115
1063,-36.2,145.68,111.66,116
1062,-34.6,145.81,111.78,116
1061,-34.5,145.94,111.89,116
1060,-35.7,146.07,112.01,115
1059,-37.1,146.2,112.12,116
1058,-36.8,146.33,112.24,116
1057,-36.4,146.46,112.35,115
1056,-35.8,146.59,112.47,116
1055,-36.4,146.72,112.59,116
1054,-36.8,146.85,112.7,116
1053,-35.7,146.98,112.82,115
1052,-35.5,147.11,112.93,116
1051,-36.4,147.24,113.05,116
1050,-36.3,147.37,113.16,116
1049,-35.7,147.5,113.28,115
1048,-34.3,147.63,113.4,116
1047,-33.8,147.76,113.51,116
1046,-34.8,147.89,113.63,115
1045,-36,148.02,113.74,116
1044,-34.7,148.15,113.86,116
1043,-35.2,148.28,113.97,116
1042,-36.4,148.4,114.09,115
1041,-35.8,148.53,114.21,116
1040,-33.5,148.66,114.32,116
1039,-33.4,148.79,114.44,116
1038,-33.9,148.92,114.55,115
1037,-35.1,149.05,114.67,116
1036,-36.8,149.18,114.78,116
1035,-36.3,149.31,114.9,115
1034,-34.9,149.44,115.02,116
1033,-35.3,149.57,115.13,116
1032,-33.8,149.7,115.25,116
1031,-33.2,149.83,115.36,115
1030,-35,149.96,115.48,116
1029,-35.8,150.09,115.59,116
1028,-37.1,150.22,115.71,115
1027,-37.5,150.35,115.83,116
1026,-36.9,150.48,115.94,116
1025,-36.4,150.61,116.06,116
1024,-36.2,150.74,116.17,115
1023,-35.9,150.87,116.29,116
