year (AD) [1-1],depth (cm) [1-1],temperature (degC) [1-1],d18O (permil) [1-1],d18O (per mil) [1-1],Mg_Ca (mmol/mol) [1-1],year (AD) [2-1],depth (cm) [2-1],temperature (degC) [2-1],Mg_Ca (mmol/mol) [2-1],year (AD) [3-1],depth (cm) [3-1],dD (permil) [3-1]
-11150,610.5,25.44,0.59,-1.54,3.49,NA,NA,NA,NA,NA,NA,NA
-11330,615.5,25.71,0.23,-1.95,3.57,NA,NA,NA,NA,NA,NA,NA
-11510,620.5,25.9,0.3,-1.92,3.64,NA,NA,NA,NA,NA,NA,NA
-11680,625.5,26.39,0.46,-1.86,3.8,NA,NA,NA,NA,NA,NA,NA
-11870,630.5,25.87,0.52,-1.7,3.63,NA,NA,NA,NA,NA,NA,NA
-12050,635.5,25.62,0.46,-1.7,3.55,NA,NA,NA,NA,NA,NA,NA
-12230,640.5,25.4,0.71,-1.42,3.48,NA,NA,NA,NA,NA,NA,NA
-12420,645.5,25.89,1.25,-0.98,3.63,NA,NA,NA,NA,NA,NA,NA
-12610,650.5,25.65,1.44,-0.73,3.56,NA,NA,NA,NA,NA,NA,NA
-12800,655.5,25.26,1.47,-0.62,3.44,NA,NA,NA,NA,NA,NA,NA
-13000,660.5,24.53,1.24,-0.7,3.22,NA,NA,NA,NA,NA,NA,NA
-13190,665.5,24.81,1.28,-0.72,3.3,NA,NA,NA,NA,NA,NA,NA
-13390,670.5,24.66,1.19,-0.78,3.25,NA,NA,NA,NA,NA,NA,NA
-13590,675.5,24.49,1.43,-0.5,3.2,NA,NA,NA,NA,NA,NA,NA
-13790,680.5,25.3,1.48,-0.62,3.45,NA,NA,NA,NA,NA,NA,NA
-14000,685.5,24.18,1.47,-0.4,3.12,NA,NA,NA,NA,NA,NA,NA
-14200,690.5,24.1,1.49,-0.36,3.1,NA,NA,NA,NA,NA,NA,NA
-14410,695.5,23.92,1.62,-0.19,3.04,NA,NA,NA,NA,NA,NA,NA
-14630,700.5,24.29,1.79,-0.1,3.15,NA,NA,NA,NA,NA,NA,NA
-14840,705.5,23.74,1.54,-0.24,3,NA,NA,NA,NA,NA,NA,NA
-15060,710.5,23.94,1.49,-0.33,3.05,NA,NA,NA,NA,NA,NA,NA
-15280,715.5,23.54,1.61,-0.12,2.94,NA,NA,NA,NA,NA,NA,NA
-15500,720.5,24.81,1.75,-0.24,3.3,NA,NA,NA,NA,NA,NA,NA
-15720,725.5,23.84,1.51,-0.29,3.02,NA,NA,NA,NA,NA,NA,NA
-15950,730.5,24.13,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA
-16180,735.5,23.35,1.22,-0.47,2.89,NA,NA,NA,NA,NA,NA,NA
-16410,740.5,24.35,1.32,-0.58,3.16,NA,NA,NA,NA,NA,NA,NA
-16640,745.5,23.93,1.36,-0.45,3.05,NA,NA,NA,NA,NA,NA,NA
-16750,750.5,23.85,1.51,-0.29,3.03,NA,NA,NA,NA,NA,NA,NA
-16820,755.5,24.04,1.42,-0.42,3.08,NA,NA,NA,NA,NA,NA,NA
-16890,760.5,23.36,1.09,-0.61,2.89,NA,NA,NA,NA,NA,NA,NA
-16960,765.5,23.83,1.29,-0.5,3.02,NA,NA,NA,NA,NA,NA,NA
-17040,770.5,23.29,1.07,-0.61,2.88,NA,NA,NA,NA,NA,NA,NA
-17120,775.5,23.09,1.37,-0.27,2.83,NA,NA,NA,NA,NA,NA,NA
-17200,780.5,23.65,1.28,-0.47,2.97,NA,NA,NA,NA,NA,NA,NA
-17280,785.5,23.5,1.47,-0.26,2.93,NA,NA,NA,NA,NA,NA,NA
-17370,790.5,23.87,1.64,-0.17,3.03,NA,NA,NA,NA,NA,NA,NA
-17460,795.5,23.89,1.66,-0.15,3.04,NA,NA,NA,NA,NA,NA,NA
-17550,800.5,23.37,1.45,-0.25,2.9,NA,NA,NA,NA,NA,NA,NA
-17650,805.5,23.69,1.39,-0.38,2.98,NA,NA,NA,NA,NA,NA,NA
-17750,810.5,24.16,1.52,-0.34,3.11,NA,NA,NA,NA,NA,NA,NA
-17850,815.5,23.81,1.45,-0.34,3.01,NA,NA,NA,NA,NA,NA,NA
-17950,820.5,24.08,NA,NA,3.09,NA,NA,NA,NA,NA,NA,NA
-18060,825.5,24.87,1.78,-0.23,3.32,NA,NA,NA,NA,NA,NA,NA
-18170,830.5,24.27,1.42,-0.47,3.14,NA,NA,NA,NA,NA,NA,NA
-18280,835.5,NA,NA,-0.7,NA,NA,NA,NA,NA,NA,NA,NA
-18390,840.5,24.31,1.51,-0.38,3.15,NA,NA,NA,NA,NA,NA,NA
-18510,845.5,24.01,1.69,-0.15,3.07,NA,NA,NA,NA,NA,NA,NA
-18630,850.5,23.9,1.63,-0.18,3.04,NA,NA,NA,NA,NA,NA,NA
-18750,855.5,24.05,1.7,-0.14,3.08,NA,NA,NA,NA,NA,NA,NA
-18880,860.5,24.09,1.71,-0.14,3.09,NA,NA,NA,NA,NA,NA,NA
-19010,865.5,24.02,1.6,-0.23,3.07,NA,NA,NA,NA,NA,NA,NA
-19140,870.5,24.62,1.76,-0.19,3.24,NA,NA,NA,NA,NA,NA,NA
-19270,875.5,24.29,1.62,-0.27,3.15,NA,NA,NA,NA,NA,NA,NA
-19410,880.5,23.6,1.49,-0.26,2.96,NA,NA,NA,NA,NA,NA,NA
-19540,885.5,24.64,1.66,-0.3,3.25,NA,NA,NA,NA,NA,NA,NA
-19690,890.5,24.14,1.49,-0.37,3.11,NA,NA,NA,NA,NA,NA,NA
-19830,895.5,24.26,1.35,-0.53,3.14,NA,NA,NA,NA,NA,NA,NA
-19980,900.5,23.77,1.41,-0.37,3,NA,NA,NA,NA,NA,NA,NA
-20130,905.5,23.69,1.22,-0.54,2.98,NA,NA,NA,NA,NA,NA,NA
-20280,910.5,23.6,1.36,-0.39,2.96,NA,NA,NA,NA,NA,NA,NA
-20430,915.5,23.22,1.18,-0.49,2.86,NA,NA,NA,NA,NA,NA,NA
-20590,920.5,23.63,1.29,-0.46,2.96,NA,NA,NA,NA,NA,NA,NA
-20750,925.5,24.41,1.57,-0.35,3.18,NA,NA,NA,NA,NA,NA,NA
-20920,930.5,23.55,1.29,-0.45,2.95,NA,NA,NA,NA,NA,NA,NA
-21080,935.5,24.04,1.28,-0.56,3.08,NA,NA,NA,NA,NA,NA,NA
-21250,940.5,24.11,1.55,-0.3,3.1,NA,NA,NA,NA,NA,NA,NA
-21420,945.5,25.11,1.82,-0.24,3.39,NA,NA,NA,NA,NA,NA,NA
-21600,950.5,23.78,1.37,-0.41,3.01,NA,NA,NA,NA,NA,NA,NA
-21770,955.5,24.58,1.63,-0.32,3.23,NA,NA,NA,NA,NA,NA,NA
-21950,960.5,23.98,1.25,-0.58,3.06,NA,NA,NA,NA,NA,NA,NA
-22130,965.5,24.99,1.67,-0.37,3.35,NA,NA,NA,NA,NA,NA,NA
-22320,970.5,24.04,1.63,-0.21,3.08,NA,NA,NA,NA,NA,NA,NA
-22510,975.5,24.18,1.3,-0.57,3.12,NA,NA,NA,NA,NA,NA,NA
-22700,980.5,24.44,1.3,-0.62,3.19,NA,NA,NA,NA,NA,NA,NA
-22890,985.5,24.16,1.58,-0.29,3.11,NA,NA,NA,NA,NA,NA,NA
-23090,990.5,24.46,1.56,-0.37,3.19,NA,NA,NA,NA,NA,NA,NA
-23280,995.5,24.29,1.23,-0.66,3.15,NA,NA,NA,NA,NA,NA,NA
-23490,1000.5,24.28,1.4,-0.49,3.14,NA,NA,NA,NA,NA,NA,NA
-23690,1005.5,23.43,1.22,-0.49,2.91,NA,NA,NA,NA,NA,NA,NA
-23900,1010.5,24.25,0.98,-0.9,3.14,NA,NA,NA,NA,NA,NA,NA
-24110,1015.5,24.62,1.16,-0.8,3.24,NA,NA,NA,NA,NA,NA,NA
-24320,1020.5,24.35,1.15,-0.75,3.16,NA,NA,NA,NA,NA,NA,NA
-24530,1025.5,24.99,1.52,-0.51,3.35,NA,NA,NA,NA,NA,NA,NA
-24750,1030.5,24.17,1.26,-0.61,3.11,NA,NA,NA,NA,NA,NA,NA
-24970,1035.5,24.24,1.4,-0.48,3.13,NA,NA,NA,NA,NA,NA,NA
-25190,1040.5,23.95,1.23,-0.59,3.05,NA,NA,NA,NA,NA,NA,NA
-25420,1045.5,25.58,1.65,-0.51,3.53,NA,NA,NA,NA,NA,NA,NA
-25650,1050.5,25.29,1.33,-0.76,3.44,NA,NA,NA,NA,NA,NA,NA
-25880,1055.5,24.93,1.01,-1.01,3.33,NA,NA,NA,NA,NA,NA,NA
-26110,1060.5,25.06,1.29,-0.76,3.37,NA,NA,NA,NA,NA,NA,NA
-26350,1065.5,26.11,1.74,-0.53,3.71,NA,NA,NA,NA,NA,NA,NA
-26590,1070.5,25.98,1.64,-0.6,3.67,NA,NA,NA,NA,NA,NA,NA
-27070,1080.5,25.34,1.17,-0.94,3.46,NA,NA,NA,NA,NA,NA,NA
-27320,1085.5,25.32,1.82,-0.28,3.45,NA,NA,NA,NA,NA,NA,NA
-27570,1090.5,25.21,1.74,-0.34,3.42,NA,NA,NA,NA,NA,NA,NA
-27820,1095.5,24.69,1.49,-0.49,3.26,NA,NA,NA,NA,NA,NA,NA
-28080,1100.5,23.77,0.86,-0.92,3,NA,NA,NA,NA,NA,NA,NA
-28340,1105.5,24.31,1.11,-0.78,3.15,NA,NA,NA,NA,NA,NA,NA
-28600,1110.5,24.18,0.82,-1.05,3.12,NA,NA,NA,NA,NA,NA,NA
-28860,1115.5,24.09,1.56,-0.28,3.09,NA,NA,NA,NA,NA,NA,NA
-29130,1120.5,25.08,NA,NA,3.38,NA,NA,NA,NA,NA,NA,NA
-29400,1125.5,24.99,1.05,-0.99,3.35,NA,NA,NA,NA,NA,NA,NA
-29670,1130.5,24.92,0.52,-1.5,3.33,NA,NA,NA,NA,NA,NA,NA
-29940,1135.5,24.32,1.1,-0.8,3.16,NA,NA,NA,NA,NA,NA,NA
-30220,1140.5,24.71,1.1,-0.88,3.27,NA,NA,NA,NA,NA,NA,NA
-30500,1145.5,25.28,0.84,-1.26,3.44,NA,NA,NA,NA,NA,NA,NA
-30780,1150.5,25.06,0.9,-1.15,3.37,NA,NA,NA,NA,NA,NA,NA
-31070,1155.5,25.36,0.77,-1.34,3.47,NA,NA,NA,NA,NA,NA,NA
-31350,1160.5,24.97,1.13,-0.9,3.35,NA,NA,NA,NA,NA,NA,NA
-31640,1165.5,25.47,0.98,-1.15,3.5,NA,NA,NA,NA,NA,NA,NA
-31940,1170.5,24.49,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA
-32230,1175.5,24.79,0.62,-1.38,3.29,NA,NA,NA,NA,NA,NA,NA
-32530,1180.5,NA,NA,-0.94,NA,NA,NA,NA,NA,NA,NA,NA
-32830,1185.5,25.02,1.19,-0.85,3.36,NA,NA,NA,NA,NA,NA,NA
-33140,1190.5,24.87,0.72,-1.29,3.32,NA,NA,NA,NA,NA,NA,NA
-33440,1195.5,24.55,1.26,-0.69,3.22,NA,NA,NA,NA,NA,NA,NA
-33750,1200.5,24.53,1.31,-0.63,3.22,NA,NA,NA,NA,NA,NA,NA
-34070,1205.5,24.13,0.54,-1.32,3.1,NA,NA,NA,NA,NA,NA,NA
-34380,1210.5,24.78,0.96,-1.03,3.29,NA,NA,NA,NA,NA,NA,NA
-34700,1215.5,24.7,0.42,-1.56,3.27,NA,NA,NA,NA,NA,NA,NA
-35020,1220.5,24.26,0.62,-1.27,3.14,NA,NA,NA,NA,NA,NA,NA
-35340,1225.5,24.93,0.37,-1.65,3.33,NA,NA,NA,NA,NA,NA,NA
-35670,1230.5,25.81,0.99,-1.22,3.61,NA,NA,NA,NA,NA,NA,NA
-36000,1235.5,24.62,1.08,-0.88,3.24,NA,NA,NA,NA,NA,NA,NA
-36330,1240.5,24.44,1.5,-0.42,3.19,NA,NA,NA,NA,NA,NA,NA
-36660,1245.5,24.34,0.89,-1.01,3.16,NA,NA,NA,NA,NA,NA,NA
-37000,1250.5,24.3,1.32,-0.58,3.15,NA,NA,NA,NA,NA,NA,NA
-37340,1255.5,24.58,1.22,-0.73,3.23,NA,NA,NA,NA,NA,NA,NA
-37680,1260.5,24.64,1.24,-0.72,3.25,NA,NA,NA,NA,NA,NA,NA
-38020,1265.5,24.77,1.17,-0.82,3.29,NA,NA,NA,NA,NA,NA,NA
-38370,1270.5,25.12,1.49,-0.57,3.39,NA,NA,NA,NA,NA,NA,NA
-38720,1275.5,NA,NA,-0.75,NA,NA,NA,NA,NA,NA,NA,NA
-39070,1280.5,23.74,0.67,-1.1,2.99,NA,NA,NA,NA,NA,NA,NA
-39430,1285.5,24.13,0.77,-1.09,3.1,NA,NA,NA,NA,NA,NA,NA
-39790,1290.5,23.78,0.15,-1.63,3,NA,NA,NA,NA,NA,NA,NA
-40150,1295.5,24.22,1.02,-0.86,3.13,NA,NA,NA,NA,NA,NA,NA
-40510,1300.5,24.43,0.96,-0.96,3.19,NA,NA,NA,NA,NA,NA,NA
-40880,1305.5,24.57,0.64,-1.31,3.23,NA,NA,NA,NA,NA,NA,NA
-41240,1310.5,24.77,0.97,-1.02,3.29,NA,NA,NA,NA,NA,NA,NA
-41610,1315.5,24.37,0.73,-1.18,3.17,NA,NA,NA,NA,NA,NA,NA
-41970,1320.5,24.46,0.91,-1.02,3.2,NA,NA,NA,NA,NA,NA,NA
-42330,1325.5,24.58,1.05,-0.9,3.23,NA,NA,NA,NA,NA,NA,NA
-42700,1330.5,25.16,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA
-43060,1335.5,24.86,0.9,-1.11,3.31,NA,NA,NA,NA,NA,NA,NA
-43430,1340.5,24.3,NA,NA,3.15,NA,NA,NA,NA,NA,NA,NA
-43790,1345.5,24.44,0.84,-1.08,3.19,NA,NA,NA,NA,NA,NA,NA
-44160,1350.5,NA,NA,-1.52,NA,NA,NA,NA,NA,NA,NA,NA
-44520,1355.5,24.81,0.71,-1.29,3.3,NA,NA,NA,NA,NA,NA,NA
-44880,1360.5,25.43,0.66,-1.47,3.49,NA,NA,NA,NA,NA,NA,NA
-45250,1365.5,24.5,0.22,-1.71,3.21,NA,NA,NA,NA,NA,NA,NA
-45610,1370.5,24.79,0.82,-1.17,3.29,NA,NA,NA,NA,NA,NA,NA
-45980,1375.5,26.43,0.86,-1.47,3.82,NA,NA,NA,NA,NA,NA,NA
-46340,1380.5,25.07,1.29,-0.76,3.38,NA,NA,NA,NA,NA,NA,NA
-46700,1385.5,25.32,1.48,-0.62,3.45,NA,NA,NA,NA,NA,NA,NA
-47070,1390.5,24.65,0.71,-1.26,3.25,NA,NA,NA,NA,NA,NA,NA
-47430,1395.5,24.62,0.64,-1.32,3.24,NA,NA,NA,NA,NA,NA,NA
-47800,1400.5,25.1,0.55,-1.51,3.38,NA,NA,NA,NA,NA,NA,NA
-48160,1405.5,24.68,0.85,-1.13,3.26,NA,NA,NA,NA,NA,NA,NA
-48530,1410.5,24.66,0.58,-1.39,3.25,NA,NA,NA,NA,NA,NA,NA
-48890,1415.5,25.28,0.69,-1.41,3.44,NA,NA,NA,NA,NA,NA,NA
-49250,1420.5,24.58,0.64,-1.31,3.23,NA,NA,NA,NA,NA,NA,NA
-49620,1425.5,24.37,0.21,-1.7,3.17,NA,NA,NA,NA,NA,NA,NA
-49980,1430.5,24.13,0.33,-1.53,3.1,NA,NA,NA,NA,NA,NA,NA
-50350,1435.5,23.98,0.13,-1.7,3.06,NA,NA,NA,NA,NA,NA,NA
-50710,1440.5,24.76,0.14,-1.85,3.28,NA,NA,NA,NA,NA,NA,NA
-51070,1445.5,25.32,0.27,-1.84,3.45,NA,NA,NA,NA,NA,NA,NA
-51440,1450.5,24.97,-0.08,-2.11,3.34,NA,NA,NA,NA,NA,NA,NA
-51800,1455.5,24.95,-0.34,-2.36,3.34,NA,NA,NA,NA,NA,NA,NA
-52170,1460.5,24.45,-0.66,-2.59,3.19,NA,NA,NA,NA,NA,NA,NA
-52530,1465.5,24.91,-0.18,-2.2,3.33,NA,NA,NA,NA,NA,NA,NA
-52900,1470.5,24.77,0.07,-1.92,3.29,NA,NA,NA,NA,NA,NA,NA
-53120,1475.5,NA,NA,-1.54,NA,NA,NA,NA,NA,NA,NA,NA
-53340,1480.5,25.73,0.22,-1.97,3.58,NA,NA,NA,NA,NA,NA,NA
-53560,1485.5,25.7,0.76,-1.43,3.57,NA,NA,NA,NA,NA,NA,NA
-53780,1490.5,25.24,0.55,-1.54,3.43,NA,NA,NA,NA,NA,NA,NA
-54000,1495.5,25.64,0.14,-2.03,3.55,NA,NA,NA,NA,NA,NA,NA
-54220,1500.5,25.68,0.43,-1.75,3.57,NA,NA,NA,NA,NA,NA,NA
-54440,1505.5,25.67,0.69,-1.49,3.56,NA,NA,NA,NA,NA,NA,NA
-54670,1510.5,25,0.54,-1.5,3.36,NA,NA,NA,NA,NA,NA,NA
-54890,1515.5,24.94,0.64,-1.39,3.34,NA,NA,NA,NA,NA,NA,NA
-55110,1520.5,23.83,0.52,-1.28,3.02,NA,NA,NA,NA,NA,NA,NA
-55330,1525.5,24.79,0.32,-1.67,3.29,NA,NA,NA,NA,NA,NA,NA
-55550,1530.5,25.02,0.26,-1.78,3.36,NA,NA,NA,NA,NA,NA,NA
-55770,1535.5,25.14,0.51,-1.55,3.4,NA,NA,NA,NA,NA,NA,NA
-55990,1540.5,24.81,0.43,-1.57,3.3,NA,NA,NA,NA,NA,NA,NA
-56220,1545.5,25.83,0.85,-1.36,3.61,NA,NA,NA,NA,NA,NA,NA
-56440,1550.5,25.12,0.53,-1.53,3.39,NA,NA,NA,NA,NA,NA,NA
-56660,1555.5,24.38,0.28,-1.63,3.17,NA,NA,NA,NA,NA,NA,NA
-56880,1560.5,25.35,0.66,-1.45,3.46,NA,NA,NA,NA,NA,NA,NA
-57100,1565.5,26.04,0.62,-1.64,3.68,NA,NA,NA,NA,NA,NA,NA
-57320,1570.5,25.47,0.47,-1.66,3.5,NA,NA,NA,NA,NA,NA,NA
-57540,1575.5,25.73,0.88,-1.31,3.58,NA,NA,NA,NA,NA,NA,NA
-57760,1580.5,25.11,NA,NA,3.39,NA,NA,NA,NA,NA,NA,NA
-57990,1585.5,25.23,0.97,-1.12,3.42,NA,NA,NA,NA,NA,NA,NA
-58250,1590.5,25.15,1.11,-0.96,3.4,NA,NA,NA,NA,NA,NA,NA
-58540,1595.5,25.81,1.31,-0.9,3.61,NA,NA,NA,NA,NA,NA,NA
-58820,1600.5,24.82,1.27,-0.73,3.3,NA,NA,NA,NA,NA,NA,NA
-59110,1605.5,25.35,1.38,-0.74,3.46,NA,NA,NA,NA,NA,NA,NA
-59390,1610.5,24.9,1.25,-0.77,3.32,NA,NA,NA,NA,NA,NA,NA
-59670,1615.5,24.64,1.26,-0.7,3.25,NA,NA,NA,NA,NA,NA,NA
-59960,1620.5,25.1,1.28,-0.78,3.39,NA,NA,NA,NA,NA,NA,NA
-60240,1625.5,24.46,1.38,-0.55,3.19,NA,NA,NA,NA,NA,NA,NA
-60530,1630.5,24.77,1.35,-0.64,3.29,NA,NA,NA,NA,NA,NA,NA
-60810,1635.5,23.96,1.2,-0.62,3.06,NA,NA,NA,NA,NA,NA,NA
-61100,1640.5,24.6,1.39,-0.57,3.24,NA,NA,NA,NA,NA,NA,NA
-61380,1645.5,24.1,1.02,-0.83,3.09,NA,NA,NA,NA,NA,NA,NA
-61660,1650.5,24.95,1.34,-0.69,3.34,NA,NA,NA,NA,NA,NA,NA
-61950,1655.5,24.26,1.31,-0.57,3.14,NA,NA,NA,NA,NA,NA,NA
-62230,1660.5,24.02,1,-0.83,3.07,NA,NA,NA,NA,NA,NA,NA
-62520,1665.5,24.8,1.15,-0.84,3.3,NA,NA,NA,NA,NA,NA,NA
-62800,1670.5,23.94,0.93,-0.89,3.05,NA,NA,NA,NA,NA,NA,NA
-63090,1675.5,24.57,1.11,-0.84,3.23,NA,NA,NA,NA,NA,NA,NA
-63370,1680.5,24.73,1.2,-0.78,3.27,NA,NA,NA,NA,NA,NA,NA
-63650,1685.5,24.88,1.19,-0.82,3.32,NA,NA,NA,NA,NA,NA,NA
-63940,1690.5,24.96,1.47,-0.56,3.34,NA,NA,NA,NA,NA,NA,NA
-64220,1695.5,24.72,1.21,-0.77,3.27,NA,NA,NA,NA,NA,NA,NA
-64510,1700.5,25.03,1.69,-0.36,3.36,NA,NA,NA,NA,NA,NA,NA
-64790,1705.5,24.05,1.45,-0.39,3.08,NA,NA,NA,NA,NA,NA,NA
-65080,1710.5,24.84,1.46,-0.55,3.31,NA,NA,NA,NA,NA,NA,NA
-65360,1715.5,24.53,1.49,-0.45,3.22,NA,NA,NA,NA,NA,NA,NA
-65640,1720.5,24.62,1.49,-0.46,3.24,NA,NA,NA,NA,NA,NA,NA
-65930,1725.5,24,1.38,-0.45,3.07,NA,NA,NA,NA,NA,NA,NA
-66210,1730.5,24.36,1.33,-0.57,3.17,NA,NA,NA,NA,NA,NA,NA
-66500,1735.5,24.02,1.29,-0.54,3.07,NA,NA,NA,NA,NA,NA,NA
-66780,1740.5,25.62,1.39,-0.78,3.55,NA,NA,NA,NA,NA,NA,NA
-67070,1745.5,24.28,1.32,-0.57,3.14,NA,NA,NA,NA,NA,NA,NA
-67350,1750.5,24.22,1.36,-0.51,3.13,NA,NA,NA,NA,NA,NA,NA
-67460,1752.5,24.65,1.36,-0.61,3.25,NA,NA,NA,NA,NA,NA,NA
-67630,1755.5,24.32,1.26,-0.63,3.16,NA,NA,NA,NA,NA,NA,NA
-67750,1757.5,24.37,1.37,-0.53,3.17,NA,NA,NA,NA,NA,NA,NA
-67920,1760.5,24.51,1.26,-0.67,3.21,NA,NA,NA,NA,NA,NA,NA
-68030,1762.5,23.97,1.08,-0.74,3.06,NA,NA,NA,NA,NA,NA,NA
-68200,1765.5,24.7,1.43,-0.55,3.27,NA,NA,NA,NA,NA,NA,NA
-68320,1767.5,23.85,1.15,-0.64,3.02,NA,NA,NA,NA,NA,NA,NA
-68490,1770.5,24.22,1.32,-0.55,3.13,NA,NA,NA,NA,NA,NA,NA
-68580,1772.5,24.01,1.29,-0.54,3.07,NA,NA,NA,NA,NA,NA,NA
-68680,1775.5,24.45,1.05,-0.88,3.19,NA,NA,NA,NA,NA,NA,NA
-68740,1777.5,23.83,0.9,-0.89,3.02,NA,NA,NA,NA,NA,NA,NA
-68840,1780.5,24.3,1.07,-0.82,3.15,NA,NA,NA,NA,NA,NA,NA
-68900,1782.5,24.03,0.99,-0.85,3.08,NA,NA,NA,NA,NA,NA,NA
-69000,1785.5,24.66,0.94,-1.03,3.26,NA,NA,NA,NA,NA,NA,NA
-69070,1787.5,24.34,1.1,-0.8,3.16,NA,NA,NA,NA,NA,NA,NA
-69160,1790.5,25.02,1.1,-0.94,3.36,NA,NA,NA,NA,NA,NA,NA
-69230,1792.5,25.55,1.29,-0.87,3.53,NA,NA,NA,NA,NA,NA,NA
-69330,1795.5,25.17,1.04,-1.03,3.41,NA,NA,NA,NA,NA,NA,NA
-69390,1797.5,24.87,0.95,-1.06,3.31,NA,NA,NA,NA,NA,NA,NA
-69490,1800.5,25.86,1.18,-1.04,3.63,NA,NA,NA,NA,NA,NA,NA
-69560,1802.5,24.65,0.67,-1.3,3.25,NA,NA,NA,NA,NA,NA,NA
-69650,1805.5,25.17,0.96,-1.11,3.41,NA,NA,NA,NA,NA,NA,NA
-69720,1807.5,25.17,0.83,-1.24,3.41,NA,NA,NA,NA,NA,NA,NA
-69820,1810.5,25.06,0.95,-1.1,3.37,NA,NA,NA,NA,NA,NA,NA
-69880,1812.5,25.4,1.18,-0.94,3.48,NA,NA,NA,NA,NA,NA,NA
-69980,1815.5,25.12,1.11,-0.95,3.39,NA,NA,NA,NA,NA,NA,NA
-70040,1817.5,25.25,0.85,-1.23,3.43,NA,NA,NA,NA,NA,NA,NA
-70140,1820.5,24.86,0.81,-1.2,3.31,NA,NA,NA,NA,NA,NA,NA
-70210,1822.5,25.13,0.71,-1.36,3.39,NA,NA,NA,NA,NA,NA,NA
-70300,1825.5,25.28,0.86,-1.23,3.44,NA,NA,NA,NA,NA,NA,NA
-70370,1827.5,26.79,0.89,-1.52,3.94,NA,NA,NA,NA,NA,NA,NA
-70470,1830.5,26.15,0.76,-1.52,3.72,NA,NA,NA,NA,NA,NA,NA
-70530,1832.5,26.44,0.84,-1.49,3.82,NA,NA,NA,NA,NA,NA,NA
-70630,1835.5,26.81,0.9,-1.51,3.95,NA,NA,NA,NA,NA,NA,NA
-70690,1837.5,25.82,0.72,-1.48,3.61,NA,NA,NA,NA,NA,NA,NA
-70790,1840.5,25.05,0.56,-1.49,3.37,NA,NA,NA,NA,NA,NA,NA
-70860,1842.5,26.16,0.82,-1.46,3.72,NA,NA,NA,NA,NA,NA,NA
-70950,1845.5,26.38,0.81,-1.52,3.8,NA,NA,NA,NA,NA,NA,NA
-71000,1847.5,25.67,0.72,-1.46,3.56,NA,NA,NA,NA,NA,NA,NA
-71070,1850.5,26.01,1.02,-1.23,3.67,NA,NA,NA,NA,NA,NA,NA
-71110,1852.5,25.31,0.8,-1.3,3.45,NA,NA,NA,NA,NA,NA,NA
-71180,1855.5,25.44,0.99,-1.13,3.49,NA,NA,NA,NA,NA,NA,NA
-71220,1857.5,25.46,0.82,-1.31,3.5,NA,NA,NA,NA,NA,NA,NA
-71280,1860.5,25.96,1.02,-1.22,3.66,NA,NA,NA,NA,NA,NA,NA
-71330,1862.5,26.68,0.86,-1.53,3.9,NA,NA,NA,NA,NA,NA,NA
-71390,1865.5,25.55,1.15,-1,3.53,NA,NA,NA,NA,NA,NA,NA
-71590,1867.5,25.34,1.11,-1,3.46,NA,NA,NA,NA,NA,NA,NA
-71880,1870.5,25.42,1.12,-1,3.48,NA,NA,NA,NA,NA,NA,NA
-72080,1872.5,25.3,1.06,-1.04,3.45,NA,NA,NA,NA,NA,NA,NA
-72370,1875.5,25.45,1.05,-1.08,3.49,NA,NA,NA,NA,NA,NA,NA
-72560,1877.5,25.72,1.03,-1.16,3.58,NA,NA,NA,NA,NA,NA,NA
-72750,1880.5,25.67,1.19,-0.99,3.56,NA,NA,NA,NA,NA,NA,NA
-72810,1882.5,25.47,0.57,-1.57,3.5,NA,NA,NA,NA,NA,NA,NA
-72910,1885.5,25.68,1,-1.18,3.57,NA,NA,NA,NA,NA,NA,NA
-72980,1887.5,25.65,0.56,-1.61,3.56,NA,NA,NA,NA,NA,NA,NA
-73130,1890.5,25.75,0.41,-1.79,3.59,NA,NA,NA,NA,NA,NA,NA
-73230,1892.2,25.5,0.52,-1.62,3.51,NA,NA,NA,NA,NA,NA,NA
-73450,1895.5,26.96,0.63,-1.81,4,NA,NA,NA,NA,NA,NA,NA
-73570,1897.5,25.49,0.47,-1.67,3.51,NA,NA,NA,NA,NA,NA,NA
-73760,1900.5,26.55,0.6,-1.75,3.86,NA,NA,NA,NA,NA,NA,NA
-73890,1902.5,25.75,0.41,-1.79,3.59,NA,NA,NA,NA,NA,NA,NA
-74080,1905.5,26.3,0.58,-1.73,3.77,NA,NA,NA,NA,NA,NA,NA
-74210,1907.5,25.85,0.16,-2.05,3.62,NA,NA,NA,NA,NA,NA,NA
-74400,1910.5,25.61,0.35,-1.81,3.54,NA,NA,NA,NA,NA,NA,NA
-74530,1912.5,27.06,0.54,-1.93,4.04,NA,NA,NA,NA,NA,NA,NA
-74720,1915.5,25.91,0.3,-1.93,3.64,NA,NA,NA,NA,NA,NA,NA
-74850,1917.5,26.91,0.64,-1.79,3.98,NA,NA,NA,NA,NA,NA,NA
-75040,1920.5,25.98,0.23,-2.01,3.66,NA,NA,NA,NA,NA,NA,NA
-75150,1922.5,25.95,0.41,-1.83,3.66,NA,NA,NA,NA,NA,NA,NA
