year (AD),depth (cm),d18O (permil),d18O (permil),d18O (permil)
1966.29,NA,-0.27,-0.27,-5.58
1966.37,NA,-0.09,-0.09,-5.36
1966.46,NA,-0.11,-0.11,-5.06
1966.54,NA,0.03,0.03,-4.81
1966.62,NA,0.07,0.07,-4.73
1966.71,NA,-0.06,-0.06,-4.85
1966.79,NA,0.16,0.16,-4.73
1966.87,NA,0.4,0.4,-4.69
1966.96,NA,0.51,0.51,-4.88
1967.04,NA,0.25,0.25,-5.1
1967.12,NA,0.3,0.3,-5.04
1967.21,NA,0.39,0.39,-4.96
1967.29,NA,0.13,0.13,-5.05
1967.37,NA,0.07,0.07,-5.08
1967.46,NA,0.03,0.03,-5.05
1967.54,NA,-0.32,-0.32,-5.43
1967.62,NA,-0.37,-0.37,-5.42
1967.71,NA,-0.27,-0.27,-5.13
1967.79,NA,-0.46,-0.46,-5.33
1967.87,NA,-0.16,-0.16,-5.21
1967.96,NA,-0.13,-0.13,-5.42
1968.04,NA,-0.27,-0.27,-5.55
1968.12,NA,-0.37,-0.37,-5.54
1968.21,NA,-0.37,-0.37,-5.49
1968.29,NA,-0.39,-0.39,-5.39
1968.37,NA,-0.41,-0.41,-5.5
1968.46,NA,-0.34,-0.34,-5.49
1968.54,NA,-0.5,-0.5,-5.51
1968.62,NA,-0.53,-0.53,-5.3
1968.71,NA,-0.36,-0.36,-4.93
1968.79,NA,0.02,0.02,-4.95
1968.87,NA,0.01,0.01,-5.23
1968.96,NA,0.02,0.02,-5.28
1969.04,NA,-0.27,-0.27,-5.44
1969.12,NA,-0.24,-0.24,-5.45
1969.21,NA,-0.34,-0.34,-5.49
1969.29,NA,-0.02,-0.02,-5.13
1969.37,NA,0.33,0.33,-4.75
1969.46,NA,0.37,0.37,-4.73
1969.54,NA,-0.01,-0.01,-4.88
1969.62,NA,0.11,0.11,-4.72
1969.71,NA,-0.01,-0.01,-4.84
1969.79,NA,-0.01,-0.01,-4.88
1969.87,NA,0.08,0.08,-4.88
1969.96,NA,-0.07,-0.07,-5.1
1970.04,NA,-0.23,-0.23,-5.09
1970.12,NA,-0.18,-0.18,-5.1
1970.21,NA,-0.23,-0.23,-5.29
1970.29,NA,-0.3,-0.3,-5.27
1970.37,NA,-0.26,-0.26,-5.17
1970.46,NA,-0.18,-0.18,-4.91
1970.54,NA,-0.13,-0.13,-4.78
1970.62,NA,-0.19,-0.19,-4.79
1970.71,NA,-0.18,-0.18,-4.77
1970.79,NA,0.17,0.17,-4.91
1970.87,NA,0,0,-5.12
1970.96,NA,-0.06,-0.06,-5.55
1971.04,NA,-0.06,-0.06,-5.43
1971.12,NA,-0.16,-0.16,-5.38
1971.21,NA,-0.25,-0.25,-5.37
1971.29,NA,-0.06,-0.06,-5.27
1971.37,NA,0.05,0.05,-5.12
1971.46,NA,0,0,-5.01
1971.54,NA,-0.06,-0.06,-5.05
1971.62,NA,-0.11,-0.11,-5.07
1971.71,NA,0.12,0.12,-4.86
1971.79,NA,0.03,0.03,-5.21
1971.87,NA,0,0,-5.21
1971.96,NA,-0.3,-0.3,-5.8
1972.04,NA,-0.35,-0.35,-5.76
1972.12,NA,-0.34,-0.34,-5.66
1972.21,NA,-0.33,-0.33,-5.57
1972.29,NA,-0.3,-0.3,-5.49
1972.37,NA,-0.26,-0.26,-5.41
1972.46,NA,-0.24,-0.24,-5.32
1972.54,NA,-0.26,-0.26,-5.19
1972.62,NA,-0.27,-0.27,-5.11
1972.71,NA,-0.24,-0.24,-5.07
1972.79,NA,-0.19,-0.19,-5.16
1972.87,NA,0.02,0.02,-5.21
1972.96,NA,0.21,0.21,-5.27
1973.04,NA,0.04,0.04,-5.39
1973.12,NA,-0.11,-0.11,-5.44
1973.21,NA,-0.44,-0.44,-5.68
1973.29,NA,-0.41,-0.41,-5.64
1973.37,NA,-0.38,-0.38,-5.58
1973.46,NA,-0.48,-0.48,-5.45
1973.54,NA,-0.43,-0.43,-5.24
1973.62,NA,-0.38,-0.38,-5.13
1973.71,NA,-0.42,-0.42,-5.14
1973.79,NA,-0.02,-0.02,-5.25
1973.87,NA,-0.09,-0.09,-5.39
1973.96,NA,-0.16,-0.16,-5.61
1974.04,NA,-0.13,-0.13,-5.53
1974.12,NA,-0.27,-0.27,-5.55
1974.21,NA,-0.29,-0.29,-5.49
1974.29,NA,-0.18,-0.18,-5.37
1974.37,NA,-0.29,-0.29,-5.52
1974.46,NA,-0.25,-0.25,-5.51
1974.54,NA,-0.08,-0.08,-5.21
1974.62,NA,-0.05,-0.05,-5.02
1974.71,NA,-0.33,-0.33,-5.2
1974.79,NA,-0.21,-0.21,-5.08
1974.87,NA,0.18,0.18,-4.94
1974.96,NA,0.46,0.46,-5.12
1975.04,NA,0.17,0.17,-5.32
1975.12,NA,-0.11,-0.11,-5.44
1975.21,NA,-0.25,-0.25,-5.59
1975.29,NA,-0.2,-0.2,-5.65
1975.37,NA,-0.13,-0.13,-5.6
1975.46,NA,-0.06,-0.06,-5.46
1975.54,NA,0.05,0.05,-5.3
1975.62,NA,0.04,0.04,-5.24
1975.71,NA,-0.1,-0.1,-5.26
1975.79,NA,0.03,0.03,-5.23
1975.87,NA,0.14,0.14,-5.37
1975.96,NA,0.32,0.32,-5.33
1976.04,NA,0.1,0.1,-5.53
1976.12,NA,-0.07,-0.07,-5.53
1976.21,NA,-0.1,-0.1,-5.56
1976.29,NA,-0.18,-0.18,-5.75
1976.37,NA,-0.32,-0.32,-5.84
1976.46,NA,-0.18,-0.18,-5.65
1976.54,NA,-0.01,-0.01,-5.37
1976.62,NA,-0.11,-0.11,-5.18
1976.71,NA,-0.04,-0.04,-5.07
1976.79,NA,0.15,0.15,-4.95
1976.87,NA,-0.11,-0.11,-5.36
1976.96,NA,0.02,0.02,-5.49
1977.04,NA,-0.14,-0.14,-5.51
1977.12,NA,-0.31,-0.31,-5.62
1977.21,NA,-0.24,-0.24,-5.55
1977.29,NA,-0.44,-0.44,-5.68
1977.37,NA,-0.16,-0.16,-5.28
1977.46,NA,-0.05,-0.05,-5.23
1977.54,NA,0.19,0.19,-4.93
1977.62,NA,-0.07,-0.07,-5.04
1977.71,NA,-0.04,-0.04,-4.99
1977.79,NA,0.16,0.16,-5.1
1977.87,NA,-0.01,-0.01,-5.32
1977.96,NA,0.83,0.83,-4.66
1978.04,NA,0.73,0.73,-4.71
1978.12,NA,0.48,0.48,-4.88
1978.21,NA,0.27,0.27,-5.01
1978.29,NA,0.46,0.46,-4.74
1978.37,NA,0.7,0.7,-4.42
1978.46,NA,0.7,0.7,-4.34
1978.54,NA,0.67,0.67,-4.29
1978.62,NA,0.44,0.44,-4.44
1978.71,NA,0.26,0.26,-4.58
1978.79,NA,0.48,0.48,-4.84
1978.87,NA,0.04,0.04,-5.27
1978.96,NA,0.08,0.08,-5.47
1979.04,NA,0.2,0.2,-5.39
1979.12,NA,0.36,0.36,-5.22
1979.21,NA,0.61,0.61,-4.94
1979.29,NA,0.81,0.81,-4.67
1979.37,NA,0.97,0.97,-4.39
1979.46,NA,0.68,0.68,-4.59
1979.54,NA,0.2,0.2,-5.07
1979.62,NA,-0.02,-0.02,-5.25
1979.71,NA,-0.03,-0.03,-5.26
1979.79,NA,0.25,0.25,-5.26
1979.87,NA,0.65,0.65,-4.86
1979.96,NA,-0.03,-0.03,-5.64
1980.04,NA,-0.11,-0.11,-5.73
1980.12,NA,-0.08,-0.08,-5.7
1980.21,NA,0,0,-5.63
1980.29,NA,0.14,0.14,-5.48
1980.37,NA,0.34,0.34,-5.25
1980.46,NA,0.27,0.27,-5.21
1980.54,NA,-0.01,-0.01,-5.3
1980.62,NA,0.05,0.05,-5.12
1980.71,NA,0.15,0.15,-4.89
1980.79,NA,0.69,0.69,-4.51
1980.87,NA,0.28,0.28,-5.12
1980.96,NA,0.59,0.59,-4.87
1981.04,NA,0.86,0.86,-4.6
1981.12,NA,1.02,1.02,-4.45
1981.21,NA,1.04,1.04,-4.43
1981.29,NA,0.38,0.38,-5.05
1981.37,NA,0.11,0.11,-5.28
1981.46,NA,0.1,0.1,-5.18
1981.54,NA,0.02,0.02,-5.18
1981.62,NA,0.07,0.07,-5.05
1981.71,NA,0.23,0.23,-4.84
1981.79,NA,0.19,0.19,-4.92
1981.87,NA,0.45,0.45,-4.76
1981.96,NA,0.43,0.43,-5.01
1982.04,NA,0.2,0.2,-5.3
1982.12,NA,-0.03,-0.03,-5.36
1982.21,NA,0.32,0.32,-5.02
1982.29,NA,0.48,0.48,-4.97
1982.37,NA,0.18,0.18,-5.21
1982.46,NA,0.11,0.11,-5.28
1982.54,NA,0.02,0.02,-5.3
1982.62,NA,-0.02,-0.02,-5.01
1982.71,NA,-0.01,-0.01,-4.68
1982.79,NA,0.15,0.15,-4.62
1982.87,NA,0.22,0.22,-4.78
1982.96,NA,0.28,0.28,-4.96
1983.04,NA,0.59,0.59,-4.58
1983.12,NA,0.51,0.51,-4.54
1983.21,NA,0.08,0.08,-4.77
1983.29,NA,0.18,0.18,-4.48
1983.37,NA,0.02,0.02,-4.44
1983.46,NA,-0.28,-0.28,-4.61
1983.54,NA,0.11,0.11,-4.11
1983.62,NA,0.08,0.08,-4.08
1983.71,NA,0.17,0.17,-4.45
1983.79,NA,0.29,0.29,-4.83
1983.87,NA,-0.01,-0.01,-5.06
1983.96,NA,0.05,0.05,-5.22
1984.04,NA,0.15,0.15,-5.12
1984.12,NA,0.24,0.24,-5.03
1984.21,NA,-0.13,-0.13,-5.36
1984.29,NA,-0.29,-0.29,-5.44
1984.37,NA,-0.33,-0.33,-5.37
1984.46,NA,-0.32,-0.32,-5.42
1984.54,NA,-0.39,-0.39,-5.43
1984.62,NA,-0.18,-0.18,-5.14
1984.71,NA,-0.18,-0.18,-5.09
1984.79,NA,0.23,0.23,-4.92
1984.87,NA,0.3,0.3,-5.02
1984.96,NA,0.68,0.68,-4.84
1985.04,NA,0.57,0.57,-4.94
1985.12,NA,0.21,0.21,-5.26
1985.21,NA,-0.07,-0.07,-5.54
1985.29,NA,-0.15,-0.15,-5.58
1985.37,NA,-0.24,-0.24,-5.49
1985.46,NA,-0.02,-0.02,-5.29
1985.54,NA,-0.02,-0.02,-5.29
1985.62,NA,-0.05,-0.05,-5.28
1985.71,NA,0.07,0.07,-5.12
1985.79,NA,0.07,0.07,-5.19
1985.87,NA,0.27,0.27,-5.07
1985.96,NA,0.55,0.55,-5.03
1986.04,NA,0.55,0.55,-5.03
1986.12,NA,0.51,0.51,-5.04
1986.21,NA,0.52,0.52,-5.02
1986.29,NA,0.69,0.69,-4.72
1986.37,NA,0.86,0.86,-4.38
1986.46,NA,1.04,1.04,-4.03
1986.54,NA,0.75,0.75,-4.25
1986.62,NA,0.46,0.46,-4.5
1986.71,NA,0.14,0.14,-4.77
1986.79,NA,0.14,0.14,-4.81
1986.87,NA,-0.03,-0.03,-5.26
1986.96,NA,0.19,0.19,-5.35
1987.04,NA,-0.02,-0.02,-5.49
1987.12,NA,0.13,0.13,-5.3
1987.21,NA,-0.12,-0.12,-5.43
1987.29,NA,-0.14,-0.14,-5.52
1987.37,NA,-0.15,-0.15,-5.47
1987.46,NA,0.12,0.12,-5.07
1987.54,NA,0.16,0.16,-4.95
1987.62,NA,-0.07,-0.07,-5.11
1987.71,NA,0.08,0.08,-4.95
1987.79,NA,0.17,0.17,-5.07
1987.87,NA,0.31,0.31,-5.06
1987.96,NA,0.43,0.43,-5.11
1988.04,NA,0.19,0.19,-5.22
1988.12,NA,0.11,0.11,-5.27
1988.21,NA,-0.05,-0.05,-5.36
1988.29,NA,-0.05,-0.05,-5.4
1988.37,NA,-0.08,-0.08,-5.32
1988.46,NA,0,0,-5.07
1988.54,NA,0,0,-5.07
1988.62,NA,0.01,0.01,-4.99
1988.71,NA,0,0,-4.99
1988.79,NA,0.24,0.24,-5.03
1988.87,NA,0.2,0.2,-5.28
1988.96,NA,0.24,0.24,-5.42
1989.04,NA,-0.14,-0.14,-5.52
1989.12,NA,-0.2,-0.2,-5.51
1989.21,NA,-0.18,-0.18,-5.45
1989.29,NA,-0.05,-0.05,-5.28
1989.37,NA,0.36,0.36,-4.83
1989.46,NA,0.16,0.16,-4.99
1989.54,NA,-0.11,-0.11,-5.19
1989.62,NA,-0.15,-0.15,-5.15
1989.71,NA,-0.17,-0.17,-5.04
1989.79,NA,0.16,0.16,-5.03
1989.87,NA,0.27,0.27,-5.16
1989.96,NA,0.31,0.31,-5.47
1990.04,NA,-0.03,-0.03,-5.6
1990.12,NA,-0.11,-0.11,-5.52
1990.21,NA,-0.13,-0.13,-5.44
1990.29,NA,-0.14,-0.14,-5.59
1990.37,NA,-0.2,-0.2,-5.46
1990.46,NA,-0.15,-0.15,-5.34
1990.54,NA,-0.1,-0.1,-5.11
1990.62,NA,-0.1,-0.1,-4.95
1990.71,NA,-0.03,-0.03,-4.82
1990.79,NA,-0.02,-0.02,-4.85
1990.87,NA,0.31,0.31,-4.97
1990.96,NA,0.49,0.49,-5.05
1991.04,NA,0.07,0.07,-5.23
1991.12,NA,-0.06,-0.06,-5.29
1991.21,NA,-0.12,-0.12,-5.27
1991.29,NA,-0.23,-0.23,-5.31
1991.37,NA,-0.19,-0.19,-5.36
1991.46,NA,-0.05,-0.05,-5.28
1991.54,NA,0,0,-5.08
1991.62,NA,0.08,0.08,-4.92
1991.71,NA,0.07,0.07,-4.92
1991.79,NA,0.34,0.34,-5.11
1991.87,NA,-0.05,-0.05,-5.31
1991.96,NA,0.28,0.28,-5.3
1992.04,NA,0.18,0.18,-5.34
1992.12,NA,0.06,0.06,-5.37
1992.21,NA,-0.1,-0.1,-5.41
1992.29,NA,-0.16,-0.16,-5.36
1992.37,NA,-0.21,-0.21,-5.29
1992.46,NA,-0.26,-0.26,-5.21
1992.54,NA,-0.25,-0.25,-5.17
1992.62,NA,-0.24,-0.24,-5.12
1992.71,NA,-0.22,-0.22,-5.05
1992.79,NA,0.08,0.08,-4.93
1992.87,NA,0.15,0.15,-4.84
1992.96,NA,0.37,0.37,-5.25
1993.04,NA,0.28,0.28,-5.24
1993.12,NA,0.14,0.14,-5.29
1993.21,NA,0.05,0.05,-5.34
1993.29,NA,-0.16,-0.16,-5.4
1993.37,NA,-0.11,-0.11,-5.41
1993.46,NA,-0.13,-0.13,-5.52
1993.54,NA,-0.03,-0.03,-5.24
1993.62,NA,-0.13,-0.13,-5.07
1993.71,NA,-0.17,-0.17,-5
1993.79,NA,0.1,0.1,-4.84
1993.87,NA,0.37,0.37,-4.85
1993.96,NA,0.1,0.1,-5.37
1994.04,NA,0,0,-5.36
1994.12,NA,-0.12,-0.12,-5.39
1994.21,NA,-0.17,-0.17,-5.48
1994.29,NA,-0.14,-0.14,-5.52
1994.37,NA,-0.2,-0.2,-5.42
1994.46,NA,-0.17,-0.17,-5.2
1994.54,NA,-0.18,-0.18,-5.1
1994.62,NA,-0.29,-0.29,-4.99
1994.71,NA,-0.24,-0.24,-4.79
1994.79,NA,-0.31,-0.31,-4.75
1994.87,NA,0.14,0.14,-4.88
1994.96,NA,0.19,0.19,-5.08
1995.04,NA,-0.2,-0.2,-5.29
1995.12,NA,-0.32,-0.32,-5.35
1995.21,NA,-0.33,-0.33,-5.44
1995.29,NA,-0.31,-0.31,-5.41
1995.37,NA,-0.21,-0.21,-5.31
1995.46,NA,-0.06,-0.06,-5.17
1995.54,NA,-0.02,-0.02,-5.05
1995.62,NA,-0.17,-0.17,-4.99
1995.71,NA,-0.15,-0.15,-4.9
1995.79,NA,-0.01,-0.01,-5.04
1995.87,NA,0.34,0.34,-5.11
1995.96,NA,0.39,0.39,-5.27
1996.04,NA,0.08,0.08,-5.4
1996.12,NA,-0.03,-0.03,-5.43
1996.21,NA,0.06,0.06,-5.37
1996.29,NA,0.21,0.21,-5.11
1996.37,NA,0.14,0.14,-5.24
1996.46,NA,0.18,0.18,-5.25
1996.54,NA,0.11,0.11,-5.25
1996.62,NA,-0.02,-0.02,-5.15
1996.71,NA,-0.15,-0.15,-5.18
1996.79,NA,0.05,0.05,-5.22
1996.87,NA,0.22,0.22,-5.22
1996.96,NA,0.22,0.22,-5.44
1997.04,NA,0.03,0.03,-5.53
1997.12,NA,-0.07,-0.07,-5.65
1997.21,NA,-0.16,-0.16,-5.63
1997.29,NA,-0.12,-0.12,-5.51
1997.37,NA,-0.06,-0.06,-5.48
1997.46,NA,-0.21,-0.21,-5.6
1997.54,NA,-0.14,-0.14,-5.42
1997.62,NA,-0.14,-0.14,-5.23
1997.71,NA,-0.28,-0.28,-4.95
1997.79,NA,0,0,-4.96
1997.87,NA,0.24,0.24,-5.06
1997.96,NA,-0.02,-0.02,-5.49
1998.04,NA,0.01,0.01,-5.42
1998.12,NA,-0.03,-0.03,-5.38
1998.21,NA,-0.05,-0.05,-5.44
1998.29,NA,-0.13,-0.13,-5.44
1998.37,NA,0.04,0.04,-5.31
1998.46,NA,-0.07,-0.07,-5.22
1998.54,NA,-0.04,-0.04,-5.27
1998.62,NA,0.05,0.05,-5.18
1998.71,NA,-0.1,-0.1,-5.13
1998.79,NA,0.13,0.13,-5.22
1998.87,NA,0.3,0.3,-5.33
1998.96,NA,0.35,0.35,-5.43
1999.04,NA,0.06,0.06,-5.64
1999.12,NA,-0.13,-0.13,-5.76
1999.21,NA,-0.26,-0.26,-5.8
1999.29,NA,-0.4,-0.4,-5.79
1999.37,NA,-0.54,-0.54,-5.61
1999.46,NA,-0.36,-0.36,-5.43
1999.54,NA,-0.32,-0.32,-5.19
1999.62,NA,-0.21,-0.21,-5.15
1999.71,NA,-0.47,-0.47,-5.26
1999.79,NA,0.1,0.1,-5.29
1999.87,NA,-0.33,-0.33,-5.75
1999.96,NA,-0.27,-0.27,-5.85
2000.04,NA,-0.26,-0.26,-5.77
2000.12,NA,-0.26,-0.26,-5.7
2000.21,NA,-0.28,-0.28,-5.59
2000.29,NA,-0.34,-0.34,-5.49
2000.37,NA,-0.27,-0.27,-5.42
2000.46,NA,-0.18,-0.18,-5.33
2000.54,NA,-0.13,-0.13,-5.28
2000.62,NA,-0.15,-0.15,-5.26
2000.71,NA,-0.22,-0.22,-5.25
2000.79,NA,0.03,0.03,-5.16
2000.87,NA,0.07,0.07,-5.29
2000.96,NA,0.09,0.09,-5.53
2001.04,NA,-0.24,-0.24,-5.71
2001.12,NA,-0.12,-0.12,-5.66
2001.21,NA,-0.26,-0.26,-5.57
2001.29,NA,-0.33,-0.33,-5.6
2001.37,NA,-0.22,-0.22,-5.63
2001.46,NA,-0.21,-0.21,-5.48
2001.54,NA,-0.13,-0.13,-5.24
2001.62,NA,-0.12,-0.12,-5.12
2001.71,NA,-0.4,-0.4,-5.27
2001.79,NA,-0.04,-0.04,-5.23
2001.87,NA,-0.02,-0.02,-5.42
2001.96,NA,0.06,0.06,-5.64
2002.04,NA,-0.35,-0.35,-5.86
2002.12,NA,-0.5,-0.5,-5.8
2002.21,NA,-0.53,-0.53,-5.92
2002.29,NA,-0.51,-0.51,-5.94
2002.37,NA,-0.27,-0.27,-5.76
2002.46,NA,-0.05,-0.05,-5.52
2002.54,NA,-0.06,-0.06,-5.33
2002.62,NA,-0.12,-0.12,-5.25
2002.71,NA,-0.25,-0.25,-5.2
2002.79,NA,-0.14,-0.14,-5.17
2002.87,NA,0.1,0.1,-5.31
2002.96,NA,0.13,0.13,-5.53
2003.04,NA,-0.14,-0.14,-5.68
2003.12,NA,-0.27,-0.27,-5.67
2003.21,NA,-0.31,-0.31,-5.7
2003.29,NA,-0.32,-0.32,-5.79
2003.37,NA,-0.22,-0.22,-5.58
2003.46,NA,-0.02,-0.02,-5.33
2003.54,NA,-0.15,-0.15,-5.26
2003.62,NA,-0.18,-0.18,-5.18
2003.71,NA,-0.17,-0.17,-5.12
2003.79,NA,0.09,0.09,-5.14
2003.87,NA,0.11,0.11,-5.33
2003.96,NA,0.08,0.08,-5.54
2004.04,NA,0.05,0.05,-5.53
2004.12,NA,0.02,0.02,-5.53
2004.21,NA,0.01,0.01,-5.53
2004.29,NA,-0.01,-0.01,-5.52
2004.37,NA,-0.05,-0.05,-5.52
2004.46,NA,NA,NA,-5.51
