year (AD),d18O (permil),Sr_Ca (mmol/mol),d13C (permil)
1943.01,-4.76,8.754,-0.73
1942.94,-4.73,8.843,-0.78
1942.87,-4.71,8.814,-0.74
1942.8,-4.57,8.812,-0.7
1942.73,-4.56,8.834,-0.86
1942.66,-4.57,8.917,-0.94
1942.6,-4.57,8.923,-0.95
1942.53,-4.56,8.88,-0.97
1942.46,-4.51,8.857,-1.01
1942.39,-4.66,8.851,-1.06
1942.32,-4.81,8.84,-0.9
1942.25,-4.86,8.837,-0.77
1942.18,-4.92,8.802,-0.76
1942.11,-4.96,8.83,-0.67
1942.04,-4.96,8.794,-0.67
1941.97,-4.99,8.831,-0.63
1941.91,-4.8,8.851,-0.72
1941.84,-4.56,8.881,-0.73
1941.77,-4.54,8.882,-0.74
1941.7,-4.41,8.964,-0.78
1941.62,-4.34,9.002,-1.06
1941.55,-4.31,8.987,-1.05
1941.49,-4.36,8.951,-1.14
1941.42,-4.46,8.932,-1.13
1941.35,-4.59,8.912,-0.91
1941.29,-4.69,8.868,-0.74
1941.22,-4.79,8.779,-0.75
1941.15,-4.92,8.802,-0.69
1941.09,-4.99,8.784,-0.61
1941.02,-4.92,8.801,-0.43
1940.89,-4.82,8.781,-0.55
1940.82,-4.66,8.818,-0.91
1940.75,-4.58,8.877,-0.94
1940.69,-4.47,8.906,-1.12
1940.62,-4.47,8.937,-1.13
1940.56,-4.58,8.893,-1.22
1940.49,-4.61,8.876,-1.08
1940.43,-4.5,8.831,-1.12
1940.36,-4.39,8.838,-1.15
1940.3,-4.52,8.814,-1.05
1940.23,-4.66,8.847,-0.81
1940.17,-4.65,8.815,-0.6
1940.1,-4.8,8.799,-0.78
1940.04,-4.84,8.86,-0.79
1939.98,-4.77,8.854,-0.99
1939.91,-4.67,8.844,-1.09
1939.85,-4.52,8.842,-0.97
1939.78,-4.6,8.851,-0.72
1939.72,-4.62,8.882,-0.99
1939.65,-4.65,8.903,-1.11
1939.59,-4.72,8.877,-0.82
1939.52,-4.87,8.914,-0.76
1939.46,-4.88,8.881,-0.74
1939.41,-4.94,8.876,-0.67
1939.37,-4.87,8.841,-0.55
1939.32,-4.86,8.812,-0.6
1939.27,-4.9,8.792,-0.44
1939.23,-4.93,8.787,-0.57
1939.18,-4.93,8.797,-0.74
1939.13,-4.92,8.803,-0.81
1939.09,-4.85,8.795,-0.81
1939.04,-4.7,8.794,-0.72
1938.87,-4.73,8.835,-0.82
1938.71,-4.69,8.886,-0.95
1938.66,-4.66,8.879,-0.94
1938.62,-4.65,8.805,-0.89
1938.56,-4.66,8.839,-0.88
1938.49,-4.7,8.864,-0.89
1938.43,-4.8,8.835,-0.9
1938.37,-4.95,8.777,-0.71
1938.31,-4.9,8.776,-0.71
1938.25,-4.92,8.777,-0.75
1938.19,-4.97,8.759,-0.74
1938.13,-5.01,8.793,-0.72
1938.07,-5,8.774,-0.65
1938.01,-4.9,8.792,-0.72
1937.95,-4.63,8.813,-0.77
1937.89,-4.36,8.86,-0.74
1937.83,-4.47,8.822,-0.73
1937.77,-4.49,8.906,-0.94
1937.71,-4.5,8.932,-0.84
1937.63,-4.57,8.877,-0.86
1937.56,-4.68,8.868,-0.9
1937.48,-4.83,8.857,-1
1937.4,-4.85,8.813,-1.12
1937.33,-4.91,8.854,-1.12
1937.25,-4.86,8.85,-0.76
1937.17,-4.85,8.83,-0.69
1937.1,-4.84,8.809,-0.72
1937.02,-4.7,8.836,-0.88
1936.94,-4.6,8.813,-0.82
1936.87,-4.55,8.824,-0.77
1936.79,-4.55,8.928,-0.8
1936.73,-4.62,8.898,-0.88
1936.68,-4.67,8.873,-0.93
1936.62,-4.69,8.928,-0.96
1936.56,-4.74,8.873,-0.95
1936.51,-4.82,8.834,-0.93
1936.45,-4.88,8.851,-0.94
1936.39,-4.94,8.823,-0.96
1936.34,-4.99,8.793,-0.99
1936.28,-5.05,8.78,-0.95
1936.22,-5.06,8.805,-0.7
1936.16,-4.99,8.803,-0.59
1936.11,-5,8.832,-0.77
1936.05,-4.92,8.873,-0.7
1935.99,-4.85,8.85,-0.5
1935.94,-4.72,8.837,-0.65
1935.88,-4.78,8.848,-0.72
1935.82,-4.75,8.874,-0.78
1935.77,-4.7,8.894,-0.97
1935.71,-4.69,8.903,-1.12
1935.54,-4.77,8.896,-1.11
1935.37,-4.78,8.825,-1
1935.33,-4.88,8.828,-0.95
1935.26,-4.92,8.842,-0.92
1935.23,-4.94,8.795,-0.89
1935.19,-4.97,8.791,-0.83
1935.16,-4.95,8.757,-0.83
1935.12,-4.97,8.789,-0.8
1935.08,-4.93,8.795,-0.63
1935.05,-4.96,8.795,-0.51
1935.01,-4.97,8.829,-0.49
1934.98,-4.93,8.823,-0.49
1934.94,-4.79,8.846,-0.53
1934.91,-4.64,8.895,-0.59
1934.87,-4.53,8.824,-0.63
1934.71,-4.51,8.981,-0.48
1934.64,-4.49,8.96,-0.65
1934.56,-4.52,8.966,-0.71
1934.49,-4.65,8.932,-0.8
1934.41,-4.76,8.927,-0.8
1934.34,-4.86,8.874,-0.79
1934.27,-4.98,8.862,-0.6
1934.19,-5.05,8.855,-0.73
1934.12,-5.08,8.811,-0.77
1934.06,-5.06,8.839,-0.86
1934,-4.94,8.854,-0.69
1933.94,-4.96,8.869,-0.97
1933.89,-4.92,8.858,-0.89
1933.83,-4.87,8.886,-0.64
1933.77,-4.66,8.929,-0.62
1933.71,-4.64,8.969,-0.61
1933.64,-4.74,8.966,-0.75
1933.58,-4.85,8.937,-0.84
1933.51,-4.85,8.944,-0.65
1933.45,-4.93,8.899,-0.6
1933.38,-5.02,8.873,-0.47
1933.32,-5.08,8.925,-0.42
1933.25,-5.13,8.856,-0.31
1933.19,-5.15,8.861,-0.33
1933.12,-5.2,8.808,-0.36
1933.06,-5.12,8.819,-0.49
1933.01,-5,8.835,-0.62
1932.95,-4.88,8.871,-0.69
1932.9,-4.76,8.892,-0.73
1932.79,-4.62,8.898,-0.75
1932.73,-4.56,8.952,-0.67
1932.68,-4.54,8.985,-0.58
1932.62,-4.53,8.994,-0.56
1932.5,-4.67,8.986,-0.79
1932.44,-4.81,8.921,-0.87
1932.38,-4.87,8.929,-0.73
1932.26,-4.99,8.868,-0.56
1932.2,-4.94,8.835,-0.37
1932.12,-4.95,8.859,-0.37
1932.06,-4.95,8.848,-0.31
1931.99,-4.81,8.891,-0.31
1931.91,-4.7,8.906,-0.41
1931.85,-4.66,8.907,-0.4
1931.78,-4.66,8.914,-0.42
1931.7,-4.65,8.946,-0.49
1931.63,-4.64,8.934,-0.6
1931.57,-4.54,8.94,-0.77
1931.49,-4.49,8.953,-0.89
1931.42,-4.5,8.886,-0.81
1931.35,-4.56,8.846,-0.74
1931.28,-4.7,8.884,-0.65
1931.21,-4.74,8.877,-0.4
1931.14,-4.81,8.862,-0.4
1931.06,-4.81,8.864,-0.23
1930.99,-4.72,8.919,-0.15
1930.92,-4.61,8.968,-0.47
1930.85,-4.46,8.995,-0.54
1930.78,-4.33,9.019,-0.61
1930.71,-4.38,9.026,-0.73
1930.64,-4.38,8.985,-0.81
1930.55,-4.44,8.984,-0.99
1930.41,-4.64,8.947,-1.02
1930.32,-4.8,8.905,-0.85
1930.25,-4.88,8.894,-0.69
1930.18,-4.87,8.882,-0.58
1930.1,-4.84,8.899,-0.42
1930.02,-4.85,8.866,-0.47
1929.97,-4.86,8.873,-0.56
1929.9,-4.85,8.888,-0.56
1929.85,-4.84,8.886,-0.43
1929.79,-4.78,8.939,-0.35
1929.74,-4.7,8.922,-0.34
1929.68,-4.67,8.941,-0.39
1929.62,-4.65,8.939,-0.46
1929.57,-4.61,8.975,-0.42
1929.51,-4.62,8.925,-0.42
1929.45,-4.7,8.94,-0.7
1929.39,-4.72,8.914,-0.68
1929.34,-4.77,8.89,-0.65
1929.28,-4.83,8.917,-0.34
1929.23,-4.89,8.861,-0.15
1929.15,-4.96,8.914,-0.32
1929.07,-4.9,8.907,-0.3
1929,-4.84,8.906,-0.46
1928.93,-4.76,8.909,-0.5
1928.84,-4.68,8.916,-0.44
1928.77,-4.69,8.955,-0.49
1928.7,-4.75,8.956,-0.62
1928.61,-4.86,9.047,-0.76
1928.54,-4.86,8.992,-0.74
