Year (CE) (unitless) [1-1],d18O (per mil) [1-1],Sr/Ca (mmol/mol) [1-1],Year (CE) (unitless) [1-2],d18O (per mil) [1-2],Sr/Ca (mmol/mol) [1-2]
1991.04,-4.1933,9.0959,1991.04,-4.3868,8.9164
1991.13,-4.2227,9.0711,1991.13,-4.4198,8.9077
1991.21,-4.2521,9.0463,1991.21,-4.4527,8.8991
1991.29,-4.2816,9.0214,1991.29,-4.4912,8.8873
1991.38,-5.0928,8.9368,1991.38,-4.6151,8.8294
1991.46,-5.123,8.8859,1991.46,-4.8231,8.7511
1991.54,-5.1392,8.8534,1991.54,-4.9209,8.7451
1991.63,-5.1009,8.8926,1991.63,-5.3816,8.7257
1991.71,-4.992,8.9453,1991.71,-5.2443,8.7851
1991.79,-4.7179,9.0294,1991.79,-4.6104,8.8467
1991.88,-4.5558,9.0885,1991.88,-4.5096,8.9044
1991.96,-4.4753,9.1293,1991.96,-4.5149,8.9253
1992.04,-4.3931,9.1649,1992.04,-4.5202,8.9462
1992.13,-4.2903,9.1344,1992.13,-4.2105,8.9322
1992.21,-4.1875,9.1039,1992.21,-4.451,8.9343
1992.29,-4.7727,9,1992.29,-4.5257,8.876
1992.38,-5.2754,8.8886,1992.38,-4.7041,8.8399
1992.46,-5.2787,8.8907,1992.46,-4.9051,8.8227
1992.54,-5.2706,8.8863,1992.54,-4.9084,8.768
1992.63,-5.2523,8.8715,1992.63,-5.1589,8.7354
1992.71,-5.0964,8.8919,1992.71,-5.3348,8.7561
1992.79,-4.38,9.0297,1992.79,-5.0758,8.8568
1992.88,-4.2893,9.0704,1992.88,-4.5708,8.9459
1992.96,-4.1985,9.1111,1992.96,-4.615,8.9623
1993.04,-4.1078,9.1518,1993.04,-4.5979,8.9638
1993.13,-4.0171,9.1925,1993.13,-4.5806,8.9638
1993.21,-4.3398,9.1343,1993.21,-4.5606,8.9377
1993.29,-4.6881,9.07,1993.29,-4.5367,8.9102
1993.38,-4.8986,8.99,1993.38,-4.5532,8.8157
1993.46,-5.0424,8.9538,1993.46,-4.6695,8.76
1993.54,-5.0902,8.9285,1993.54,-4.8505,8.7718
1993.63,-4.0133,8.923,1993.63,-4.9548,8.784
1993.71,-4.0361,8.9649,1993.71,-5.1693,8.7794
1993.79,-4.059,9.0068,1993.79,-5.2676,8.8515
1993.88,-4.0818,9.0487,1993.88,-4.9075,8.9074
1993.96,-4.1046,9.0906,1993.96,-4.8357,8.9966
1994.04,-4.1339,9.1284,1994.04,-4.8186,9.0172
1994.13,-4.2473,9.1125,1994.13,-4.8269,9.0059
1994.21,-4.4109,9.0969,1994.21,-4.7656,8.9621
1994.29,-4.6112,8.9972,1994.29,-4.7834,8.8523
1994.38,-4.8328,8.9509,1994.38,-4.8784,8.7389
1994.46,-4.7142,8.9835,1994.46,-4.8265,8.7764
1994.54,-4.6261,9.0272,1994.54,-5.1983,8.7725
1994.63,-4.6734,9.0025,1994.63,-5.2631,8.7831
1994.71,-4.6629,8.9865,1994.71,-5.3794,8.7696
1994.79,-4.1612,9.0626,1994.79,-4.898,8.8494
1994.88,-4.1908,9.0746,1994.88,-4.5964,8.9713
1994.96,-4.2204,9.0866,1994.96,-4.5177,9.049
1995.04,-4.25,9.0986,1995.04,-4.4625,9.1
1995.13,-4.2796,9.1107,1995.13,-4.4227,9.1042
1995.21,-4.4843,9.0816,1995.21,-4.475,9.0803
1995.29,-4.7381,9.041,1995.29,-4.6477,8.8999
1995.38,-5.3583,8.9778,1995.38,-4.9286,8.8081
1995.46,-5.4042,8.9353,1995.46,-5.0074,8.7928
1995.54,-5.3015,8.9442,1995.54,-4.9799,8.7592
1995.63,-5.1777,8.9604,1995.63,-4.9762,8.7687
1995.71,-5.0539,8.9767,1995.71,-4.9916,8.7821
1995.79,-4.9301,8.9929,1995.79,-5.038,8.8018
1995.88,-4.7953,9.0134,1995.88,-5.1159,8.9137
1995.96,-4.5557,9.1489,1995.96,-4.6966,8.9856
1996.04,-3.931,9.1701,1996.04,-4.6003,9.0199
1996.13,-3.8077,9.2117,1996.13,-4.5759,9.0296
1996.21,-4.1087,9.1625,1996.21,-4.64,8.9931
1996.29,-4.4097,9.1132,1996.29,-4.77,8.9281
1996.38,-4.765,9.0554,1996.38,-4.862,8.88
1996.46,-5.0096,8.969,1996.46,-4.9123,8.7851
1996.54,-4.9574,8.9314,1996.54,-4.9995,8.7519
1996.63,-4.8991,8.9342,1996.63,-5.3606,8.8152
1996.71,-4.8722,8.9515,1996.71,-5.0094,8.7722
1996.79,-4.8452,8.9688,1996.79,-5.1314,8.784
1996.88,-4.8183,8.9862,1996.88,-5.0699,8.8498
1996.96,-4.6003,9.112,1996.96,-4.762,8.9839
1997.04,-4.4284,9.1719,1997.04,-4.71,9.1078
1997.13,-4.3177,9.1722,1997.13,-4.6845,9.1151
1997.21,-4.207,9.1725,1997.21,-4.6408,9.1036
1997.29,-4.3124,9.0442,1997.29,-4.6597,8.9025
1997.38,-4.7982,9.0346,1997.38,-5.0505,8.7639
1997.46,-5.1738,8.9324,1997.46,-5.1329,8.7553
1997.54,-5.2726,8.924,1997.54,-5.1616,8.7165
1997.63,-5.2013,8.9731,1997.63,-4.9714,8.7202
1997.71,-5.1158,8.9499,1997.71,-4.9278,8.7344
1997.79,-4.8754,8.9863,1997.79,-4.971,8.7723
1997.88,-4.4829,8.994,1997.88,-4.7024,8.819
1997.96,-4.3279,9.0577,1997.96,-4.6088,8.9501
1998.04,-4.1866,9.1161,1998.04,-4.6696,8.9686
1998.13,-4.2439,9.0974,1998.13,-4.592,8.9387
1998.21,-4.3013,9.0787,1998.21,-4.6154,8.8834
1998.29,-4.6723,8.9471,1998.29,-4.5426,8.8142
1998.38,-4.8363,8.9157,1998.38,-4.974,8.8003
1998.46,-5.0002,8.8843,1998.46,-4.9792,8.7074
1998.54,-5.1641,8.853,1998.54,-4.9233,8.6863
1998.63,-5.2702,8.859,1998.63,-4.8577,8.6748
1998.71,-5.3482,8.883,1998.71,-4.824,8.6825
1998.79,-5.3642,8.8948,1998.79,-4.939,8.7151
1998.88,-5.3722,9.0199,1998.88,-5.1162,8.8473
1998.96,-4.5276,9.0087,1998.96,-4.9417,8.8434
1999.04,-4.3296,9.1122,1999.04,-4.8185,8.8641
1999.13,-4.2281,9.1382,1999.13,-4.7576,8.8895
1999.21,-4.3233,9.0938,1999.21,-4.7154,8.882
1999.29,-4.4261,9.0334,1999.29,-4.8636,8.8442
1999.38,-4.5467,8.9158,1999.38,-4.8801,8.7708
1999.46,-4.6357,8.8849,1999.46,-5.1143,8.7634
1999.54,-4.7053,8.8793,1999.54,-5.343,8.7504
1999.63,-4.7412,8.8964,1999.63,-5.1934,8.7591
1999.71,-4.7771,8.9136,1999.71,-5.2822,8.7573
1999.79,-4.813,8.9307,1999.79,-5.3277,8.7951
1999.88,-4.8398,9.0207,1999.88,-5.4672,8.9127
1999.96,-4.6566,9.0597,1999.96,-5.6776,8.8934
2000.04,-4.6441,9.1049,2000.04,-5.1148,9.0127
2000.13,-4.6318,9.1479,2000.13,-4.9851,9.0298
2000.21,-4.6274,9.0819,2000.21,-4.9992,8.9904
2000.29,-4.7605,9.0484000000000009,2000.29,-4.7707,8.8718
2000.38,-4.9724,9.0049,2000.38,-4.8181,8.8212
2000.46,-5.1307,8.9864,2000.46,-4.9104,8.8034
2000.54,-5.1904,8.98,2000.54,-5.1656,8.7944
2000.63,-5.2342,8.9742,2000.63,-5.3022,8.7738
2000.71,-5.2157,8.9942,2000.71,-5.1691,8.762
2000.79,-5.1907,9.0169,2000.79,-5.3124,8.7923
2000.88,-5.0856,9.0409,2000.88,-5.4061,8.8674
2000.96,-4.7668,9.1111,2000.96,-5.1101,8.929
2001.04,-4.5614,9.1531,2001.04,-4.8238,8.9908
2001.13,-4.3635,9.1916,2001.13,-5.0199,9.1372
2001.21,-4.4427,9.1013,2001.21,-4.8218,8.8742
2001.29,-4.4702,9.0348,2001.29,-4.8923,8.7837
2001.38,-4.4977,8.9683,2001.38,-5.1155,8.7704
2001.46,-4.5644,8.9646,2001.46,-5.2038,8.7635
2001.54,-4.6612,9.0108,2001.54,-5.4994,8.8753
2001.63,-4.6779,8.9554,2001.63,-5.5595,8.7594
2001.71,-4.5388,8.9627,2001.71,-5.7632,8.7854
2001.79,-4.3774,8.979,2001.79,-5.6823,8.7975
2001.88,-4.7166,8.9999,2001.88,-4.9879,8.8465
2001.96,-4.8029,9.0456,2001.96,-4.53,8.9352
2002.04,-4.7459,9.0513,2002.04,-4.5535,8.9849
2002.13,-4.6889,9.057,2002.13,-4.5783,9.0315
2002.21,-4.5398,9.0159,2002.21,-4.6351,8.9838
2002.29,-5.0299,8.9524,2002.29,-4.683,8.8878
2002.38,-5.1866,8.9312,2002.38,-4.8659,8.7859
2002.46,-5.3433,8.91,2002.46,-4.988,8.7436
2002.54,-5.4042,8.903,2002.54,-5.1995,8.7243
2002.63,-5.3292,8.9161,2002.63,-5.3963,8.7242
2002.71,-5.2543,8.9291,2002.71,-5.319,8.7212
2002.79,-5.1793,8.9422,2002.79,-5.2545,8.7157
2002.88,-5.0668,8.9892,2002.88,-5.0464,8.8191
2002.96,-4.9,9.0853,2002.96,-4.7669,8.9244
2003.04,-4.2787,9.144,2003.04,-4.5889,9.0045
2003.13,-4.193,9.2017,2003.13,-4.656,9.0172
2003.21,-4.209,9.1606,2003.21,-4.6999,8.9598
2003.29,-4.225,9.1028,2003.29,-4.7949,8.9146
2003.38,-4.241,9.0112,2003.38,-4.5889,8.8247
2003.46,-4.4977,8.9715,2003.46,-4.7199,8.8565
2003.54,-4.9184,8.94,2003.54,-5.0185,8.7207
2003.63,-4.8677,8.9708,2003.63,-5.2454,8.7516
2003.71,-4.8071,9.003,2003.71,-5.2923,8.7596
2003.79,-4.7466,9.0352,2003.79,-5.1986,8.7807
2003.88,-4.686,9.0674,2003.88,-4.9228,8.8765
2003.96,-4.4743,9.1221,2003.96,-4.7366,8.9567
2004.04,-4.2957,9.1864,2004.04,-4.6539,8.9848
2004.13,-4.3027,9.2062,2004.13,-4.7126,8.965
2004.21,-4.4991,9.1576,2004.21,-4.6468,8.9436
2004.29,-4.3818,9.0555,2004.29,-4.7116,8.8896
2004.38,-4.3881,9.0198,2004.38,-4.8687,8.7346
2004.46,-4.4329,9.0049,2004.46,-5.1383,8.7558
2004.54,-4.4777,8.99,2004.54,-5.1505,8.7482
2004.63,-4.7111,8.9876,2004.63,-5.3199,8.7305
2004.71,-5.0294,8.9908,2004.71,-4.9352,8.8473
2004.79,-5.0106,9.0576,2004.79,-4.8551,8.859
2004.88,-4.6805,9.1927,2004.88,-4.6972,8.9769
2004.96,-4.5283,9.2681,2004.96,-4.6105,9.0907
2005.04,-4.2243,9.2884,2005.04,-4.5811,9.0139
2005.13,-4.0269,9.2581,2005.13,-4.5664,9.0072
2005.21,-4.366,9.1197,2005.21,-4.6625,9.0075
2005.29,-4.5092,9.0398,2005.29,-4.81,8.8762
2005.38,-4.4595,9.0026,2005.38,-4.9075,8.7982
2005.46,-4.4368,8.9836,2005.46,-5.0773,8.7328
2005.54,-4.4299,8.9687,2005.54,-5.1298,8.7092
2005.63,-4.4259,8.9797,2005.63,-5.1162,8.709
2005.71,-4.4224,8.9954,2005.71,-5.1026,8.7089
2005.79,-4.4188,9.0112,2005.79,-5.1495,8.759
2005.88,-4.3859,9.0451,2005.88,-5.4665,8.8351
2005.96,-4.1084,9.1852,2005.96,-4.861,9.0728
2006.04,-4.001,9.175,2006.04,-4.9191,9.0438
2006.13,-4.0363,9.1859,2006.13,-4.915,9.0437
2006.21,-4.1851,9.0896,2006.21,-4.8341,8.9141
2006.29,-4.2864,9.0445,2006.29,-5.0125,8.8311
2006.38,-4.7199,9.0283,2006.38,-5.1151,8.787
2006.46,-5.2689,9.0079,2006.46,-5.1729,8.7621
2006.54,-5.0546,9.0381,2006.54,-5.3611,8.8171
2006.63,-4.699,9.0775,2006.63,-5.3698,8.7871
2006.71,-4.6328,9.0267,2006.71,-5.3258,8.7359000000000009
2006.79,-4.5894,9.048,2006.79,-5.2605,8.8087
2006.88,-4.5499,9.0814,2006.88,-5.1939,8.8385
2006.96,-4.5104,9.1148,2006.96,-4.997,8.9162
2007.04,-4.4709,9.1481,2007.04,-4.8592,9.0478
2007.13,-4.4059,9.2097,2007.13,-4.8344,9.0743
2007.21,-4.349,9.1235,2007.21,-4.5784,8.91
2007.29,-4.2555,9.0107,2007.29,-4.5978,8.8065
2007.38,-4.5706,8.9782,2007.38,-4.6879,8.7668
2007.46,-4.9682,8.9619,2007.46,-4.8259,8.7593
2007.54,-5.0251,8.969,2007.54,-5.5783,8.7629
2007.63,-5.0613,8.9831,2007.63,-5.5782,8.7667
2007.71,-5.3391,8.9922,2007.71,-5.4794,8.7825
2007.79,-4.1753,9.0546,2007.79,-5.2956,8.816
2007.88,-4.1579,9.1239,2007.88,-4.9302,8.9231
2007.96,-4.0407,9.1537,2007.96,-4.8938,8.9874
2008.04,-3.9235,9.1834,2008.04,-4.9864,9.0598
2008.13,-3.9559,9.1695,2008.13,-4.984,9.1137
2008.21,-4.0935,9.1247,2008.21,-5.0004,9.0019
2008.29,-4.5505,9.0435,2008.29,-4.9148,8.8648
2008.38,-4.7025,8.9928,2008.38,-5.0542,8.7862
2008.46,-4.7644,8.9683,2008.46,-5.2672,8.7833
2008.54,-4.7462,8.9672,2008.54,-5.5737,8.8205
2008.63,-4.726,8.9652,2008.63,-5.7098,8.8484
2008.71,-4.6862,8.9551,2008.71,-5.5326,8.8242
2008.79,-5.2669,8.8845,2008.79,-5.4625,8.7842
2008.88,-5.086,8.9704,2008.88,-5.3582,8.8878
2008.96,-4.6184,9.076,2008.96,-5.1839,8.9441
2009.04,-4.025,9.2789,2009.04,-4.7266,8.9806
2009.13,-3.845,9.2346,2009.13,-4.7247,8.9561
2009.21,-5.0764,9.1186,2009.21,-5.0661,8.9266
2009.29,-5.0087,9.0728,2009.29,-5.077,8.8526
2009.38,-4.7033,9.0624,2009.38,-5.3725,8.7854
2009.46,-4.398,9.0519,2009.46,-5.3128,8.7263
2009.54,-4.2985,9.0507,2009.54,-5.5656,8.732
2009.63,-4.5897,9.0672,2009.63,-5.6654,8.7359000000000009
2009.71,-4.8809,9.0836,2009.71,-5.7182,8.6922
2009.79,-5.1722,9.1,2009.79,-5.1072,8.8343
2009.88,-3.5883,9.1026,2009.88,-5.006,8.8732
2009.96,-3.9662,9.1449,2009.96,-4.8746,8.9533
2010.04,-4.3441,9.1872,2010.04,-4.9282,9.0208
2010.13,-3.9847,9.1476,2010.13,-4.7935,8.9993
2010.21,-4.4247,9.1385,2010.21,-4.8767,8.9201
2010.29,-4.5578,9.0276,2010.29,-4.8153,8.8607
2010.38,-4.0094,8.9538,2010.38,-4.9368,8.7094
2010.46,-4.519,8.9333,2010.46,-5.0782,8.6494
2010.54,-5.0854,8.9157,2010.54,-5.2134,8.6446
2010.63,-5.2847,8.9305,2010.63,-5.1161,8.7454
2010.71,-5.3501,8.9571,2010.71,-5.1229,8.7837
2010.79,-5.4156,8.9837,2010.79,-5.1399,8.725
2010.88,-5.481,9.0103,2010.88,-5.3202,8.8623
2010.96,-4.8566,9.1015,2010.96,-5.1245,8.9143
2011.04,-4.4856,9.1985,2011.04,-4.9925,8.9518
2011.13,-4.4749,9.2121,2011.13,-4.8928,8.9702
2011.21,-4.5782,9.1993,2011.21,-4.9026,8.9666
2011.29,-4.6657,9.1392,2011.29,-4.9136,8.9283
2011.38,-4.9599,9.0517,2011.38,-5.3589,8.7843
2011.46,-4.9782,9.0209,2011.46,-5.4418,8.7435
2011.54,-4.9965,8.9901,2011.54,-5.3586,8.7418
2011.63,-5.0147,8.9594,2011.63,-5.3341,8.7428
2011.71,-4.932,8.9682,2011.71,-5.4405,8.7967
2011.79,-4.8411,8.9802,2011.79,-5.3558,8.7947
2011.88,-4.9279,9.0622,2011.88,-5.2825,8.9103
2011.96,-4.5172,9.1523,2011.96,-5.0606,8.9296
2012.04,-4.4204,9.1406,2012.04,-4.9801,8.921
2012.13,-4.4348,9.1014,2012.13,-5.0507,8.9021
2012.21,-4.447,9.0384,2012.21,-5.1213,8.8832
2012.29,-5.3828,8.9616,2012.29,-4.9728,8.8398
2012.38,-5.0203,9.0572,2012.38,-5.1519,8.7847
