year (AD) [1-1],depth (mm) [1-1],d18O (permil) [1-1],year (AD) [1-2],depth (mm) [1-2],d18O (permil) [1-2],year (AD) [1-3],depth (mm) [1-3],d18O (permil) [1-3]
NA,NA,NA,49.85,204,-8.72,-11520,73.8,-8.14
NA,NA,NA,50.37,205,-8.59,-11520,74,-8.26
NA,NA,NA,50.88,206,-8.39,-11520,74.2,-8.23
NA,NA,NA,51.4,207,-8.3,-11530,74.4,-8.21
NA,NA,NA,51.91,208,-7.34,-11530,74.6,-8.1
NA,NA,NA,52.42,209,-8.51,-11540,74.8,-8.14
NA,NA,NA,52.94,210,-8.11,-11540,75,-8.14
NA,NA,NA,53.45,211,-8.72,-11540,75.2,-8.17
NA,NA,NA,53.96,212,-8.94,-11550,75.4,-8.02
NA,NA,NA,54.48,213,-8.81,-11550,75.6,-7.94
NA,NA,NA,54.99,214,-8.86,-11560,75.8,-8.1
NA,NA,NA,55.5,215,-8.85,-11560,76,-8.16
NA,NA,NA,56.02,216,-8.4,-11560,76.2,-8.13
NA,NA,NA,56.53,217,-8.42,-11570,76.4,-8.08
NA,NA,NA,57.05,218,-8.55,-11570,76.6,-8.03
NA,NA,NA,57.56,219,-8.05,-11580,76.8,-8.23
NA,NA,NA,58.07,220,-8.69,-11580,77,-8.05
NA,NA,NA,58.59,221,-8.82,-11580,77.2,-8.03
NA,NA,NA,59.1,222,-8.9,-11590,77.4,-8.37
NA,NA,NA,59.37,222.5,-8.8,-11590,77.6,-8.22
NA,NA,NA,59.64,223,-8.09,-11600,77.8,-8.1
NA,NA,NA,59.91,223.5,-7.54,-11600,78,-8.19
NA,NA,NA,60.19,224,-7.68,-11600,78.2,-8.28
NA,NA,NA,60.46,224.5,-7.62,-11610,78.4,-8.24
NA,NA,NA,60.73,225,-7.8,-11610,78.6,-8.22
NA,NA,NA,61,225.5,-7.59,-11620,78.8,-8
NA,NA,NA,61.27,226,-7.04,-11620,79,-7.87
NA,NA,NA,61.54,226.5,-7.27,-11620,79.2,-8.09
NA,NA,NA,61.81,227,-7.13,-11630,79.4,-8.31
NA,NA,NA,62.09,227.5,-7.02,-11630,79.6,-8.18
NA,NA,NA,62.36,228,-6.94,-11640,79.8,-8.14
NA,NA,NA,62.63,228.5,-7.3,-11640,80,-8.11
NA,NA,NA,62.9,229,-7.19,-11640,80.2,-8.12
NA,NA,NA,63.17,229.5,-6.92,-11650,80.4,-8.2
NA,NA,NA,63.44,230,-6.35,-11650,80.6,-8.15
NA,NA,NA,63.71,230.5,-6.6,-11660,80.8,-8.12
NA,NA,NA,63.99,231,-6.48,-11660,81,-8.06
NA,NA,NA,64.26,231.5,-6.76,-11660,81.2,-7.87
NA,NA,NA,64.53,232,-6.81,-11670,81.4,-8.02
NA,NA,NA,64.8,232.5,-6.93,-11670,81.6,-8.05
NA,NA,NA,65.07,233,-7.22,-11680,81.8,-8.07
NA,NA,NA,65.34,233.5,-6.72,-11680,82,-8.32
NA,NA,NA,65.61,234,-6.35,-11680,82.2,-8.14
NA,NA,NA,65.89,234.5,-5.86,-11690,82.4,-8.26
NA,NA,NA,112.9,235,-5.6,-11690,82.6,-8.24
NA,NA,NA,113.1,235.5,-5.65,-11700,82.8,-8.22
NA,NA,NA,113.2,236,-5.21,-11700,83,-8.22
NA,NA,NA,113.3,236.5,-5.63,-11700,83.2,-8.27
NA,NA,NA,113.5,237,-5.67,-11710,83.4,-8.17
NA,NA,NA,113.6,237.5,-5.48,-11710,83.6,-8.22
NA,NA,NA,113.8,238,-5.36,-11720,83.8,-8.2
NA,NA,NA,113.9,238.5,-5.44,-11720,84,-8.29
NA,NA,NA,114,239,-5.85,-11720,84.2,-8.18
NA,NA,NA,114.2,239.5,-4.83,-11730,84.4,-8.19
NA,NA,NA,114.3,240,-4.53,-11730,84.6,-8.39
NA,NA,NA,115.6,240.5,-5.41,-11740,84.8,-8.36
NA,NA,NA,116.9,241,-4.87,-11740,85,-8.38
NA,NA,NA,118.2,241.5,-5.22,-11740,85.2,-8.05
NA,NA,NA,119.6,242,-6.46,-11750,85.4,-8.16
NA,NA,NA,120.9,242.5,-8.09,-11750,85.6,-8.28
NA,NA,NA,122.2,243,-8.12,-11760,85.8,-8.25
NA,NA,NA,123.5,243.5,-8.22,-11760,86,-8.2
NA,NA,NA,124.8,244,-8.05,-11760,86.2,-8.26
NA,NA,NA,124.9,244.5,-8.08,-11770,86.4,-8.3
NA,NA,NA,125,245,-8.15,-11770,86.6,-8.17
NA,NA,NA,125.1,245.5,-7.94,-11780,86.8,-8.21
NA,NA,NA,125.2,246,-8.11,-11780,87,-8.2
NA,NA,NA,125.3,246.5,-8.32,-11780,87.2,-8.36
NA,NA,NA,125.4,247,-8.22,-11790,87.4,-8.22
NA,NA,NA,125.5,247.5,-8.53,-11790,87.6,-8.32
NA,NA,NA,125.6,248,-8.31,-11800,87.8,-8.2
NA,NA,NA,125.7,248.5,-8.59,-11800,88,-8.21
NA,NA,NA,125.9,249,-8.64,-11800,88.21,-8.18
NA,NA,NA,126,249.5,-8.76,-11810,88.42,-8.18
NA,NA,NA,126.1,250,-8.53,-11810,88.62,-8.08
NA,NA,NA,126.2,250.5,-8.5,-11820,88.83,-8.26
NA,NA,NA,126.3,251,-8.05,-11820,89.04,-8.17
NA,NA,NA,126.4,251.5,-8.01,-11820,89.25,-8.02
NA,NA,NA,126.5,252,-8.5,-11830,89.46,-8.13
NA,NA,NA,126.6,252.5,-8.43,-11830,89.66,-8.14
NA,NA,NA,126.7,253,-8.07,-11840,89.87,-7.95
NA,NA,NA,126.8,253.5,-8.08,-11840,90.08,-8.12
NA,NA,NA,126.9,254,-8.92,-11850,90.29,-8.21
NA,NA,NA,127.1,254.5,-8.67,-11850,90.5,-8.16
NA,NA,NA,127.2,255,-8.78,-11860,90.7,-8.17
NA,NA,NA,127.4,255.5,-8.83,-11870,90.91,-8.04
NA,NA,NA,127.5,256,-8.83,-11870,91.12,-8.08
NA,NA,NA,127.7,256.5,-8.8,-11880,91.33,-8.13
NA,NA,NA,127.8,257,-8.72,-11880,91.54,-8.07
NA,NA,NA,128,257.5,-8.29,-11890,91.74,-8.06
NA,NA,NA,128.1,258,-8.22,-11900,91.95,-8.06
NA,NA,NA,128.3,258.5,-8.41,-11900,92.16,-8.02
NA,NA,NA,128.4,259,-8.06,-11910,92.37,-8.04
NA,NA,NA,128.6,259.5,-8.1,-11920,92.58,-8.02
NA,NA,NA,128.9,260,-7.66,-11920,92.78,-7.85
NA,NA,NA,129.1,260.5,-7.44,-11930,92.99,-8.04
NA,NA,NA,129.3,261,-6.2,-11930,93.2,-8.11
NA,NA,NA,129.5,261.5,-5.88,-11940,93.41,-8.07
NA,NA,NA,129.7,262,-5.21,-11950,93.62,-8.02
NA,NA,NA,129.8,262.5,-5.55,-11950,93.82,-8
NA,NA,NA,130,263,-5.65,-11960,94.03,-7.91
NA,NA,NA,130.2,263.5,-5.45,-11970,94.24,-7.95
NA,NA,NA,130.4,264,-5.67,-11970,94.45,-7.87
NA,NA,NA,131.1,266,-5.12,-11980,94.66,-7.79
NA,NA,NA,131.8,268,-4.67,-11980,94.86,-7.88
NA,NA,NA,133,270,-5.11,-11990,95.07,-7.93
NA,NA,NA,134.2,272,-4.7,-12000,95.28,-7.89
NA,NA,NA,135.3,274,-5.26,-12000,95.49,-7.81
NA,NA,NA,136.5,276,-6.31,-12010,95.7,-7.83
NA,NA,NA,136.8,278,-6.19,-12020,95.9,-7.86
NA,NA,NA,137,280,-6.04,-12020,96.11,-7.76
NA,NA,NA,137.3,282,-5.66,-12030,96.32,-7.55
NA,NA,NA,137.5,284,-6.68,-12030,96.53,-7.77
NA,NA,NA,137.8,286,-6.17,-12040,96.74,-7.75
NA,NA,NA,138,288,-6.08,-12050,96.94,-7.65
NA,NA,NA,138.3,290,-5.94,-12050,97.15,-7.62
NA,NA,NA,141.2,291,-5.58,-12060,97.36,-7.46
NA,NA,NA,144,292,-6.09,-12070,97.57,-7.52
NA,NA,NA,146.9,293,-7.18,-12070,97.78,-7.45
NA,NA,NA,147,294,-7,-12080,97.98,-7.56
NA,NA,NA,147.2,295,-6.17,-12080,98.19,-7.37
NA,NA,NA,147.3,296,-6.62,-12090,98.4,-7.45
NA,NA,NA,147.4,297,-6.82,-12100,98.61,-7.4
NA,NA,NA,147.6,298,-6.63,-12100,98.82,-7.39
NA,NA,NA,147.7,299,-6.93,-12110,99.02,-7.37
NA,NA,NA,147.8,300,-6.18,-12120,99.23,-7.17
NA,NA,NA,148,301,-5.37,-12120,99.44,-7.33
NA,NA,NA,148.1,302,-5.6,-12130,99.65,-7.27
NA,NA,NA,148.2,303,-6.03,-12130,99.86,-7.3
NA,NA,NA,148.4,304,-6.77,-12140,100.06,-7.38
NA,NA,NA,NA,NA,NA,-12150,100.27,-7.46
NA,NA,NA,NA,NA,NA,-12150,100.48,-7.4
NA,NA,NA,NA,NA,NA,-12160,100.69,-7.51
NA,NA,NA,NA,NA,NA,-12170,100.9,-7.52
NA,NA,NA,NA,NA,NA,-12170,101.1,-7.62
NA,NA,NA,NA,NA,NA,-12180,101.31,-7.57
NA,NA,NA,NA,NA,NA,-12180,101.52,-7.44
NA,NA,NA,NA,NA,NA,-12190,101.73,-7.59
NA,NA,NA,NA,NA,NA,-12200,101.94,-7.5
NA,NA,NA,NA,NA,NA,-12200,102.14,-7.77
NA,NA,NA,NA,NA,NA,-12210,102.35,-7.75
NA,NA,NA,NA,NA,NA,-12220,102.56,-7.76
NA,NA,NA,NA,NA,NA,-12220,102.77,-7.61
NA,NA,NA,NA,NA,NA,-12230,102.98,-7.87
NA,NA,NA,NA,NA,NA,-12230,103.18,-7.77
NA,NA,NA,NA,NA,NA,-12240,103.39,-7.73
NA,NA,NA,NA,NA,NA,-12250,103.6,-7.92
NA,NA,NA,NA,NA,NA,-12250,103.81,-7.77
NA,NA,NA,NA,NA,NA,-12260,104.02,-8.04
NA,NA,NA,NA,NA,NA,-12270,104.22,-7.96
NA,NA,NA,NA,NA,NA,-12270,104.43,-7.96
NA,NA,NA,NA,NA,NA,-12280,104.64,-7.92
NA,NA,NA,NA,NA,NA,-12280,104.85,-7.98
NA,NA,NA,NA,NA,NA,-12290,105.06,-7.91
NA,NA,NA,NA,NA,NA,-12300,105.26,-8.02
NA,NA,NA,NA,NA,NA,-12300,105.47,-7.9
NA,NA,NA,NA,NA,NA,-12310,105.68,-7.88
NA,NA,NA,NA,NA,NA,-12320,105.89,-7.95
NA,NA,NA,NA,NA,NA,-12320,106.1,-8
NA,NA,NA,NA,NA,NA,-12330,106.3,-7.99
NA,NA,NA,NA,NA,NA,-12330,106.51,-8
NA,NA,NA,NA,NA,NA,-12340,106.72,-7.87
NA,NA,NA,NA,NA,NA,-12350,106.93,-7.92
NA,NA,NA,NA,NA,NA,-12350,107.14,-7.95
NA,NA,NA,NA,NA,NA,-12360,107.34,-8.03
NA,NA,NA,NA,NA,NA,-12370,107.55,-8.08
NA,NA,NA,NA,NA,NA,-12370,107.76,-8.21
NA,NA,NA,NA,NA,NA,-12380,107.97,-8.27
NA,NA,NA,NA,NA,NA,-12380,108.18,-7.98
NA,NA,NA,NA,NA,NA,-12390,108.38,-8.09
NA,NA,NA,NA,NA,NA,-12400,108.59,-7.95
NA,NA,NA,NA,NA,NA,-12400,108.8,-8.06
NA,NA,NA,NA,NA,NA,-12410,109.01,-8
NA,NA,NA,NA,NA,NA,-12420,109.22,-7.97
NA,NA,NA,NA,NA,NA,-12420,109.42,-7.84
NA,NA,NA,NA,NA,NA,-12430,109.63,-8.02
NA,NA,NA,NA,NA,NA,-12430,109.84,-8.03
NA,NA,NA,NA,NA,NA,-12440,110.05,-7.89
NA,NA,NA,NA,NA,NA,-12450,110.26,-7.92
NA,NA,NA,NA,NA,NA,-12450,110.46,-7.95
NA,NA,NA,NA,NA,NA,-12460,110.67,-7.98
NA,NA,NA,NA,NA,NA,-12460,110.88,-7.8
NA,NA,NA,NA,NA,NA,-12470,111.09,-7.8
NA,NA,NA,NA,NA,NA,-12470,111.3,-7.78
NA,NA,NA,NA,NA,NA,-12480,111.5,-7.94
NA,NA,NA,NA,NA,NA,-12480,111.71,-7.75
NA,NA,NA,NA,NA,NA,-12490,111.92,-7.67
NA,NA,NA,NA,NA,NA,-12490,112.13,-7.75
NA,NA,NA,NA,NA,NA,-12500,112.34,-7.77
NA,NA,NA,NA,NA,NA,-12500,112.54,-7.72
NA,NA,NA,NA,NA,NA,-12510,112.75,-7.68
NA,NA,NA,NA,NA,NA,-12510,112.96,-7.6
NA,NA,NA,NA,NA,NA,-12520,113.17,-7.45
NA,NA,NA,NA,NA,NA,-12530,113.38,-7.38
NA,NA,NA,NA,NA,NA,-12530,113.58,-7.44
NA,NA,NA,NA,NA,NA,-12540,113.79,-7.44
NA,NA,NA,NA,NA,NA,-12540,114,-7.27
NA,NA,NA,NA,NA,NA,-12550,114.21,-7.29
NA,NA,NA,NA,NA,NA,-12550,114.42,-7.18
NA,NA,NA,NA,NA,NA,-12560,114.62,-7.08
NA,NA,NA,NA,NA,NA,-12560,114.83,-7.24
NA,NA,NA,NA,NA,NA,-12570,115.04,-7.23
NA,NA,NA,NA,NA,NA,-12570,115.25,-7.29
NA,NA,NA,NA,NA,NA,-12580,115.46,-7.29
NA,NA,NA,NA,NA,NA,-12580,115.66,-7.17
NA,NA,NA,NA,NA,NA,-12590,115.87,-7.16
NA,NA,NA,NA,NA,NA,-12590,116.08,-7.14
NA,NA,NA,NA,NA,NA,-12600,116.29,-7.06
NA,NA,NA,NA,NA,NA,-12600,116.5,-7.08
NA,NA,NA,NA,NA,NA,-12610,116.7,-7.02
NA,NA,NA,NA,NA,NA,-12620,116.91,-7.03
NA,NA,NA,NA,NA,NA,-12620,117.12,-7.02
NA,NA,NA,NA,NA,NA,-12630,117.33,-7.02
NA,NA,NA,NA,NA,NA,-12630,117.54,-7.1
NA,NA,NA,NA,NA,NA,-12640,117.74,-6.93
NA,NA,NA,NA,NA,NA,-12640,117.95,-6.88
NA,NA,NA,NA,NA,NA,-12650,118.16,-6.95
NA,NA,NA,NA,NA,NA,-12650,118.37,-6.91
NA,NA,NA,NA,NA,NA,-12660,118.58,-6.67
NA,NA,NA,NA,NA,NA,-12660,118.78,-6.75
NA,NA,NA,NA,NA,NA,-12670,118.99,-6.77
NA,NA,NA,NA,NA,NA,-12670,119.2,-6.74
NA,NA,NA,NA,NA,NA,-12680,119.41,-6.84
NA,NA,NA,NA,NA,NA,-12680,119.62,-6.69
NA,NA,NA,NA,NA,NA,-12690,119.82,-6.71
NA,NA,NA,NA,NA,NA,-12700,120.03,-6.49
NA,NA,NA,NA,NA,NA,-12700,120.24,-6.51
NA,NA,NA,NA,NA,NA,-12710,120.45,-6.49
NA,NA,NA,NA,NA,NA,-12710,120.66,-6.57
NA,NA,NA,NA,NA,NA,-12720,120.86,-6.67
NA,NA,NA,NA,NA,NA,-12720,121.07,-6.5
NA,NA,NA,NA,NA,NA,-12730,121.28,NA
NA,NA,NA,NA,NA,NA,-12730,121.49,-6.36
NA,NA,NA,NA,NA,NA,-12740,121.7,-6.38
NA,NA,NA,NA,NA,NA,-12740,121.9,-6.42
NA,NA,NA,NA,NA,NA,-12750,122.11,-6.56
NA,NA,NA,NA,NA,NA,-12750,122.32,-6.35
NA,NA,NA,NA,NA,NA,-12760,122.53,-6.32
NA,NA,NA,NA,NA,NA,-12760,122.74,-6.33
NA,NA,NA,NA,NA,NA,-12770,122.94,-6.39
NA,NA,NA,NA,NA,NA,-12770,123.15,-6.21
NA,NA,NA,NA,NA,NA,-12780,123.36,-6.22
NA,NA,NA,NA,NA,NA,-12790,123.57,-6.12
NA,NA,NA,NA,NA,NA,-12790,123.78,-6.18
NA,NA,NA,NA,NA,NA,-12800,123.98,-6.15
NA,NA,NA,NA,NA,NA,-12800,124.19,-6.23
NA,NA,NA,NA,NA,NA,-12810,124.4,-6.15
NA,NA,NA,NA,NA,NA,-12810,124.61,-6.17
NA,NA,NA,NA,NA,NA,-12820,124.82,-6.14
NA,NA,NA,NA,NA,NA,-12820,125.02,-6.24
NA,NA,NA,NA,NA,NA,-12830,125.23,-5.89
NA,NA,NA,NA,NA,NA,-12830,125.44,-6.09
NA,NA,NA,NA,NA,NA,-12840,125.65,-5.87
NA,NA,NA,NA,NA,NA,-12840,125.86,-5.95
NA,NA,NA,NA,NA,NA,-12850,126.06,-5.93
NA,NA,NA,NA,NA,NA,-12850,126.27,-5.95
NA,NA,NA,NA,NA,NA,-12860,126.48,-5.98
NA,NA,NA,NA,NA,NA,-12870,126.69,-5.91
NA,NA,NA,NA,NA,NA,-12870,126.9,-6
NA,NA,NA,NA,NA,NA,-12880,127.1,-6.12
NA,NA,NA,NA,NA,NA,-12880,127.31,-6
NA,NA,NA,NA,NA,NA,-12890,127.52,-5.92
NA,NA,NA,NA,NA,NA,-12890,127.73,-5.95
NA,NA,NA,NA,NA,NA,-12900,127.94,-5.92
NA,NA,NA,NA,NA,NA,-12900,128.14,-5.96
NA,NA,NA,NA,NA,NA,-12910,128.35,-6.01
NA,NA,NA,NA,NA,NA,-12910,128.56,-5.94
NA,NA,NA,NA,NA,NA,-12920,128.77,-6.01
NA,NA,NA,NA,NA,NA,-12920,128.98,-5.9
NA,NA,NA,NA,NA,NA,-12930,129.18,-6.07
NA,NA,NA,NA,NA,NA,-12930,129.39,-6.09
NA,NA,NA,NA,NA,NA,-12940,129.6,-5.91
NA,NA,NA,NA,NA,NA,-12940,129.81,-5.81
NA,NA,NA,NA,NA,NA,-12950,130.02,-5.66
NA,NA,NA,NA,NA,NA,-12960,130.22,-5.78
NA,NA,NA,NA,NA,NA,-12970,130.43,-5.67
NA,NA,NA,NA,NA,NA,-12980,130.64,-5.55
NA,NA,NA,NA,NA,NA,-12990,130.85,-5.56
NA,NA,NA,NA,NA,NA,-13000,131.06,-5.52
NA,NA,NA,NA,NA,NA,-13000,131.26,-5.56
NA,NA,NA,NA,NA,NA,-13010,131.47,-5.83
NA,NA,NA,NA,NA,NA,-13020,131.68,-5.69
NA,NA,NA,NA,NA,NA,-13030,131.89,-5.72
NA,NA,NA,NA,NA,NA,-13040,132.1,-5.87
NA,NA,NA,NA,NA,NA,-13050,132.3,-5.87
NA,NA,NA,NA,NA,NA,-13060,132.51,-5.73
NA,NA,NA,NA,NA,NA,-13070,132.72,-5.98
NA,NA,NA,NA,NA,NA,-13080,132.93,-5.98
NA,NA,NA,NA,NA,NA,-13090,133.14,-5.97
NA,NA,NA,NA,NA,NA,-13100,133.34,-5.74
NA,NA,NA,NA,NA,NA,-13100,133.55,-5.84
NA,NA,NA,NA,NA,NA,-13110,133.76,-5.67
NA,NA,NA,NA,NA,NA,-13120,133.97,-5.89
NA,NA,NA,NA,NA,NA,-13130,134.18,-5.8
NA,NA,NA,NA,NA,NA,-13140,134.38,-5.75
NA,NA,NA,NA,NA,NA,-13150,134.59,-5.78
NA,NA,NA,NA,NA,NA,-13160,134.8,-5.87
NA,NA,NA,NA,NA,NA,-13170,135.01,-5.97
NA,NA,NA,NA,NA,NA,-13180,135.22,-5.81
NA,NA,NA,NA,NA,NA,-13190,135.42,-5.91
NA,NA,NA,NA,NA,NA,-13190,135.63,-5.81
NA,NA,NA,NA,NA,NA,-13200,135.84,NA
NA,NA,NA,NA,NA,NA,-13210,136.05,-5.99
NA,NA,NA,NA,NA,NA,-13220,136.26,-6.03
NA,NA,NA,NA,NA,NA,-13230,136.46,-6.02
NA,NA,NA,NA,NA,NA,-13240,136.67,-6.18
NA,NA,NA,NA,NA,NA,-13250,136.88,-6.1
NA,NA,NA,NA,NA,NA,-13260,137.09,-5.99
NA,NA,NA,NA,NA,NA,-13270,137.3,-5.97
NA,NA,NA,NA,NA,NA,-13280,137.5,-5.85
NA,NA,NA,NA,NA,NA,-13290,137.71,-5.8
NA,NA,NA,NA,NA,NA,-13290,137.92,-5.77
NA,NA,NA,NA,NA,NA,-13300,138.13,-5.48
NA,NA,NA,NA,NA,NA,-13310,138.34,-5.48
NA,NA,NA,NA,NA,NA,-13320,138.54,-5.62
NA,NA,NA,NA,NA,NA,-13330,138.75,-5.69
NA,NA,NA,NA,NA,NA,-13340,138.96,-5.77
NA,NA,NA,NA,NA,NA,-13350,139.17,-5.76
NA,NA,NA,NA,NA,NA,-13360,139.38,-5.73
NA,NA,NA,NA,NA,NA,-13370,139.58,-5.81
NA,NA,NA,NA,NA,NA,-13380,139.79,-5.84
NA,NA,NA,NA,NA,NA,-13390,140,-5.89
NA,NA,NA,NA,NA,NA,-13390,140.2,-5.87
NA,NA,NA,NA,NA,NA,-13400,140.4,-6.07
NA,NA,NA,NA,NA,NA,-13410,140.6,-6.01
NA,NA,NA,NA,NA,NA,-13420,140.8,-6.14
NA,NA,NA,NA,NA,NA,-13430,141,-5.87
NA,NA,NA,NA,NA,NA,-13440,141.2,-5.91
NA,NA,NA,NA,NA,NA,-13450,141.4,-6.04
NA,NA,NA,NA,NA,NA,-13460,141.6,-6.33
NA,NA,NA,NA,NA,NA,-13470,141.8,-6.28
NA,NA,NA,NA,NA,NA,-13480,142,-6.35
NA,NA,NA,NA,NA,NA,-13490,142.3,-6.28
NA,NA,NA,NA,NA,NA,-13490,142.6,-6.12
NA,NA,NA,NA,NA,NA,-13500,142.9,-6.48
NA,NA,NA,NA,NA,NA,-13510,143.2,-6.19
NA,NA,NA,NA,NA,NA,-13520,143.5,-6.15
NA,NA,NA,NA,NA,NA,-13530,143.8,-5.84
NA,NA,NA,NA,NA,NA,-13540,144.1,-5.62
NA,NA,NA,NA,NA,NA,-13550,144.4,-5.81
NA,NA,NA,NA,NA,NA,-13560,144.7,-5.64
NA,NA,NA,NA,NA,NA,-13570,145,-5.53
NA,NA,NA,NA,NA,NA,-13580,145.3,-5.71
NA,NA,NA,NA,NA,NA,-13580,145.6,-5.66
NA,NA,NA,NA,NA,NA,-13590,145.9,-5.88
NA,NA,NA,NA,NA,NA,-13600,146.2,-5.43
NA,NA,NA,NA,NA,NA,-13610,146.5,-5.53
NA,NA,NA,NA,NA,NA,-13620,146.7,-5.55
NA,NA,NA,NA,NA,NA,-13630,146.9,-5.56
NA,NA,NA,NA,NA,NA,-13640,147.1,-5.5
NA,NA,NA,NA,NA,NA,-13650,147.3,-5.17
NA,NA,NA,NA,NA,NA,-13660,147.5,-5.13
NA,NA,NA,NA,NA,NA,-13670,147.7,-5.15
NA,NA,NA,NA,NA,NA,-13680,147.9,-5.39
NA,NA,NA,NA,NA,NA,-13680,148.1,-5.36
NA,NA,NA,NA,NA,NA,-13690,148.3,-5.37
NA,NA,NA,NA,NA,NA,-13700,148.5,-5.47
NA,NA,NA,NA,NA,NA,-13710,148.7,-5.85
NA,NA,NA,NA,NA,NA,-13720,148.9,-5.92
NA,NA,NA,NA,NA,NA,-13730,149.1,-5.94
NA,NA,NA,NA,NA,NA,-13740,149.3,-5.67
NA,NA,NA,NA,NA,NA,-13750,149.5,-5.54
NA,NA,NA,NA,NA,NA,-13760,149.7,-5.46
NA,NA,NA,NA,NA,NA,-13770,149.9,-5.73
NA,NA,NA,NA,NA,NA,-13780,150.1,-5.83
NA,NA,NA,NA,NA,NA,-13780,150.3,-5.98
NA,NA,NA,NA,NA,NA,-13790,150.5,-5.98
NA,NA,NA,NA,NA,NA,-13800,150.7,-5.91
NA,NA,NA,NA,NA,NA,-13810,150.9,-5.26
NA,NA,NA,NA,NA,NA,-13820,151.1,-5.61
NA,NA,NA,NA,NA,NA,-13830,151.3,-5.14
NA,NA,NA,NA,NA,NA,-13840,151.5,-5.54
NA,NA,NA,NA,NA,NA,-13850,152.13,-5.85
NA,NA,NA,NA,NA,NA,-13860,152.38,-5.69
NA,NA,NA,NA,NA,NA,-13870,152.63,-5.83
NA,NA,NA,NA,NA,NA,-13880,152.88,-5.59
NA,NA,NA,NA,NA,NA,-13880,153.13,-5.4
NA,NA,NA,NA,NA,NA,-13890,153.38,-5.43
NA,NA,NA,NA,NA,NA,-13900,153.63,-5.21
NA,NA,NA,NA,NA,NA,-13910,153.88,-5.18
NA,NA,NA,NA,NA,NA,-13920,154.08,-5.12
NA,NA,NA,NA,NA,NA,-13930,154.25,-5.16
NA,NA,NA,NA,NA,NA,-13940,154.42,-5.1
NA,NA,NA,NA,NA,NA,-13950,154.58,-5.11
NA,NA,NA,NA,NA,NA,-13960,154.75,-5.03
NA,NA,NA,NA,NA,NA,-13970,154.92,-4.96
NA,NA,NA,NA,NA,NA,-13970,155.13,-4.76
NA,NA,NA,NA,NA,NA,-13980,155.38,-4.74
NA,NA,NA,NA,NA,NA,-13990,155.63,-4.74
NA,NA,NA,NA,NA,NA,-14000,155.88,-4.77
NA,NA,NA,NA,NA,NA,-14010,156.1,-4.78
NA,NA,NA,NA,NA,NA,-14020,156.3,-4.7
NA,NA,NA,NA,NA,NA,-14030,156.5,-4.84
NA,NA,NA,NA,NA,NA,-14040,156.7,-4.73
NA,NA,NA,NA,NA,NA,-14050,156.9,-4.86
NA,NA,NA,NA,NA,NA,-14060,157.1,-4.85
NA,NA,NA,NA,NA,NA,-14070,157.3,-4.96
NA,NA,NA,NA,NA,NA,-14070,157.5,-4.94
NA,NA,NA,NA,NA,NA,-14080,157.7,-5
NA,NA,NA,NA,NA,NA,-14090,157.9,-4.9
NA,NA,NA,NA,NA,NA,-14100,158.1,-4.91
NA,NA,NA,NA,NA,NA,-14110,158.3,-4.85
NA,NA,NA,NA,NA,NA,-14120,158.5,-4.82
NA,NA,NA,NA,NA,NA,-14130,158.7,-4.76
NA,NA,NA,NA,NA,NA,-14140,158.9,-5.01
NA,NA,NA,NA,NA,NA,-14140,159.07,-5.38
NA,NA,NA,NA,NA,NA,-14150,159.27,-5.37
NA,NA,NA,NA,NA,NA,-14160,159.47,-6
NA,NA,NA,NA,NA,NA,-14170,159.67,-5.84
NA,NA,NA,NA,NA,NA,-14170,159.87,-5.65
NA,NA,NA,NA,NA,NA,-14180,160.2,-5.59
NA,NA,NA,NA,NA,NA,-14190,160.4,-5.77
NA,NA,NA,NA,NA,NA,-14200,160.6,-5.71
NA,NA,NA,NA,NA,NA,-14210,160.8,-5.94
NA,NA,NA,NA,NA,NA,-14210,161,-5.92
NA,NA,NA,NA,NA,NA,-14220,161.4,-5.97
NA,NA,NA,NA,NA,NA,-14230,161.8,-6.09
NA,NA,NA,NA,NA,NA,-14240,162.14,-5.99
NA,NA,NA,NA,NA,NA,-14240,162.43,-6.08
NA,NA,NA,NA,NA,NA,-14250,162.72,-6.04
NA,NA,NA,NA,NA,NA,-14260,163,-6.57
NA,NA,NA,NA,NA,NA,-14270,163.1,-6.41
NA,NA,NA,NA,NA,NA,-14280,163.3,-6.15
NA,NA,NA,NA,NA,NA,-14280,163.5,-6.3
NA,NA,NA,NA,NA,NA,-14290,163.7,-6.26
NA,NA,NA,NA,NA,NA,-14300,163.9,-6.36
NA,NA,NA,NA,NA,NA,-14310,164.14,-6.23
NA,NA,NA,NA,NA,NA,-14310,164.43,-6.26
NA,NA,NA,NA,NA,NA,-14320,164.72,-6.25
NA,NA,NA,NA,NA,NA,-14330,165,-6.3
NA,NA,NA,NA,NA,NA,-14340,165.4,-6.22
NA,NA,NA,NA,NA,NA,-14350,165.6,-5.89
