year (AD),depth (cm),depth (cm),depth (cm),d18O (permil),d18O (permil),core ()
-4687,NA,NA,455.5,1.76,2.07,MD95-2011
-4703,NA,NA,456.5,1.53,1.96,MD95-2011
-4719,NA,NA,457.5,1.63,1.86,MD95-2011
-4735,NA,NA,458.5,1.22,2.07,MD95-2011
-4752,NA,NA,459.5,1.25,2.03,MD95-2011
-4768,NA,NA,460.5,1.56,2.26,MD95-2011
-4784,NA,NA,461.5,1.28,2.06,MD95-2011
-4801,NA,NA,462.5,1.69,2.06,MD95-2011
-4817,NA,NA,463.5,1.43,2.09,MD95-2011
-4833,NA,NA,464.5,1.4,2.24,MD95-2011
-4850,NA,NA,465.5,1.82,2.27,MD95-2011
-4866,NA,NA,466.5,1.4,1.99,MD95-2011
-4882,NA,NA,467.5,1.36,2.13,MD95-2011
-4899,NA,NA,468.5,1.36,2.12,MD95-2011
-4915,NA,NA,469.5,1.37,2.1,MD95-2011
-4931,NA,NA,470.5,1.67,2.19,MD95-2011
-4948,NA,NA,471.5,1.39,2.05,MD95-2011
-4964,NA,NA,472.5,1.26,2.01,MD95-2011
-4980,NA,NA,473.5,1.25,2.1,MD95-2011
-4997,NA,NA,474.5,1.52,2.15,MD95-2011
-5013,NA,NA,475.5,1.7,2.41,MD95-2011
-5029,NA,NA,476.5,1.41,2.11,MD95-2011
-5045,NA,NA,477.5,1.51,2.18,MD95-2011
-5062,NA,NA,478.5,1.48,2.08,MD95-2011
-5078,NA,NA,479.5,1.4,2.06,MD95-2011
-5094,NA,NA,480.5,1.93,2.23,MD95-2011
-5111,NA,NA,481.5,1.3,2.12,MD95-2011
-5127,NA,NA,482.5,1.34,2.05,MD95-2011
-5143,NA,NA,483.5,1.4,2.06,MD95-2011
-5160,NA,NA,484.5,1.26,2.06,MD95-2011
-5176,NA,NA,485.5,1.73,2.19,MD95-2011
-5192,NA,NA,486.5,1.09,2.04,MD95-2011
-5209,NA,NA,487.5,1.21,2.08,MD95-2011
-5225,NA,NA,488.5,1.25,2.16,MD95-2011
-5241,NA,NA,489.5,1.39,2.29,MD95-2011
-5258,NA,NA,490.5,1.53,2.03,MD95-2011
-5274,NA,NA,491.5,1.41,2.11,MD95-2011
-5290,NA,NA,492.5,1.3,2.05,MD95-2011
-5306,NA,NA,493.5,1.38,2.02,MD95-2011
-5323,NA,NA,494.5,1.33,2,MD95-2011
-5339,NA,NA,495.5,1.68,2.12,MD95-2011
-5355,NA,NA,496.5,1.44,2.09,MD95-2011
-5372,NA,NA,497.5,1.4,1.95,MD95-2011
-5388,NA,NA,498.5,0.98,2.03,MD95-2011
-5404,NA,NA,499.5,1.33,2.05,MD95-2011
-5421,NA,NA,500.5,1.79,2.45,MD95-2011
-5437,NA,NA,501.5,1.43,1.8,MD95-2011
-5453,NA,NA,502.5,1.39,2.24,MD95-2011
-5470,NA,NA,503.5,1.44,2.2,MD95-2011
-5486,NA,NA,504.5,1.29,2.03,MD95-2011
-5502,NA,NA,505.5,1.49,2.17,MD95-2011
-5519,NA,NA,506.5,1.39,1.95,MD95-2011
-5535,NA,NA,507.5,1.46,2.18,MD95-2011
-5551,NA,NA,508.5,1.33,1.88,MD95-2011
-5568,NA,NA,509.5,1.46,1.91,MD95-2011
-5584,NA,NA,510.5,1.64,1.9,MD95-2011
-5600,NA,NA,511.5,1.29,2.1,MD95-2011
-5616,NA,NA,512.5,1.34,2.05,MD95-2011
-5633,NA,NA,513.5,1.33,1.74,MD95-2011
-5649,NA,NA,514.5,1.26,1.83,MD95-2011
-5665,NA,NA,515.5,1.4,2.24,MD95-2011
-5682,NA,NA,516.5,1.25,1.92,MD95-2011
-5698,NA,NA,517.5,1.24,2.04,MD95-2011
-5714,NA,NA,518.5,1.42,2.01,MD95-2011
-5731,NA,NA,519.5,1.26,1.92,MD95-2011
-5838,NA,NA,524.5,1.43,2.03,MD95-2011
-5860,NA,NA,525.5,1.48,2.11,MD95-2011
-5883,NA,NA,526.5,1.38,2.13,MD95-2011
-5906,NA,NA,527.5,1.76,2.46,MD95-2011
-5928,NA,NA,528.5,1.35,2.17,MD95-2011
-5951,NA,NA,529.5,1.33,2.13,MD95-2011
-5974,NA,NA,530.5,1.87,2.24,MD95-2011
-5996,NA,NA,531.5,1.71,2.23,MD95-2011
-6019,NA,NA,532.5,1.81,2.27,MD95-2011
-6042,NA,NA,533.5,1.61,2.82,MD95-2011
-6064,NA,NA,534.5,1.48,2.95,MD95-2011
-6087,NA,NA,535.5,1.82,2.25,MD95-2011
-6110,NA,NA,536.5,1.84,2.16,MD95-2011
-6132,NA,NA,537.5,1.8,2.32,MD95-2011
-6155,NA,NA,538.5,1.95,2.05,MD95-2011
-6178,NA,NA,539.5,1.61,2.08,MD95-2011
-6200,NA,NA,540.5,1.68,2.09,MD95-2011
-6223,NA,NA,541.5,1.79,1.99,MD95-2011
-6246,NA,NA,542.5,1.74,2.08,MD95-2011
-6268,NA,NA,543.5,1.82,2.01,MD95-2011
-6291,NA,NA,544.5,1.77,2.02,MD95-2011
-6314,NA,NA,545.5,1.97,2.13,MD95-2011
-6336,NA,NA,546.5,1.72,2,MD95-2011
-6359,NA,NA,547.5,1.65,2,MD95-2011
-6382,NA,NA,548.5,1.65,2.17,MD95-2011
-6404,NA,NA,549.5,1.59,2.26,MD95-2011
-6427,NA,NA,550.5,1.88,2.27,MD95-2011
-6450,NA,NA,551.5,1.82,2.21,MD95-2011
-6472,NA,NA,552.5,1.73,2.17,MD95-2011
-6495,NA,NA,553.5,1.96,2.17,MD95-2011
-6517,NA,NA,554.5,1.68,2.31,MD95-2011
-6540,NA,NA,555.5,1.87,2.21,MD95-2011
-6563,NA,NA,556.5,1.39,2.31,MD95-2011
-6585,NA,NA,557.5,1.52,1.89,MD95-2011
-6608,NA,NA,558.5,1.62,2.07,MD95-2011
-6631,NA,NA,559.5,1.57,2.34,MD95-2011
-6653,NA,NA,560.5,1.65,2.08,MD95-2011
-6699,NA,NA,562.5,1.42,2.06,MD95-2011
-6721,NA,NA,563.5,1.47,1.69,MD95-2011
-6744,NA,NA,564.5,NA,2.14,MD95-2011
-6767,NA,NA,565.5,1.69,2.06,MD95-2011
-6789,NA,NA,566.5,1.48,2.17,MD95-2011
-6812,NA,NA,567.5,1.66,2.2,MD95-2011
-6835,NA,NA,568.5,1.6,2.2,MD95-2011
-6857,NA,NA,569.5,1.7,2.03,MD95-2011
-6880,NA,NA,570.5,1.76,2,MD95-2011
-6903,NA,NA,571.5,1.62,2.11,MD95-2011
-6925,NA,NA,572.5,1.51,1.92,MD95-2011
-6948,NA,NA,573.5,1.5,2.2,MD95-2011
-6971,NA,NA,574.5,1.65,1.99,MD95-2011
-6993,NA,NA,575.5,1.87,2.27,MD95-2011
-7016,NA,NA,576.5,1.83,2.16,MD95-2011
-7039,NA,NA,577.5,1.77,2.38,MD95-2011
-7061,NA,NA,578.5,1.73,2.18,MD95-2011
-7084,NA,NA,579.5,1.55,2.11,MD95-2011
-7107,NA,NA,580.5,1.98,2.18,MD95-2011
-7129,NA,NA,581.5,1.98,2.15,MD95-2011
-7152,NA,NA,582.5,2,2.38,MD95-2011
-7175,NA,NA,583.5,2.02,2.13,MD95-2011
-7197,NA,NA,584.5,1.99,2.09,MD95-2011
-7220,NA,NA,585.5,1.84,2.39,MD95-2011
-7243,NA,NA,586.5,1.84,1.98,MD95-2011
-7265,NA,NA,587.5,2.01,2.12,MD95-2011
-7288,NA,NA,588.5,1.57,2.16,MD95-2011
-7311,NA,NA,589.5,1.99,2.2,MD95-2011
-7333,NA,NA,590.5,1.93,2.39,MD95-2011
-7356,NA,NA,591.5,1.76,2.01,MD95-2011
-7379,NA,NA,592.5,1.6,2.12,MD95-2011
-7401,NA,NA,593.5,1.85,2,MD95-2011
-7424,NA,NA,594.5,1.48,1.96,MD95-2011
-7447,NA,NA,595.5,1.98,2.24,MD95-2011
-7469,NA,NA,596.5,2.06,2.37,MD95-2011
-7492,NA,NA,597.5,1.77,1.89,MD95-2011
-7515,NA,NA,598.5,1.82,1.9,MD95-2011
-7537,NA,NA,599.5,1.7,1.87,MD95-2011
-7560,NA,NA,600.5,2.03,2.48,MD95-2011
-7583,NA,NA,601.5,1.64,1.88,MD95-2011
-7605,NA,NA,602.5,1.72,2,MD95-2011
-7628,NA,NA,603.5,1.81,2.06,MD95-2011
-7651,NA,NA,604.5,2.05,2.05,MD95-2011
-7673,NA,NA,605.5,1.78,2.45,MD95-2011
-7696,NA,NA,606.5,1.74,1.87,MD95-2011
-7719,NA,NA,607.5,1.53,2.03,MD95-2011
-7741,NA,NA,608.5,1.6,1.72,MD95-2011
-7764,NA,NA,609.5,1.98,1.97,MD95-2011
-7787,NA,NA,610.5,1.98,2.32,MD95-2011
-7809,NA,NA,611.5,1.96,2,MD95-2011
-7832,NA,NA,612.5,1.79,2.05,MD95-2011
-7855,NA,NA,613.5,1.74,2.13,MD95-2011
-7877,NA,NA,614.5,1.86,2.15,MD95-2011
-7900,NA,NA,615.5,1.76,2.66,MD95-2011
-7922,NA,NA,616.5,1.77,1.92,MD95-2011
-7945,NA,NA,617.5,1.89,2.37,MD95-2011
-7968,NA,NA,618.5,1.6,2.07,MD95-2011
-7990,NA,NA,619.5,1.84,1.88,MD95-2011
-8013,NA,NA,620.5,1.85,2.37,MD95-2011
-8036,NA,NA,621.5,1.66,1.99,MD95-2011
-8058,NA,NA,622.5,1.71,2.14,MD95-2011
-8081,NA,NA,623.5,1.56,1.85,MD95-2011
-8104,NA,NA,624.5,1.77,2,MD95-2011
-8126,NA,NA,625.5,2.07,2.69,MD95-2011
-8149,NA,NA,626.5,1.95,2.04,MD95-2011
-8172,NA,NA,627.5,1.86,1.97,MD95-2011
-8194,NA,NA,628.5,1.54,2.47,MD95-2011
-8217,NA,NA,629.5,1.68,2.11,MD95-2011
-8240,NA,NA,630.5,1.73,2.74,MD95-2011
-8262,NA,NA,631.5,1.96,2.13,MD95-2011
-8285,NA,NA,632.5,1.9,2.06,MD95-2011
-8308,NA,NA,633.5,1.93,1.9,MD95-2011
-8330,NA,NA,634.5,1.83,2.1,MD95-2011
-8353,NA,NA,635.5,2.14,2.59,MD95-2011
-8376,NA,NA,636.5,1.84,1.87,MD95-2011
-8398,NA,NA,637.5,1.83,1.91,MD95-2011
-8421,NA,NA,638.5,1.9,1.95,MD95-2011
-8444,NA,NA,639.5,1.86,1.87,MD95-2011
-8466,NA,NA,640.5,1.92,2.44,MD95-2011
-8489,NA,NA,641.5,1.86,2.07,MD95-2011
-8512,NA,NA,642.5,1.84,NA,MD95-2011
-8534,NA,NA,643.5,1.84,2.2,MD95-2011
-8557,NA,NA,644.5,1.83,2,MD95-2011
-8580,NA,NA,645.5,1.79,2.33,MD95-2011
-8602,NA,NA,646.5,1.86,2.32,MD95-2011
-8625,NA,NA,647.5,1.88,2.42,MD95-2011
-8648,NA,NA,648.5,1.78,2.25,MD95-2011
-8670,NA,NA,649.5,1.87,2.04,MD95-2011
-8693,NA,NA,650.5,2.01,2.43,MD95-2011
-8716,NA,NA,651.5,1.69,NA,MD95-2011
-8738,NA,NA,652.5,1.67,NA,MD95-2011
-8761,NA,NA,653.5,1.57,2.85,MD95-2011
-8784,NA,NA,654.5,1.7,NA,MD95-2011
-8806,NA,NA,655.5,1.72,2.73,MD95-2011
-8829,NA,NA,656.5,1.53,NA,MD95-2011
-8852,NA,NA,657.5,1.6,NA,MD95-2011
-8874,NA,NA,658.5,1.47,2.41,MD95-2011
-8897,NA,NA,659.5,1.58,2.6,MD95-2011
-8920,NA,NA,660.5,1.96,2.57,MD95-2011
-8942,NA,NA,661.5,1.51,2.45,MD95-2011
-8965,NA,NA,662.5,1.61,2.33,MD95-2011
-8988,NA,NA,663.5,1.63,2.31,MD95-2011
-9010,NA,NA,664.5,1.92,2.77,MD95-2011
-9033,NA,NA,665.5,2.11,2.46,MD95-2011
-9056,NA,NA,666.5,1.6,2.53,MD95-2011
-9078,NA,NA,667.5,1.96,2.84,MD95-2011
-9101,NA,NA,668.5,1.79,2.69,MD95-2011
-9124,NA,NA,669.5,1.62,2.16,MD95-2011
-9146,NA,NA,670.5,2.03,2.41,MD95-2011
-9169,NA,NA,671.5,1.95,2.62,MD95-2011
-9192,NA,NA,672.5,1.87,2.73,MD95-2011
-9214,NA,NA,673.5,1.89,2.52,MD95-2011
-9237,NA,NA,674.5,1.88,2.69,MD95-2011
-9260,NA,NA,675.5,1.94,2.63,MD95-2011
-9282,NA,NA,676.5,1.63,2.53,MD95-2011
-9305,NA,NA,677.5,1.79,2.58,MD95-2011
-9327,NA,NA,678.5,1.73,2.54,MD95-2011
-9350,NA,NA,679.5,1.91,2.56,MD95-2011
-9373,NA,NA,680.5,2.13,2.6,MD95-2011
-9395,NA,NA,681.5,1.59,2.64,MD95-2011
-9418,NA,NA,682.5,1.91,2.76,MD95-2011
-9441,NA,NA,683.5,1.9,2.54,MD95-2011
-9463,NA,NA,684.5,1.9,2.56,MD95-2011
-9486,NA,NA,685.5,1.98,2.71,MD95-2011
-9509,NA,NA,686.5,1.63,2.6,MD95-2011
-9531,NA,NA,687.5,1.83,2.48,MD95-2011
-9554,NA,NA,688.5,1.99,2.78,MD95-2011
-9577,NA,NA,689.5,2.16,2.92,MD95-2011
-9599,NA,NA,690.5,1.91,2.82,MD95-2011
-9622,NA,NA,691.5,2.06,2.85,MD95-2011
-9645,NA,NA,692.5,2.05,2.59,MD95-2011
-9667,NA,NA,693.5,1.83,2.81,MD95-2011
-9690,NA,NA,694.5,2.87,2.96,MD95-2011
-9713,NA,NA,695.5,2.73,3.04,MD95-2011
-9735,NA,NA,696.5,2.61,2.88,MD95-2011
-9758,NA,NA,697.5,NA,2.74,MD95-2011
-9781,NA,NA,698.5,1.79,3,MD95-2011
-9803,NA,NA,699.5,NA,2.99,MD95-2011
-9826,NA,NA,700.5,NA,3.26,MD95-2011
-9849,NA,NA,701.5,NA,2.92,MD95-2011
-9871,NA,NA,702.5,2.37,3.09,MD95-2011
-9894,NA,NA,703.5,NA,2.99,MD95-2011
-9939,NA,NA,705.5,NA,3.53,MD95-2011
-9962,NA,NA,706.5,3.03,3.11,MD95-2011
-9985,NA,NA,707.5,NA,3.24,MD95-2011
-10007,NA,NA,708.5,3.04,3.34,MD95-2011
-10097,NA,NA,710.5,NA,3.56,MD95-2011
-10165,NA,NA,711.5,3.09,3.29,MD95-2011
-10232,NA,NA,712.5,NA,3.4,MD95-2011
-10299,NA,NA,713.5,2.96,3.18,MD95-2011
-10366,NA,NA,714.5,3.11,3.36,MD95-2011
-10434,NA,NA,715.5,NA,3.28,MD95-2011
-10501,NA,NA,716.5,3.07,3.35,MD95-2011
-10568,NA,NA,717.5,3.13,3.45,MD95-2011
-10636,NA,NA,718.5,3.18,3.3,MD95-2011
-10703,NA,NA,719.5,NA,3.27,MD95-2011
-10770,NA,NA,720.5,3.63,3.48,MD95-2011
-10837,NA,NA,721.5,3.22,3.47,MD95-2011
-10905,NA,NA,722.5,3.36,3.78,MD95-2011
-10972,NA,NA,723.5,3.4,3.59,MD95-2011
-11039,NA,NA,724.5,3.47,3.35,MD95-2011
-11107,NA,NA,725.5,NA,3.63,MD95-2011
-11174,NA,NA,726.5,3.18,3.73,MD95-2011
-11241,NA,NA,727.5,NA,3.48,MD95-2011
-11308,NA,NA,728.5,2.99,3.6,MD95-2011
-11376,NA,NA,729.5,3.19,3.35,MD95-2011
-11443,NA,NA,730.5,3.27,3.68,MD95-2011
-11464,NA,NA,731.5,3.17,3.63,MD95-2011
-11484,NA,NA,732.5,3.46,3.65,MD95-2011
-11505,NA,NA,733.5,3.38,3.47,MD95-2011
-11526,NA,NA,734.5,3.38,3.53,MD95-2011
-11546,NA,NA,735.5,NA,3.47,MD95-2011
-11567,NA,NA,736.5,3.5,3.58,MD95-2011
-11588,NA,NA,737.5,3.11,3.66,MD95-2011
-11608,NA,NA,738.5,3.32,3.57,MD95-2011
-11629,NA,NA,739.5,3.36,3.65,MD95-2011
-11650,NA,NA,740.5,NA,3.7,MD95-2011
-11670,NA,NA,741.5,3.5,3.64,MD95-2011
-11691,NA,NA,742.5,NA,3.63,MD95-2011
-11711,NA,NA,743.5,NA,3.72,MD95-2011
-11732,NA,NA,744.5,3.23,3.16,MD95-2011
-11753,NA,NA,745.5,NA,3.66,MD95-2011
