year (AD) [1-1],depth (mm) [1-1],d18O (permil) [1-1],year (AD) [1-2],depth (mm) [1-2],d18O (permil) [1-2],d18O (permil) [1-2],year (AD) [1-3],d18O (permil) [1-3],d18O (permil) [1-3]
1982.25,220,-5.7997,1982.25,202.3,-5.317,NA,NA,NA,NA
1982.166667,220.5,-5.6389,1982.166667,203.6,-4.992,NA,NA,NA,NA
1982.083333,220.9,-5.609,1982.083333,205.5,-5.078,NA,NA,NA,NA
1982,221.4,-5.6106,1982,207.5,-4.828,NA,NA,NA,NA
1981.916667,NA,NA,1981.916667,208.1,-5.218,NA,NA,NA,NA
1981.833333,NA,NA,1981.833333,208.6,-5.613,NA,NA,NA,NA
1981.75,NA,NA,1981.75,209,-5.885,NA,NA,NA,NA
1981.666667,NA,NA,1981.666667,209.3,-5.999,NA,NA,NA,NA
1981.583333,NA,NA,1981.583333,209.6,-6.041,NA,NA,NA,NA
1981.5,NA,NA,1981.5,209.9,-5.937,NA,NA,NA,NA
1981.416667,NA,NA,1981.416667,210.2,-5.9,NA,NA,NA,NA
1981.333333,NA,NA,1981.333333,210.5,-5.894,NA,NA,NA,NA
1981.25,NA,NA,1981.25,211.5,-5.333,NA,NA,NA,NA
1981.166667,NA,NA,1981.166667,212.6,-5.032,NA,NA,NA,NA
1981.083333,NA,NA,1981.083333,213.8,-5.032,NA,NA,NA,NA
1981,NA,NA,1981,215,-4.789,NA,NA,NA,NA
1980.916667,227.7,-4.8784,1980.916667,215.5,-4.802,NA,NA,NA,NA
1980.833333,228.2,-5.1107,1980.833333,216.1,-5.558,NA,NA,NA,NA
1980.75,228.6,-5.2641,1980.75,216.2,-5.612,NA,NA,NA,NA
1980.666667,228.9,-5.5749,1980.666667,216.4,-5.665,NA,NA,NA,NA
1980.583333,229.3,-5.7565,1980.583333,216.6,-5.744,NA,NA,NA,NA
1980.5,229.6,-5.8852,1980.5,216.7,-5.873,NA,NA,NA,NA
1980.416667,230,-5.7452,1980.416667,216.9,-6.002,NA,NA,NA,NA
1980.333333,230.7,-5.6252,1980.333333,217.6,-5.526,NA,NA,NA,NA
1980.25,231.4,-5.4476,1980.25,219.2,-5.396,NA,NA,NA,NA
1980.166667,231.8,-5.1554,1980.166667,219.7,-5.097,NA,NA,NA,NA
1980.083333,232.2,-5.0123,1980.083333,219.9,-5.067,NA,NA,NA,NA
1980,232.5,-4.9287,1980,220,-5.053,NA,NA,NA,NA
1979.916667,233.2,-4.5505,1979.916667,220.5,-5.2,NA,NA,NA,NA
1979.833333,233.8,-4.9533,1979.833333,221,-4.773,NA,NA,NA,NA
1979.75,234.3,-5.1809,1979.75,221.4,-5.034,NA,NA,NA,NA
1979.666667,234.8,-5.4134,1979.666667,221.6,-5.094,NA,NA,NA,NA
1979.583333,235.2,-5.5706,1979.583333,221.8,-4.906,NA,NA,NA,NA
1979.5,235.7,-5.557,1979.5,222.1,-4.858,NA,NA,NA,NA
1979.416667,236.1,-5.4693,1979.416667,222.3,-5.292,NA,NA,NA,NA
1979.333333,236.6,-5.6236,1979.333333,222.5,-5.727,NA,NA,NA,NA
1979.25,237.3,-5.3522,1979.25,223.1,-5.436,NA,NA,NA,NA
1979.166667,238,-5.1815,1979.166667,223.6,-5.193,NA,NA,NA,NA
1979.083333,238.4,-5.0108,1979.083333,224.3,-4.847,NA,NA,NA,NA
1979,238.8,-4.9098,1979,224.9,-4.62,NA,NA,NA,NA
1978.916667,239.7,-5.0881,1978.916667,225.6,-4.682,NA,NA,NA,NA
1978.833333,240.9,-5.6335,1978.833333,227,-5.847,NA,NA,NA,NA
1978.75,242.1,-4.9709,1978.75,228.3,-5.283,NA,NA,NA,NA
1978.666667,243,-5.887,1978.666667,229.2,-5.696,NA,NA,NA,NA
1978.583333,243.9,-5.3911,1978.583333,229.7,-5.79,NA,NA,NA,NA
1978.5,244.8,-5.6826,1978.5,230.3,-5.927,NA,NA,NA,NA
1978.416667,245.6,-5.3038,1978.416667,230.9,-5.925,NA,NA,NA,NA
1978.333333,246.5,-5.3202,1978.333333,231.6,-5.786,NA,NA,NA,NA
1978.25,246.9,-5.47,1978.25,235,-5.377,NA,NA,NA,NA
1978.166667,247.4,-5.3517,1978.166667,236.8,-4.73,NA,NA,NA,NA
1978.083333,248,-5.2423,1978.083333,238.1,-4.74,NA,NA,NA,NA
1978,248.5,-5.0069,1978,238.6,-4.94,NA,NA,NA,NA
1977.916667,248.9,-5.0319,1977.916667,239.2,-5.58,NA,NA,NA,NA
1977.833333,249.4,-5.3117,1977.833333,239.8,-5.66,NA,NA,NA,NA
1977.75,250.3,-6.0039,1977.75,240.7,-5.52,NA,NA,NA,NA
1977.666667,251.2,-5.9058,1977.666667,241.6,-5.07,NA,NA,NA,NA
1977.583333,252.2,-5.7119,1977.583333,242.6,-5.08,NA,NA,NA,NA
1977.5,253.1,-5.1354,1977.5,243.5,-5.1,NA,NA,NA,NA
1977.416667,254,-5.3477,1977.416667,244.5,-5.38,NA,NA,NA,NA
1977.333333,254.6,-5.4206,1977.333333,245.4,-5.15,NA,NA,NA,NA
1977.25,255.3,-5.3618,1977.25,246.3,NA,NA,NA,NA,NA
1977.166667,256.1,-5.1435,1977.166667,247.3,NA,NA,NA,NA,NA
1977.083333,256.8,-4.923,1977.083333,248.2,NA,NA,NA,NA,NA
1977,257.2,-4.9881,1977,NA,NA,NA,NA,NA,NA
