year (AD) [1-1],depth (cm) [1-1],temperature (degC) [1-1],year (AD) [1-2],depth (cm) [1-2],temperature (degC) [1-2],d18O (permil) [1-2],d18O (permil) [1-2],Mg_Ca (mmol/mol) [1-2]
NA,NA,NA,-15544,1214,25.7,1.36,-0.76,3.84
NA,NA,NA,-15566,1215,26.6,NA,NA,4.15
NA,NA,NA,-15609,1217,25.8,NA,NA,3.87
NA,NA,NA,-15631,1218,26.6,1.35,-0.97,4.18
NA,NA,NA,-15653,1219,25.7,NA,NA,3.84
NA,NA,NA,-15697,1221,25.1,NA,NA,3.62
NA,NA,NA,-15719,1222,24.9,0.97,-0.97,3.57
NA,NA,NA,-15741,1223,25.6,NA,NA,3.8
NA,NA,NA,-15784,1225,25.3,NA,NA,3.7
NA,NA,NA,-15806,1226,25,0.83,-1.13,3.6
NA,NA,NA,-15828,1227,26.1,NA,NA,3.98
NA,NA,NA,-15872,1229,25.2,NA,NA,3.67
NA,NA,NA,-15894,1230,25.6,1.04,-1.06,3.81
NA,NA,NA,-15916,1231,26,NA,NA,3.96
NA,NA,NA,-15938,1232,26.2,NA,NA,4.02
NA,NA,NA,-15960,1233,25.8,NA,NA,3.89
NA,NA,NA,-15982,1234,27.1,1.44,-0.97,4.36
NA,NA,NA,-16026,1236,26.4,1.18,-1.09,4.09
NA,NA,NA,-16069,1238,27.1,1.44,-0.97,4.36
NA,NA,NA,-16091,1239,25,NA,NA,3.6
NA,NA,NA,-16135,1241,26,NA,NA,3.94
NA,NA,NA,-16157,1242,25.5,1.08,-1,3.77
NA,NA,NA,-16179,1243,25.4,NA,NA,3.75
NA,NA,NA,-16223,1245,25.6,NA,NA,3.8
NA,NA,NA,-16245,1246,25.9,1.26,-0.9,3.92
NA,NA,NA,-16267,1247,25.4,NA,NA,3.73
NA,NA,NA,-16311,1249,26.1,NA,NA,3.99
NA,NA,NA,-16333,1250,25.8,NA,NA,3.86
NA,NA,NA,-16355,1251,25.7,NA,NA,3.84
NA,NA,NA,-16377,1252,25.4,NA,NA,3.74
NA,NA,NA,-16399,1253,25.4,NA,NA,3.75
NA,NA,NA,-16443,1255,25.8,NA,NA,3.88
NA,NA,NA,-16465,1256,25.6,NA,NA,3.8
NA,NA,NA,-16487,1257,25.3,NA,NA,3.71
NA,NA,NA,-16531,1259,25.6,NA,NA,3.82
NA,NA,NA,-16553,1260,25.1,0.83,-1.16,3.63
NA,NA,NA,-16642,1264,25.9,NA,NA,3.92
NA,NA,NA,-16730,1268,26.6,NA,NA,4.17
NA,NA,NA,-16752,1269,26,NA,NA,3.93
NA,NA,NA,-16818,1272,27.1,NA,NA,4.37
NA,NA,NA,-16907,1276,26.6,NA,NA,4.15
NA,NA,NA,-16929,1277,26.2,NA,NA,4.01
NA,NA,NA,-16995,1280,26.3,NA,NA,4.04
NA,NA,NA,-17084,1284,26.1,NA,NA,3.99
NA,NA,NA,-17084,1284,25.9,NA,NA,3.92
NA,NA,NA,-17128,1286,26.5,1.36,-0.92,4.12
NA,NA,NA,-17172,1288,25.8,NA,NA,3.86
NA,NA,NA,-17194,1289,25.7,NA,NA,3.83
NA,NA,NA,-17239,1291,25.6,NA,NA,3.81
NA,NA,NA,-17261,1292,25.1,NA,NA,3.64
NA,NA,NA,-17283,1293,25.8,NA,NA,3.86
NA,NA,NA,-17327,1295,26.3,NA,NA,4.06
NA,NA,NA,-17349,1296,26.6,NA,NA,4.17
NA,NA,NA,-17372,1297,26,NA,NA,3.95
NA,NA,NA,-17416,1299,26.2,NA,NA,4.01
NA,NA,NA,-17438,1300,26.2,NA,NA,4
NA,NA,NA,-17527,1304,26.2,NA,NA,4.01
NA,NA,NA,-17616,1308,25.8,NA,NA,3.88
NA,NA,NA,-17683,1311,27.3,1.25,-1.2,4.43
NA,NA,NA,-17705,1312,24.8,NA,NA,3.55
NA,NA,NA,-17794,1316,26.3,NA,NA,4.04
NA,NA,NA,-17883,1320,25,NA,NA,3.6
NA,NA,NA,-17972,1324,26,NA,NA,3.93
NA,NA,NA,-18016,1326,26.1,NA,NA,3.98
NA,NA,NA,-18106,1330,26.5,NA,NA,4.12
NA,NA,NA,-18195,1334,26.5,NA,NA,4.13
NA,NA,NA,-18239,1336,26.6,1.51,-0.8,4.17
NA,NA,NA,-18284,1338,26.8,NA,NA,4.23
NA,NA,NA,-18329,1340,25.8,NA,NA,3.86
NA,NA,NA,-18418,1344,26.1,NA,NA,3.99
NA,NA,NA,-18507,1348,26,NA,NA,3.96
NA,NA,NA,-18597,1352,27.1,NA,NA,4.35
NA,NA,NA,-18686,1356,26.6,NA,NA,4.17
NA,NA,NA,-18775,1360,26.2,NA,NA,4.02
NA,NA,NA,-18798,1361,26.9,1.46,-0.9,4.27
NA,NA,NA,-18865,1364,25.4,NA,NA,3.73
NA,NA,NA,-18954,1368,26.1,NA,NA,3.99
NA,NA,NA,-19044,1372,26.5,NA,NA,4.12
NA,NA,NA,-19134,1376,26,NA,NA,3.95
NA,NA,NA,-19223,1380,25.9,NA,NA,3.92
NA,NA,NA,-19313,1384,25.8,NA,NA,3.88
NA,NA,NA,-19403,1388,26.7,1.39,-0.92,4.19
NA,NA,NA,-19492,1392,25.9,NA,NA,3.9
NA,NA,NA,-19582,1396,26.3,NA,NA,4.04
NA,NA,NA,-19672,1400,26.8,NA,NA,4.25
NA,NA,NA,-19919,1411,25.8,1.2,-0.94,3.88
