year (AD) [1-1],d18O (permil) [1-1],d13C (permil) [1-1],year (AD) [2-1],d18O (permil) [2-1],d13C (permil) [2-1]
1973.5,-5.8966,-2.0202,1973.5,-5.4806,-1.777
1973.42,-5.9063,-1.9328,1973.42,-5.2989,-1.937
1973.33,-5.7834,-1.9917,1973.33,-5.2285,-2.4857
1973.25,-5.4094,-2.0197,1973.25,-5.2525,-2.4194
1973.17,-5.2758,-2.3045,1973.17,-5.1347,-2.3765
1973.08,-5.3201,-2.202,1973.08,-5.31,-2.55
1973,-5.4425,-2.1468,1973,-5.3832,-2.6636
1972.92,-5.5646,-1.6134,1972.92,-5.526,-2.273
1972.83,-5.7539,-1.7415,1972.83,-5.4648,-1.9575
1972.75,-5.8534,-1.5161,1972.75,-5.3843,-1.9844
1972.67,-5.9193,-1.7376,1972.67,-5.5958,-1.8622
1972.58,-5.8971,-1.6005,1972.58,-5.5709,-1.8727
1972.5,-6.007,-1.909,1972.5,-5.6201,-2.1368
1972.42,-5.871,-1.6671,1972.42,-5.6149,-1.6195
1972.33,-5.8624,-1.775,1972.33,-5.6718,-1.4768
1972.25,-5.886,-1.8377,1972.25,-5.6587,-1.9245
1972.17,-5.827,-1.7163,1972.17,-5.4885,-1.6552
1972.08,-5.9868,-1.6169,1972.08,-5.5716,-2.3883
1972,-6.0654,-1.5407,1972,-5.6202,-2.3616
1971.92,-5.9139,-1.728,1971.92,-5.6135,-2.0844
1971.83,-6.0823,-1.374,1971.83,-5.8101,-2.0147
1971.75,-5.9313,-1.1958,1971.75,-5.8038,-2.0545
1971.67,-6.0344,-1.6054,1971.67,-5.7353,-1.7667
1971.58,-6.022,-1.6266,1971.58,-5.6377,-1.734
1971.5,-5.9242,-1.5492,1971.5,-5.6684,-1.8203
1971.42,-5.909,-1.579,1971.42,-5.6383,-1.9201
1971.33,-5.7787,-1.6141,1971.33,-5.4884,-1.1684
1971.25,-5.8931,-1.896,1971.25,-5.5612,-1.3756
1971.17,-5.719,-1.5816,1971.17,-5.4741,-1.9771
1971.08,-5.8039,-1.4737,1971.08,-5.6362,-2.2309
1971,-5.9542,-1.5896,1971,-5.5908,-2.0719
1970.92,-6.0121,-1.7702,1970.92,-5.674,-2.5118
1970.83,-6.067,-1.8374,1970.83,-5.8512,-2.223
1970.75,-6.0276,-1.9347,1970.75,-5.9164,-2.0153
1970.67,-5.9984,-1.769,1970.67,-5.8546,-1.9602
1970.58,-5.8988,-1.7647,1970.58,-5.8978,-2.1828
1970.5,-6.0686,-1.6062,1970.5,-5.8502,-2.092
1970.42,-5.9643,-1.5428,1970.42,-5.7789,-1.2556
1970.33,-5.8202,-1.8518,1970.33,-5.597,-1.74
1970.25,-5.6882,-1.9042,1970.25,-5.6609,-1.6935
1970.17,-5.5865,-1.9078,1970.17,-5.4813,-1.8774
1970.08,-5.6876,-1.5094,1970.08,-5.527,-1.9366
1970,-5.6815,-1.5382,1970,-5.6303,-1.8598
1969.92,-5.6816,-1.5546,1969.92,-5.6644,-1.345
1969.83,-5.8099,-1.9157,1969.83,-5.6095,-1.5874
1969.75,-5.9298,-1.7551,1969.75,-5.574,-1.5763
1969.67,-5.9309,-2.3043,1969.67,-5.7756,-1.7825
1969.58,-5.9074,-1.7318,1969.58,-5.7473,-1.8099
1969.5,-5.8955,-2.1056,1969.5,-5.5915,-1.3874
1969.42,-5.8389,-1.7782,1969.42,-5.5547,-1.7981
1969.33,-5.5135,-1.7358,1969.33,-5.5289,-2.1405
1969.25,-5.5753,-1.9861,1969.25,-5.3813,-2.0216
1969.17,-5.4644,-2.0139,1969.17,-5.1087,-1.929
1969.08,-5.5546,-1.6589,1969.08,-5.3219,-1.7936
1969,-5.6642,-2.2033,1969,-5.3952,-2.1583
1968.92,-5.9006,-2.0291,1968.92,-5.5353,-2.6898
1968.83,-5.8027,-2.1272,1968.83,-5.6752,-2.0067
1968.75,-5.8253,-1.8534,1968.75,-5.5118,-1.8088
1968.67,-5.8031,-1.6306,1968.67,-5.6007,-1.7153
1968.58,-5.9278,-2.1115,1968.58,-5.6069,-1.77
1968.5,-5.7951,-2.0805,1968.5,-5.6433,-1.9681
1968.42,-5.791,-1.7171,1968.42,-5.5815,-1.677
1968.33,-5.5851,-1.9777,1968.33,-5.4486,-1.9071
1968.25,-5.6813,-1.7817,1968.25,-5.4594,-2.0413
1968.17,-5.5237,-2.0767,1968.17,-5.39,-2.5431
1968.08,-5.6861,-1.9511,1968.08,-5.4832,-2.6673
1968,-5.7079,-1.6816,1968,-5.6214,-2.5454
1967.92,-5.7708,-1.5757,1967.92,-5.5744,-2.0484
1967.83,-5.8196,-1.6609,1967.83,-5.6026,-2.167
1967.75,-5.7624,-2.1284,1967.75,-5.661,-1.7621
1967.67,-5.8168,-2.0964,1967.67,-5.6812,-2.0869
1967.58,-5.9372,-2.0309,1967.58,-5.567,-1.9782
1967.5,-5.8135,-1.7742,1967.5,-5.6593,-1.6345
1967.42,-5.9107,-2.1892,1967.42,-5.5046,-1.2501
1967.33,-5.8231,-1.831,1967.33,-5.5919,-1.9472
1967.25,-5.7227,-2.0577,1967.25,-5.5882,-2.3614
1967.17,-5.5701,-2.1666,1967.17,-5.3407,-2.4687
1967.08,-5.6372,-1.9397,1967.08,-5.4885,-2.9037
1967,-5.6388,-2.3206,1967,-5.8393,-2.3387
1966.92,-5.7401,-1.8605,1966.92,-5.7484,-2.2189
1966.83,-6.0868,-1.5519,1966.83,-5.9158,-1.8622
1966.75,-5.9022,-1.7637,1966.75,-5.6976,-1.8635
1966.67,-5.9399,-1.5691,1966.67,-5.7869,-2.0641
1966.58,-6.0413,-1.5488,1966.58,-5.7878,-1.9505
1966.5,-5.7539,-1.2607,1966.5,-5.6372,-1.7614
1966.42,-5.7086,-1.4867,1966.42,-5.4331,-1.9723
1966.33,-5.6163,-1.3689,1966.33,-5.393,-2.2362
1966.25,-5.6262,-1.8546,1966.25,-5.3078,-2.369
1966.17,-5.3932,-1.7645,1966.17,-5.2672,-2.769
1966.08,-5.4284,-1.7334,1966.08,-5.3885,-2.9269
1966,-5.6177,-2.1331,1966,-5.514,-2.6349
1965.92,-5.7322,-2.1879,1965.92,-5.5626,-2.2757
1965.83,-5.763,-1.6606,1965.83,-5.7066,-2.1324
1965.75,-5.8032,-1.7666,1965.75,-5.5917,-2.0727
1965.67,-5.8044,-2.0432,1965.67,-5.5317,-1.9795
1965.58,-5.8356,-1.7627,1965.58,-5.5084,-1.9816
1965.5,-5.8437,-2.7072,1965.5,-5.6402,-2.3928
1965.42,-5.9239,-2.083,1965.42,-5.5177,-1.1735
1965.33,-5.7051,-2.0646,1965.33,-5.4479,-0.41537
1965.25,-5.613,-1.806,1965.25,-5.6545,-2.0742
1965.17,-5.5691,-1.9055,1965.17,-5.3783,-2.0938
1965.08,-5.5598,-2.2722,1965.08,-5.4127,-1.9746
1965,-5.6694,-2.0427,1965,-5.5145,-1.7333
1964.92,-5.8595,-1.9456,1964.92,-5.6598,-2.2259
1964.83,-5.925,-2.2611,1964.83,-5.7229,-2.144
1964.75,-5.8189,-1.9,1964.75,-5.8365,-1.1982
1964.67,-5.8507,-1.762,1964.67,-5.7287,-1.3771
1964.58,-5.7819,-1.7379,1964.58,-5.5911,-1.8285
1964.5,-5.7486,-1.9527,1964.5,-5.6494,-1.3714
1964.42,-5.7575,-2.1214,1964.42,-5.5138,-0.98877
1964.33,-5.5749,-1.8643,1964.33,-5.3625,-0.88733
1964.25,-5.5257,-1.7921,1964.25,-5.4749,-1.8219
1964.17,-5.3789,-1.8823,1964.17,-5.2948,-2.5023
1964.08,-5.6496,-1.7576,1964.08,-5.3754,-2.5391
1964,-5.7395,-1.8686,1964,-5.4724,-1.9684
1963.92,-5.716,-1.8294,1963.92,-5.6152,-1.8086
1963.83,-5.7072,-1.8609,1963.83,-5.6001,-1.9684
1963.75,-5.6899,-1.9051,1963.75,-5.5856,-1.988
1963.67,-5.869,-1.8938,1963.67,-5.631,-1.8694
1963.58,-5.8202,-1.7551,1963.58,-5.6938,-1.9178
1963.5,-5.7983,-1.8377,1963.5,-5.609,-1.9755
1963.42,-5.7803,-1.711,1963.42,-5.6931,-1.8588
1963.33,-5.7016,-1.5564,1963.33,-5.775,-2.089
1963.25,-5.6378,-1.5405,1963.25,-5.6221,-1.8871
1963.17,-5.4909,-1.8505,1963.17,-5.5246,-1.6583
1963.08,-5.6853,-1.7089,1963.08,-5.6104,-1.8733
1963,-5.8029,-1.8928,1963,-5.6429,-2.1011
1962.92,-5.8112,-1.8446,1962.92,-5.632,-2.3541
1962.83,-5.9489,-1.856,1962.83,-5.6855,-2.4649
1962.75,-5.9005,-1.606,1962.75,-5.8007,-2.3941
1962.67,-5.9271,-1.7328,1962.67,-5.7987,-2.1028
1962.58,-5.9516,-1.3128,1962.58,-5.7239,-1.9715
1962.5,-5.8529,-1.7882,1962.5,-5.7818,-1.9907
1962.42,-5.7654,-1.5112,1962.42,-5.7813,-1.7958
1962.33,-5.6314,-1.6625,1962.33,-5.7256,-1.6234
1962.25,-5.5849,-1.8532,1962.25,-5.6077,-1.8358
1962.17,-5.5397,-2.0386,1962.17,-5.4883,-2.0086
1962.08,-5.6364,-2.2867,1962.08,-5.4983,-2.6847
1962,-5.692,-2.2878,1962,-5.5486,-2.7468
1961.92,-5.7418,-1.9059,1961.92,-5.5407,-2.5163
1961.83,-5.8052,-2.1571,1961.83,-5.5531,-2.0944
1961.75,-5.7169,-1.7929,1961.75,-5.5929,-2.0847
1961.67,-5.8,-2.2087,1961.67,-5.4773,-2.2839
1961.58,-5.7372,-2.1495,1961.58,-5.6809,-2.2334
1961.5,-5.9026,-2.2381,1961.5,-5.5876,-2.1582
1961.42,-5.8809,-2.3624,1961.42,-5.7316,-2.1518
1961.33,-5.7576,-2.6509,1961.33,-5.6094,-1.9397
1961.25,-5.6071,-2.6659,1961.25,-5.5624,-1.5794
1961.17,-5.4868,-2.1448,1961.17,-5.465,-1.382
1961.08,-5.5692,-1.7817,1961.08,-5.5905,-2.3046
1961,-5.6201,-2.4883,1961,-5.6178,-2.3902
1960.92,-5.6993,-1.7243,1960.92,-5.6647,-1.7012
1960.83,-5.9073,-1.7066,1960.83,-5.691,-1.6641
1960.75,-5.9085,-1.9168,1960.75,-5.7983,-1.8288
1960.67,-5.8821,-2.0091,1960.67,-5.6309,-0.98749
1960.58,-5.7079,-1.5719,1960.58,-5.6918,-1.2751
1960.5,-5.8585,-1.787,1960.5,-5.5819,-1.3814
1960.42,-5.5519,-1.4586,1960.42,-5.5241,-1.3709
1960.33,-5.6341,-1.796,1960.33,-5.4569,-1.7304
1960.25,-5.6465,-1.9922,1960.25,-5.5057,-2.3942
1960.17,-5.4301,-2.238,1960.17,-5.4569,-2.2015
1960.08,-5.5471,-1.7292,1960.08,-5.5753,-2.2504
1960,-5.6711,-2.3003,1960,-5.4874,-1.8443
1959.92,-5.6687,-1.994,1959.92,-5.6398,-2.2103
1959.83,-5.839,-1.7908,1959.83,-5.6478,-2.264
1959.75,-5.7298,-2.3198,1959.75,-5.5828,-1.8672
1959.67,-5.8472,-1.7494,1959.67,-5.6154,-1.9711
1959.58,-5.8717,-1.982,1959.58,-5.6231,-2.1503
1959.5,-5.8827,-2.196,1959.5,-5.6481,-1.8917
1959.42,-5.793,-1.8968,1959.42,-5.6013,-1.7989
1959.33,-5.6494,-2.3598,1959.33,-5.3549,-1.9415
1959.25,-5.6215,-1.9612,1959.25,-5.2976,-1.9298
1959.17,-5.3706,-1.901,1959.17,-5.1383,-1.5695
1959.08,-5.4226,-1.7069,1959.08,-5.4808,-1.8525
1959,-5.6232,-2.018,1959,-5.4989,-2.0436
1958.92,-5.6406,-2.1237,1958.92,-5.4905,-1.8475
1958.83,-5.8251,-1.8369,1958.83,-5.5175,-1.699
1958.75,-5.8049,-2.1677,1958.75,-5.5585,-1.8667
1958.67,-5.745,-2.1435,1958.67,-5.3381,-1.4593
1958.58,-5.7569,-1.9564,1958.58,-5.5039,-1.4088
1958.5,-5.6986,-2.1922,1958.5,-5.4506,-1.0159
1958.42,-5.7067,-1.8866,1958.42,-5.2923,-1.5075
1958.33,-5.6068,-2.1333,1958.33,-5.3499,-1.7828
1958.25,-5.439,-2.178,1958.25,-5.3076,-1.8116
1958.17,-5.3213,-1.7699,1958.17,-5.3007,-1.8626
1958.08,-5.2986,-2.0079,1958.08,-5.389,-1.8273
1958,-5.429,-1.8341,1958,-5.4143,-1.6674
1957.92,-5.4752,-2.1005,1957.92,-5.4659,-1.4957
1957.83,-5.5302,-1.7472,1957.83,-5.4588,-1.872
1957.75,-5.7845,-2.1123,1957.75,-5.4265,-1.9988
1957.67,-5.8346,-1.8828,1957.67,-5.6076,-2.0586
1957.58,-5.7662,-2.1509,1957.58,-5.6546,-2.5229
1957.5,-5.8957,-2.408,1957.5,-5.7421,-2.0375
1957.42,-5.8536,-2.4948,1957.42,-5.6222,-2.0318
1957.33,-5.6993,-2.2931,1957.33,-5.5681,-2.3155
1957.25,-5.5289,-2.1893,1957.25,-5.4956,-2.1713
1957.17,-5.4453,-2.0243,1957.17,-5.4244,-2.1266
1957.08,-5.4612,-2.2206,1957.08,-5.5112,-2.0581
1957,-5.5467,-2.0406,1957,-5.538,-2.4088
1956.92,-5.6721,-2.3694,1956.92,-5.6996,-2.6718
1956.83,-5.9479,-2.468,1956.83,-5.7726,-2.443
1956.75,-5.9619,-2.3542,1956.75,-5.7496,-2.336
1956.67,-5.9974,-2.1104,1956.67,-5.7729,-2.0827
1956.58,-5.8375,-2.0221,1956.58,-5.6734,-2.3516
1956.5,-5.9402,-2.2475,1956.5,-5.6061,-2.3559
1956.42,-5.944,-1.9017,1956.42,-5.6948,-1.7473
1956.33,-5.6253,-2.1286,1956.33,-5.6216,-1.2909
1956.25,-5.6501,-2.373,1956.25,-5.5898,-1.854
1956.17,-5.5239,-2.2401,1956.17,-5.3944,-1.9171
1956.08,-5.6543,-2.46,1956.08,-5.5308,-1.8373
1956,-5.7852,-2.5673,1956,-5.5532,-2.1123
1955.92,-5.932,-2.5864,1955.92,-5.6512,-2.5841
1955.83,-6.0425,-2.1458,1955.83,-5.6529,-2.327
1955.75,-5.9834,-2.0895,1955.75,-5.7701,-1.6616
1955.67,-6.0345,-1.8911,1955.67,-5.7689,-1.4681
1955.58,-6.0452,-1.7438,1955.58,-5.7741,-1.5592
1955.5,-5.8903,-2.2584,1955.5,-5.7035,-1.527
1955.42,-5.8592,-2.1373,1955.42,-5.4856,-1.6223
1955.33,-5.7032,-2.3764,1955.33,-5.351,-1.7721
1955.25,-5.5825,-2.4176,1955.25,-5.4202,-1.5201
1955.17,-5.5441,-2.2754,1955.17,-5.2586,-1.6183
1955.08,-5.6974,-2.1612,1955.08,-5.2859,-1.902
1955,-5.9076,-2.382,1955,-5.4212,-2.0779
1954.92,-6.0142,-2.2322,1954.92,-5.6136,-1.9978
1954.83,-5.9646,-2.4235,1954.83,-5.7114,-2.0809
1954.75,-6.0293,-2.2685,1954.75,-5.7999,-1.8633
1954.67,-6.0335,-2.0003,1954.67,-5.6136,-1.6195
1954.58,-6.0882,-2.0682,1954.58,-5.7171,-1.6211
1954.5,-6.0136,-1.6183,1954.5,-5.817,-1.5971
1954.42,-6.1619,-1.9337,1954.42,-5.7107,-1.4894
1954.33,-5.6916,-2.4631,1954.33,-5.4767,-1.464
1954.25,-5.7114,-2.4363,1954.25,-5.4753,-1.3295
1954.17,-5.5369,-2.0473,1954.17,-5.3894,-1.3394
1954.08,-5.642,-1.9314,1954.08,-5.3917,-1.6481
1954,-5.6911,-2.0703,1954,-5.489,-1.9732
1953.92,-5.7606,-1.9394,1953.92,-5.6482,-2.1499
1953.83,-6.0112,-2.2293,1953.83,-5.6618,-1.6318
1953.75,-5.8707,-1.8888,1953.75,-5.7797,-1.3531
1953.67,-5.9205,-2.236,1953.67,-5.6158,-1.816
1953.58,-5.9544,-1.9645,1953.58,-5.7325,-1.8687
1953.5,-5.9514,-2.1676,1953.5,-5.5835,-1.2836
1953.42,-5.9871,-2.395,1953.42,-5.6947,-1.119
1953.33,-5.816,-1.9896,1953.33,-5.442,-1.3046
1953.25,-5.7355,-2.3104,1953.25,-5.4249,-1.5316
1953.17,-5.5621,-2.0526,1953.17,-5.3091,-1.4174
1953.08,-5.6522,-2.1403,1953.08,-5.4031,-1.8933
1953,-5.8799,-2.2301,1953,-5.5421,-1.5273
1952.92,-5.8844,-2.0427,1952.92,-5.4915,-1.3627
1952.83,-5.9956,-1.8516,1952.83,-5.5839,-1.3168
1952.75,-5.9142,-2.1201,1952.75,-5.6114,-1.5342
1952.67,-5.9515,-2.1678,1952.67,-5.757,-1.7127
1952.58,-5.9278,-1.7533,1952.58,-5.7168,-1.5551
1952.5,-6.054,-2.0363,1952.5,-5.6883,-1.6827
1952.42,-5.8259,-2.2075,1952.42,-5.5453,-1.5984
1952.33,-5.5682,-2.2971,1952.33,-5.6207,-1.4647
1952.25,-5.5514,-1.9675,1952.25,-5.496,-1.9271
1952.17,-5.4458,-2.1864,1952.17,-5.354,-2.2177
1952.08,-5.5185,-2.2195,1952.08,-5.2097,-2.2211
1952,-5.6391,-2.2198,1952,-5.55,-1.7164
1951.92,-5.7939,-2.1148,1951.92,-5.8042,-1.3333
1951.83,-5.8631,-2.2585,1951.83,-5.6274,-1.4653
1951.75,-5.9577,-2.1273,1951.75,-5.5499,-1.5881
1951.67,-5.9412,-2.0129,1951.67,-5.6912,-1.5429
1951.58,-5.8797,-2.1194,1951.58,-5.6624,-1.6279
1951.5,-5.884,-2.0358,1951.5,-5.5553,-1.6043
1951.42,-5.8127,-2.1175,1951.42,-5.4918,-1.4301
1951.33,-5.7445,-2.2879,1951.33,-5.4851,-1.3506
1951.25,-5.7125,-2.2761,1951.25,-5.5002,-1.4098
1951.17,-5.5532,-2.1967,1951.17,-5.4911,-1.5972
1951.08,-5.6736,-2.0997,1951.08,-5.5399,-1.6157
1951,-5.6902,-2.165,1951,-5.5787,-1.7329
1950.92,-5.7863,-2.3596,1950.92,-5.5927,-2.182
1950.83,-5.8832,-2.0767,1950.83,-5.6796,-1.9077
1950.75,-6.0159,-2.1227,1950.75,-5.7649,-1.6932
1950.67,-6.0135,-2.0991,1950.67,-5.8397,-1.7135
1950.58,-6.0288,-2.041,1950.58,-5.5275,-1.5612
1950.5,-5.9038,-2.2126,1950.5,-5.5389,-1.5533
1950.42,-5.9171,-2.1646,1950.42,-5.6163,-1.3871
1950.33,-5.8712,-2.2012,1950.33,-5.5709,-1.7231
1950.25,-5.8035,-2.2697,1950.25,-5.6086,-2.2313
1950.17,-5.5792,-2.5127,1950.17,-5.4891,-2.0984
1950.08,-5.5623,-2.622,1950.08,-5.5737,-2.0725
1950,-5.6103,-2.0631,1950,-5.7503,-2.1336
1949.92,-5.7381,-2.1855,1949.92,-5.7843,-1.9607
1949.83,-5.8415,-2.5252,1949.83,-5.7177,-1.7034
1949.75,-6.1107,-2.1771,1949.75,-5.8201,-1.7352
1949.67,-6.0054,-2.1182,1949.67,-5.7954,-1.6991
1949.58,-6.0227,-2.0362,1949.58,-5.702,-1.5222
1949.5,-6.0518,-2.346,1949.5,-5.6127,-1.5121
1949.42,-5.9321,-2.2264,1949.42,-5.6479,-1.6158
1949.33,-5.931,-2.4768,1949.33,-5.5358,-1.7093
1949.25,-5.6284,-2.095,1949.25,-5.4362,-2.3537
1949.17,-5.5008,-2.0403,1949.17,-5.3827,-2.3923
1949.08,-5.6406,-2.0001,1949.08,-5.6335,-2.5333
1949,-5.6938,-1.924,1949,-5.651,-2.4356
1948.92,-5.7664,-2.1421,1948.92,-5.6563,-2.0277
1948.83,-5.7076,-1.9195,1948.83,-5.6006,-1.9937
1948.75,-5.8807,-2.3343,1948.75,-5.5536,-2.1139
1948.67,-5.9224,-1.8578,1948.67,-5.609,-1.975
1948.58,-5.8595,-2.1302,1948.58,-5.5988,-2.0041
1948.5,-5.9067,-2.221,1948.5,-5.5699,-1.8768
1948.42,-5.81,-2.3172,1948.42,-5.5128,-1.757
1948.33,-5.7388,-2.3709,1948.33,-5.4901,-1.7428
1948.25,-5.5633,-2.2383,1948.25,-5.5833,-2.0279
1948.17,-5.4884,-2.0232,1948.17,-5.4322,-2.0472
1948.08,-5.6751,-2.2671,1948.08,-5.5873,-2.1878
1948,-5.6106,-2.2674,1948,-5.6944,-2.3856
1947.92,-5.878,-2.4606,1947.92,-5.6541,-1.8836
1947.83,-5.9881,-1.7148,1947.83,-5.7678,-1.3768
1947.75,-6.1377,-1.8806,1947.75,-6.0112,-1.4418
1947.67,-6.031,-1.9725,1947.67,-5.9302,-1.5006
1947.58,-5.9563,-2.2191,1947.58,-5.8367000000000004,-1.6517
1947.5,-5.8433,-2.2769,1947.5,-5.7987,-1.3774
1947.42,-5.7387,-2.2066,1947.42,-5.5616,-1.2385
1947.33,-5.6058,-2.1893,1947.33,-5.4692,-1.5186
1947.25,-5.6294,-2.0593,1947.25,-5.7078,-1.843
1947.17,-5.5471,-2.0194,1947.17,-5.5282,-1.8526
1947.08,-5.7938,-2.0678,1947.08,-5.5401,-1.9361
1947,-5.8531,-2.035,1947,-5.6297,-1.933
1946.92,-5.9524,-2.1385,1946.92,-5.7554,-1.344
1946.83,-5.9006,-2.1156,1946.83,-5.7192,-1.3884
1946.75,-5.8693,-2.2154,1946.75,-5.6591,-1.7888
1946.67,-5.8275,-1.7706,1946.67,-5.7072,-1.9408
1946.58,-5.866,-2.0266,1946.58,-5.7013,-2.123
1946.5,-5.9961,-2.5765,1946.5,-5.8634,-1.9822
1946.42,-5.94,-2.2859,1946.42,-5.5854,-1.411
1946.33,-5.8863,-2.3532,1946.33,-5.8024,-1.6212
1946.25,-5.8514,-2.0398,1946.25,-5.8958,-1.7213
1946.17,-5.8162,-2.2079,1946.17,-5.6125,-1.7207
1946.08,-5.8922,-2.2378,1946.08,-5.8098,-2.0608
1946,-5.8517,-2.5234,1946,-5.8887,-2.1271
1945.92,-6.0181,-2.4984,1945.92,-5.9125,-1.834
1945.83,-6.0866,-2.4323,1945.83,-6.0061,-1.692
1945.75,-6.2237,-2.365,1945.75,-6.0237,-1.9751
1945.67,-6.2854,-2.4521,1945.67,-6.0026,-1.7052
1945.58,-6.1459,-2.2418,1945.58,-5.9407,-1.7402
1945.5,-5.8618,-1.9371,1945.5,-5.8,-1.8155
1945.42,-5.8464,-2.3936,1945.42,-5.8501,-1.7752
1945.33,-5.7771,-1.6226,1945.33,-5.6338,-1.7232
1945.25,-5.8244,-2.2985,1945.25,-5.687,-1.9986
1945.17,-5.6076,-2.2069,1945.17,-5.4628,-1.988
1945.08,-5.6241,-1.7188,1945.08,-5.7266,-2.1247
1945,-5.6861,-1.8547,1945,-5.7197,-2.2108
1944.92,-5.769,-1.9926,1944.92,-5.663,-2.1363
1944.83,-5.8779,-1.6912,1944.83,-5.6705,-2.0195
1944.75,-5.8687,-1.7918,1944.75,-5.6839,-2.1036
1944.67,-5.7762,-1.8207,1944.67,-5.7663,-2.1159
1944.58,-5.9416,-2.3842,1944.58,-5.7893,-1.8631
1944.5,-5.7611,-2.2125,1944.5,-5.8317,-2.0654
1944.42,-5.7756,-2.086,1944.42,-5.7412,-1.9175
1944.33,-5.8214,-1.8546,1944.33,-5.5463,-1.5118
1944.25,-5.6724,-1.6119,1944.25,-5.6732,-1.5333
1944.17,-5.4959,-1.7805,1944.17,-5.5612,-1.6658
1944.08,-5.7759,-1.9366,1944.08,-5.6844,-2.2179
1944,-5.9554,-2.1216,1944,-5.7088,-2.6131
1943.92,-5.9577,-2.1206,1943.92,-5.786,-2.5034
1943.83,-6.0908,-1.8781,1943.83,-5.9166,-2.1549
1943.75,-5.9809,-1.8533,1943.75,-6.0341,-1.9806
1943.67,-5.9507,-2.0772,1943.67,-5.745,-1.9081
1943.58,-5.9905,-1.9948,1943.58,-5.7318,-1.9131
1943.5,-5.8717,-1.7664,1943.5,-5.7461,-1.8822
1943.42,-6.0091,-2.0089,1943.42,-5.7316,-1.715
1943.33,-5.9284,-1.877,1943.33,-5.6691,-1.5438
1943.25,-5.8027,-1.6669,1943.25,-5.6287,-1.9613
1943.17,-5.7132,-1.5988,1943.17,-5.3435,-2.179
1943.08,-5.8133,-1.5615,1943.08,-5.6592,-2.2545
1943,-5.7921,-1.6527,1943,-5.7615,-2.2896
1942.92,-5.8498,-1.6731,1942.92,-5.7126,-1.8482
1942.83,-5.9035,-1.8495,1942.83,-5.8391,-1.8563
1942.75,-5.9333,-1.6865,1942.75,-5.8831,-1.978
1942.67,-5.9103,-1.5806,1942.67,-5.7707,-2.0122
1942.58,-5.9848,-1.696,1942.58,-5.7003,-2.0746000000000002
1942.5,-5.9242,-1.5821,1942.5,-5.7362,-1.85
1942.42,-5.8038,-1.7121,1942.42,-5.5735,-1.4223
1942.33,-5.7164,-1.3779,1942.33,-5.4088,-1.6808
1942.25,-5.584,-1.6213,1942.25,-5.4909,-1.8684
1942.17,-5.4856,-1.4318,1942.17,-5.3592,-1.9594
1942.08,-5.511,-1.0304,1942.08,-5.5087,-2.082
1942,-5.5164,-1.4102,1942,-5.5354,-2.1684
1941.92,-5.7199,-1.4059,1941.92,-5.5472,-2.0256
1941.83,-5.763,-1.3998,1941.83,-5.595,-1.7579
1941.75,-5.6184,-1.4554,1941.75,-5.6387,-1.7593
1941.67,-5.6401,-1.7104,1941.67,-5.6233,-1.808
1941.58,-5.7184,-1.917,1941.58,-5.5568,-1.8835
1941.5,-5.6004,-1.7011,1941.5,-5.5264,-2.0849
1941.42,-5.5456,-1.2628,1941.42,-5.6127,-2.233
1941.33,-5.5033,-1.4349,1941.33,-5.6539,-1.835
1941.25,-5.5692,-1.4876,1941.25,-5.5847,-1.1937
1941.17,-5.3926,-1.7086,1941.17,-5.4441,-1.1855
1941.08,-5.6131,-1.7876,1941.08,-5.4764,-1.7325
1941,-5.6165,-1.8172,1941,-5.5018,-2.0461
1940.92,-5.7203,-1.7596,1940.92,-5.5273,-2.1773
1940.83,-5.832,-1.4734,1940.83,-5.5519,-1.6385
1940.75,-5.655,-1.7475,1940.75,-5.67,-1.7925
1940.67,-5.6884,-1.6087,1940.67,-5.6007,-1.912
1940.58,-5.7002,-1.7164,1940.58,-5.4225,-1.8651
1940.5,-5.74,-1.7142,1940.5,-5.6535,-2.0047
1940.42,-5.6285,-1.4334,1940.42,-5.487,-1.5271
1940.33,-5.5229,-1.143,1940.33,-5.4427,-1.1233
1940.25,-5.5251,-1.061,1940.25,-5.4764,-1.654
1940.17,-5.4749,-1.4132,1940.17,-5.4444,-2.1795
1940.08,-5.5524,-1.5239,1940.08,-5.5803,-2.0939
1940,-5.7405,-1.5771,1940,-5.6246,-1.9088
1939.92,-5.5907,-1.3037,1939.92,-5.5683,-1.7797
1939.83,-5.6298,-1.4009,1939.83,-5.5007,-2.0135
1939.75,-5.674,-1.8342,1939.75,-5.7315,-1.9162
1939.67,-5.7017,-1.5848,1939.67,-5.6837,-1.8494
1939.58,-5.9012,-1.7311,1939.58,-5.6918,-1.8168
1939.5,-5.7529,-1.7929,1939.5,-5.4947,-1.9407
1939.42,-5.7429,-1.5804,1939.42,-5.6059,-2.1401
1939.33,-5.6839,-1.4799,1939.33,-5.6661,-2.2455
1939.25,-5.5735,-1.7318,1939.25,-5.4983,-2.3249
1939.17,-5.4093,-1.7305,1939.17,-5.4397,-2.1385
1939.08,-5.7126,-1.5983,1939.08,-5.6214,-1.7869
1939,-5.7355,-1.7229,1939,-5.7273,-1.9538
1938.92,-5.8293,-1.5439,1938.92,-5.7061,-1.8235
1938.83,-5.8248,-1.8216,1938.83,-5.6346,-1.5337
1938.75,-5.9828,-1.4285,1938.75,-5.5938,-1.5042
