year (AD),d18O (permil),depthice (m),depthwe (m)
1106,-36.9,116.21,86.59
1105,-37.2,116.31,86.68
1104,-37.3,116.41,86.77
1103,-36.7,116.51,86.86
1102,-35.9,116.61,86.95
1101,-34.9,116.71,87.04
1100,-35,116.81,87.13
1099,-35,116.91,87.22
1098,-35.2,117.01,87.31
1097,-35.4,117.11,87.4
1096,-35.4,117.21,87.49
1095,-35.4,117.31,87.57
1094,-35.4,117.41,87.66
1093,-34.7,117.51,87.75
1092,-34.1,117.61,87.84
1091,-34.1,117.71,87.93
1090,-34.1,117.81,88.02
1089,-34.1,117.91,88.11
1088,-34.1,118.01,88.2
1087,-33.6,118.11,88.29
1086,-32.9,118.21,88.38
1085,-33.1,118.31,88.47
1084,-34.3,118.41,88.56
1083,-33.3,118.51,88.65
1082,-31.2,118.61,88.74
1081,-31.2,118.71,88.83
1080,-32.1,118.81,88.92
1079,-33.8,118.91,89.01
1078,-34.6,119.01,89.1
1077,-35.4,119.11,89.19
1076,-36.2,119.21,89.28
1075,-35.9,119.31,89.37
1074,-35.1,119.41,89.46
1073,-34.3,119.51,89.55
1072,-34.4,119.61,89.64
1071,-34.5,119.71,89.73
1070,-34.2,119.81,89.82
1069,-33.8,119.91,89.91
1068,-34.3,120.01,90
1067,-34.8,120.11,90.09
1066,-35.1,120.21,90.18
1065,-35.5,120.31,90.27
1064,-36,120.41,90.36
1063,-36.6,120.51,90.45
1062,-37.2,120.61,90.54
1061,-37.5,120.71,90.63
1060,-36.5,120.81,90.71
1059,-36,120.91,90.8
1058,-35.5,121.01,90.89
1057,-35.8,121.11,90.98
1056,-36.8,121.21,91.07
1055,-38.2,121.31,91.16
1054,-38.6,121.41,91.25
1053,-37.5,121.51,91.34
1052,-36,121.61,91.43
1051,-34.9,121.71,91.52
1050,-34,121.81,91.61
1049,-33.5,121.91,91.7
1048,-34,122.01,91.79
1047,-34.9,122.11,91.88
1046,-34.8,122.21,91.97
1045,-34.1,122.31,92.06
1044,-34,122.41,92.15
1043,-34,122.51,92.24
1042,-34.2,122.61,92.33
1041,-34.3,122.71,92.42
1040,-34,122.81,92.51
1039,-34.4,122.91,92.6
1038,-35.3,123.01,92.69
1037,-35.5,123.11,92.78
1036,-34.4,123.21,92.87
1035,-34,123.31,92.96
1034,-33.4,123.41,93.05
1033,-33.4,123.5,93.14
1032,-32.6,123.6,93.23
1031,-33.9,123.7,93.32
1030,-34.8,123.8,93.41
1029,-33.9,123.9,93.5
1028,-33.8,124,93.59
1027,-33.6,124.1,93.68
1026,-32.8,124.2,93.77
1025,-33,124.3,93.85
1024,-33.6,124.4,93.94
1023,-33.3,124.5,94.03
1022,-32.9,124.6,94.12
1021,-33.3,124.7,94.21
1020,-34.5,124.8,94.3
1019,-34,124.9,94.39
1018,-33.1,125,94.48
1017,-33.5,125.1,94.57
1016,-33.5,125.2,94.66
1015,-33.7,125.3,94.75
1014,-34.1,125.4,94.84
1013,-34.3,125.5,94.93
1012,-34.5,125.6,95.02
1011,-34.8,125.7,95.11
1010,-35.4,125.8,95.2
1009,-35.5,125.9,95.29
1008,-35.1,125.99,95.38
1007,-34.7,126.09,95.47
1006,-34.4,126.19,95.56
1005,-34.1,126.29,95.65
1004,-34.3,126.39,95.74
1003,-35.7,126.49,95.83
1002,-36.8,126.59,95.92
1001,-37.1,126.69,96.01
1000,-36.6,126.79,96.1
999,-36,126.89,96.19
998,-35.7,126.99,96.28
997,-35.5,127.09,96.37
996,-35.3,127.19,96.46
995,-35.2,127.29,96.55
994,-35.3,127.39,96.64
993,-35.7,127.49,96.73
992,-36.1,127.59,96.82
991,-36,127.69,96.9
990,-35.7,127.79,96.99
989,-35.1,127.89,97.08
988,-34,127.98,97.17
987,-33.5,128.08,97.26
986,-33.3,128.18,97.35
985,-33.2,128.28,97.44
984,-33.3,128.38,97.53
983,-33.3,128.48,97.62
982,-33.3,128.58,97.71
981,-34,128.68,97.8
980,-35.2,128.78,97.89
979,-36.9,128.88,97.98
978,-36.4,128.98,98.07
977,-34.9,129.08,98.16
976,-35.5,129.18,98.25
975,-36.6,129.28,98.34
974,-37,129.38,98.43
973,-36.7,129.48,98.52
972,-36.5,129.58,98.61
971,-36,129.67,98.7
970,-35.8,129.77,98.79
969,-35.2,129.87,98.88
968,-33.5,129.97,98.97
967,-34.3,130.07,99.06
966,-35.4,130.17,99.15
965,-35.7,130.27,99.24
964,-35.4,130.37,99.33
963,-34.4,130.47,99.42
962,-34.6,130.57,99.51
961,-35.9,130.67,99.6
960,-37,130.77,99.69
959,-37.3,130.87,99.78
958,-36.9,130.97,99.87
957,-35.8,131.07,99.96
956,-35,131.17,100.05
955,-34.3,131.26,100.14
954,-33.6,131.36,100.22
953,-33,131.46,100.31
952,-33.4,131.56,100.4
951,-33.7,131.66,100.49
950,-33.5,131.76,100.58
949,-34.6,131.86,100.67
948,-35.3,131.96,100.76
947,-35.5,132.06,100.85
946,-34.2,132.16,100.94
945,-33.9,132.26,101.03
944,-33.9,132.36,101.12
943,-34,132.46,101.21
942,-34,132.56,101.3
941,-33.3,132.65,101.39
940,-32.8,132.75,101.48
939,-32.5,132.85,101.57
938,-32.4,132.95,101.66
937,-32.7,133.05,101.75
936,-33.7,133.15,101.84
935,-34.7,133.25,101.93
934,-35.3,133.35,102.02
933,-35,133.45,102.11
932,-34,133.55,102.2
931,-33.5,133.65,102.29
930,-33.7,133.75,102.38
929,-34.2,133.84,102.47
928,-34.5,133.94,102.56
927,-35,134.04,102.65
926,-35.1,134.14,102.74
925,-34.9,134.24,102.83
924,-34.9,134.34,102.92
923,-35.2,134.44,103.01
922,-35.5,134.54,103.1
921,-36.1,134.64,103.19
920,-36.4,134.74,103.28
919,-35.5,134.84,103.36
918,-34.8,134.94,103.45
917,-34.8,135.04,103.54
916,-35.3,135.13,103.63
915,-35.7,135.23,103.72
914,-36.4,135.33,103.81
913,-36.7,135.43,103.9
912,-36.3,135.53,103.99
911,-35.8,135.63,104.08
910,-35.6,135.73,104.17
909,-34.9,135.83,104.26
908,-34,135.93,104.35
907,-33.8,136.03,104.44
906,-34.3,136.13,104.53
905,-35.3,136.22,104.62
904,-35.6,136.32,104.71
903,-35.6,136.42,104.8
902,-35.1,136.52,104.89
901,-34.4,136.62,104.98
900,-33.9,136.72,105.07
899,-33.2,136.82,105.16
898,-32.6,136.92,105.25
897,-32.5,137.02,105.34
896,-33.5,137.12,105.43
895,-33.9,137.22,105.52
894,-33.8,137.31,105.61
893,-33.8,137.41,105.7
892,-34.5,137.51,105.79
891,-35,137.61,105.88
890,-34.8,137.71,105.97
889,-34,137.81,106.06
888,-33.1,137.91,106.15
887,-32.9,138.01,106.24
886,-33.7,138.11,106.33
885,-34.6,138.21,106.41
884,-34.4,138.31,106.5
883,-34.3,138.4,106.59
882,-34.7,138.5,106.68
881,-35.2,138.6,106.77
880,-35.8,138.7,106.86
879,-36.5,138.8,106.95
878,-36.6,138.9,107.04
877,-36.1,139,107.13
876,-35.9,139.1,107.22
875,-35.8,139.2,107.31
874,-35.4,139.3,107.4
873,-35.3,139.39,107.49
872,-36.1,139.49,107.58
871,-37,139.59,107.67
870,-36.2,139.69,107.76
869,-34.4,139.79,107.85
868,-34.1,139.89,107.94
867,-34.7,139.99,108.03
866,-35.1,140.09,108.12
865,-36,140.19,108.21
864,-37.5,140.29,108.3
863,-38.7,140.38,108.39
862,-38.9,140.48,108.48
861,-38.2,140.58,108.57
860,-37,140.68,108.66
859,-36.1,140.78,108.75
858,-35.7,140.88,108.84
857,-35.9,140.98,108.93
856,-35.5,141.08,109.02
855,-34.4,141.18,109.11
854,-33.5,141.28,109.2
853,-33,141.37,109.29
852,-33.1,141.47,109.38
851,-33.5,141.57,109.47
850,-34,141.67,109.55
849,-34.4,141.77,109.64
848,-33.9,141.87,109.73
847,-33.8,141.97,109.82
846,-33.7,142.07,109.91
845,-33.7,142.17,110
844,-33.7,142.26,110.09
843,-34.1,142.36,110.18
842,-34.7,142.46,110.27
841,-35,142.56,110.36
840,-35.1,142.66,110.45
839,-35.7,142.76,110.54
838,-36.6,142.86,110.63
837,-37.4,142.96,110.72
836,-37.3,143.06,110.81
835,-36.8,143.15,110.9
834,-36,143.25,110.99
833,-35.4,143.35,111.08
832,-35.3,143.45,111.17
831,-35.2,143.55,111.26
830,-34.8,143.65,111.35
829,-34.8,143.75,111.44
828,-35.2,143.85,111.53
827,-34.9,143.95,111.62
826,-34.1,144.05,111.71
825,-33.7,144.14,111.8
824,-34,144.24,111.89
823,-34.4,144.34,111.98
822,-34.4,144.44,112.07
821,-34.5,144.54,112.16
820,-34.6,144.64,112.25
819,-34.2,144.74,112.34
818,-34.3,144.84,112.43
817,-35.1,144.93,112.52
816,-35.7,145.03,112.61
815,-35.4,145.13,112.69
814,-35,145.23,112.78
813,-34.9,145.33,112.87
812,-34.9,145.43,112.96
811,-35.5,145.53,113.05
810,-36.5,145.63,113.14
809,-37.6,145.73,113.23
808,-38.3,145.82,113.32
807,-38.3,145.92,113.41
806,-37.2,146.02,113.5
805,-35.5,146.12,113.59
804,-35,146.22,113.68
803,-35.2,146.32,113.77
802,-35.1,146.42,113.86
801,-34.7,146.51,113.95
800,-33.8,146.61,114.04
799,-33.2,146.71,114.13
798,-33.2,146.81,114.22
797,-33.3,146.91,114.31
796,-33.2,147.01,114.4
795,-33.3,147.11,114.49
794,-33.7,147.21,114.58
793,-34.4,147.31,114.67
792,-35.3,147.4,114.76
791,-35.7,147.5,114.85
790,-36.1,147.6,114.94
789,-36.8,147.7,115.03
788,-37.2,147.8,115.12
787,-37.2,147.9,115.21
786,-37,148,115.3
785,-35.1,148.1,115.39
784,-33.8,148.19,115.48
783,-33.8,148.29,115.57
782,-34.1,148.39,115.66
781,-34.1,148.49,115.75
780,-33.7,148.59,115.83
779,-33.7,148.69,115.92
778,-33.9,148.79,116.01
777,-33.9,148.89,116.1
776,-34.3,148.98,116.19
775,-34.8,149.08,116.28
