year (AD),depth (cm),dD (permil),dD (permil),dD (permil),dDUncertainty (permil),dD (permil),dDUncertainty (permil),dDUncertainty (permil),dDUncertainty (permil),dD (permil),dDUncertainty (permil),dD (permil),dDUncertainty ()
768,428,-153,-153,-139,0.1,-166,0.2,0.2,0.5,-143,3.4,-168,3.4
757,430,-143,-148,NA,NA,-156,8,0.1,4.3,-142,1.5,-159,1
747,432,-148,-150,NA,NA,NA,NA,9,1.1,-140,8.7,NA,NA
737,434,-149,-151,-139,1,-165,5.9,10,2.7,-143,5.8,-161,3.4
727,436,-153,-148,NA,NA,-167,0.7,1.1,1.6,-144,0.6,-168,0
717,438,-135,-135,NA,NA,-141,0.4,2.8,1,-134,0.2,-149,2
707,440,-146,-149,NA,NA,-153,0.6,0.2,5.4,NA,NA,-155,0.4
697,442,-154,-148,NA,NA,-169,1.1,0.3,4.5,-145,0.6,-163,2.3
687,444,-147,-142,NA,NA,-167,0.6,1.4,0.2,-144,0.6,-157,0.1
680,446,-140,-134,NA,NA,-155,0.4,2,1,NA,NA,-151,1.6
675,448,-146,-142,-138,8,-156,2.3,0.5,5.9,-147,1.7,-155,2.1
670,450,-153,-148,-142,6.6,-165,9.9,1.4,6.3,-145,0.4,-164,1.1
665,452,-159,-158,-151,4.8,-175,2.7,1.5,0.6,NA,NA,-176,0.6
659,454,-146,-140,NA,NA,-157,1.6,0.4,1.1,-136,4.2,-156,0
654,456,-148,-143,NA,NA,-159,1.6,1.3,1.3,-137,4.1,-157,0.4
649,458,-149,-148,NA,NA,-160,2,1.4,4.6,NA,NA,-158,3
644,460,-142,-140,NA,NA,-152,1.9,0.9,2,-136,4.3,-154,1
639,462,-148,-146,NA,NA,-151,NA,1.3,3,-141,2.8,-157,1.3
634,464,-155,-149,NA,NA,-161,0.9,0.7,3.2,-151,7.8,-171,1.3
628,466,-157,-152,NA,NA,-167,2.2,0.4,1.8,NA,NA,-175,3.1
623,468,-157,-148,-138,4,-168,2.9,0,0.5,-144,1.1,-177,0.2
618,470,-150,-147,NA,NA,-157,2,0.6,0.3,-144,3.9,-166,1.3
613,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-163,1.8
608,474,-142,-142,NA,NA,-160,0.6,0.3,2.1,-139,0.6,-159,1
603,476,-134,-132,NA,NA,-147,0.5,2.5,0.4,-126,0.1,-142,0.4
597,478,-142,-142,-142,0.5,-160,1.9,0.2,1.5,-143,1.4,-147,0.3
592,480,-151,-145,-140,4.3,-168,0.8,1.7,8.2,NA,NA,-165,0.7
587,482,-117,-129,NA,NA,-140,2.5,NA,4.6,-128,2.1,-141,0.6
582,484,NA,-139,-133,3.2,NA,NA,NA,2.2,-138,1.6,-157,0.6
577,486,-117,-115,NA,NA,-142,6,6.6,2.1,-125,4.9,-124,2.4
571,488,-153,-149,-145,0.5,-175,1.7,0.5,0.7,-148,0.5,-174,0.7
566,490,-157,-151,NA,NA,-175,0.6,0.4,1.5,-142,1.9,-175,0.5
561,492,-157,-153,-150,0.7,-170,NA,3.7,0.6,-158,NA,-171,1.8
556,494,NA,-154,-152,4.6,-179,0.2,NA,0,-162,0.2,-182,0.8
551,496,NA,NA,-158,0.3,NA,NA,NA,NA,-160,NA,-180,1.1
546,498,-149,-151,NA,NA,-165,1.7,1.3,1.9,-138,1.1,-166,0.8
540,500,-139,-136,NA,NA,-164,2,0.7,0.3,-132,4.1,-147,0.6
535,502,-140,-146,NA,NA,-168,0.5,1.1,2.6,-136,0.6,-155,1.3
530,504,-144,-153,NA,NA,-165,3,2.9,3.2,NA,NA,-162,0.7
525,506,NA,-152,-149,0.3,NA,NA,NA,1.2,-145,1.4,-171,0.3
520,508,-152,-157,-149,5.7,-170,1,0,0.1,-144,0.8,-170,2
515,510,-154,-151,-138,8.8,-169,NA,NA,1.1,-143,1.2,-171,0.8
509,512,-158,-153,-140,0.5,-177,0.3,1,1.1,-142,1,-177,1.3
504,514,-152,-150,-138,3.3,-169,0.9,1.7,0.2,NA,NA,-169,1.6
499,516,-155,-150,-139,3.9,-170,0.6,0.7,0.7,-138,0.3,-170,1
489,520,-153,-148,NA,NA,-170,0.2,0.7,3.1,-139,0.6,-170,2.6
484,522,-149,-151,NA,NA,-165,4.9,0.1,1.5,NA,NA,-167,2.2
478,524,-160,-157,NA,NA,-179,1.2,1.3,0.7,-150,2,-186,5.5
472,526,-153,-150,NA,NA,-167,0.8,1.6,0.7,-136,7.8,-168,1.3
460,528,-153,-151,NA,NA,-170,1.5,0.8,0.5,-153,0.9,-167,0.8
449,530,-142,-144,NA,NA,-160,1.9,0.4,0.8,-138,4,-164,1.1
438,532,-152,-152,NA,NA,-164,1.6,1.4,1.1,-150,4.5,-166,0.1
426,534,NA,-146,NA,NA,-156,NA,NA,4.7,NA,NA,-156,0.7
415,536,-148,-149,NA,NA,-160,0.2,0.1,0.5,NA,NA,-158,1.4
404,538,-150,-149,NA,NA,-165,0.1,1.2,0.2,-141,0.5,-163,0.6
392,540,-152,-150,NA,NA,-160,2.7,0.3,0.2,-143,4.8,-162,1.4
381,542,-154,-152,-137,0.5,-170,1.6,0.9,2.5,NA,NA,-167,1
370,544,-153,-150,NA,NA,-173,0,1.2,0.9,-142,6.8,-168,2.3
358,546,-155,-148,NA,NA,-176,2.9,4.5,0.9,-139,3.8,-182,0.2
347,548,-156,-154,NA,NA,-170,1.4,0.4,2.2,-151,0.3,-163,2.2
336,550,-157,-151,NA,NA,-170,0.7,3.2,0.2,-141,2.2,-164,0.1
324,552,NA,-149,NA,NA,-161,0.5,NA,2.7,-142,0.8,-163,4.9
313,554,-155,-148,NA,NA,-171,1.1,0.1,3.3,-150,3.5,-175,1
301,556,-155,-150,NA,NA,-175,0,0.6,0.8,-133,NA,-175,2.9
290,558,-143,-140,NA,NA,-168,1.5,0.2,3.5,-132,3.1,-156,3.5
279,560,-148,-150,NA,NA,-164,1,1.7,1.1,-144,2.7,-164,1.4
267,562,-143,-140,NA,NA,-161,3.7,1.5,0.9,NA,NA,-166,0.1
256,564,-153,-152,NA,NA,-174,0.9,0.2,1.9,-146,2.3,-176,0.4
245,566,-149,-148,NA,NA,-166,1.4,1.1,0.5,-142,1,-163,1.1
233,568,-149,-148,NA,NA,-160,0.2,0.1,0.2,-140,1.6,-161,1.5
222,570,-152,-152,NA,NA,-172,2.1,0.8,2,-147,1.9,-169,1.5
211,572,-143,-148,-133,5.8,-159,2.3,3.2,1.1,NA,NA,-162,2.9
199,574,-154,-152,-149,8.3,-171,1.5,0.1,0.2,-148,1.2,-173,3
188,576,-155,-152,-143,3.3,-176,1.1,2.3,2.6,-154,2.2,-185,1.4
178,578,NA,-149,-141,1,NA,NA,NA,2.3,NA,NA,-180,2.5
171,580,-154,-146,NA,NA,-171,0.7,3.7,0.4,-144,0.4,-170,0.1
164,582,-151,-150,-131,7.8,-164,0.8,0.8,2.6,-149,0.3,-167,3.1
157,584,-154,-150,NA,NA,-162,5.2,1.1,3.7,-145,0.7,-161,4.1
150,586,-157,-149,-136,4.1,-171,1,0.1,0.6,-142,0.3,-174,2.5
143,588,-135,-139,NA,NA,-150,1.4,0.8,3.3,NA,NA,-158,1.3
136,590,-129,-132,NA,NA,-150,5.9,0.4,1.1,-126,4.7,-162,0.3
129,592,-147,-148,-136,1.4,-171,1.7,4.9,3.7,-143,1.1,-177,1.8
122,594,-139,-140,-129,3.1,NA,NA,5.4,5.1,NA,NA,-158,7.4
115,596,-149,-148,NA,NA,-158,4.8,0.8,3.2,-143,1.1,-159,4
108,598,-138,-137,NA,NA,-147,3.2,2.3,0.9,-136,4.9,-150,6
101,600,-146,-149,NA,NA,-155,0.4,1,0.8,-148,5.4,-156,1.2
94,602,-138,-138,NA,NA,-147,0.6,0.8,4.7,-129,0.7,-138,9
87,604,NA,NA,NA,NA,-132,2.2,NA,NA,NA,NA,NA,NA
80,606,-141,-137,NA,NA,-153,2.3,4.5,6.7,-127,5.6,NA,NA
73,608,-145,-141,NA,NA,-159,1.4,1,2.7,NA,NA,-168,2.3
66,610,-151,-143,NA,NA,-169,0.5,2.9,0,-130,1.7,-171,4.8
59,612,NA,-143,NA,NA,-162,0.8,NA,3.6,-141,2.1,-175,3.2
52,614,-144,-142,NA,NA,-163,0.1,0.5,1.9,-133,2.2,-179,3.5
45,616,-138,NA,NA,NA,-147,2.5,1.2,NA,NA,NA,-157,0.5
38,618,-153,-153,NA,NA,-170,0.7,0.7,1.3,-144,1.7,-174,0.2
34,619,-144,NA,NA,NA,-161,0.9,0.7,NA,-130,1.5,-164,2.9
31,620,-143,-151,NA,NA,-151,3.2,2.2,0.1,NA,NA,-159,7.1
24,622,-144,-139,-151,NA,-160,9.3,4.2,8.2,-140,7.7,-169,6.6
17,624,-139,-161,NA,NA,NA,NA,8.8,4.9,NA,NA,-153,2.3
10,626,-153,-156,NA,NA,NA,NA,2.4,0.3,-149,2.9,-162,0.5
3,628,-152,-148,NA,NA,-164,4.2,5.7,8.3,-130,9.8,-171,7.9
-4,630,-149,-147,NA,NA,-162,7.4,0.6,2.9,-150,6.1,-172,5.5
-11,632,-146,-144,NA,NA,-149,1,1.9,2.6,NA,NA,-154,1.2
-18,634,-144,-145,NA,NA,-158,2.8,3.9,2.6,-136,4.9,-165,3.2
-25,636,NA,-167,NA,NA,-163,5.6,NA,8.4,-149,6.7,-154,1.7
-32,638,-156,-153,-145,8.7,-159,1.9,3.9,4.6,-149,2.7,-160,2.9
-39,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-46,642,NA,NA,NA,NA,-158,6.5,NA,NA,-163,NA,-167,0.2
-54,644,-142,NA,NA,NA,-149,1.1,0.6,NA,NA,NA,-149,0.2
-62,646,-141,NA,NA,NA,-152,2.1,0.8,NA,NA,NA,-143,0.3
-95,654,-154,-160,NA,NA,-162,1.5,4.1,6.5,-149,4.3,-161,2.5
-103,656,-150,NA,-159,NA,-160,6.1,6.1,NA,NA,NA,-148,2.4
-111,658,-155,-155,-159,4.8,-167,NA,6.5,8.2,-149,7.1,-162,7.4
-119,660,-161,-162,-157,5.8,-171,0.5,2,1.6,-157,1.3,-167,1.6
-127,662,-149,-151,NA,NA,-165,3.5,5.2,3.6,NA,NA,-160,4.4
-136,664,-156,-155,-134,3.7,-163,1.4,0.1,2,-150,1.4,-162,2.5
-144,666,-153,-147,NA,NA,-161,1.3,5.3,2.5,-142,2.8,-159,1.9
-152,668,-143,NA,NA,NA,-158,4.6,1.5,NA,-124,5.8,-148,7.8
-160,670,NA,NA,NA,NA,-156,8.5,NA,NA,NA,NA,NA,NA
-168,672,-153,-158,NA,NA,-166,2.1,10,4.3,NA,NA,-165,2.8
-176,674,-153,-151,NA,NA,-169,5,4.5,3.3,-137,7.9,-161,1.7
-184,676,-154,-155,NA,NA,-167,1.1,3.2,0.5,-150,3,-165,3
-193,678,-161,-160,NA,NA,NA,NA,2.2,3.1,-156,2.5,-167,1
-201,680,-157,-155,-155,2.6,-184,3.1,0.5,0.3,-156,0.7,-161,2
-209,682,-159,-159,-137,6.8,-174,NA,3.2,3.3,-156,1.6,-171,1.4
-217,684,-149,-148,NA,NA,-169,NA,2,2.8,-151,6,-160,3.4
-225,686,-163,-161,-145,2.6,NA,NA,0.1,1,-154,0.2,-173,2.6
-233,688,-157,-155,NA,NA,-184,0.7,0.7,1.4,-157,0.2,-168,3.1
-241,690,-156,-157,NA,NA,-191,5.4,1.5,7.4,-153,4,-171,1.2
-250,692,-157,-156,-149,8.3,NA,NA,2.3,0.8,-153,3.8,-169,1.8
-258,694,-150,-152,NA,NA,NA,NA,2.6,1.1,-148,1,-165,1.8
-266,696,-151,-155,-148,NA,-184,1,0,0.3,-154,0.2,-154,2.5
-274,698,-152,-153,NA,NA,NA,NA,0.8,1.9,-139,8.9,-159,4.7
-282,700,-152,-147,NA,NA,-173,2.8,2.2,0.8,-149,3.3,-167,1.9
-290,702,-152,-145,NA,NA,-168,3.6,1.6,3,-140,0.4,-167,1.1
-298,704,-155,-155,NA,NA,-169,4.5,6.7,2.6,-138,6.7,-162,4.2
-307,706,-146,-152,NA,NA,-159,2.9,9,9.8,NA,NA,-153,6.1
-315,708,-153,-153,-152,9.5,NA,NA,0.3,1.6,-158,0.6,-163,0.1
-323,710,-150,-153,-150,5.9,NA,NA,7.9,0.2,-151,7.5,-161,6
-331,712,-155,-155,-149,NA,-196,7.5,4.8,4.7,-165,3.2,-155,2.3
-339,714,-151,-151,NA,NA,NA,NA,1.9,0.3,NA,NA,-168,1.9
-347,716,-152,-147,NA,NA,NA,NA,1.4,1.1,-147,1.6,-151,0.4
-355,718,NA,NA,NA,NA,-170,6,NA,NA,NA,NA,NA,NA
-364,720,NA,NA,NA,NA,-142,5.1,NA,NA,NA,NA,NA,NA
-372,722,-145,-146,NA,NA,-186,NA,0.7,4.5,-149,0.3,-153,1.5
-380,724,-155,-154,-148,0.4,-194,2.8,0.6,0.3,-152,1.5,-168,1.3
-388,726,-153,-150,-139,0.8,NA,NA,0.8,3.1,-147,1.7,-168,4.5
-396,728,-151,-150,NA,NA,NA,NA,0.5,1,-150,0.8,-148,4.6
-404,730,-154,-152,-146,0.9,NA,NA,1.2,1.8,-147,3,-161,1.8
-412,732,-155,-154,-144,5.3,-165,NA,2.3,2.5,-155,0.7,-166,5.2
-421,734,-154,-156,-146,4.9,NA,NA,0.9,3.4,-154,1.4,-164,0.6
-429,736,-154,-157,NA,NA,NA,NA,0.6,2.9,-152,1.6,-159,2.7
-437,738,-156,-155,-147,1.5,-189,NA,0.8,1.6,-154,0.1,-171,2.6
-445,740,-154,-153,-141,3,-184,NA,0.6,0.6,-145,1.1,-167,2.2
-453,742,-156,-157,-149,1.1,-172,NA,NA,2.7,-158,0.2,-173,8.8
-461,744,NA,-153,NA,NA,-169,NA,NA,0,-146,0.4,-158,1.3
-469,746,-154,-154,-140,6.9,-199,NA,1.5,1.7,-146,2.4,-165,3.7
-478,748,-155,-152,-142,3.5,NA,NA,1.3,0.1,-148,0.6,-169,1.8
-486,750,-157,-154,-144,1.4,NA,NA,0.2,0.4,-152,1.4,-173,0.8
-494,752,-149,-147,NA,NA,-194,0.6,0.9,2.1,-149,4.5,-159,5.4
-502,754,-148,-147,NA,NA,-198,0,4.2,4.3,-147,0.1,-156,4.2
-510,756,-154,-147,-152,NA,-174,NA,6.4,8.3,-144,1,-166,4.8
-518,758,-154,-153,-145,1.2,NA,NA,2.2,0.7,-151,1.9,-168,1.9
-526,760,-157,-158,-165,NA,NA,NA,7.3,5.4,-157,2.6,-144,1.2
-535,762,-156,-154,-144,1.5,-202,NA,1.5,1.4,-154,7.9,-173,0.9
-543,764,-156,-154,-149,0.4,NA,NA,0.3,0.5,-151,9.4,-175,2.7
-551,766,-155,-153,-142,3.5,-191,2.3,0.2,0.6,-147,1.9,-166,1.5
-559,768,-158,-161,NA,NA,-174,NA,0.2,0.4,-149,2.4,-166,0.4
-567,770,-157,-153,-151,1,-175,NA,0.9,1.1,-151,2.4,-177,0.6
-575,772,-152,-152,-141,6,NA,NA,3.3,1,-152,0.9,-173,4.9
-583,774,-159,-155,-146,4.5,-185,NA,1.2,0.3,-153,0.9,-179,1.1
-591,776,-155,-151,NA,NA,-173,6.2,0.1,1.7,-140,9.5,-174,1.3
-600,778,-156,-152,-135,9.9,-191,4.7,2.4,1.6,-143,1.5,-174,1
-608,780,-156,-155,-135,2.4,-191,3.8,1.3,0.4,-147,0.9,-179,1.2
-616,782,-156,-151,NA,NA,-180,5.1,2.3,0.2,-145,1.9,-179,2.2
-624,784,NA,-154,-156,NA,NA,NA,NA,0.1,-151,0.4,-174,0.8
-632,786,-149,NA,NA,NA,-189,9.9,0.6,NA,-129,7.8,-177,0.8
-640,788,-155,-150,-134,2.2,NA,NA,3,2,-146,1,-179,1.9
-648,790,-154,-153,NA,NA,-184,5.1,0.3,0.1,-144,2.5,-181,1
-657,792,NA,-158,NA,NA,-167,5.3,NA,5.4,-153,6.9,-175,1.7
-665,794,-154,-151,NA,NA,-177,7.4,1.4,0.4,-140,3.6,-174,1.7
-673,796,-162,-159,-148,4.8,NA,NA,1.5,0.1,NA,NA,-175,3.4
-681,798,-159,-156,NA,NA,-174,NA,2.1,3.5,-146,0.1,-182,0.7
-689,800,NA,NA,NA,NA,-170,0.3,NA,NA,NA,NA,-156,3.5
-697,802,-152,NA,NA,NA,-171,8.8,1.6,NA,-133,1.8,-161,8.2
-705,804,-156,-151,NA,NA,-175,4.3,2.4,4,-142,0.6,-173,2
-714,806,-149,-146,NA,NA,-176,5.1,0.6,2.8,-139,3.2,-171,2
-722,808,-149,-146,NA,NA,-174,1.3,0.9,4.1,-131,2.5,-153,0.7
-730,810,-153,-146,NA,NA,-172,2.3,3.9,2.9,-132,8.5,-172,2.6
-734,811,-137,NA,NA,NA,-161,3.2,0.9,NA,NA,NA,NA,NA
-738,812,-123,-121,NA,NA,-138,3.8,2,1.3,-118,6.4,-127,2.2
-746,814,-129,-126,NA,NA,-138,0.2,0.7,5.1,-125,2.9,-144,3.5
-754,816,NA,-148,NA,NA,NA,NA,NA,4.5,NA,NA,-138,1.8
-762,818,-129,-128,NA,NA,-139,2.2,1.6,0.7,-137,5.5,-140,1.3
-771,820,NA,NA,NA,NA,-154,NA,NA,NA,-177,NA,-144,NA
-779,822,-143,-140,NA,NA,-159,5.1,2.2,2.4,-127,5.1,-155,0.9
-787,824,-138,-155,NA,NA,-159,NA,NA,NA,-149,NA,-158,NA
-795,826,-120,-101,NA,NA,NA,NA,6.8,3.1,NA,NA,-116,2.3
-803,828,-138,-132,NA,NA,-147,2.7,0.9,1.4,-140,0.1,-141,0.5
-811,830,-150,-152,-142,4.2,-170,1.6,0.8,1.1,-148,0.2,-172,0.4
-819,832,NA,NA,NA,NA,-154,NA,NA,NA,-146,NA,-136,NA
-828,834,-142,-139,NA,NA,-151,2,1.7,0.5,-140,0.7,-162,1.3
-836,836,NA,NA,NA,NA,-135,NA,NA,NA,-187,NA,-129,NA
-844,838,-142,-140,NA,NA,-152,1.9,1.4,2.2,-134,3.4,-164,2.5
-852,840,-144,-142,NA,NA,-148,4,1.8,1.6,-141,4,-152,2.4
-860,842,-138,-139,-147,7.6,-148,2.7,0.6,0.1,-153,3.7,-174,0.3
-868,844,-140,-128,NA,NA,-143,2.4,0.8,2.3,-129,0.3,-149,0.4
-876,846,-124,-127,NA,NA,-128,9.9,4.6,1.9,-127,4.4,-153,2.3
-885,848,-141,-132,NA,NA,-149,7.6,2,0.3,-131,0.7,-149,0.2
-893,850,-139,-134,NA,NA,-143,3.3,0.8,1.5,-135,3.6,-152,1.8
-901,852,-155,-150,NA,NA,-151,0.7,2.8,1.8,-147,3.5,-150,1.8
-909,854,-151,-151,-138,4.5,-162,5.6,2.2,0.8,-136,2.7,-162,0.5
-917,856,-153,-151,NA,NA,-155,4.6,2.5,4.9,-143,1.5,-156,0.8
-925,858,-155,-146,-140,5.1,-162,5.7,1.7,6.5,-144,0.9,-163,3.5
-933,860,-151,-147,NA,NA,-155,2.7,1.1,0.7,-138,3,-155,0.5
-942,862,-154,-151,-142,5.7,-164,1.9,1,0.5,-142,1.2,-166,3.2
-950,864,-152,-148,-138,1.2,-163,1.9,3.1,3.3,-140,1.9,-158,6.1
-958,866,-158,-155,-141,1,-169,1.3,3,2.4,-142,2.3,-166,3
-966,868,-150,-146,NA,NA,-168,4.8,2.4,2.3,-140,1.6,-165,1.6
-974,870,-153,-152,NA,NA,-174,1.2,1.8,1.9,-146,2.7,-177,1.1
-982,872,-146,-143,NA,NA,-166,1.7,0.7,2.6,-134,6.2,-166,0.8
