depth (cm) [1-1],year (AD) [1-1],d18O (permil) [1-1],year (AD) [1-2],d18O (permil) [1-2]
114.4,1922.37,-4.01,1896.75,-3.64
114.55,1922.26,-4.04,1896.58,-3.66
114.7,1922.15,-4.16,1896.42,-3.93
114.9,1922,-4.29,1896.25,-3.94
115.1,1921.86,-4.11,1896.08,-4.19
115.3,1921.71,-3.88,1895.92,-4.04
115.55,1921.56,-4.26,1895.75,-3.76
115.75,1921.44,-4.37,1895.58,-3.74
115.9,1921.34,-4.42,1895.42,-3.95
116.25,1921.13,-4.14,1895.25,-4.03
116.5,1920.98,-4.19,1895.08,-3.71
116.75,1920.83,-3.85,1894.92,-3.76
116.95,1920.71,-3.64,1894.75,-3.51
117.15,1920.55,-4.3,1894.58,-4
117.4,1920.36,-4.3,1894.42,-4.15
117.65,1920.17,-3.93,1894.25,-4.17
117.75,1920.09,-4.13,1894.08,-4.04
118,1919.9,-3.86,1893.92,-3.95
118.25,1919.71,-3.66,1893.75,-3.53
118.4,1919.6,-3.92,1893.58,-3.83
118.55,1919.49,-3.98,1893.42,-3.8
118.75,1919.35,-4.01,1893.25,-3.97
119,1919.17,-3.95,1893.08,-4.18
119.25,1918.99,-3.8,1892.92,-3.89
119.45,1918.85,-3.77,1892.75,-3.5
119.65,1918.71,-3.75,1892.58,-3.58
119.85,1918.59,-3.81,1892.42,-3.74
120.1,1918.44,-4.23,1892.25,-3.83
120.3,1918.33,-4.28,1892.08,-3.87
120.5,1918.21,-4.42,1891.92,-3.92
120.8,1918.03,-4.23,1891.75,-3.58
120.95,1917.94,-4.2,1891.58,-3.75
121.15,1917.83,-3.89,1891.42,-4.11
121.35,1917.71,-3.59,1891.25,-3.97
121.6,1917.57,-3.85,1891.08,-3.86
121.8,1917.46,-3.82,1890.92,-3.69
122,1917.35,-4.08,1890.75,-3.67
122.2,1917.24,-4.05,1890.58,-4.07
122.45,1917.1,-4.12,1890.42,-4.25
122.7,1916.96,-3.65,1890.25,-4.02
122.95,1916.82,-3.65,1890.08,-3.92
123.15,1916.71,-3.58,1889.92,-3.75
123.35,1916.57,-4.01,1889.75,-3.54
123.6,1916.39,-4.02,1889.58,-3.61
123.8,1916.24,-3.84,1889.42,-3.89
124,1916.1,-4,1889.25,-4.08
124.2,1915.96,-4.15,1889.08,-4.04
124.35,1915.85,-3.94,1888.92,-3.93
124.55,1915.71,-3.75,1888.75,-3.39
124.8,1915.6,-3.85,1888.58,-3.64
125.05,1915.5,-4.11,1888.42,-3.82
125.3,1915.4,-3.99,1888.25,-4.22
125.5,1915.31,-4.18,1888.08,-4.19
125.7,1915.23,-4.25,1887.92,-3.8
125.95,1915.12,-4.02,1887.75,-3.5
126.15,1915.04,-4.42,1887.58,-3.63
126.35,1914.96,-3.71,1887.42,-3.82
126.55,1914.87,-3.51,1887.25,-3.89
126.75,1914.79,-3.59,1887.08,-3.95
126.95,1914.71,-3.2,1886.92,-3.72
127.25,1914.44,-4.11,1886.75,-3.52
127.45,1914.25,-3.86,1886.58,-3.65
127.65,1914.07,-3.88,1886.42,-3.81
127.85,1913.89,-3.64,1886.25,-3.82
128.05,1913.71,-3.49,1886.08,-4.01
128.3,1913.54,-4.05,1885.92,-3.91
128.5,1913.4,-3.96,1885.75,-3.61
128.8,1913.19,-3.69,1885.58,-3.78
129.05,1913.02,-4.03,1885.42,-3.93
129.3,1912.85,-4.12,1885.25,-3.98
129.5,1912.71,-3.47,1885.08,-3.84
129.7,1912.55,-3.69,1884.92,-3.8
129.9,1912.4,-3.95,1884.75,-3.6
130.2,1912.17,-4.02,1884.58,-3.75
130.4,1912.02,-3.86,1884.42,-3.96
130.6,1911.86,-3.85,1884.25,-3.99
130.8,1911.71,-3.56,1884.08,-4.06
131.05,1911.52,-3.89,1883.92,-3.81
131.3,1911.32,-3.96,1883.75,-3.5
131.55,1911.13,-4.21,1883.58,-3.63
131.7,1911.02,-4.33,1883.42,-3.79
131.95,1910.82,-3.81,1883.25,-3.85
132.1,1910.71,-3.5,1883.08,-4.1
132.45,1910.5,-3.78,1882.92,-4
132.85,1910.25,-4.23,1882.75,-3.67
133.05,1910.13,-4.17,1882.58,-3.61
133.25,1910.01,-4.48,1882.42,-3.91
133.5,1909.86,-3.68,1882.25,-4.15
133.75,1909.71,-3.63,1882.08,-4.1
133.95,1909.52,-4.22,1881.92,-3.91
134.15,1909.33,-4.08,1881.75,-3.76
134.4,1909.09,-4.3,1881.58,-3.98
134.6,1908.9,-4.21,1881.42,-4.31
134.8,1908.71,-3.59,1881.25,-4.09
135,1908.59,-3.73,1881.08,-4.03
135.15,1908.51,-3.97,1880.92,-3.88
135.35,1908.39,-3.85,1880.75,-3.75
135.55,1908.28,-3.9,1880.58,-4.12
135.75,1908.17,-3.83,1880.42,-4.17
135.9,1908.08,-3.77,1880.25,-4.29
136.1,1907.97,-3.69,1880.08,-4.19
136.35,1907.82,-3.74,1879.92,-4.16
136.55,1907.71,-3.64,1879.75,-3.86
136.75,1907.59,-3.98,1879.58,-3.83
136.95,1907.48,-4.19,1879.42,-4.32
137.15,1907.37,-4.4,1879.25,-4.54
137.35,1907.25,-4.1,1879.08,-4.14
137.55,1907.14,-4.09,1878.92,-3.78
137.85,1906.97,-3.78,1878.75,-3.63
138.1,1906.82,-3.56,1878.58,-3.89
138.3,1906.71,-3.4,1878.42,-3.82
138.45,1906.58,-3.6,1878.25,-4.09
138.6,1906.45,-4.07,1878.08,-4.07
138.8,1906.27,-3.82,1877.92,-3.98
139,1906.1,-4.38,1877.75,-3.71
139.25,1905.88,-3.66,1877.58,-3.81
139.45,1905.71,-3.41,1877.42,-4.02
139.65,1905.51,-3.9,1877.25,-4.05
139.85,1905.31,-3.88,1877.08,-3.99
140.05,1905.11,-3.84,1876.92,-3.95
140.25,1904.91,-4.08,1876.75,-3.84
140.45,1904.71,-3.47,1876.58,-3.86
140.6,1904.63,-3.73,1876.42,-4.05
140.8,1904.52,-3.77,1876.25,-3.96
141,1904.42,-3.91,1876.08,-4.24
141.2,1904.31,-4.02,1875.92,-4.14
141.4,1904.21,-4.15,1875.75,-3.84
141.55,1904.13,-4,1875.58,-3.87
141.75,1904.02,-3.83,1875.42,-4.13
141.95,1903.92,-3.64,1875.25,-4.23
142.15,1903.81,-3.56,1875.08,-4.21
142.35,1903.71,-3.52,1874.92,-4.12
142.55,1903.5,-3.86,1874.75,-3.82
142.7,1903.34,-3.75,1874.58,-3.7
142.9,1903.13,-3.77,1874.42,-4.05
143.1,1902.92,-3.66,1874.25,-4.31
143.3,1902.71,-3.84,1874.08,-4.24
143.55,1902.55,-3.86,1873.92,-4.05
143.75,1902.42,-3.96,1873.75,-3.8
143.95,1902.29,-4.01,1873.58,-3.87
144.15,1902.16,-4.1,1873.42,-4.32
144.4,1902,-3.86,1873.25,-4.42
144.65,1901.84,-3.86,1873.08,-4.41
144.85,1901.71,-3.62,1872.92,-4.24
145.1,1901.52,-3.95,1872.75,-3.87
145.3,1901.37,-3.88,1872.58,-3.94
145.5,1901.23,-4.14,1872.42,-4.14
145.7,1901.08,-4.12,1872.25,-4.15
145.95,1900.89,-4.05,1872.08,-4.18
146.2,1900.71,-3.49,1871.92,-3.89
146.45,1900.57,-3.84,1871.75,-3.76
146.65,1900.46,-4.09,1871.58,-3.84
146.95,1900.3,-4.21,1871.42,-4.01
147.1,1900.22,-4.04,1871.25,-4.03
147.25,1900.14,-4.2,1871.08,-4.06
147.45,1900.03,-4.08,1870.92,-4.05
147.65,1899.92,-3.78,1870.75,-3.75
147.85,1899.82,-3.82,1870.58,-3.87
148.05,1899.71,-3.7,1870.42,-4.24
148.25,1899.58,-3.95,1870.25,-4.19
148.4,1899.48,-4.14,1870.08,-3.93
148.6,1899.35,-4.35,1869.92,-3.95
148.8,1899.22,-3.98,1869.75,-3.71
149,1899.1,-3.92,1869.58,-3.79
149.2,1898.97,-3.81,1869.42,-3.92
149.35,1898.87,-3.76,1869.25,-4.05
149.6,1898.71,-3.66,1869.08,-4.08
149.85,1898.51,-3.91,1868.92,-3.87
150.05,1898.35,-4.01,1868.75,-3.81
150.25,1898.19,-4.15,1868.58,-4.12
150.5,1897.99,-3.78,1868.42,-4.13
150.75,1897.79,-3.63,1868.25,-4.21
150.85,1897.71,-3.36,1868.08,-4.23
151.05,1897.61,-3.71,1867.92,-4.18
151.3,1897.48,-3.82,1867.75,-3.66
151.6,1897.32,-3.63,1867.58,-3.74
151.8,1897.22,-3.98,1867.42,-3.7
152,1897.12,-3.86,1867.25,-3.92
152.2,1897.02,-3.9,1867.08,-3.99
152.35,1896.94,-3.89,1866.92,-3.93
152.55,1896.84,-3.88,1866.75,-3.54
152.8,1896.71,-3.53,1866.58,-3.66
153.05,1896.55,-3.7,1866.42,-3.86
153.3,1896.39,-3.99,1866.25,-3.83
153.55,1896.22,-3.93,1866.08,-3.78
153.75,1896.1,-4.21,1865.92,-3.75
153.9,1896,-4.08,1865.75,-3.52
154.15,1895.84,-4.01,1865.58,-3.59
154.35,1895.71,-3.64,1865.42,-3.76
154.55,1895.6,-3.72,1865.25,-3.88
154.8,1895.46,-3.91,1865.08,-3.85
155.05,1895.32,-4.05,1864.92,-4.2
155.3,1895.18,-4,1864.75,-3.69
155.5,1895.07,-3.66,1864.58,-3.69
155.7,1894.96,-3.89,1864.42,-3.91
155.9,1894.85,-3.55,1864.25,-4.02
156.15,1894.71,-3.49,1864.08,-4.15
156.35,1894.55,-4.12,1863.92,-3.95
156.6,1894.36,-4.17,1863.75,-3.58
156.8,1894.21,-4.17,1863.58,-3.62
157,1894.05,-4.01,1863.42,-4.16
157.25,1893.86,-3.93,1863.25,-4.6
157.45,1893.71,-3.38,1863.08,-4.15
157.65,1893.57,-3.87,1862.92,-3.94
157.85,1893.44,-3.79,1862.75,-3.72
158.05,1893.31,-3.82,1862.58,-3.77
158.3,1893.14,-4.26,1862.42,-4.21
158.6,1892.94,-4,1862.25,-4.26
158.75,1892.84,-3.54,1862.08,-4.02
158.95,1892.71,-3.48,1861.92,-3.91
159.1,1892.55,-3.61,1861.75,-3.64
159.3,1892.34,-3.81,1861.58,-3.77
159.5,1892.13,-3.86,1861.42,-3.95
159.7,1891.92,-3.93,1861.25,-4.02
159.9,1891.71,-3.49,1861.08,-4.01
160.1,1891.58,-3.76,1860.92,-3.86
160.25,1891.48,-4.06,1860.75,-3.61
160.45,1891.35,-4.16,1860.58,-3.56
160.7,1891.19,-3.87,1860.42,-3.77
160.85,1891.1,-3.84,1860.25,-3.88
160.95,1891.03,-3.94,1860.08,-3.99
161.05,1890.97,-3.87,1859.92,-4.04
161.18,1890.89,-3.57,1859.75,-3.67
161.3,1890.8,-3.64,1859.58,-3.57
161.38,1890.76,-3.69,1859.42,-3.76
161.45,1890.71,-3.55,1859.25,-3.98
161.53,1890.65,-4.01,1859.08,-3.83
161.6,1890.58,-4.07,1858.92,-3.42
161.73,1890.48,-4.32,1858.75,-3.3
161.85,1890.37,-4.21,1858.58,-3.74
162,1890.25,-4.02,1858.42,-3.54
162.08,1890.19,-4.03,1858.25,-4.03
162.15,1890.12,-3.93,1858.08,-4.04
162.3,1890,-3.9,1857.92,-4.02
162.4,1889.92,-3.75,1857.75,-3.46
162.5,1889.83,-3.55,1857.58,-3.8
162.65,1889.71,-3.53,1857.42,-3.94
162.75,1889.64,-3.54,1857.25,-3.96
162.85,1889.57,-3.64,1857.08,-4.01
162.95,1889.49,-3.8,1856.92,-3.87
163.05,1889.42,-3.89,1856.75,-3.59
163.15,1889.35,-3.9,1856.58,-3.69
163.25,1889.28,-4.04,1856.42,-3.9
163.35,1889.21,-4.13,1856.25,-4.1
163.45,1889.14,-4.11,1856.08,-4.19
163.55,1889.07,-4.02,1855.92,-3.94
163.65,1888.99,-3.98,1855.75,-3.46
163.8,1888.89,-3.91,1855.58,-3.67
163.93,1888.8,-3.46,1855.42,-3.99
164.05,1888.71,-3.34,1855.25,-3.74
164.18,1888.6,-3.61,1855.08,-3.63
164.3,1888.49,-3.81,1854.92,-4
164.45,1888.36,-3.82,1854.75,-3.66
164.55,1888.27,-4.16,1854.58,-3.55
164.65,1888.19,-4.37,1854.42,-3.53
164.78,1888.08,-4.18,1854.25,-3.5
164.9,1887.97,-4.02,1854.08,-3.48
165,1887.88,-3.66,1853.92,-3.46
165.1,1887.79,-3.52,1853.75,-3.44
165.2,1887.71,-3.48,1853.58,-3.66
165.3,1887.62,-3.54,1853.42,-3.55
165.4,1887.53,-3.75,1853.25,-3.93
165.5,1887.45,-3.81,1853.08,-3.9
165.7,1887.27,-3.87,1852.92,-3.92
165.9,1887.1,-3.98,1852.75,-3.68
166,1887.01,-3.83,1852.58,-3.85
166.2,1886.84,-3.63,1852.42,-4
166.35,1886.71,-3.48,1852.25,-4.04
166.43,1886.64,-3.69,1852.08,-4.13
166.5,1886.57,-3.64,1851.92,-4.01
166.6,1886.48,-3.82,1851.75,-3.68
166.7,1886.38,-3.81,1851.58,-3.71
166.9,1886.2,-3.82,1851.42,-4.07
166.98,1886.13,-4,1851.25,-4
167.05,1886.06,-4.01,1851.08,-3.99
167.18,1885.94,-3.96,1850.92,-3.82
167.3,1885.82,-3.73,1850.75,-3.59
167.43,1885.71,-3.55,1850.58,-3.68
167.55,1885.63,-3.69,1850.42,-3.87
167.65,1885.57,-3.82,1850.25,-3.96
167.75,1885.5,-3.91,1850.08,-3.9
167.9,1885.41,-3.94,1849.92,-3.94
168.05,1885.31,-4.06,1849.75,-3.71
168.15,1885.25,-3.97,1849.58,-3.9
168.25,1885.18,-4.02,1849.42,-4.16
168.35,1885.12,-3.96,1849.25,-4
168.45,1885.06,-3.75,1849.08,-3.88
168.6,1884.96,-3.94,1848.92,-3.64
168.73,1884.88,-3.69,1848.75,-3.5
168.85,1884.8,-3.85,1848.58,-3.65
168.93,1884.76,-3.61,1848.42,-3.75
169,1884.71,-3.49,1848.25,-3.76
169.15,1884.53,-3.86,1848.08,-3.66
169.25,1884.41,-3.96,1847.92,-3.36
169.35,1884.3,-3.95,1847.75,-3.36
169.48,1884.15,-4.07,1847.58,-3.74
169.6,1884,-4.05,1847.42,-3.92
169.73,1883.86,-3.64,1847.25,-3.67
169.85,1883.71,-3.44,1847.08,-4.23
169.98,1883.6,-3.6,1846.92,-3.98
170.1,1883.49,-3.79,1846.75,-3.5
170.3,1883.32,-3.8,1846.58,-3.7
170.4,1883.23,-3.87,1846.42,-3.93
170.5,1883.14,-4.03,1846.25,-4.05
170.6,1883.06,-4.13,1846.08,-3.92
170.7,1882.97,-4.05,1845.92,-3.74
170.8,1882.88,-3.96,1845.75,-3.41
170.9,1882.79,-3.78,1845.58,-3.88
171,1882.71,-3.57,1845.42,-4.23
171.13,1882.64,-3.67,1845.25,-4.08
171.25,1882.57,-3.59,1845.08,-3.93
171.35,1882.51,-3.76,1844.92,-3.8
171.45,1882.45,-3.76,1844.75,-3.67
171.6,1882.37,-4.15,1844.58,-4
171.7,1882.31,-3.94,1844.42,-3.93
171.8,1882.25,-4.15,1844.25,-3.96
171.9,1882.19,-4.11,1844.08,-3.76
172,1882.14,-4.13,1843.92,-3.71
172.1,1882.08,-4.1,1843.75,-3.53
172.2,1882.02,-3.94,1843.58,-3.85
172.33,1881.95,-3.87,1843.42,-3.99
172.45,1881.88,-3.95,1843.25,-4.13
172.55,1881.82,-3.72,1843.08,-3.93
172.65,1881.77,-3.79,1842.92,-3.71
172.75,1881.71,-3.67,1842.75,-3.51
172.85,1881.64,-3.85,1842.58,-3.61
172.95,1881.57,-4.01,1842.42,-3.9
173.05,1881.5,-4.12,1842.25,-3.91
173.15,1881.43,-4.31,1842.08,-3.66
173.25,1881.36,-4.3,1841.92,-3.5
173.35,1881.29,-4.13,1841.75,-3.33
173.45,1881.23,-4.07,1841.58,-3.39
173.55,1881.16,-4.08,1841.42,-3.66
173.65,1881.09,-4.03,1841.25,-3.96
173.8,1880.98,-3.93,1841.08,-4.08
173.95,1880.88,-3.85,1840.92,-4.01
174.08,1880.79,-3.83,1840.75,-3.65
174.2,1880.71,-3.69,1840.58,-3.6
174.3,1880.64,-3.94,1840.42,-3.64
174.4,1880.56,-4.19,1840.25,-3.72
174.5,1880.49,-4.2,1840.08,-3.67
174.6,1880.42,-4.17,1839.92,-3.54
174.8,1880.27,-4.3,1839.75,-3.37
175,1880.13,-4.2,1839.58,-3.54
175.13,1880.04,-4.19,1839.42,-3.75
175.25,1879.94,-4.18,1839.25,-3.9
175.35,1879.87,-4.13,1839.08,-3.94
175.45,1879.8,-3.97,1838.92,-3.63
175.58,1879.71,-3.77,1838.75,-3.34
175.7,1879.64,-3.8,1838.58,-3.44
175.85,1879.57,-3.84,1838.42,-3.85
175.98,1879.5,-4.26,1838.25,-4.03
176.1,1879.44,-4.26,1838.08,-3.97
176.23,1879.37,-4.48,1837.92,-3.43
176.35,1879.31,-4.67,1837.75,-3.36
176.75,1879.1,-4.18,1837.58,-3.82
176.9,1879.02,-3.97,1837.42,-3.87
177.1,1878.92,-3.77,1837.25,-3.75
177.3,1878.81,-3.63,1837.08,-3.49
177.5,1878.71,-3.63,1836.92,-3.51
177.7,1878.57,-3.92,1836.75,-3.39
177.85,1878.46,-3.73,1836.58,-3.43
178.05,1878.32,-4.04,1836.42,-3.68
178.25,1878.17,-4.15,1836.25,-3.98
178.45,1878.03,-4.02,1836.08,-4.14
178.65,1877.89,-3.97,1835.92,-3.92
178.9,1877.71,-3.63,1835.75,-3.47
179.05,1877.57,-3.83,1835.58,-3.52
179.25,1877.37,-4.08,1835.42,-3.88
179.45,1877.18,-4.04,1835.25,-4.18
179.6,1877.04,-3.97,1835.08,-4.34
179.8,1876.85,-3.93,1834.92,-4.1
179.95,1876.71,-3.8,1834.75,-3.45
180.15,1876.58,-3.87,1834.58,-3.77
180.35,1876.45,-4.08,1834.42,-4.04
180.55,1876.32,-3.97,1834.25,-3.97
180.7,1876.22,-3.96,1834.08,-3.73
180.95,1876.06,-4.28,1833.92,-3.63
181.1,1875.97,-4.21,1833.75,-3.46
181.3,1875.84,-4.03,1833.58,-3.67
181.5,1875.71,-3.75,1833.42,-3.8
181.75,1875.55,-3.9,1833.25,-3.76
181.95,1875.42,-4.12,1833.08,-3.92
182.15,1875.29,-4.23,1832.92,-3.91
182.35,1875.16,-4.24,1832.75,-3.5
182.6,1875,-4.17,1832.58,-3.54
182.85,1874.84,-4.07,1832.42,-3.74
183.05,1874.71,-3.7,1832.25,-3.89
183.3,1874.56,-3.7,1832.08,-3.98
183.55,1874.41,-4.08,1831.92,-3.94
183.75,1874.28,-4.31,1831.75,-3.8
183.95,1874.16,-4.29,1831.58,-3.8
184.15,1874.04,-4.21,1831.42,-3.96
184.35,1873.92,-4.06,1831.25,-3.86
184.5,1873.83,-3.82,1831.08,-4.05
184.7,1873.71,-3.79,1830.92,-3.73
184.85,1873.57,-3.88,1830.75,-3.58
185.05,1873.39,-4.39,1830.58,-3.99
185.2,1873.25,-4.42,1830.42,-4.1
185.4,1873.07,-4.41,1830.25,-4.17
185.6,1872.89,-4.21,1830.08,-3.98
185.8,1872.71,-3.77,1829.92,-3.78
186.1,1872.45,-4.14,1829.75,-3.48
186.3,1872.27,-4.14,1829.58,-3.92
186.5,1872.1,-4.21,1829.42,-3.86
186.7,1871.93,-3.9,1829.25,-4.02
186.95,1871.71,-3.72,1829.08,-3.92
187.15,1871.6,-3.82,1828.92,-3.83
187.35,1871.49,-3.96,1828.75,-3.53
187.6,1871.35,-4.06,1828.58,-3.62
187.8,1871.24,-4.03,1828.42,-4.16
188,1871.12,-4.01,1828.25,-4.02
188.2,1871.01,-4.15,1828.08,-3.82
188.4,1870.9,-4.04,1827.92,-3.71
188.55,1870.82,-3.78,1827.75,-3.54
188.75,1870.71,-3.73,1827.58,-3.59
188.95,1870.57,-3.89,1827.42,-3.67
189.2,1870.39,-4.31,1827.25,-3.78
189.45,1870.21,-4.15,1827.08,-3.96
189.65,1870.07,-3.9,1826.92,-3.72
189.85,1869.92,-3.96,1826.75,-3.29
190.15,1869.71,-3.65,1826.58,-3.72
190.3,1869.6,-3.78,1826.42,-4.12
190.45,1869.5,-3.82,1826.25,-4.17
190.65,1869.36,-3.98,1826.08,-3.9
190.85,1869.23,-4.06,1825.92,-3.63
191.05,1869.09,-4.08,1825.75,-3.39
191.25,1868.95,-3.89,1825.58,-3.53
191.45,1868.81,-3.81,1825.42,-3.89
191.6,1868.71,-3.81,1825.25,-4.13
191.75,1868.59,-4.12,1825.08,-4.22
192,1868.4,-4.13,1824.92,-3.98
192.25,1868.21,-4.23,1824.75,-3.45
192.45,1868.05,-4.23,1824.58,-3.66
192.7,1867.86,-4.16,1824.42,-4.21
192.9,1867.71,-3.47,1824.25,-4.55
193.15,1867.55,-3.82,1824.08,-4.44
193.35,1867.42,-3.7,1823.92,-4.16
193.55,1867.29,-3.89,1823.75,-3.44
193.8,1867.13,-4,1823.58,-3.65
194,1867,-3.96,1823.42,-3.67
194.2,1866.87,-3.91,1823.25,-3.73
194.45,1866.71,-3.42,1823.08,-4.01
194.7,1866.59,-3.66,1822.92,-4.21
194.95,1866.47,-3.72,1822.75,-3.29
195.2,1866.35,-4.04,1822.58,-3.29
195.45,1866.23,-3.79,1822.42,-3.57
195.65,1866.14,-3.78,1822.25,-3.72
195.9,1866.02,-3.79,1822.08,-3.67
196.15,1865.9,-3.74,1821.92,-3.53
196.35,1865.8,-3.57,1821.75,-3.36
196.55,1865.71,-3.49,1821.58,-3.36
196.75,1865.51,-3.65,1821.42,-3.67
196.95,1865.31,-3.9,1821.25,-4
197.2,1865.06,-3.84,1821.08,-3.84
197.4,1864.86,-4.35,1820.92,-3.71
197.55,1864.71,-3.43,1820.75,-3.44
197.8,1864.56,-3.73,1820.58,-3.62
198,1864.44,-3.89,1820.42,-3.9
198.2,1864.33,-3.96,1820.25,-3.94
198.35,1864.24,-4.03,1820.08,-3.87
198.55,1864.12,-4.17,1819.92,-3.62
198.8,1863.97,-4.07,1819.75,-3.41
199.05,1863.83,-3.74,1819.58,-3.66
199.25,1863.71,-3.49,1819.42,-3.96
199.45,1863.59,-3.61,1819.25,-3.8
199.7,1863.44,-4.08,1819.08,-3.82
199.95,1863.28,-4.7,1818.92,-3.98
200.15,1863.16,-4.31,1818.75,-3.58
200.35,1863.04,-4.06,1818.58,-3.47
200.55,1862.92,-3.95,1818.42,-3.57
200.75,1862.8,-3.72,1818.25,-3.65
200.9,1862.71,-3.72,1818.08,-3.74
201.1,1862.59,-3.73,1817.92,-3.99
201.3,1862.48,-4.18,1817.75,-3.71
201.5,1862.37,-4.23,1817.58,-3.73
201.75,1862.22,-4.27,1817.42,-3.91
202,1862.08,-4.01,1817.25,-4.04
202.25,1861.94,-3.96,1817.08,-3.79
202.45,1861.82,-3.68,1816.92,-3.73
202.65,1861.71,-3.62,1816.75,-3.65
202.95,1861.46,-3.93,1816.58,-3.67
203.15,1861.29,-4.02,1816.42,-3.8
203.35,1861.12,-4.04,1816.25,-3.74
203.55,1860.96,-3.92,1816.08,-3.59
203.85,1860.71,-3.55,1815.92,-3.57
204.05,1860.57,-3.56,1815.75,-3.55
204.3,1860.39,-3.82,1815.58,-3.72
204.5,1860.24,-3.89,1815.42,-3.95
204.75,1860.07,-4,1815.25,-4.07
205,1859.89,-4.04,1815.08,-3.79
205.25,1859.71,-3.56,1814.92,-3.54
205.5,1859.55,-3.57,1814.75,-3.46
205.75,1859.4,-3.79,1814.58,-3.82
205.9,1859.3,-3.89,1814.42,-3.89
206.05,1859.21,-4.06,1814.25,-3.94
206.25,1859.08,-3.83,1814.08,-3.92
206.5,1858.93,-3.43,1813.92,-3.78
206.85,1858.71,-3.27,1813.75,-3.59
207.1,1858.57,-3.78,1813.58,-3.58
207.35,1858.44,-3.5,1813.42,-3.7
207.55,1858.33,-3.74,1813.25,-3.8
207.75,1858.22,-4.13,1813.08,-4.05
207.95,1858.11,-3.89,1812.92,-4.01
208.1,1858.03,-4.3,1812.75,-3.48
208.25,1857.95,-4.11,1812.58,-3.37
208.4,1857.87,-3.91,1812.42,-3.67
208.55,1857.79,-3.48,1812.25,-3.87
208.7,1857.71,-3.44,1812.08,-3.92
208.85,1857.6,-3.78,1811.92,-3.72
209.05,1857.47,-3.94,1811.75,-3.49
209.3,1857.29,-3.94,1811.58,-3.52
209.53,1857.14,-4.03,1811.42,-3.89
209.75,1856.98,-3.99,1811.25,-3.83
209.95,1856.85,-3.75,1811.08,-3.7
210.15,1856.71,-3.52,1810.92,-3.65
210.35,1856.55,-3.74,1810.75,-3.6
210.55,1856.39,-3.93,1810.58,-3.88
210.8,1856.19,-4.18,1810.42,-4.22
211,1856.03,-4.19,1810.25,-4.15
211.2,1855.87,-3.84,1810.08,-3.94
211.4,1855.71,-3.33,1809.92,-3.66
211.65,1855.59,-3.65,1809.75,-3.46
211.85,1855.49,-3.94,1809.58,-3.6
212.05,1855.4,-4,1809.42,-4.23
212.25,1855.3,-3.85,1809.25,-3.99
212.5,1855.18,-3.6,1809.08,-3.87
212.75,1855.07,-3.64,1808.92,-3.83
212.9,1854.99,-3.74,1808.75,-3.4
213.1,1854.9,-4.06,1808.58,-3.46
213.3,1854.8,-3.78,1808.42,-3.6
213.5,1854.71,-3.56,1808.25,-3.9
213.7,1853.71,-3.44,1808.08,-3.87
213.9,1853.62,-3.52,1807.92,-3.57
214.1,1853.54,-3.82,1807.75,-3.48
214.45,1853.39,-3.48,1807.58,-3.77
214.65,1853.3,-3.87,1807.42,-3.68
214.85,1853.22,-3.97,1807.25,-3.88
215.05,1853.13,-3.84,1807.08,-3.64
215.25,1853.05,-3.95,1806.92,-3.47
215.45,1852.96,-3.93,1806.75,-3.33
215.6,1852.9,-3.91,1806.58,-3.53
215.8,1852.81,-3.76,1806.42,-3.59
216.05,1852.71,-3.63,1806.25,-3.96
216.3,1852.5,-4,1806.08,-4.12
216.55,1852.29,-4.01,1805.92,-4.13
216.75,1852.12,-4.14,1805.75,-3.73
216.95,1851.96,-4.1,1805.58,-3.56
217.15,1851.79,-3.72,1805.42,-3.81
217.25,1851.71,-3.63,1805.25,-3.69
217.45,1851.59,-3.71,1805.08,-3.85
217.7,1851.44,-4.08,1804.92,-3.9
217.9,1851.31,-4,1804.75,-3.52
218.1,1851.19,-4,1804.58,-3.45
218.2,1851.13,-4.09,1804.42,-4.04
218.4,1851.01,-3.85,1804.25,-3.88
218.6,1850.89,-3.81,1804.08,-4.14
218.75,1850.8,-3.59,1803.92,-3.88
218.9,1850.71,-3.58,1803.75,-3.44
219.2,1850.53,-3.73,1803.58,-3.57
219.5,1850.34,-3.96,1803.42,-3.87
219.65,1850.25,-3.96,1803.25,-4.12
219.85,1850.13,-3.89,1803.08,-3.83
220.05,1850.01,-3.92,1802.92,-3.36
220.2,1849.92,-3.94,1802.75,-3.27
220.4,1849.8,-3.76,1802.58,-3.78
220.55,1849.71,-3.66,1802.42,-3.98
220.7,1849.61,-3.81,1802.25,-3.79
220.85,1849.51,-4.16,1802.08,-3.71
221.05,1849.38,-4.16,1801.92,-3.62
221.25,1849.25,-4,1801.75,-3.46
221.45,1849.12,-3.95,1801.58,-3.57
221.6,1849.02,-3.75,1801.42,-3.77
221.85,1848.86,-3.58,1801.25,-3.76
222.08,1848.71,-3.47,1801.08,-3.52
222.3,1848.52,-3.75,1800.92,-3.33
222.55,1848.3,-3.74,1800.75,-3.3
222.75,1848.13,-3.79,1800.58,-3.47
222.95,1847.96,-3.36,1800.42,-3.74
223.25,1847.71,-3.35,1800.25,-3.83
223.4,1847.65,-3.37,1800.08,-3.85
223.6,1847.57,-3.84,1799.92,-3.95
223.8,1847.48,-3.85,1799.75,-3.32
224,1847.4,-3.94,1799.58,-3.52
224.3,1847.28,-3.48,1799.42,-3.59
