year (AD) [1-1],d18O (permil) [1-1],year (AD) [1-2],d18O (permil) [1-2],depthice (m) [1-2],depthwe (m) [1-2]
1404,-37.1,1404,-37.1,89.09,61.98
1403,-38,1403,-38,89.2,62.08
1402,-38.5,1402,-38.5,89.32,62.19
1401,-38.6,1401,-38.6,89.44,62.29
1400,-39,1400,-39,89.55,62.39
1399,-38.6,1399,-38.6,89.67,62.49
1398,-36.8,1398,-36.8,89.79,62.59
1397,-35.3,1397,-35.3,89.9,62.69
1396,-34.9,1396,-34.9,90.02,62.79
1395,-35.4,1395,-35.4,90.13,62.89
1394,-36.2,1394,-36.2,90.25,62.99
1393,-36.4,1393,-36.4,90.37,63.09
1392,-37.1,1392,-37.1,90.48,63.19
1391,-38.5,1391,-38.5,90.6,63.29
1390,-38.7,1390,-38.7,90.72,63.39
1389,-38,1389,-38,90.83,63.5
1388,-37.6,1388,-37.6,90.95,63.6
1387,-38,1387,-38,91.06,63.7
1386,-38.9,1386,-38.9,91.18,63.8
1385,-38.2,1385,-38.2,91.3,63.9
1384,-37.4,1384,-37.4,91.41,64
1383,-37.9,1383,-37.9,91.53,64.1
1382,-38,1382,-38,91.64,64.2
1381,-37.6,1381,-37.6,91.76,64.3
1380,-37.8,1380,-37.8,91.88,64.4
1379,-38.3,1379,-38.3,91.99,64.5
1378,-38.1,1378,-38.1,92.11,64.6
1377,-37.7,1377,-37.7,92.22,64.71
1376,-37.5,1376,-37.5,92.34,64.81
1375,-37.9,1375,-37.9,92.45,64.91
1374,-38.4,1374,-38.4,92.57,65.01
1373,-37.9,1373,-37.9,92.69,65.11
1372,-37.2,1372,-37.2,92.8,65.21
1371,-36.7,1371,-36.7,92.92,65.31
1370,-36.5,1370,-36.5,93.03,65.41
1369,-36.6,1369,-36.6,93.15,65.51
1368,-36.4,1368,-36.4,93.26,65.61
1367,-35.8,1367,-35.8,93.38,65.71
1366,-35.7,1366,-35.7,93.5,65.81
1365,-35.9,1365,-35.9,93.61,65.91
1364,-36.2,1364,-36.2,93.73,66.02
1363,-36.9,1363,-36.9,93.84,66.12
1362,-36.9,1362,-36.9,93.96,66.22
1361,-37.3,1361,-37.3,94.07,66.32
1360,-37.6,1360,-37.6,94.19,66.42
1359,-37.3,1359,-37.3,94.31,66.52
1358,-37.5,1358,-37.5,94.42,66.62
1357,-37.8,1357,-37.8,94.54,66.72
1356,-37.1,1356,-37.1,94.65,66.82
1355,-36.8,1355,-36.8,94.77,66.92
1354,-37.5,1354,-37.5,94.88,67.02
1353,-36.8,1353,-36.8,95,67.12
1352,-35.9,1352,-35.9,95.11,67.23
1351,-36.1,1351,-36.1,95.23,67.33
1350,-36.5,1350,-36.5,95.35,67.43
1349,-36.6,1349,-36.6,95.46,67.53
1348,-36.8,1348,-36.8,95.58,67.63
1347,-36.7,1347,-36.7,95.69,67.73
1346,-35.9,1346,-35.9,95.81,67.83
1345,-35.6,1345,-35.6,95.92,67.93
1344,-36.4,1344,-36.4,96.04,68.03
1343,-37.5,1343,-37.5,96.15,68.13
1342,-37.5,1342,-37.5,96.27,68.23
1341,-38,1341,-38,96.38,68.33
1340,-39.2,1340,-39.2,96.5,68.43
1339,-39.5,1339,-39.5,96.61,68.54
1338,-38.4,1338,-38.4,96.73,68.64
1337,-37.1,1337,-37.1,96.85,68.74
1336,-36.5,1336,-36.5,96.96,68.84
1335,-36.4,1335,-36.4,97.08,68.94
1334,-36.6,1334,-36.6,97.19,69.04
1333,-37.2,1333,-37.2,97.31,69.14
1332,-37.5,1332,-37.5,97.42,69.24
1331,-37.4,1331,-37.4,97.54,69.34
1330,-37.3,1330,-37.3,97.65,69.44
1329,-36.7,1329,-36.7,97.77,69.54
1328,-35.8,1328,-35.8,97.88,69.64
1327,-35.3,1327,-35.3,98,69.74
1326,-35.2,1326,-35.2,98.11,69.85
1325,-36.1,1325,-36.1,98.23,69.95
1324,-36.7,1324,-36.7,98.34,70.05
1323,-36.2,1323,-36.2,98.46,70.15
1322,-35.8,1322,-35.8,98.57,70.25
1321,-36.4,1321,-36.4,98.69,70.35
1320,-37.5,1320,-37.5,98.8,70.45
1319,-37.7,1319,-37.7,98.92,70.55
1318,-37.5,1318,-37.5,99.03,70.65
1317,-37.3,1317,-37.3,99.15,70.75
1316,-37.1,1316,-37.1,99.26,70.85
1315,-36.9,1315,-36.9,99.38,70.95
1314,-37.6,1314,-37.6,99.49,71.06
1313,-38,1313,-38,99.61,71.16
1312,-37.7,1312,-37.7,99.72,71.26
1311,-36.9,1311,-36.9,99.84,71.36
1310,-36.3,1310,-36.3,99.95,71.46
1309,-36.2,1309,-36.2,100.07,71.56
1308,-36.7,1308,-36.7,100.18,71.66
1307,-37.3,1307,-37.3,100.3,71.76
1306,-36.6,1306,-36.6,100.41,71.86
1305,-36.1,1305,-36.1,100.53,71.96
1304,-36.9,1304,-36.9,100.64,72.06
1303,-38.1,1303,-38.1,100.76,72.16
1302,-37.9,1302,-37.9,100.87,72.26
1301,-36.9,1301,-36.9,100.99,72.37
1300,-37.3,1300,-37.3,101.1,72.47
1299,-38.2,1299,-38.2,101.22,72.57
1298,-37.8,1298,-37.8,101.33,72.67
1297,-36.6,1297,-36.6,101.45,72.77
1296,-37.1,1296,-37.1,101.56,72.87
1295,-38.1,1295,-38.1,101.68,72.97
1294,-38.4,1294,-38.4,101.79,73.07
1293,-38.2,1293,-38.2,101.91,73.17
1292,-37.3,1292,-37.3,102.02,73.27
1291,-36.4,1291,-36.4,102.14,73.37
1290,-36,1290,-36,102.25,73.47
1289,-36.6,1289,-36.6,102.37,73.58
1288,-37.4,1288,-37.4,102.48,73.68
1287,-36.9,1287,-36.9,102.6,73.78
1286,-36.1,1286,-36.1,102.71,73.88
1285,-35.3,1285,-35.3,102.83,73.98
1284,-35.5,1284,-35.5,102.94,74.08
1283,-35.6,1283,-35.6,103.05,74.18
1282,-35.7,1282,-35.7,103.17,74.28
1281,-36.1,1281,-36.1,103.28,74.38
1280,-36.6,1280,-36.6,103.4,74.48
1279,-36.8,1279,-36.8,103.51,74.58
1278,-36,1278,-36,103.63,74.68
1277,-36.3,1277,-36.3,103.74,74.78
1276,-37.2,1276,-37.2,103.86,74.89
1275,-37.9,1275,-37.9,103.97,74.99
1274,-37.7,1274,-37.7,104.09,75.09
1273,-37,1273,-37,104.2,75.19
1272,-35.9,1272,-35.9,104.32,75.29
1271,-35.2,1271,-35.2,104.43,75.39
1270,-35.2,1270,-35.2,104.54,75.49
1269,-35.8,1269,-35.8,104.66,75.59
1268,-36.7,1268,-36.7,104.77,75.69
1267,-37.3,1267,-37.3,104.89,75.79
1266,-37.9,1266,-37.9,105,75.89
1265,-38.2,1265,-38.2,105.12,75.99
1264,-38.3,1264,-38.3,105.23,76.1
1263,-37.6,1263,-37.6,105.35,76.2
1262,-36.4,1262,-36.4,105.46,76.3
1261,-35.9,1261,-35.9,105.58,76.4
1260,-36.6,1260,-36.6,105.69,76.5
1259,-37.8,1259,-37.8,105.8,76.6
1258,-38.4,1258,-38.4,105.92,76.7
1257,-37.9,1257,-37.9,106.03,76.8
1256,-36.7,1256,-36.7,106.15,76.9
1255,-36,1255,-36,106.26,77
1254,-36.7,1254,-36.7,106.37,77.1
1253,-37.1,1253,-37.1,106.49,77.2
1252,-37,1252,-37,106.6,77.3
1251,-36.4,1251,-36.4,106.72,77.4
1250,-35.8,1250,-35.8,106.83,77.5
1249,-36.1,1249,-36.1,106.94,77.6
1248,-36.6,1248,-36.6,107.06,77.7
1247,-36.8,1247,-36.8,107.17,77.8
1246,-36.4,1246,-36.4,107.28,77.9
1245,-36.1,1245,-36.1,107.4,78
1244,-37.2,1244,-37.2,107.51,78.1
1243,-38.6,1243,-38.6,107.63,78.21
1242,-38.9,1242,-38.9,107.74,78.31
1241,-38.4,1241,-38.4,107.85,78.41
1240,-38.2,1240,-38.2,108.02,78.51
1239,-38,1239,-38,108.13,78.61
1238,-37,1238,-37,108.25,78.71
1237,-36.3,1237,-36.3,108.36,78.81
1236,-36.4,1236,-36.4,108.47,78.91
1235,-36.7,1235,-36.7,108.59,79.01
1234,-36.8,1234,-36.8,108.7,79.11
1233,-36.6,1233,-36.6,108.81,79.21
1232,-36.1,1232,-36.1,108.93,79.31
1231,-36.3,1231,-36.3,109.04,79.41
1230,-36.7,1230,-36.7,109.16,79.51
1229,-36.5,1229,-36.5,109.27,79.61
1228,-35.6,1228,-35.6,109.38,79.71
1227,-34.5,1227,-34.5,109.5,79.81
1226,-34.6,1226,-34.6,109.61,79.91
1225,-36.1,1225,-36.1,109.72,80.01
1224,-37.3,1224,-37.3,109.84,80.11
1223,-37.6,1223,-37.6,109.95,80.21
1222,-37,1222,-37,110.07,80.31
1221,-36.9,1221,-36.9,110.18,80.41
1220,-36.7,1220,-36.7,110.29,80.51
1219,-36.7,1219,-36.7,110.41,80.61
1218,-37,1218,-37,110.52,80.71
1217,-36.7,1217,-36.7,110.63,80.82
1216,-36.3,1216,-36.3,110.75,80.92
1215,-36.6,1215,-36.6,110.86,81.02
1214,-36.7,1214,-36.7,110.97,81.12
1213,-36.2,1213,-36.2,111.09,81.22
1212,-36.4,1212,-36.4,111.2,81.32
1211,-37.6,1211,-37.6,111.32,81.42
1210,-39,1210,-39,111.43,81.52
1209,-38.7,1209,-38.7,111.54,81.62
1208,-37.4,1208,-37.4,111.66,81.72
1207,-36.5,1207,-36.5,111.77,81.82
1206,-35.6,1206,-35.6,111.88,81.92
1205,-35,1205,-35,112,82.02
1204,-35.1,1204,-35.1,112.11,82.12
1203,-36.2,1203,-36.2,112.22,82.22
1202,-36.6,1202,-36.6,112.34,82.32
1201,-36.6,1201,-36.6,112.45,82.42
1200,-37.2,1200,-37.2,112.56,82.52
1199,-37.4,1199,-37.4,112.68,82.62
1198,-36.8,1198,-36.8,112.79,82.72
1197,-36.4,1197,-36.4,112.91,82.82
1196,-36.5,1196,-36.5,113.02,82.92
1195,-37.4,1195,-37.4,113.13,83.02
1194,-38.3,1194,-38.3,113.25,83.12
1193,-38.6,1193,-38.6,113.36,83.22
1192,-37.9,1192,-37.9,113.47,83.32
1191,-36.7,1191,-36.7,113.59,83.42
1190,-36.9,1190,-36.9,113.7,83.53
1189,-38,1189,-38,113.81,83.63
1188,-38.4,1188,-38.4,113.93,83.73
1187,-37,1187,-37,114.04,83.83
1186,-35.6,1186,-35.6,114.15,83.93
1185,-34.8,1185,-34.8,114.27,84.03
1184,-34.5,1184,-34.5,114.38,84.13
1183,-34.1,1183,-34.1,114.49,84.23
1182,-33.8,1182,-33.8,114.61,84.33
1181,-34.7,1181,-34.7,114.72,84.43
1180,-35.4,1180,-35.4,114.83,84.53
1179,-35.6,1179,-35.6,114.95,84.63
1178,-35.9,1178,-35.9,115.06,84.73
1177,-36.2,1177,-36.2,115.17,84.83
1176,-36.2,1176,-36.2,115.29,84.93
1175,-36.1,1175,-36.1,115.4,85.03
1174,-35.7,1174,-35.7,115.51,85.13
1173,-35.8,1173,-35.8,115.63,85.23
1172,-36.5,1172,-36.5,115.74,85.33
1171,-37.5,1171,-37.5,115.85,85.43
1170,-38.3,1170,-38.3,115.97,85.53
1169,-37.7,1169,-37.7,116.08,85.63
1168,-37.6,1168,-37.6,116.19,85.73
1167,-38,1167,-38,116.31,85.83
1166,-37.8,1166,-37.8,116.42,85.93
1165,-37.5,1165,-37.5,116.53,86.03
1164,-37.1,1164,-37.1,116.65,86.14
1163,-35.9,1163,-35.9,116.76,86.24
1162,-35.6,1162,-35.6,116.87,86.34
1161,-35.5,1161,-35.5,116.99,86.44
1160,-34.5,1160,-34.5,117.1,86.54
1159,-34.2,1159,-34.2,117.21,86.64
1158,-34.9,1158,-34.9,117.33,86.74
1157,-35.6,1157,-35.6,117.44,86.84
1156,-36,1156,-36,117.55,86.94
1155,-36,1155,-36,117.67,87.04
1154,-35.6,1154,-35.6,117.78,87.14
1153,-35.7,1153,-35.7,117.89,87.24
1152,-35.3,1152,-35.3,118,87.34
1151,-34.8,1151,-34.8,118.12,87.44
1150,-35.3,1150,-35.3,118.23,87.54
1149,-35.8,1149,-35.8,118.34,87.64
1148,-36.2,1148,-36.2,118.46,87.74
1147,-35.8,1147,-35.8,118.57,87.84
1146,-35.9,1146,-35.9,118.68,87.94
1145,-36.8,1145,-36.8,118.8,88.04
1144,-37.1,1144,-37.1,118.91,88.14
1143,-36.6,1143,-36.6,119.02,88.24
1142,-35.9,1142,-35.9,119.14,88.34
1141,-36.3,1141,-36.3,119.25,88.44
1140,-37.3,1140,-37.3,119.36,88.54
1139,-37.8,1139,-37.8,119.48,88.64
1138,-37.1,1138,-37.1,119.59,88.75
1137,-36.1,1137,-36.1,119.7,88.85
1136,-36.1,1136,-36.1,119.82,88.95
1135,-36.3,1135,-36.3,119.93,89.05
1134,-36.3,1134,-36.3,120.04,89.15
1133,-36,1133,-36,120.15,89.25
1132,-35.7,1132,-35.7,120.27,89.35
1131,-36.2,1131,-36.2,120.38,89.45
1130,-36.7,1130,-36.7,120.49,89.55
1129,-36.8,1129,-36.8,120.61,89.65
1128,-36.8,1128,-36.8,120.72,89.75
1127,-36.8,1127,-36.8,120.83,89.85
1126,-36.3,1126,-36.3,120.95,89.95
1125,-35.2,1125,-35.2,121.06,90.05
1124,-35.1,1124,-35.1,121.17,90.15
1123,-35.6,1123,-35.6,121.29,90.25
1122,-35.9,1122,-35.9,121.4,90.35
1121,-36.1,1121,-36.1,121.51,90.45
1120,-37.5,1120,-37.5,121.62,90.55
1119,-38.2,1119,-38.2,121.74,90.65
1118,-37.1,1118,-37.1,121.85,90.75
1117,-35.7,1117,-35.7,121.96,90.85
1116,-35.2,1116,-35.2,122.08,90.95
1115,-35.9,1115,-35.9,122.19,91.05
1114,-37.7,1114,-37.7,122.3,91.15
1113,-38.5,1113,-38.5,122.41,91.25
1112,-37.5,1112,-37.5,122.53,91.36
1111,-36.4,1111,-36.4,122.64,91.46
1110,-36.3,1110,-36.3,122.75,91.56
1109,-36.7,1109,-36.7,122.87,91.66
1108,-37.1,1108,-37.1,122.98,91.76
1107,-37.4,1107,-37.4,123.09,91.86
1106,-37.1,1106,-37.1,123.21,91.96
1105,-36,1105,-36,123.32,92.06
1104,-35.4,1104,-35.4,123.43,92.16
1103,-35.7,1103,-35.7,123.54,92.26
1102,-36.9,1102,-36.9,123.66,92.36
1101,-37.7,1101,-37.7,123.77,92.46
1100,-37.7,1100,-37.7,123.88,92.56
1099,-37.3,1099,-37.3,124,92.66
1098,-36.2,1098,-36.2,124.11,92.76
1097,-35.2,1097,-35.2,124.22,92.86
1096,-35.2,1096,-35.2,124.33,92.96
1095,-35.5,1095,-35.5,124.45,93.06
1094,-36.2,1094,-36.2,124.56,93.16
1093,-36.5,1093,-36.5,124.67,93.26
1092,-36.6,1092,-36.6,124.79,93.36
1091,-36.9,1091,-36.9,124.9,93.46
1090,-37.4,1090,-37.4,125.01,93.56
1089,-38.4,1089,-38.4,125.13,93.66
1088,-39.4,1088,-39.4,125.24,93.76
1087,-39.5,1087,-39.5,125.35,93.86
1086,-38.5,1086,-38.5,125.46,93.97
1085,-37.3,1085,-37.3,125.58,94.07
1084,-36,1084,-36,125.69,94.17
1083,-35.7,1083,-35.7,125.8,94.27
1082,-36.2,1082,-36.2,125.91,94.37
1081,-36.5,1081,-36.5,126.09,94.47
1080,-36.4,1080,-36.4,126.2,94.57
1079,-35.5,1079,-35.5,126.31,94.67
1078,-35.1,1078,-35.1,126.43,94.77
1077,-35.8,1077,-35.8,126.54,94.87
1076,-36.9,1076,-36.9,126.65,94.97
1075,-36.8,1075,-36.8,126.76,95.07
1074,-35.5,1074,-35.5,126.88,95.17
1073,-34.4,1073,-34.4,126.99,95.27
1072,-35.1,1072,-35.1,127.1,95.37
1071,-36.4,1071,-36.4,127.22,95.47
1070,-37.2,1070,-37.2,127.33,95.57
1069,-37.2,1069,-37.2,127.44,95.67
1068,-36.5,1068,-36.5,127.55,95.77
1067,-35.9,1067,-35.9,127.67,95.87
1066,-35.6,1066,-35.6,127.78,95.97
1065,-35.7,1065,-35.7,127.89,96.07
1064,-36.9,1064,-36.9,128,96.17
1063,-37.8,1063,-37.8,128.12,96.27
1062,-36.8,1062,-36.8,128.23,96.37
1061,-35.9,1061,-35.9,128.34,96.47
1060,-36.4,1060,-36.4,128.46,96.57
1059,-37,1059,-37,128.57,96.68
1058,-37,1058,-37,128.68,96.78
1057,-37.2,1057,-37.2,128.79,96.88
1056,-37.4,1056,-37.4,128.91,96.98
1055,-36.7,1055,-36.7,129.02,97.08
1054,-36.6,1054,-36.6,129.13,97.18
1053,-36.8,1053,-36.8,129.24,97.28
1052,-36.4,1052,-36.4,129.36,97.38
1051,-35.5,1051,-35.5,129.47,97.48
1050,-35,1050,-35,129.58,97.58
1049,-35,1049,-35,129.7,97.68
1048,-35.2,1048,-35.2,129.81,97.78
1047,-35.1,1047,-35.1,129.92,97.88
1046,-34.9,1046,-34.9,130.03,97.98
1045,-35.2,1045,-35.2,130.15,98.08
1044,-36,1044,-36,130.26,98.18
1043,-36.5,1043,-36.5,130.37,98.28
1042,-37,1042,-37,130.48,98.38
1041,-37.5,1041,-37.5,130.6,98.48
1040,-37.5,1040,-37.5,130.71,98.58
1039,-36.6,1039,-36.6,130.82,98.68
1038,-36.4,1038,-36.4,130.93,98.78
1037,-36.6,1037,-36.6,131.05,98.88
1036,-36.3,1036,-36.3,131.16,98.98
1035,-36.1,1035,-36.1,131.27,99.08
1034,-36.1,1034,-36.1,131.39,99.18
1033,-35.9,1033,-35.9,131.5,99.29
1032,-35.8,1032,-35.8,131.61,99.39
1031,-36.7,1031,-36.7,131.72,99.49
1030,-37.3,1030,-37.3,131.84,99.59
1029,-36.7,1029,-36.7,131.95,99.69
1028,-35.9,1028,-35.9,132.06,99.79
1027,-35.3,1027,-35.3,132.17,99.89
1026,-34.9,1026,-34.9,132.29,99.99
1025,-35.5,1025,-35.5,132.4,100.09
1024,-36.5,1024,-36.5,132.51,100.19
1023,-37,1023,-37,132.62,100.29
1022,-37.3,1022,-37.3,132.74,100.39
1021,-37.7,1021,-37.7,132.85,100.49
1020,-37,1020,-37,132.96,100.59
1019,-36.5,1019,-36.5,133.07,100.69
1018,-36.4,1018,-36.4,133.19,100.79
1017,NA,1017,NA,133.3,100.89
1016,NA,1016,NA,133.41,100.99
1015,NA,1015,NA,133.52,101.09
1014,NA,1014,NA,133.64,101.19
1013,NA,1013,NA,133.75,101.29
1012,-35.5,1012,-35.5,133.86,101.39
1011,-36.1,1011,-36.1,133.97,101.49
1010,-36.1,1010,-36.1,134.09,101.59
1009,-35.8,1009,-35.8,134.2,101.69
1008,-36.3,1008,-36.3,134.31,101.8
1007,-36.9,1007,-36.9,134.42,101.9
1006,-36.9,1006,-36.9,134.54,102
1005,-37.2,1005,-37.2,134.65,102.1
1004,-37.6,1004,-37.6,134.76,102.2
1003,-37.2,1003,-37.2,134.87,102.3
1002,-36.6,1002,-36.6,134.99,102.4
1001,-36.8,1001,-36.8,135.1,102.5
1000,-37.5,1000,-37.5,135.21,102.6
999,-37.6,999,-37.6,135.32,102.7
998,-36.5,998,-36.5,135.44,102.8
997,-35.4,997,-35.4,135.55,102.9
996,-36.3,996,-36.3,135.66,103
995,-36.8,995,-36.8,135.77,103.1
994,-37.7,994,-37.7,135.89,103.2
993,-38.7,993,-38.7,136,103.3
992,-39.4,992,-39.4,136.11,103.4
991,-39,991,-39,136.22,103.5
990,-37.7,990,-37.7,136.34,103.6
989,-36,989,-36,136.45,103.7
988,-34.9,988,-34.9,136.56,103.8
987,-35.4,987,-35.4,136.67,103.9
986,-37.1,986,-37.1,136.79,104
985,-38.2,985,-38.2,136.9,104.1
984,-37.7,984,-37.7,137.01,104.2
983,-36.7,983,-36.7,137.12,104.3
982,-36.1,982,-36.1,137.24,104.41
981,-36.9,981,-36.9,137.35,104.51
980,-36.4,980,-36.4,137.46,104.61
979,-35,979,-35,137.57,104.71
978,-33.8,978,-33.8,137.69,104.81
977,-34.1,977,-34.1,137.8,104.91
976,-35.4,976,-35.4,137.91,105.01
975,-36.2,975,-36.2,138.02,105.11
974,-36.4,974,-36.4,138.14,105.21
973,-37,973,-37,138.25,105.31
972,-36.7,972,-36.7,138.36,105.41
971,-36.4,971,-36.4,138.47,105.51
970,-36.6,970,-36.6,138.59,105.61
969,-36.5,969,-36.5,138.7,105.71
968,-35.3,968,-35.3,138.81,105.81
967,-34.5,967,-34.5,138.92,105.91
966,-35.6,966,-35.6,139.04,106.01
965,-35.7,965,-35.7,139.15,106.11
964,-34.5,964,-34.5,139.26,106.21
963,-33.9,963,-33.9,139.37,106.31
962,-33.8,962,-33.8,139.48,106.41
961,-34.1,961,-34.1,139.6,106.51
960,-35.4,960,-35.4,139.71,106.61
959,-36,959,-36,139.82,106.71
958,-35.9,958,-35.9,139.93,106.81
957,-36.4,957,-36.4,140.05,106.91
956,-37.3,956,-37.3,140.16,107.02
955,-36.2,955,-36.2,140.27,107.12
954,-35.6,954,-35.6,140.38,107.22
953,-36.3,953,-36.3,140.5,107.32
952,-36.9,952,-36.9,140.61,107.42
951,-36.3,951,-36.3,140.72,107.52
950,-35.9,950,-35.9,140.83,107.62
949,-36.4,949,-36.4,140.94,107.72
948,-36.5,948,-36.5,141.06,107.82
947,-35.8,947,-35.8,141.17,107.92
946,-35.4,946,-35.4,141.28,108.02
945,-35.3,945,-35.3,141.39,108.12
944,-35.3,944,-35.3,141.51,108.22
943,-35.9,943,-35.9,141.62,108.32
942,-37,942,-37,141.74,108.42
941,-38,941,-38,141.85,108.52
940,-37.9,940,-37.9,141.97,108.62
939,-36.9,939,-36.9,142.07,108.72
938,-36.5,938,-36.5,142.18,108.82
937,-36.2,937,-36.2,142.29,108.92
936,-36,936,-36,142.41,109.02
935,-36.2,935,-36.2,142.52,109.12
934,-36.9,934,-36.9,142.63,109.22
933,-37,933,-37,142.74,109.32
932,-36.2,932,-36.2,142.86,109.42
931,-36.6,931,-36.6,142.97,109.52
930,-36.4,930,-36.4,143.08,109.63
929,-36.1,929,-36.1,143.19,109.73
928,-36.6,928,-36.6,143.3,109.83
927,-36.6,927,-36.6,143.42,109.93
926,-35.5,926,-35.5,143.53,110.03
925,-35.3,925,-35.3,143.64,110.13
924,-35.8,924,-35.8,143.75,110.23
923,-36.5,923,-36.5,143.86,110.33
922,-37,922,-37,143.98,110.43
921,-36.5,921,-36.5,144.09,110.53
920,-36.4,920,-36.4,144.2,110.63
919,-36.5,919,-36.5,144.31,110.73
918,-36.5,918,-36.5,144.43,110.83
917,-36.5,917,-36.5,144.54,110.93
916,-36.5,916,-36.5,144.65,111.03
915,-34.8,915,-34.8,145.61,111.13
914,-36.1,914,-36.1,145.73,111.23
913,-36.4,913,-36.4,145.84,111.33
912,-37,912,-37,145.95,111.43
911,-37.5,911,-37.5,146.06,111.53
910,-38.1,910,-38.1,146.17,111.63
909,-37.9,909,-37.9,146.29,111.73
908,-37.4,908,-37.4,146.4,111.83
907,-36.5,907,-36.5,146.51,111.93
906,-36.5,906,-36.5,146.62,112.03
905,-37.3,905,-37.3,146.73,112.13
904,-37.6,904,-37.6,146.84,112.23
903,-37.3,903,-37.3,146.96,112.34
902,-36.9,902,-36.9,147.07,112.44
901,-36.8,901,-36.8,147.18,112.54
900,-36.9,900,-36.9,147.29,112.64
899,-37.3,899,-37.3,147.41,112.74
898,-37.5,898,-37.5,147.52,112.84
897,-37.3,897,-37.3,147.63,112.94
896,-36.8,896,-36.8,147.74,113.04
895,-36.3,895,-36.3,147.86,113.14
894,-36.3,894,-36.3,147.97,113.24
893,-36.3,893,-36.3,148.08,113.34
892,-36.3,892,-36.3,148.19,113.44
891,-36.5,891,-36.5,148.31,113.54
890,-36.7,890,-36.7,148.42,113.64
889,-36.8,889,-36.8,148.53,113.74
888,-36.8,888,-36.8,148.64,113.84
887,-37.2,887,-37.2,148.76,113.94
886,-37,886,-37,148.87,114.04
885,-36,885,-36,148.98,114.14
884,-35.1,884,-35.1,149.09,114.24
883,-34.9,883,-34.9,149.2,114.34
882,-34.9,882,-34.9,149.32,114.44
881,-34.8,881,-34.8,149.43,114.54
880,-34.6,880,-34.6,149.54,114.64
879,-34.8,879,-34.8,149.65,114.74
878,-34.7,878,-34.7,149.76,114.84
877,-33.9,877,-33.9,149.88,114.95
876,-34,876,-34,149.99,115.05
875,-36,875,-36,150.1,115.15
874,-36.9,874,-36.9,150.21,115.25
