year (AD),depth (cm),d18O (permil),lithologic unit (),Calcite (fraction),Aragonite (fraction)
-6873.6,589.5,-5.72,III,0.04,0.96
-6888.6,590.5,-5.51,III,0.05,0.95
-6903.6,591.5,-5.14,III,0.04,0.96
-6918.6,592.5,-5.07,III,0.02,0.98
-6933.6,593.5,-4.93,IV,0.02,0.98
-6948.6,594.5,-4.85,IV,0.02,0.98
-6963.6,595.5,-4.89,IV,0.02,0.98
-6978.6,596.5,-4.93,IV,0.02,0.98
-6993.6,597.5,-4.84,IV,0.02,0.98
-7008.6,598.5,-5.16,IV,0.02,0.98
-7023.6,599.5,-5.32,IV,0.03,0.97
-7038.6,600.5,-5.25,IV,0.03,0.97
-7053.6,601.5,-5.39,IV,0.03,0.97
-7068.6,602.5,-5.17,IV,0.03,0.97
-7083.6,603.5,-4.91,IV,0.04,0.96
-7098.6,604.5,-4.84,IV,0.04,0.96
-7113.6,605.5,-4.88,IV,0.04,0.96
-7128.6,606.5,-4.92,IV,0.04,0.96
-7143.6,607.5,-4.69,IV,0.04,0.96
-7158.6,608.5,-4.81,IV,0.03,0.97
-7173.6,609.5,-4.93,IV,0.03,0.97
-7188.6,610.5,-5.24,IV,0.03,0.97
-7203.6,611.5,-5.07,IV,0.04,0.96
-7218.6,612.5,-5.42,IV,0.05,0.95
-7233.6,613.5,-5.26,IV,0.03,0.97
-7248.6,614.5,-5.13,IV,0.02,0.98
-7263.6,615.5,-5.35,IV,0.03,0.97
-7278.7,616.5,-5.48,IV,0.03,0.97
-7293.7,617.5,-5.33,IV,0.03,0.97
-7308.7,618.5,-5.22,IV,0.04,0.96
-7323.7,619.5,-5.34,IV,0.05,0.95
-7338.7,620.5,-5.25,IV,0.05,0.95
-7353.7,621.5,-5.33,IV,0.06,0.94
-7368.7,622.5,-5.62,IV,0.07,0.93
-7383.7,623.5,-5.34,IV,0.06,0.94
-7398.7,624.5,-5.25,IV,0.05,0.95
-7413.7,625.5,-5.46,IV,0.04,0.96
-7428.7,626.5,-5.15,IV,0.03,0.97
-7443.7,627.5,-5.16,IV,0.02,0.98
-7458.7,628.5,-5.22,IV,0.02,0.98
-7473.7,629.5,-5.24,IV,0.02,0.98
-7488.7,630.5,-5.39,IV,0.02,0.98
-7503.7,631.5,-5.58,IV,0.02,0.98
-7518.7,632.5,-5.35,IV,0.02,0.98
-7533.7,633.5,-4.74,IV,0.02,0.98
-7548.7,634.5,-4.54,IV,0.03,0.97
-7563.7,635.5,-4.86,IV,0.03,0.97
-7578.7,636.5,-5.14,IV,0.03,0.97
-7593.7,637.5,-4.59,IV,0.03,0.97
-7608.7,638.5,-4.72,IV,0.03,0.97
-7623.7,639.5,-4.83,IV,0.03,0.97
-7638.7,640.5,-5.18,IV,0.03,0.97
-7653.7,641.5,-5.39,IV,0.04,0.96
-7668.7,642.5,-5.55,IV,0.04,0.96
-7683.7,643.5,-5.57,IV,0.04,0.96
-7698.7,644.5,-5.38,IV,0.05,0.95
-7713.7,645.5,-5.32,IV,0.05,0.95
-7728.7,646.5,-5.23,IV,0.05,0.95
-7743.7,647.5,-4.91,IV,0.04,0.96
-7758.7,648.5,-4.84,IV,0.04,0.96
-7773.7,649.5,-4.68,IV,0.04,0.96
-7788.7,650.5,-4.83,IV,0.03,0.97
-7803.7,651.5,-4.98,IV,0.02,0.98
-7818.7,652.5,-4.87,IV,0.02,0.98
-7833.7,653.5,-4.82,IV,0.02,0.98
-7848.7,654.5,-4.85,IV,0.02,0.98
-7863.7,655.5,-4.96,IV,0.02,0.98
-7878.7,656.5,-5.06,IV,0.02,0.98
-7893.7,657.5,-5.19,IV,0.03,0.97
-7908.7,658.5,-5.32,IV,0.04,0.96
-7923.7,659.5,-5.34,IV,0.05,0.95
-7938.7,660.5,-5.32,IV,0.06,0.94
-7953.7,661.5,-5.42,IV,0.06,0.94
-7968.7,662.5,-5.22,IV,0.07,0.93
-7983.7,663.5,-5.61,IV,0.07,0.93
-7998.7,664.5,-6.04,IV,0.08,0.92
-8013.7,665.5,-5.74,IV,0.07,0.93
-8028.7,666.5,-5.4,IV,0.06,0.94
-8043.7,667.5,-5.29,IV,0.05,0.95
-8058.7,668.5,-5.41,IV,0.04,0.96
-8073.7,669.5,-5.71,IV,0.03,0.97
-8088.7,670.5,-5.91,IV,0.03,0.97
-8103.7,671.5,-5.67,IV,0.03,0.97
-8118.7,672.5,-5.44,IV,0.03,0.97
-8133.7,673.5,-5.42,IV,0.03,0.97
-8148.7,674.5,-5.35,IV,0.03,0.97
-8163.7,675.5,-5.23,IV,0.03,0.97
-8178.7,676.5,-4.92,IV,0.03,0.97
-8193.7,677.5,-4.78,IV,0.03,0.97
-8208.7,678.5,-5.16,IV,0.03,0.97
-8223.7,679.5,-5.45,IV,0.03,0.97
-8238.7,680.5,-5.67,IV,0.02,0.98
-8253.7,681.5,-5.47,IV,0.02,0.98
-8268.7,682.5,-5.33,IV,0.02,0.98
-8283.7,683.5,-5.5,IV,0.04,0.96
-8298.7,684.5,-5.79,IV,0.05,0.95
-8313.8,685.5,-5.83,IV,0.07,0.93
-8328.8,686.5,-5.85,IV,0.08,0.92
-8343.8,687.5,-5.9,IV,0.08,0.92
-8358.8,688.5,-6.01,IV,0.08,0.92
-8373.8,689.5,-6.2,IV,0.09,0.91
-8388.8,690.5,-5.89,IV,0.09,0.91
-8403.8,691.5,-6.03,IV,0.1,0.9
-8418.8,692.5,-6.75,IV,0.11,0.89
-8433.8,693.5,-6.53,IV,0.13,0.87
-8448.8,694.5,-6.4,IV,0.14,0.86
-8463.8,695.5,-6.83,IV,0.15,0.85
-8478.8,696.5,-6.33,IV,0.14,0.86
-8493.8,697.5,-6.24,IV,0.14,0.87
-8508.8,698.5,-6.55,IV,0.13,0.87
-8523.8,699.5,-6.26,IV,0.13,0.88
-8538.8,700.5,-6.03,IV,0.12,0.89
-8553.8,701.5,-6.21,IV,0.12,0.89
-8568.8,702.5,-6.24,IV,0.11,0.89
-8583.8,703.5,-5.96,IV,0.1,0.9
-8598.8,704.5,-6.05,IV,0.09,0.91
-8613.8,705.5,-6.39,IV,0.08,0.92
-8628.8,706.5,-6.01,IV,0.07,0.93
-8643.8,707.5,-5.93,IV,0.06,0.94
-8658.8,708.5,-5.64,IV,0.06,0.94
-8673.8,709.5,-5.99,IV,0.06,0.94
-8688.8,710.5,-5.87,IV,0.07,0.93
-8703.8,711.5,-6.09,IV,0.07,0.93
-8718.8,712.5,-6.06,IV,0.07,0.93
-8733.8,713.5,-5.98,V,0.09,0.91
-8748.8,714.5,-6.41,V,0.13,0.87
-8763.8,715.5,-7.17,V,0.34,0.66
-8778.8,716.5,-7.82,V,0.54,0.46
-8793.8,717.5,-8.06,V,0.59,0.41
-8808.8,718.5,-8.04,V,0.6,0.4
-8823.8,719.5,-8.4,V,0.61,0.39
-8838.8,720.5,-8.04,V,0.63,0.37
-8853.8,721.5,-8.3,V,0.63,0.37
-8868.8,722.5,-9.23,V,0.63,0.37
-8883.8,723.5,-10.33,V,0.63,0.37
-8898.8,724.5,-8.92,V,0.63,0.37
-8913.8,725.5,-8.3,V,0.62,0.38
-8928.8,726.5,-8.87,V,0.61,0.39
-8943.8,727.5,-8.83,V,0.59,0.41
-8958.8,728.5,-7.87,V,0.57,0.43
-8973.8,729.5,-7.45,V,0.55,0.45
-8988.8,730.5,-7.4,V,0.56,0.44
-9003.8,731.5,-6.97,V,0.58,0.42
-9018.8,732.5,-7,V,0.59,0.41
-9033.8,733.5,-7.58,V,0.61,0.39
-9048.8,734.5,-7.85,V,0.65,0.35
-9063.8,735.5,-8.35,V,0.71,0.29
-9078.8,736.5,-8.73,V,0.77,0.23
-9093.8,737.5,-8.29,V,0.83,0.17
-9108.8,738.5,-8.5,V,0.89,0.11
-9123.8,739.5,-9.14,V,0.96,0.04
-9138.8,740.5,-9.34,V,0.93,0.07
-9153.8,741.5,-9.22,V,0.72,0.28
-9168.8,742.5,-8.68,V,0.51,0.49
-9183.8,743.5,-7.71,V,0.38,0.62
-9198.8,744.5,-7.09,VI,0.27,0.73
-9213.8,745.5,-7.05,VI,0.21,0.79
-9228.8,746.5,-6.98,VI,0.16,0.84
-9243.8,747.5,-6.92,VI,0.14,0.86
-9258.8,748.5,-6.87,VI,0.14,0.86
-9273.8,749.5,-6.76,VI,0.13,0.87
-9288.9,750.5,-6.05,VI,0.12,0.88
-9303.9,751.5,-6.15,VI,0.12,0.88
-9318.9,752.5,-6.42,VI,0.12,0.88
-9333.9,753.5,-6.52,VI,0.12,0.88
-9348.9,754.5,-6.48,VI,0.11,0.89
-9363.9,755.5,-6.42,VI,0.11,0.89
-9378.9,756.5,-6.36,VI,0.11,0.89
-9393.9,757.5,-6.45,VI,0.12,0.88
-9408.9,758.5,-7.18,VI,0.14,0.86
-9423.9,759.5,-6.79,VI,0.16,0.84
-9438.9,760.5,-6.64,VI,0.18,0.82
-9453.9,761.5,-6.91,VI,0.19,0.81
-9468.9,762.5,-7,VI,0.2,0.8
-9483.9,763.5,-7.7,VI,0.19,0.81
-9498.9,764.5,-7.3,VI,0.19,0.81
-9513.9,765.5,-7.06,VI,0.18,0.82
-9528.9,766.5,-7.27,VI,0.18,0.82
-9543.9,767.5,-7.2,VI,0.16,0.84
-9558.9,768.5,-6.95,VI,0.15,0.85
-9573.9,769.5,-6.87,VI,0.13,0.87
-9588.9,770.5,-6.07,VI,0.12,0.88
-9603.9,771.5,-6.41,VI,0.11,0.89
-9618.9,772.5,-6.96,VI,0.11,0.89
-9633.9,773.5,-7.37,VI,0.1,0.9
-9648.9,774.5,-7.36,VI,0.1,0.9
-9663.9,775.5,-7.05,VI,0.1,0.9
-9678.9,776.5,-6.8,VI,0.12,0.88
-9693.9,777.5,-6.73,VI,0.15,0.85
-9708.9,778.5,-7.09,VI,0.18,0.83
-9723.9,779.5,-7.23,VI,0.21,0.8
-9738.9,780.5,-7.32,VI,0.23,0.78
-9753.9,781.5,-7.39,VI,0.22,0.79
-9768.9,782.5,-7.47,VI,0.21,0.8
-9783.9,783.5,-7.42,VI,0.2,0.81
-9798.9,784.5,-6.58,VI,0.19,0.82
-9813.9,785.5,-7.07,VI,0.18,0.82
-9828.9,786.5,-7.74,VI,0.17,0.83
-9843.9,787.5,-8.41,VI,0.16,0.84
-9858.9,788.5,-7.97,VI,0.15,0.85
-9873.9,789.5,-6.91,VI,0.14,0.86
-9888.9,790.5,-6.7,VI,0.14,0.86
-9903.9,791.5,-6.77,VI,0.14,0.86
-9918.9,792.5,-6.71,VI,0.13,0.87
-9933.9,793.5,-6.48,VI,0.13,0.87
-9948.9,794.5,-6.66,VI,0.13,0.87
-9963.9,795.5,-7.13,VI,0.13,0.87
-9978.9,796.5,-7.43,VI,0.13,0.87
-9993.9,797.5,-7.22,VI,0.12,0.88
-10008.9,798.5,-6.85,VI,0.12,0.88
-10023.9,799.5,-6.74,VI,0.14,0.86
-10038.9,800.5,-6.75,VI,0.19,0.81
-10053.9,801.5,-6.81,VI,0.24,0.76
-10068.9,802.5,-6.83,VI,0.29,0.71
-10083.9,803.5,-6.89,VI,0.33,0.67
-10098.9,804.5,-7.13,VI,0.33,0.67
-10113.9,805.5,-7.26,VI,0.31,0.69
-10128.9,806.5,-7.33,VI,0.29,0.71
-10143.9,807.5,-7.43,VI,0.27,0.73
-10158.9,808.5,-8.45,VI,0.26,0.74
-10173.9,809.5,-9.08,VI,0.28,0.72
-10188.9,810.5,-9.14,VI,0.31,0.69
-10203.9,811.5,-9.2,VI,0.34,0.66
-10218.9,812.5,-7.87,VI,0.37,0.63
-10233.9,813.5,-8.35,VI,0.4,0.6
-10248.9,814.5,-9.28,VI,0.43,0.57
-10264,815.5,-9.53,VI,0.45,0.55
-10279,816.5,-9.32,VI,0.48,0.52
-10294,817.5,-9.04,VI,0.51,0.49
-10309,818.5,-8.76,VII,0.59,0.41
-10324,819.5,-8.78,VII,0.69,0.31
-10339,820.5,-9.25,VII,0.8,0.2
-10354,821.5,-8.7,VII,0.9,0.1
-10369,822.5,-8.51,VII,0.96,0.04
-10384,823.5,-8.92,VII,0.8,0.2
-10399,824.5,-9.21,VII,0.62,0.38
-10414,825.5,-8.72,VII,0.43,0.57
-10429,826.5,-9.06,VII,0.24,0.76
-10444,827.5,-9.77,VII,0.44,0.56
-10459,828.5,-9.38,VII,0.98,0.02
-10474,829.5,-9.56,VII,1,0
-10489,830.5,-9.67,VII,1,0
-10504,831.5,-9.8,VII,1,0
-10519,832.5,-10.76,VII,1,0
-10534,833.5,-9.5,VII,1,0
-10549,834.5,-8.31,VIII,1,0
-10564,835.5,-8.08,VIII,1,0
-10579,836.5,-8.61,VIII,1,0
-10594,837.5,-9.4,VIII,1,0
-10609,838.5,-10.87,VIII,1,0
-10624,839.5,-13.32,VIII,1,0
-10639,840.5,-13.43,VIII,1,0
-10654,841.5,-13.11,VIII,1,0
-10669,842.5,-12.45,IX,1,0
-10684,843.5,-12.19,IX,1,0
-10699,844.5,-11.86,IX,1,0
-10714,845.5,-11.33,IX,1,0
-10729,846.5,-11.02,IX,1,0
-10744,847.5,-10.24,IX,1,0
