year (AD) [1-1],d18O (permil) [1-1],year (AD) [2-1],depth (cm) [2-1],d18O (permil) [2-1]
1711,-28.23,1616,NA,-29.9293
1716,-28.34,1615,NA,-30.2252
1721,-28.81,1614,NA,-29.4131
1726,-27.95,1613,NA,-28.3995
1731,-28.29,1612,NA,-28.0609
1736,-27.87,1611,NA,-28.56
1741,-27.79,1610,NA,-27.487
1746,-28.71,1609,NA,-27.0556
1751,-27.93,1608,NA,-28.1854
1756,-28.88,1607,NA,-29.1188
1761,-28.8,1606,NA,-29.3029
1766,-26.92,1605,NA,-29.8526
1771,-27.11,1604,NA,-30.1206
1776,-28.42,1603,NA,-28.2309
1781,-27.64,1602,NA,-27.2262
1786,-28.04,1601,NA,-26.1385
1791,-28.78,1600,NA,-26.95
1796,-27.64,1599,NA,-28.5904
1801,-28.05,1598,NA,-29.2589
1806,-28.15,1597,NA,-29.35
1811,-28.17,1596,NA,-28.6469
1816,-28.57,1595,NA,-28.2544
1821,-28.23,1594,NA,-28.2473
1826,-29.24,1593,NA,-28.3075
1831,-27.76,1592,NA,-28.016
1836,-27.47,1591,NA,-27.7561
1841,-27.77,1590,NA,-28.6883
1846,-28.24,1589,NA,-28.8032
1851,-28.2,1588,NA,-29.9999
1856,-28.64,1587,NA,-27.77
1861,-27.7,1586,NA,-28.3099
1866,-28.25,1585,NA,-28.3685
1871,-26.94,1584,NA,-27.4166
1876,-28.66,1583,NA,-27.7188
1881,-28.1,1582,NA,-27.5325
1886,-28.43,1581,NA,-27.1324
1891,-27.85,1580,NA,-27.3532
1896,-27.31,1579,NA,-27.0813
1901,-27.51,1578,NA,-25.3265
1906,-28.83,1577,NA,-27.0205
1911,-28.26,1576,NA,-25.94
1916,-27.33,1575,NA,-27.0595
1921,-27.61,1574,NA,-27.5072
1926,-26.46,1573,NA,-29.1761
1931,-27.58,1572,NA,-29.0928
1936,-27.19,1571,NA,-28.9299
1941,-27.84,1570,NA,-29.23
1946,-26.92,1569,NA,-28.8443
1951,-27.26,1568,NA,-28.755
1956,-27.05,1567,NA,-28.2979
