year (AD) [1-1],age (BP) [1-1],sampleID (missing) [1-1],year (AD) [2-1],age (BP) [2-1],d18O (permil) [2-1],d13C (permil) [2-1]
869,1081,hs-4c-589,869,1081,-7.79,-11.51
867,1083,hs-4c-588,867,1083,-7.83,-11.63
865,1085,hs-4c-587,865,1085,-7.75,-11.41
863,1087,hs-4c-586,863,1087,-7.62,-11.39
861,1089,hs-4c-585,861,1089,-7.8,-11.57
860,1090,hs-4c-584,860,1090,-7.61,-11.13
856,1094,hs-4c-582,856,1094,-7.97,-10.86
854,1096,hs-4c-581,854,1096,-7.96,-11.07
852,1098,hs-4c-580,852,1098,-8.14,-11.34
850,1100,hs-4c-579,850,1100,-8.07,-11.62
848,1102,hs-4c-578,848,1102,-8.16,-11.99
846,1104,hs-4c-577,846,1104,-8.02,-11.44
844,1106,hs-4c-576,844,1106,-8.06,-11.17
842,1108,hs-4c-575,842,1108,-8.21,-11.53
841,1109,hs-4c-574,841,1109,-8.19,-11.42
839,1111,hs-4c-573,839,1111,-8.21,-11.39
837,1113,hs-4c-572,837,1113,-8.1,-11.09
835,1115,hs-4c-571,835,1115,-8.31,-11.51
833,1117,hs-4c-570,833,1117,-8.15,-11.57
831,1119,hs-4c-569,831,1119,-8.29,-11.59
829,1121,hs-4c-568,829,1121,-8.25,-11.99
828,1122,hs-4c-567,828,1122,-8.5,-12.33
826,1124,hs-4c-566,826,1124,-8.25,-12.23
824,1126,hs-4c-565,824,1126,-8.29,-12.23
823,1127,hs-4c-564,823,1127,-8.19,-12.14
821,1129,hs-4c-563,821,1129,-8.23,-11.98
819,1131,hs-4c-562,819,1131,-8.34,-11.78
817,1133,hs-4c-561,817,1133,-8.32,-11.77
816,1134,hs-4c-560,816,1134,-8.37,-11.53
814,1136,hs-4c-559,814,1136,-8.24,-11.24
812,1138,hs-4c-558,812,1138,-8.38,-11.46
811,1139,hs-4c-557,811,1139,-8.25,-11.2
809,1141,hs-4c-556,809,1141,-8.19,-10.96
807,1143,hs-4c-555,807,1143,-8.33,-11.44
805,1145,hs-4c-554,805,1145,-8.35,-11.72
804,1146,hs-4c-553,804,1146,-8.35,-11.77
802,1148,hs-4c-552,802,1148,-8.47,-11.94
800,1150,hs-4c-551,800,1150,-8.36,-11.73
799,1151,hs-4c-550,799,1151,-8.33,-11.68
797,1153,hs-4c-549,797,1153,-8.47,-11.76
795,1155,hs-4c-548,795,1155,-8.56,-11.78
790,1160,hs-4c-545,790,1160,-8.34,-11.65
788,1162,hs-4c-544,788,1162,-8.31,-11.52
786,1164,hs-4c-543,786,1164,-8.09,-11.33
785,1165,hs-4c-542,785,1165,-7.78,-11.15
783,1167,hs-4c-541,783,1167,-7.68,-11.29
781,1169,hs-4c-540,781,1169,-7.75,-11.93
779,1171,hs-4c-539,779,1171,-7.97,-11.93
776,1174,hs-4c-538,776,1174,-7.96,-11.84
771,1179,hs-4c-536,771,1179,-8.26,-12.17
769,1181,hs-4c-535,769,1181,-8.43,-12.25
766,1184,hs-4c-534,766,1184,-8.24,-12.08
764,1186,hs-4c-533,764,1186,-8.14,-11.94
759,1191,hs-4c-531,759,1191,-8.21,-11.96
756,1194,hs-4c-530,756,1194,-8.31,-12.1
753,1197,hs-4c-529,753,1197,-8.12,-11.88
746,1204,hs-4c-526,746,1204,-8.08,-11.74
743,1207,hs-4c-525,743,1207,-8.2,-11.89
741,1209,hs-4c-524,741,1209,-7.96,-11.64
738,1212,hs-4c-523,738,1212,-7.88,-11.39
736,1214,hs-4c-522,736,1214,-8.08,-11.9
731,1219,hs-4c-520,731,1219,-7.87,-11.38
728,1222,hs-4c-519,728,1222,-7.71,-11.22
726,1224,hs-4c-518,726,1224,-7.38,-10.81
723,1227,hs-4c-517,723,1227,-7.64,-11.12
721,1229,hs-4c-516,721,1229,-7.63,-11.15
718,1232,hs-4c-515,718,1232,-7.77,-11.12
715,1235,hs-4c-514,715,1235,-7.7,-11.03
713,1237,hs-4c-513,713,1237,-7.69,-10.92
710,1240,hs-4c-512,710,1240,-7.76,-11.25
708,1242,hs-4c-511,708,1242,-8.05,-11.56
705,1245,hs-4c-510,705,1245,-8.34,-11.75
703,1247,hs-4c-509,703,1247,-8.42,-11.55
701,1249,hs-4c-508,701,1249,-8.4,-11.48
699,1251,hs-4c-507,699,1251,-8.42,-11.59
695,1255,hs-4c-505,695,1255,-8.35,-11.89
691,1259,hs-4c-503,691,1259,-8.33,-11.55
687,1263,hs-4c-501,687,1263,-8.27,-11.32
684,1266,hs-4c-500,684,1266,-8.12,-11.41
682,1268,hs-4c-499,682,1268,-8.25,-11.19
680,1270,hs-4c-498,680,1270,-7.96,-10.78
678,1272,hs-4c-497,678,1272,-7.93,-10.47
674,1276,hs-4c-496,674,1276,-8.04,-10.94
670,1280,hs-4c-494,670,1280,-8.14,-11.33
668,1282,hs-4c-493,668,1282,-8.07,-11.37
666,1284,hs-4c-492,666,1284,-8.05,-11.09
664,1286,hs-4c-491,664,1286,-8.02,-11.02
662,1288,hs-4c-490,662,1288,-7.99,-11.1
660,1290,hs-4c-489,660,1290,-8.16,-11.24
658,1292,hs-4c-488,658,1292,-8.19,-11.32
657,1293,hs-4c-487,657,1293,-8.2,-11.41
655,1295,hs-4c-486,655,1295,-8.19,-11.42
653,1297,hs-4c-485,653,1297,-8.31,-11.74
651,1299,hs-4c-484,651,1299,-8.5,-11.76
647,1303,hs-4c-482,647,1303,-8.33,-11.37
645,1305,hs-4c-481,645,1305,-8.16,-10.93
643,1307,hs-4c-480,643,1307,-7.9,-10.94
640,1310,hs-4c-479,640,1310,-7.98,-10.82
638,1312,hs-4c-478,638,1312,-7.75,-10.4
635,1315,hs-4c-477,635,1315,-7.49,-9.98
630,1320,hs-4c-475,630,1320,-7.4,-10.23
625,1325,hs-4c-473,625,1325,-7.79,-11.24
623,1327,hs-4c-472,623,1327,-7.97,-11.41
620,1330,hs-4c-471,620,1330,-7.92,-11.38
618,1332,hs-4c-470,618,1332,-7.91,-11.1
615,1335,hs-4c-469,615,1335,-7.82,-11.02
612,1338,hs-4c-468,612,1338,-8.27,-11.37
610,1340,hs-4c-467,610,1340,-7.76,-10.79
607,1343,hs-4c-466,607,1343,-7.81,-10.91
605,1345,hs-4c-465,605,1345,-7.89,-10.74
602,1348,hs-4c-464,602,1348,-7.91,-10.76
600,1350,hs-4c-463,600,1350,-8.08,-10.96
597,1353,hs-4c-462,597,1353,-8.17,-11.03
595,1355,hs-4c-461,595,1355,-8.36,-11.15
592,1358,hs-4c-460,592,1358,-8.45,-11.16
587,1363,hs-4c-458,587,1363,-8.54,-11.35
582,1368,hs-4c-456,582,1368,-8.43,-11.49
579,1371,hs-4c-455,579,1371,-8.46,-11.46
577,1373,hs-4c-454,577,1373,-8.39,-11.21
574,1376,hs-4c-453,574,1376,-8.35,-10.85
572,1378,hs-4c-452,572,1378,-8.34,-10.87
569,1381,hs-4c-451,569,1381,-8.32,-11.2
567,1383,hs-4c-450,567,1383,-8.53,-11.12
565,1385,hs-4c-449,565,1385,-8.62,-11.13
563,1387,hs-4c-448,563,1387,-8.52,-10.96
561,1389,hs-4c-447,561,1389,-8.53,-10.89
558,1392,hs-4c-445,558,1392,-8.09,-9.91
556,1394,hs-4c-444,556,1394,-8.23,-10.16
554,1396,hs-4c-443,554,1396,-8.33,-10.68
553,1397,hs-4c-442,553,1397,-8,-10.03
551,1399,hs-4c-441,551,1399,-8.04,-10.72
549,1401,hs-4c-440,549,1401,-8.23,-10.7
547,1403,hs-4c-439,547,1403,-7.48,-11.14
545,1405,hs-4c-438,545,1405,-7.99,-11.31
544,1406,hs-4c-437,544,1406,-7.89,-11.25
542,1408,hs-4c-436,542,1408,-7.9,-10.79
540,1410,hs-4c-435,540,1410,-8.51,-10.76
538,1412,hs-4c-434,538,1412,-7.92,-10.34
537,1413,hs-4c-433,537,1413,-7.94,-10.23
535,1415,hs-4c-432,535,1415,-8,-10.17
533,1417,hs-4c-431,533,1417,-8.15,-10.44
531,1419,hs-4c-430,531,1419,-8.22,-10.48
529,1421,hs-4c-429,529,1421,-8.25,-10.58
528,1422,hs-4c-428,528,1422,-8.29,-10.71
526,1424,hs-4c-427,526,1424,-8.49,-11.05
524,1426,hs-4c-426,524,1426,-8.55,-11
519,1431,hs-4c-424,519,1431,-8.51,-10.97
512,1438,hs-4c-422,512,1438,-8.32,-9.93
508,1442,hs-4c-421,508,1442,-8.2,-9.81
502,1448,hs-4c-419,502,1448,-8.2,-10.52
498,1452,hs-4c-418,498,1452,-8.31,-10.65
495,1455,hs-4c-417,495,1455,-8.3,-10.76
492,1458,hs-4c-416,492,1458,-8.33,-10.82
488,1462,hs-4c-415,488,1462,-8.23,-10.93
485,1465,hs-4c-414,485,1465,-8.37,-11.02
481,1469,hs-4c-413,481,1469,-8.46,-11.07
478,1472,hs-4c-412,478,1472,-8.59,-11.16
475,1475,hs-4c-411,475,1475,-8.86,-11.25
471,1479,hs-4c-410,471,1479,-8.51,-10.92
468,1482,hs-4c-409,468,1482,-8.26,-10.55
464,1486,hs-4c-408,464,1486,-8.29,-10.58
461,1489,hs-4c-407,461,1489,-8.15,-10.71
458,1492,hs-4c-406,458,1492,-8.27,-11.04
454,1496,hs-4c-405,454,1496,-8.27,-11.06
451,1499,hs-4c-404,451,1499,-8.23,-11.06
448,1502,hs-4c-403,448,1502,-8.33,-11.41
444,1506,hs-4c-402,444,1506,-8.3,-11.42
441,1509,hs-4c-401,441,1509,-8.49,-11.6
437,1513,hs-4c-400,437,1513,-8.36,-11.3
434,1516,hs-4c-399,434,1516,-8.15,-10.75
431,1519,hs-4c-398,431,1519,-8.06,-10.59
427,1523,hs-4c-397,427,1523,-8.08,-10.71
424,1526,hs-4c-396,424,1526,-8.05,-10.95
420,1530,hs-4c-395,420,1530,-7.74,-10.96
417,1533,hs-4c-394,417,1533,-7.97,-10.94
414,1536,hs-4c-393,414,1536,-8.04,-11.05
410,1540,hs-4c-392,410,1540,-7.97,-10.91
407,1543,hs-4c-391,407,1543,-8.03,-10.86
404,1546,hs-4c-390,404,1546,-7.91,-10.75
399,1551,hs-4c-389,399,1551,-8.19,-10.79
391,1559,hs-4c-387,391,1559,-8.46,-10.89
387,1563,hs-4c-386,387,1563,-8.38,-10.89
383,1567,hs-4c-385,383,1567,-8.18,-10.75
378,1572,hs-4c-384,378,1572,-8.29,-10.53
374,1576,hs-4c-383,374,1576,-8.18,-10.71
370,1580,hs-4c-382,370,1580,-8.35,-10.85
366,1584,hs-4c-381,366,1584,-8.37,-11.04
362,1588,hs-4c-380,362,1588,-8.31,-11.39
353,1597,hs-4c-378,353,1597,-8.41,-11.21
349,1601,hs-4c-377,349,1601,-8.41,-11.28
345,1605,hs-4c-376,345,1605,-8.37,-11.19
341,1609,hs-4c-375,341,1609,-8.34,-11.35
337,1613,hs-4c-374,337,1613,-8.57,-11.56
332,1618,hs-4c-373,332,1618,-8.66,-11.62
328,1622,hs-4c-372,328,1622,-8.77,-11.85
324,1626,hs-4c-371,324,1626,-8.83,-11.82
320,1630,hs-4c-370,320,1630,-8.59,-11.59
316,1634,hs-4c-369,316,1634,-8.75,-11.49
311,1639,hs-4c-368,311,1639,-8.66,-11.29
307,1643,hs-4c-367,307,1643,-8.63,-11.27
303,1647,hs-4c-366,303,1647,-8.6,-11.21
299,1651,hs-4c-365,299,1651,-8.58,-11.21
295,1655,hs-4c-364,295,1655,-8.5,-11.28
290,1660,hs-4c-363,290,1660,-8.37,-11.15
286,1664,hs-4c-362,286,1664,-8.33,-10.92
282,1668,hs-4c-361,282,1668,-8.39,-11.05
278,1672,hs-4c-360,278,1672,-8.48,-11.62
274,1676,hs-4c-359,274,1676,-8.32,-11.71
271,1679,hs-4c-358,271,1679,-8.44,-11.82
267,1683,hs-4c-357,267,1683,-8.51,-11.97
264,1686,hs-4c-356,264,1686,-8.46,-12
260,1690,hs-4c-355,260,1690,-8.8,-12.17
257,1693,hs-4c-354,257,1693,-8.68,-12.05
253,1697,hs-4c-353,253,1697,-8.65,-11.94
250,1700,hs-4c-352,250,1700,-8.54,-11.72
246,1704,hs-4c-351,246,1704,-8.58,-11.74
242,1708,hs-4c-350,242,1708,-8.59,-11.66
239,1711,hs-4c-349,239,1711,-8.61,-11.59
235,1715,hs-4c-348,235,1715,-8.55,-11.53
232,1718,hs-4c-347,232,1718,-8.52,-11.31
228,1722,hs-4c-346,228,1722,-8.57,-11.11
225,1725,hs-4c-345,225,1725,-8.5,-10.57
214,1736,hs-4c-342,214,1736,-8.37,-10.97
211,1739,hs-4c-341,211,1739,-8.32,-11
207,1743,hs-4c-340,207,1743,-8.24,-10.77
203,1747,hs-4c-339,203,1747,-8.12,-10.77
200,1750,hs-4c-338,200,1750,-8.37,-11.61
196,1754,hs-4c-337,196,1754,-8.46,-11.56
193,1757,hs-4c-336,193,1757,-8.49,-11.6
186,1764,hs-4c-334,186,1764,-8.65,-11.5
182,1768,hs-4c-333,182,1768,-8.49,-10.98
179,1771,hs-4c-332,179,1771,-8.35,-10.76
172,1778,hs-4c-330,172,1778,-8.51,-11.32
163,1787,hs-4c-328,163,1787,-8.6,-11.26
159,1791,hs-4c-327,159,1791,-8.96,-11.36
150,1800,hs-4c-325,150,1800,-8.46,-10.58
146,1804,hs-4c-324,146,1804,-8.66,-10.62
137,1813,hs-4c-322,137,1813,-8.53,-10.5
132,1818,hs-4c-321,132,1818,-8.45,-10.74
128,1822,hs-4c-320,128,1822,-8.49,-10.93
128,1822,hs-4c-319,128,1822,-9.13,-10.93
125,1825,hs-4c-318,125,1825,-9.14,-10.98
122,1828,hs-4c-317,122,1828,-9.17,-10.93
119,1831,hs-4c-316,119,1831,-9.16,-10.91
116,1834,hs-4c-315,116,1834,-8.86,-11.34
113,1837,hs-4c-314,113,1837,-8.98,-10.57
110,1840,hs-4c-313,110,1840,-8.77,-10.21
107,1843,hs-4c-312,107,1843,-8.89,-10.05
104,1846,hs-4c-311,104,1846,-8.75,-10.63
101,1849,hs-4c-310,101,1849,-8.2,-10.75
98,1852,hs-4c-309,98,1852,-8.78,-10.63
95,1855,hs-4c-308,95,1855,-8.63,-10.78
92,1858,hs-4c-307,92,1858,-8.74,-10.71
89,1861,hs-4c-306,89,1861,-8.85,-10.57
86,1864,hs-4c-305,86,1864,-8.4,-10.99
83,1867,hs-4c-304,83,1867,-8.9,-10.71
80,1870,hs-4c-303,80,1870,-8.83,-10.87
74,1876,hs-4c-301,74,1876,-8.43,-10.54
71,1879,hs-4c-300,71,1879,-8.26,-10.88
68,1882,hs-4c-299,68,1882,-8.43,-10.75
66,1884,hs-4c-298,66,1884,-8.73,-11.31
63,1887,hs-4c-297,63,1887,-8.9,-11.77
61,1889,hs-4c-296,61,1889,-8.9,-11.46
59,1891,hs-4c-295,59,1891,-8.67,-11.53
56,1894,hs-4c-294,56,1894,-8.79,-11.42
54,1896,hs-4c-293,54,1896,-8.7,-11.21
51,1899,hs-4c-292,51,1899,-8.55,-11.02
49,1901,hs-4c-291,49,1901,-8.64,-11.02
46,1904,hs-4c-290,46,1904,-8.45,-10.72
44,1906,hs-4c-289,44,1906,-8.32,-10.78
41,1909,hs-4c-288,41,1909,-8.31,-11.02
39,1911,hs-4c-287,39,1911,-8.27,-11.29
36,1914,hs-4c-286,36,1914,-8.23,-11.52
34,1916,hs-4c-285,34,1916,-8.13,-11.73
32,1918,hs-4c-284,32,1918,-8.39,-11.58
29,1921,hs-4c-283,29,1921,-8.28,-11.6
27,1923,hs-4c-282,27,1923,-8.6,-11.72
24,1926,hs-4c-281,24,1926,-8.5,-11.72
22,1928,hs-4c-280,22,1928,-8.47,-11.77
19,1931,hs-4c-279,19,1931,-8.52,-11.55
17,1933,hs-4c-278,17,1933,-8.47,-11.41
14,1936,hs-4c-277,14,1936,-8.12,-11.2
12,1938,hs-4c-276,12,1938,-8.27,-11.26
9,1941,hs-4c-275,9,1941,-8.62,-11.77
7,1943,hs-4c-274,7,1943,-8.93,-12.03
5,1945,hs-4c-273,5,1945,-8.84,-11.83
2,1948,hs-4c-272,2,1948,-8.7,-11.66
0,1950,hs-4c-271,0,1950,-8.7,-11.53
-3,1953,hs-4c-270,-3,1953,-8.44,-11
-6,1956,hs-4c-269,-6,1956,-8.22,-10.22
-10,1960,hs-4c-268,-10,1960,-8.23,-10.03
-13,1963,hs-4c-267,-13,1963,-8.16,-9.89
-16,1966,hs-4c-266,-16,1966,-8.27,-10.39
-20,1970,hs-4c-265,-20,1970,-8.14,-10.39
-23,1973,hs-4c-264,-23,1973,-8.37,-10.59
-26,1976,hs-4c-263,-26,1976,-8.32,-10.77
-30,1980,hs-4c-262,-30,1980,-8.42,-10.86
-33,1983,hs-4c-261,-33,1983,-8.31,-10.8
-36,1986,hs-4c-260,-36,1986,-8.22,-10.73
-40,1990,hs-4c-259,-40,1990,-8.34,-10.6
-43,1993,hs-4c-258,-43,1993,-8.66,-11.09
-46,1996,hs-4c-257,-46,1996,-8.33,-10.33
-50,2000,hs-4c-256,-50,2000,-8.53,-10.69
-53,2003,hs-4c-255,-53,2003,-8.24,-10.37
-56,2006,hs-4c-254,-56,2006,-8.38,-10.65
-60,2010,hs-4c-253,-60,2010,-8.34,-10.44
-63,2013,hs-4c-252,-63,2013,-8.38,-10.41
-66,2016,hs-4c-251,-66,2016,-8.36,-10.52
-73,2023,hs-4c-249,-73,2023,-8.64,-11.36
-76,2026,hs-4c-248,-76,2026,-8.82,-11.72
-80,2030,hs-4c-247,-80,2030,-8.86,-11.88
-83,2033,hs-4c-246,-83,2033,-8.84,-11.79
-86,2036,hs-4c-245,-86,2036,-8.99,-11.72
-90,2040,hs-4c-244,-90,2040,-8.65,-11.42
-97,2047,hs-4c-242,-97,2047,-8.5,-11.06
-103,2053,hs-4c-240,-103,2053,-8.33,-10.82
-111,2061,hs-4c-238,-111,2061,-8.26,-11.29
-115,2065,hs-4c-237,-115,2065,-8.66,-11.35
-119,2069,hs-4c-236,-119,2069,-8.45,-10.8
-123,2073,hs-4c-235,-123,2073,-8.44,-10.57
-127,2077,hs-4c-234,-127,2077,-8.6,-10.61
-139,2089,hs-4c-231,-139,2089,-9.03,-11.22
-143,2093,hs-4c-230,-143,2093,-9.26,-11.64
-147,2097,hs-4c-229,-147,2097,-9.04,-11
-151,2101,hs-4c-228,-151,2101,-8.8,-11.12
-155,2105,hs-4c-227,-155,2105,-9.08,-11.52
-159,2109,hs-4c-226,-159,2109,-8.98,-11.52
-163,2113,hs-4c-225,-163,2113,-8.96,-11.75
-171,2121,hs-4c-223,-171,2121,-8.7,-10.57
-184,2134,hs-4c-220,-184,2134,-8.49,-11.73
-188,2138,hs-4c-219,-188,2138,-8.39,-11.64
-192,2142,hs-4c-218,-192,2142,-8.24,-11.45
-196,2146,hs-4c-217,-196,2146,-8.39,-11.33
-200,2150,hs-4c-216,-200,2150,-8.46,-11.27
-204,2154,hs-4c-215,-204,2154,-8.35,-11.28
-212,2162,hs-4c-213,-212,2162,-8.38,-10.95
-216,2166,hs-4c-212,-216,2166,-8.38,-11.27
-220,2170,hs-4c-211,-220,2170,-8.33,-11.14
-224,2174,hs-4c-210,-224,2174,-8.09,-10.83
-242,2192,hs-4c-205,-242,2192,-8.94,-11.64
-259,2209,hs-4c-200,-259,2209,-8.46,-9.95
-277,2227,hs-4c-195,-277,2227,-8.67,-11.47
-294,2244,hs-4c-190,-294,2244,-8.19,-10.81
-313,2263,hs-4c-185,-313,2263,-8.34,-10.68
-331,2281,hs-4c-180,-331,2281,-8.55,-10.86
-350,2300,hs-4c-175,-350,2300,-8.22,-10.65
-369,2319,hs-4c-170,-369,2319,-8.21,-10.56
-388,2338,hs-4c-165,-388,2338,-8.47,-11.12
-399,2349,hs-4c-162,-399,2349,-8.19,-10.87
-403,2353,hs-4c-161,-403,2353,-8.23,-10.68
-406,2356,hs-4c-160,-406,2356,-8.35,-10.72
-410,2360,hs-4c-159,-410,2360,-8.43,-10.95
-414,2364,hs-4c-158,-414,2364,-8.37,-11.23
-418,2368,hs-4c-157,-418,2368,-8.46,-11.47
-421,2371,hs-4c-156,-421,2371,-8.54,-11.23
-425,2375,hs-4c-155,-425,2375,-8.32,-10.8
-429,2379,hs-4c-154,-429,2379,-8.18,-10.52
-433,2383,hs-4c-153,-433,2383,-8.22,-10.09
-436,2386,hs-4c-152,-436,2386,-8.42,-10.39
-440,2390,hs-4c-151,-440,2390,-8.63,-10.34
-444,2394,hs-4c-150,-444,2394,-8.63,-10.49
-447,2397,hs-4c-149,-447,2397,-8.8,-10.59
-451,2401,hs-4c-148,-451,2401,-9.3,-10.37
-454,2404,hs-4c-147,-454,2404,-9.08,-9.72
-458,2408,hs-4c-146,-458,2408,-8.74,-9.94
-462,2412,hs-4c-145,-462,2412,-8.62,-9.82
-465,2415,hs-4c-144,-465,2415,-8.92,-9.26
-469,2419,hs-4c-143,-469,2419,-8.91,-9.26
-472,2422,hs-4c-142,-472,2422,-8.9,-9.58
-476,2426,hs-4c-141,-476,2426,-8.65,-9.56
-479,2429,hs-4c-140,-479,2429,-8.3,-10.28
-483,2433,hs-4c-139,-483,2433,-9.08,-10.8
-486,2436,hs-4c-138,-486,2436,-8.85,-11.05
-490,2440,hs-4c-137,-490,2440,-8.86,-11.34
-493,2443,hs-4c-136,-493,2443,-8.99,-11.33
-497,2447,hs-4c-135,-497,2447,-8.94,-11.4
-500,2450,hs-4c-134,-500,2450,-9.05,-11.45
-504,2454,hs-4c-133,-504,2454,-8.98,-11.48
-507,2457,hs-4c-132,-507,2457,-8.83,-11.13
-511,2461,hs-4c-131,-511,2461,-8.83,-11.29
-514,2464,hs-4c-130,-514,2464,-8.76,-11.1
-518,2468,hs-4c-129,-518,2468,-8.49,-10.63
-521,2471,hs-4c-128,-521,2471,-9.13,-10.61
-525,2475,hs-4c-127,-525,2475,-9.07,-10.81
-528,2478,hs-4c-126,-528,2478,-8.43,-10.31
-532,2482,hs-4c-125,-532,2482,-8.2,-10.61
-535,2485,hs-4c-124,-535,2485,-8.41,-10.37
-539,2489,hs-4c-123,-539,2489,-8.34,-10.34
-542,2492,hs-4c-122,-542,2492,-8.22,-10.15
-546,2496,hs-4c-121,-546,2496,-8.44,-10.55
-549,2499,hs-4c-120,-549,2499,-8.15,-10.64
-553,2503,hs-4c-119,-553,2503,-8.45,-11.02
-567,2517,hs-4c-115,-567,2517,-8.38,-11.32
-585,2535,hs-4c-110,-585,2535,-8.39,-10.78
-602,2552,hs-4c-105,-602,2552,-8.56,-11.28
-620,2570,hs-4c-100,-620,2570,-8.82,-11.3
-637,2587,hs-4c-94,-637,2587,-9.12,-10.72
-655,2605,hs-4c-90,-655,2605,-9.1,-10.84
-673,2623,hs-4c-85,-673,2623,-8.44,-10.9
-690,2640,hs-4c-80,-690,2640,-8.52,-11.42
-717,2667,hs-4c-75,-717,2667,-8.66,-10.43
-733,2683,hs-4c-70,-733,2683,-9.06,-11.13
-748,2698,hs-4c-65,-748,2698,-8.95,-10.93
-764,2714,hs-4c-60,-764,2714,-8.54,-10.59
-779,2729,hs-4c-55,-779,2729,-8.24,-9.87
-794,2744,hs-4c-50,-794,2744,-7.97,-10
-810,2760,hs-4c-45,-810,2760,-8.59,-10.82
-825,2775,hs-4c-40,-825,2775,-8.19,-9.45
-840,2790,hs-4c-35,-840,2790,-8.61,-11.85
-856,2806,hs-4c-30,-856,2806,-8.45,-11.43
-871,2821,hs-4c-25,-871,2821,-8.85,-11.56
-887,2837,hs-4c-20,-887,2837,-8.54,-11.13
-902,2852,hs-4c-15,-902,2852,-8.69,-12
-917,2867,hs-4c-10,-917,2867,-8.96,-12.04
-933,2883,hs-4c-5,-933,2883,-8.4,-11.35
-945,2895,hs-4c-1,-945,2895,-9.03,-10.94
-954,2904,hs-4b-550,-954,2904,-8.88,-11.68
-967,2917,hs-4b-545,-967,2917,-8.97,-11.29
-979,2929,hs-4b-540,-979,2929,-8.87,-11.14
-992,2942,hs-4b-535,-992,2942,-9.01,-11.96
-1019,2969,hs-4b-525,-1019,2969,-8.98,-11.58
-1034,2984,hs-4b-520,-1034,2984,-8.64,-10.18
-1048,2998,hs-4b-515,-1048,2998,-9,-10.5
-1063,3013,hs-4b-510,-1063,3013,-9.02,-10.89
-1077,3027,hs-4b-505,-1077,3027,-9.17,-11.01
-1092,3042,hs-4b-500,-1092,3042,-9.12,-11.19
-1108,3058,hs-4b-495,-1108,3058,-9.41,-11.77
-1123,3073,hs-4b-490,-1123,3073,-8.67,-10.92
-1139,3089,hs-4b-485,-1139,3089,-8.84,-11.89
-1154,3104,hs-4b-480,-1154,3104,-8.35,-11.31
-1170,3120,hs-4b-475,-1170,3120,-8.48,-10.56
-1185,3135,hs-4b-470,-1185,3135,-8.28,-10.55
-1216,3166,hs-4b-460,-1216,3166,-8.68,-11.26
-1232,3182,hs-4b-455,-1232,3182,-8.26,-10.38
-1248,3198,hs-4b-450,-1248,3198,-8.27,-10.35
-1263,3213,hs-4b-445,-1263,3213,-8.15,-10.07
-1291,3241,hs-4b-440,-1291,3241,-8.11,-10.3
-1321,3271,hs-4b-435,-1321,3271,-8.67,-10.67
-1350,3300,hs-4b-430,-1350,3300,-8.65,-11.24
-1379,3329,hs-4b-425,-1379,3329,-8.62,-11.06
-1409,3359,hs-4b-420,-1409,3359,-8.28,-10.84
-1438,3388,hs-4b-415,-1438,3388,-8.25,-11.71
-1467,3417,hs-4b-410,-1467,3417,-8.86,-11.52
-1497,3447,hs-4b-405,-1497,3447,-8.8,-11.6
-1526,3476,hs-4b-400,-1526,3476,-8.57,-11.66
-1555,3505,hs-4b-395,-1555,3505,-8.49,-11.86
-1585,3535,hs-4b-390,-1585,3535,-8.43,-11.88
-1614,3564,hs-4b-385,-1614,3564,-8.17,-10.49
-1643,3593,hs-4b-380,-1643,3593,-8.33,-11.27
-1673,3623,hs-4b-375,-1673,3623,-8.56,-11.43
-1702,3652,hs-4b-370,-1702,3652,-8.38,-11.06
-1731,3681,hs-4b-365,-1731,3681,-8.61,-10.94
-1761,3711,hs-4b-360,-1761,3711,-8.84,-10.96
-1790,3740,hs-4b-355,-1790,3740,-9.01,-10.46
-1819,3769,hs-4b-350,-1819,3769,-8.73,-11.53
-1849,3799,hs-4b-345,-1849,3799,-9.03,-11.14
-1878,3828,hs-4b-340,-1878,3828,-9.24,-11.61
-1907,3857,hs-4b-335,-1907,3857,-9,-11.5
-1937,3887,hs-4b-330,-1937,3887,-8.95,-11.28
-1966,3916,hs-4b-325,-1966,3916,-9.13,-11.63
-1979,3929,hs-4b-320,-1979,3929,-9.29,-11.45
-1993,3943,hs-4b-315,-1993,3943,-8.89,-11.1
-2006,3956,hs-4b-310,-2006,3956,-8.5,-10.44
-2019,3969,hs-4b-305,-2019,3969,-9.7,-11.69
-2033,3983,hs-4b-300,-2033,3983,-8.99,-10.68
-2046,3996,hs-4b-295,-2046,3996,-8.96,-11.87
-2059,4009,hs-4b-290,-2059,4009,-9.25,-11.75
-2072,4022,hs-4b-285,-2072,4022,-9.33,-11.86
-2085,4035,hs-4b-280,-2085,4035,-8.93,-11.8
-2098,4048,hs-4b-275,-2098,4048,-9.01,-11.16
-2111,4061,hs-4b-270,-2111,4061,-9.27,-11.52
-2123,4073,hs-4b-265,-2123,4073,-8.52,-10.89
-2136,4086,hs-4b-260,-2136,4086,-8.57,-12.03
-2150,4100,hs-4b-255,-2150,4100,-8.51,-10.99
-2165,4115,hs-4b-250,-2165,4115,-8.51,-10.54
-2179,4129,hs-4b-245,-2179,4129,-9.43,-11.7
-2193,4143,hs-4b-240,-2193,4143,-8.21,-10.33
-2207,4157,hs-4b-235,-2207,4157,-8.73,-10.86
-2221,4171,hs-4b-230,-2221,4171,-9.17,-11.53
-2236,4186,hs-4b-225,-2236,4186,-8.63,-10.86
