depth (m),age (BP),temperature (degC),depth (m),age (BP),IRD (g),planktic.d13C (permil),planktic.d18O (permil),d18O (permil),d18O (permil)
2.14,14804,4.492,15.455,74575,5.12,NA,3.9,4.66,NA
NA,NA,NA,15.465,74662,6.57,NA,NA,NA,NA
NA,NA,NA,15.475,74748,10.21,NA,NA,NA,NA
NA,NA,NA,15.485,74835,6.07,NA,NA,NA,NA
NA,NA,NA,15.495,74921,0.65,NA,NA,NA,NA
NA,NA,NA,15.505,75007,1.63,NA,3.47,4.49,NA
NA,NA,NA,15.515,75094,2.55,NA,NA,NA,NA
NA,NA,NA,15.525,75180,0.8,NA,NA,NA,NA
NA,NA,NA,15.535,75258,0.3,NA,NA,NA,NA
NA,NA,NA,15.545,75326,0.36,NA,NA,NA,NA
NA,NA,NA,15.555,75394,0.45,NA,3.6,NA,NA
NA,NA,NA,15.565,75462,0.23,NA,NA,NA,NA
NA,NA,NA,15.575,75531,0.33,NA,NA,NA,NA
NA,NA,NA,15.585,75599,0.42,NA,NA,NA,NA
NA,NA,NA,15.595,75667,0.35,NA,NA,NA,NA
NA,NA,NA,15.605,75735,0.82,NA,3.67,NA,NA
NA,NA,NA,15.615,75803,0.51,NA,NA,NA,NA
NA,NA,NA,15.625,75872,0.79,NA,NA,NA,NA
NA,NA,NA,15.635,75940,1.21,NA,NA,NA,NA
NA,NA,NA,15.645,76008,1.19,NA,NA,NA,NA
NA,NA,NA,15.655,76076,0.67,NA,3.53,NA,NA
NA,NA,NA,15.665,76144,0.83,NA,NA,NA,NA
NA,NA,NA,15.675,76213,0.56,NA,NA,NA,NA
NA,NA,NA,15.685,76281,0.85,NA,NA,NA,NA
NA,NA,NA,15.695,76349,1.22,NA,NA,NA,NA
NA,NA,NA,15.705,76417,0.96,NA,3.66,NA,NA
NA,NA,NA,15.715,76485,1.05,NA,NA,NA,NA
NA,NA,NA,15.725,76554,1.29,NA,NA,NA,NA
NA,NA,NA,15.735,76622,0.57,NA,NA,NA,NA
NA,NA,NA,15.745,76690,0.73,NA,NA,NA,NA
NA,NA,NA,15.755,76758,2.53,NA,3.42,NA,NA
NA,NA,NA,15.765,76826,1.21,NA,NA,NA,NA
NA,NA,NA,15.775,76895,0.88,NA,NA,NA,NA
NA,NA,NA,15.785,76963,0.94,NA,NA,NA,NA
NA,NA,NA,15.795,77031,1.84,NA,NA,NA,NA
NA,NA,NA,15.805,77099,1.66,NA,3.52,NA,NA
NA,NA,NA,15.815,77167,1.24,NA,NA,NA,NA
NA,NA,NA,15.825,77236,1,NA,NA,NA,NA
NA,NA,NA,15.835,77304,0.49,NA,NA,NA,NA
