year (AD),age (BP),grey_scale (missing)
-87.798,2037.798,201.33
-90.279,2040.279,201.57
-92.76,2042.76,201.48
-95.242,2045.242,201.57
-97.723,2047.723,201.71
-100.204,2050.204,201.76
-102.686,2052.686,201.48
-105.167,2055.167,201.14
-107.649,2057.649,201.19
-110.484,2060.484,201.05
-112.966,2062.966,200.71
-115.447,2065.447,200.33
-117.929,2067.929,200
-120.41,2070.41,200.24
-122.891,2072.891,200.19
-125.373,2075.373,200.05
-127.854,2077.854,200.24
-130.336,2080.336,200.67
-132.817,2082.817,201
-135.298,2085.298,201.14
-137.78,2087.78,201.48
-140.261,2090.261,201.9
-142.743,2092.743,202.19
-145.579,2095.579,202.24
-148.06,2098.06,201.86
-150.541,2100.541,201.76
-153.023,2103.023,201.81
-155.504,2105.504,201.62
-157.986,2107.986,201.33
-160.467,2110.467,200.9
-162.949,2112.949,200.43
-165.43,2115.43,200.19
-167.912,2117.912,200.14
-170.393,2120.393,199.9
-172.875,2122.875,199.86
-175.356,2125.356,200.29
-177.838,2127.838,200.38
-180.674,2130.674,200.57
-183.155,2133.155,200.9
-185.637,2135.637,201.14
-188.118,2138.118,201.67
-190.6,2140.6,202.14
-193.081,2143.081,202.48
-195.563,2145.563,202.76
-198.045,2148.045,203.29
-200.526,2150.526,203.43
-203.008,2153.008,203.52
-205.489,2155.489,203.67
-207.971,2157.971,203.43
-210.452,2160.452,203.1
-213.289,2163.289,202.81
-215.77,2165.77,202.62
-218.252,2168.252,202.38
-220.733,2170.733,201.76
-223.215,2173.215,201.43
-225.697,2175.697,201.24
-228.178,2178.178,201
-230.66,2180.66,200.62
-233.141,2183.141,200.48
-235.623,2185.623,200.57
-238.105,2188.105,200.48
-240.586,2190.586,200.48
-243.068,2193.068,200.52
-245.55,2195.55,200.9
-248.386,2198.386,201.05
-250.868,2200.868,201.05
-253.349,2203.349,200.81
-255.831,2205.831,200.76
-258.313,2208.313,200.9
-260.794,2210.794,200.76
-263.276,2213.276,200.52
-265.758,2215.758,200.67
-268.239,2218.239,200.81
-270.721,2220.721,200.62
-273.203,2223.203,200.52
-275.685,2225.685,200.43
-278.166,2228.166,200.52
-281.003,2231.003,200.57
-283.484,2233.484,200.48
-285.966,2235.966,200.67
-288.448,2238.448,200.95
-290.93,2240.93,200.9
-293.411,2243.411,200.95
-295.893,2245.893,201.05
-298.375,2248.375,201.29
-300.857,2250.857,201.57
-303.338,2253.338,201.52
-305.82,2255.82,201.9
-308.302,2258.302,201.86
-310.784,2260.784,201.86
-313.266,2263.266,201.9
-316.102,2266.102,202.24
-318.584,2268.584,201.95
-321.066,2271.066,201.67
-323.548,2273.548,201.57
-326.029,2276.029,201.14
-328.511,2278.511,200.86
-330.993,2280.993,200.52
-333.475,2283.475,200
-335.957,2285.957,199.9
-338.439,2288.439,199.67
-340.921,2290.921,198.71
-343.402,2293.402,198.14
-345.884,2295.884,198
-348.366,2298.366,197.95
-351.203,2301.203,197.95
-353.685,2303.685,197.9
-356.166,2306.166,198.19
-358.648,2308.648,198.29
-361.13,2311.13,198.43
-363.612,2313.612,198.52
-366.094,2316.094,199
-368.576,2318.576,199.24
-371.058,2321.058,199.71
-373.54,2323.54,199.9
-376.022,2326.022,199.86
-378.504,2328.504,199.81
-380.986,2330.986,199.81
-383.822,2333.822,199.52
-386.304,2336.304,199.33
-388.786,2338.786,199.19
-391.268,2341.268,198.81
-393.75,2343.75,198.86
-396.232,2346.232,199.14
-398.714,2348.714,198.81
-401.196,2351.196,198.81
-403.679,2353.679,198.71
-406.161,2356.161,198.57
-408.643,2358.643,198.19
-411.125,2361.125,198.05
-413.607,2363.607,197.62
-416.089,2366.089,197.38
-418.925,2368.925,197.19
-421.407,2371.407,197
-423.89,2373.89,196.67
-426.372,2376.372,196.43
-428.854,2378.854,196.05
-431.336,2381.336,196.14
-433.818,2383.818,196.43
-436.3,2386.3,196.76
-438.782,2388.782,197.1
-441.264,2391.264,197.48
-443.746,2393.746,197.62
-446.228,2396.228,197.67
-448.711,2398.711,197.9
-451.193,2401.193,198.1
-454.029,2404.029,198.19
-456.512,2406.512,198.24
-458.994,2408.994,197.95
-461.476,2411.476,198.29
-463.958,2413.958,198.76
-466.44,2416.44,199
-468.923,2418.923,199.1
-471.405,2421.405,199.52
-473.887,2423.887,199.76
-476.369,2426.369,200.14
-478.851,2428.851,200.57
-481.334,2431.334,200.9
-483.816,2433.816,201.1
-486.653,2436.653,201.24
-489.135,2439.135,200.48
-491.617,2441.617,200.43
-494.099,2444.099,200.81
-496.582,2446.582,201
-499.064,2449.064,200.76
-501.546,2451.546,200.38
-504.028,2454.028,200.33
-506.511,2456.511,200.05
-508.993,2458.993,199.67
-511.475,2461.475,199.57
-513.958,2463.958,199.76
-516.44,2466.44,199.95
-518.922,2468.922,199.71
-521.759,2471.759,199.67
-524.241,2474.241,200.05
-526.724,2476.724,200.24
-529.206,2479.206,200.1
-531.688,2481.688,200.14
-534.171,2484.171,200.62
-536.653,2486.653,201.33
-539.136,2489.136,201.57
-541.618,2491.618,201.43
-544.1,2494.1,201.76
-546.583,2496.583,201.67
-549.065,2499.065,201.19
-551.547,2501.547,200.76
-554.385,2504.385,200.48
-556.867,2506.867,200.38
-559.349,2509.349,199.71
-561.832,2511.832,198.9
-564.314,2514.314,198.43
-566.797,2516.797,198.19
-569.279,2519.279,197.86
-571.762,2521.762,197.76
-574.244,2524.244,197.76
-576.726,2526.726,198.1
