year (AD),age (BP),d18O (missing)
-10070,12020,-35.82
-10080,12030,-35.606
-10090,12040,-35.59
-10100,12050,-35.59
-10110,12060,-35.169
-10120,12070,-35.15
-10130,12080,-35.15
-10140,12090,-35.166
-10150,12100,-35.38
-10160,12110,-35.38
-10170,12120,-35.38
-10180,12130,-35.545
-10190,12140,-35.9
-10200,12150,-35.9
-10210,12160,-35.9
-10220,12170,-36.162
-10230,12180,-36.57
-10240,12190,-36.57
-10250,12200,-36.57
-10260,12210,-36.689
-10270,12220,-36.84
-10280,12230,-36.84
-10290,12240,-36.84
-10300,12250,-36.037
-10310,12260,-35.14
-10320,12270,-35.14
-10330,12280,-35.14
-10340,12290,-34.626
-10350,12300,-34.07
-10360,12310,-34.07
-10370,12320,-34.07
-10380,12330,-34.565
-10390,12340,-35.13
-10400,12350,-35.13
-10410,12360,-35.13
-10420,12370,-35.488
-10430,12380,-35.96
-10440,12390,-35.96
-10450,12400,-35.96
-10460,12410,-36.008
-10470,12420,-36.09
-10480,12430,-36.09
-10490,12440,-36.09
-10500,12450,-36.096
-10510,12460,-36.11
-10520,12470,-36.11
-10530,12480,-36.11
-10540,12490,-36.074
-10550,12500,-35.92
-10560,12510,-35.92
-10570,12520,-35.92
-10580,12530,-35.916
-10590,12540,-35.85
-10600,12550,-35.85
-10610,12560,-35.85
-10620,12570,-35.871
-10630,12580,-36.14
-10640,12590,-36.14
-10650,12600,-36.14
-10660,12610,-36.14
-10670,12620,-36.149
-10680,12630,-36.15
-10690,12640,-36.15
-10700,12650,-36.15
-10710,12660,-35.995
-10720,12670,-35.93
-10730,12680,-35.93
-10740,12690,-35.93
-10750,12700,-35.964
-10760,12710,-36
-10770,12720,-36
-10780,12730,-36
-10790,12740,-36.015
-10800,12750,-36.06
-10810,12760,-36.06
-10820,12770,-36.06
-10830,12780,-36.06
-10840,12790,-36.832
-10850,12800,-36.85
-10860,12810,-36.85
-10870,12820,-36.85
-10880,12830,-36.733
-10890,12840,-36.68
-10900,12850,-36.68
-10910,12860,-36.68
-10920,12870,-36.922
-10930,12880,-37.33
-10940,12890,-37.33
-10950,12900,-37.33
-10960,12910,-37.298
-10970,12920,-36.33
-10980,12930,-36.33
-10990,12940,-36.33
-11000,12950,-36.33
