year (AD),age (BP),depth (mm),d18O (permil),sampleID (missing),d13C (permil)
-3762,5712,317.4,-5.39,Jeita-1,-10.41
-3769,5719,318.1,-5.48,Jeita-1,-10.67
-3775,5725,318.8,-5.02,Jeita-1,-9.77
-3782,5732,319.5,-5.11,Jeita-1,-9.96
-3788,5738,320.3,-5.19,Jeita-1,-10.15
-3795,5745,321.1,-5.11,Jeita-1,-10.09
-3802,5752,321.9,-5,Jeita-1,-9.71
-3808,5758,322.7,-5.1,Jeita-1,-10.2
-3813,5763,323.5,-5,Jeita-1,-9.64
-3817,5767,324.3,-5.46,Jeita-1,-10.73
-3821,5771,325.1,-5.46,Jeita-1,-10.37
-3826,5776,325.9,-5.43,Jeita-1,-11
-3830,5780,326.7,-5.51,Jeita-1,-10.69
-3834,5784,327.5,-5.02,Jeita-1,-9.83
-3839,5789,328.4,-5.43,Jeita-1,-10.67
-3843,5793,329.3,-4.94,Jeita-1,-9.61
-3847,5797,330.2,-5.14,Jeita-1,-9.7
-3852,5802,331.1,-4.9,Jeita-1,-10.79
-3856,5806,332,-4.73,Jeita-1,-10.66
-3860,5810,332.9,-5,Jeita-1,-10.5
-3865,5815,333.8,-5.12,Jeita-1,-10.72
-3869,5819,334.7,-5.25,Jeita-1,-10.41
-3873,5823,335.6,-5.08,Jeita-1,-10.25
-3878,5828,336.5,-5.21,Jeita-1,-10.49
-3882,5832,337.2,-5.46,Jeita-1,-10.51
-3886,5836,337.9,-5.25,Jeita-1,-10.27
-3891,5841,338.6,-5.28,Jeita-1,-10.32
-3897,5847,339.3,-5.25,Jeita-1,-10.5
-3903,5853,340,-5.24,Jeita-1,-10.34
-3908,5858,340.7,-5.4,Jeita-1,-10.35
-3914,5864,341.4,-5.33,Jeita-1,-10.23
-3920,5870,342.1,-5.48,Jeita-1,-11.7
-3926,5876,342.8,-5.22,Jeita-1,-11.3
-3932,5882,343.5,-5.28,Jeita-1,-11.37
-3938,5888,344.4,-5.3,Jeita-1,-11.01
-3944,5894,345.3,-5.27,Jeita-1,-11.32
-3950,5900,346.2,-5.38,Jeita-1,-11.04
-3956,5906,347.1,-5.21,Jeita-1,-11.53
-3962,5912,348,-5.15,Jeita-1,-11.27
-3968,5918,348.9,-5.31,Jeita-1,-11.44
-3974,5924,349.8,-5.17,Jeita-1,-11.17
-3980,5930,350.7,-5.42,Jeita-1,-10.89
-3986,5936,351.6,-5.14,Jeita-1,-10.76
-3992,5942,352.5,-5.35,Jeita-1,-10.64
-3997,5947,353.1,-5.42,Jeita-1,-10.42
-4003,5953,353.7,-5.37,Jeita-1,-10.37
-4007,5957,354.3,-5.44,Jeita-1,-10.51
-4011,5961,354.9,-5.26,Jeita-1,-10.85
-4015,5965,355.5,-5.27,Jeita-1,-10.27
-4019,5969,356.1,-5.61,Jeita-1,-10.48
-4023,5973,356.7,-5.13,Jeita-1,-10.52
-4027,5977,357.3,-5.41,Jeita-1,-10.67
-4031,5981,357.9,-5.63,Jeita-1,-10.22
-4035,5985,358.5,-5.47,Jeita-1,-10.57
-4039,5989,359,-5.56,Jeita-1,-10.14
-4043,5993,359.5,-5.56,Jeita-1,-10.52
-4047,5997,360,-5.24,Jeita-1,-10.34
-4052,6002,360.5,-5.47,Jeita-1,-10.5
-4056,6006,361,-5.46,Jeita-1,-10.38
-4059,6009,361.5,-5.05,Jeita-1,-11.47
-4063,6013,362,-5.24,Jeita-1,-10.73
-4067,6017,362.5,-5.21,Jeita-1,-11.25
-4071,6021,363,-5.06,Jeita-1,-11.01
-4074,6024,363.5,-5.53,Jeita-1,-11.46
-4078,6028,364.1,-5.26,Jeita-1,-11.02
-4082,6032,364.7,-5.75,Jeita-1,-11.56
-4086,6036,365.3,-5.55,Jeita-1,-11.2
-4090,6040,365.9,-5.81,Jeita-1,-11.68
-4093,6043,366.5,-5.73,Jeita-1,-11.22
-4097,6047,367.1,-5.71,Jeita-1,-11.63
-4101,6051,367.7,-5.61,Jeita-1,-11.34
-4105,6055,368.3,-5.74,Jeita-1,-11.74
-4109,6059,368.9,-5.36,Jeita-1,-11.32
-4112,6062,369.5,-5.63,Jeita-1,-11.5
-4116,6066,370.2,-5.55,Jeita-1,-11.13
-4120,6070,370.9,-5.93,Jeita-1,-11.23
-4124,6074,371.6,-5.66,Jeita-1,-11.18
-4128,6078,372.3,-5.66,Jeita-1,-11.4
-4131,6081,373,-5.51,Jeita-1,-11.16
-4135,6085,373.7,-5.25,Jeita-1,-11.38
-4139,6089,374.4,-5.39,Jeita-1,-11.18
-4143,6093,375.1,-5.26,Jeita-1,-11.04
-4147,6097,375.8,-5.3,Jeita-1,-11.2
-4150,6100,376.5,-5.45,Jeita-1,-11.25
-4154,6104,377.2,-5.53,Jeita-1,-11.16
-4158,6108,377.9,-5.02,Jeita-1,-11.06
-4162,6112,378.6,-5.28,Jeita-1,-11.17
-4166,6116,379.3,-5.41,Jeita-1,-11.28
-4169,6119,380,-5.46,Jeita-1,-11.27
-4173,6123,380.7,-5.53,Jeita-1,-11.12
-4177,6127,381.4,-5.59,Jeita-1,-11.25
-4181,6131,382.1,-5.08,Jeita-1,-11.02
-4185,6135,382.8,-5.4,Jeita-1,-10.89
-4188,6138,383.5,-5.36,Jeita-1,-11.17
-4192,6142,384.5,-5.05,Jeita-1,-10.97
-4196,6146,385.5,-5.42,Jeita-1,-11.4
-4200,6150,386.5,-5.37,Jeita-1,-11.15
-4204,6154,387.5,-5.4,Jeita-1,-11.48
-4207,6157,388.5,-5.56,Jeita-1,-11.42
-4211,6161,389.5,-5.5,Jeita-1,-11.03
-4215,6165,390.5,-5.28,Jeita-1,-11.23
-4219,6169,391.5,-5.31,Jeita-1,-10.94
-4222,6172,392.5,-5.49,Jeita-1,-11.07
-4226,6176,393.5,-5.44,Jeita-1,-11.12
-4230,6180,394.6,-5.52,Jeita-1,-11.07
-4234,6184,395.7,-5.69,Jeita-1,-11.19
-4238,6188,396.8,-5.43,Jeita-1,-10.99
-4241,6191,397.9,-5.47,Jeita-1,-11.17
-4245,6195,399,-5.4,Jeita-1,-10.95
-4249,6199,400.1,-5.58,Jeita-1,-11.01
-4253,6203,401.2,-5.58,Jeita-1,-11.14
-4257,6207,402.3,-5.34,Jeita-1,-11.13
-4260,6210,403.4,-5.16,Jeita-1,-10.89
-4264,6214,404.5,-5.57,Jeita-1,-11.26
-4268,6218,405.7,-5.68,Jeita-1,-11.35
-4272,6222,406.9,-5.61,Jeita-1,-11.09
-4276,6226,408.1,-5.71,Jeita-1,-10.9
-4279,6229,409.3,-5.55,Jeita-1,-10.94
-4283,6233,410.5,-5.29,Jeita-1,-10.86
-4287,6237,411.7,-5.35,Jeita-1,-10.95
-4291,6241,412.9,-5.25,Jeita-1,-10.89
-4295,6245,414.1,-5.54,Jeita-1,-11.16
-4298,6248,415.3,-5.43,Jeita-1,-10.88
-4302,6252,416.5,-5.25,Jeita-1,-10.97
-4306,6256,417.4,-5.67,Jeita-1,-11.3
-4310,6260,418.3,-5.5,Jeita-1,-11.48
-4314,6264,419.2,-5.49,Jeita-1,-11.18
-4317,6267,420.1,-5.54,Jeita-1,-11.21
-4323,6273,421,-5.2,Jeita-1,-10.53
-4328,6278,421.9,-5.55,Jeita-1,-10.79
-4334,6284,422.8,-5.71,Jeita-1,-10.88
-4339,6289,423.7,-5.66,Jeita-1,-11.11
-4345,6295,424.6,-5.63,Jeita-1,-10.82
-4350,6300,425.5,-5.41,Jeita-1,-11.07
-4356,6306,426.3,-5.41,Jeita-1,-11
-4361,6311,427.1,-5.78,Jeita-1,-11.5
-4367,6317,427.9,-5.61,Jeita-1,-10.9
-4372,6322,428.7,-5.54,Jeita-1,-11.2
-4378,6328,429.5,-5.64,Jeita-1,-11.05
-4383,6333,430.3,-5.76,Jeita-1,-10.88
-4389,6339,431.1,-5.68,Jeita-1,-11.25
-4394,6344,431.9,-5.47,Jeita-1,-10.86
-4400,6350,432.7,-5.52,Jeita-1,-10.58
-4405,6355,433.5,-5.61,Jeita-1,-10.73
-4411,6361,434.3,-5.66,Jeita-1,-10.65
-4416,6366,435.1,-5.6,Jeita-1,-10.83
-4422,6372,435.9,-5.68,Jeita-1,-10.96
-4427,6377,436.7,-5.61,Jeita-1,-10.72
-4433,6383,437.5,-5.59,Jeita-1,-11.05
-4438,6388,438.3,-5.78,Jeita-1,-11.32
-4444,6394,439.1,-5.61,Jeita-1,-10.76
-4449,6399,439.9,-5.63,Jeita-1,-10.88
-4455,6405,440.7,-5.63,Jeita-1,-10.87
-4460,6410,441.5,-5.57,Jeita-1,-10.92
-4466,6416,442.2,-5.82,Jeita-1,-11.51
-4471,6421,442.9,-5.7,Jeita-1,-11.15
-4477,6427,443.6,-5.82,Jeita-1,-11.11
-4482,6432,444.3,-5.59,Jeita-1,-11.18
-4488,6438,445,-5.89,Jeita-1,-11.54
-4493,6443,445.7,-5.78,Jeita-1,-11.43
-4499,6449,446.4,-5.65,Jeita-1,-11
-4504,6454,447.1,-5.73,Jeita-1,-11.12
-4510,6460,447.8,-5.64,Jeita-1,-10.94
-4515,6465,448.5,-5.61,Jeita-1,-11.17
-4521,6471,449.2,-5.67,Jeita-1,-11.04
-4526,6476,449.9,-5.62,Jeita-1,-11.21
-4532,6482,450.6,-5.64,Jeita-1,-11.03
-4537,6487,451.3,-5.92,Jeita-1,-11.44
-4543,6493,452,-5.95,Jeita-1,-11.2
-4548,6498,452.7,-5.92,Jeita-1,-11.45
-4553,6503,453.4,-5.65,Jeita-1,-10.78
-4557,6507,454.1,-5.62,Jeita-1,-11.11
-4562,6512,454.8,-5.63,Jeita-1,-10.84
-4566,6516,455.5,-5.75,Jeita-1,-11.31
-4571,6521,456.2,-5.88,Jeita-1,-11.27
-4575,6525,456.9,-5.72,Jeita-1,-11.31
-4580,6530,457.6,-5.65,Jeita-1,-11.03
-4584,6534,458.3,-5.71,Jeita-1,-11.11
-4589,6539,459,-5.68,Jeita-1,-11.27
-4593,6543,459.7,-5.75,Jeita-1,-11.27
-4598,6548,460.4,-5.81,Jeita-1,-11.2
-4602,6552,461.1,-5.6,Jeita-1,-11.49
-4606,6556,461.8,-5.77,Jeita-1,-11.3
-4611,6561,462.5,-5.86,Jeita-1,-11.61
-4615,6565,463.3,-6,Jeita-1,-11.59
-4620,6570,464.1,-5.67,Jeita-1,-11.39
-4624,6574,464.9,-5.76,Jeita-1,-11.15
-4629,6579,465.7,-5.69,Jeita-1,-11.29
-4633,6583,466.5,-5.58,Jeita-1,-10.8
-4638,6588,467.3,-5.89,Jeita-1,-11.94
-4642,6592,468.1,-5.71,Jeita-1,-11.26
-4647,6597,468.9,-5.71,Jeita-1,-11.48
-4651,6601,469.7,-5.74,Jeita-1,-11.25
-4656,6606,470.5,-5.71,Jeita-1,-11.43
-4660,6610,471.4,-5.71,Jeita-1,-11.56
-4664,6614,472.3,-5.72,Jeita-1,-11.69
-4669,6619,473.2,-5.63,Jeita-1,-11.12
-4673,6623,474.1,-5.79,Jeita-1,-11.4
-4678,6628,475,-5.79,Jeita-1,-11.29
-4682,6632,475.9,-6.08,Jeita-1,-11.65
-4687,6637,476.8,-6.12,Jeita-1,-11.51
-4691,6641,477.7,-6.2,Jeita-1,-11.41
-4696,6646,478.6,-5.99,Jeita-1,-11.24
-4700,6650,479.5,-5.88,Jeita-1,-11.47
-4705,6655,480.2,-5.9,Jeita-1,-11.22
-4709,6659,480.9,-5.68,Jeita-1,-11.19
-4714,6664,481.6,-5.73,Jeita-1,-10.66
-4718,6668,482.3,-5.85,Jeita-1,-11.1
-4722,6672,483,-5.84,Jeita-1,-11.11
-4727,6677,483.7,-6.02,Jeita-1,-11.49
-4731,6681,484.4,-6.13,Jeita-1,-11.35
-4736,6686,485.1,-6.04,Jeita-1,-11.34
-4740,6690,485.8,-6.15,Jeita-1,-11.36
-4745,6695,486.5,-5.86,Jeita-1,-11.03
-4750,6700,487.4,-5.96,Jeita-1,-11.32
-4755,6705,488.3,-5.95,Jeita-1,-11.26
-4760,6710,489.2,-6.07,Jeita-1,-11.42
-4765,6715,490.1,-6.09,Jeita-1,-11.64
-4770,6720,491,-6.03,Jeita-1,-11.44
-4775,6725,491.9,-5.72,Jeita-1,-11.02
-4780,6730,492.8,-5.97,Jeita-1,-11.26
-4785,6735,493.7,-5.73,Jeita-1,-11.33
-4790,6740,494.6,-5.51,Jeita-1,-11.13
-4795,6745,495.5,-5.67,Jeita-1,-11.43
-4800,6750,496.4,-5.76,Jeita-1,-11.37
-4805,6755,497.3,-5.76,Jeita-1,-11.38
-4810,6760,498.2,-5.75,Jeita-1,-11.24
-4815,6765,499.1,-5.59,Jeita-1,-11.4
-4820,6770,500,-5.7,Jeita-1,-11.26
-4825,6775,500.9,-5.68,Jeita-1,-11.32
-4830,6780,501.8,-5.86,Jeita-1,-11.02
-4835,6785,502.7,-5.98,Jeita-1,-11.21
-4840,6790,503.6,-5.98,Jeita-1,-11.01
-4845,6795,504.5,-5.87,Jeita-1,-10.97
-4850,6800,505.3,-6.01,Jeita-1,-10.81
-4855,6805,506.1,-6.09,Jeita-1,-11.15
-4861,6811,506.9,-6.05,Jeita-1,-11.15
-4866,6816,507.7,-5.95,Jeita-1,-11.59
-4871,6821,508.5,-5.92,Jeita-1,-11.48
-4876,6826,509.3,-5.9,Jeita-1,-10.94
-4881,6831,510.1,-5.79,Jeita-1,-11.06
-4886,6836,510.9,-5.83,Jeita-1,-11.42
-4891,6841,511.7,-5.95,Jeita-1,-11.34
-4896,6846,512.5,-5.99,Jeita-1,-11.86
-4901,6851,513.1,-5.91,Jeita-1,-11.36
-4906,6856,513.7,-6.02,Jeita-1,-11.85
-4911,6861,514.3,-6.19,Jeita-1,-11.48
-4916,6866,514.9,-6.03,Jeita-1,-11.6
-4921,6871,515.5,-5.83,Jeita-1,-11.14
-4926,6876,516.1,-5.83,Jeita-1,-11.34
-4931,6881,516.7,-5.76,Jeita-1,-10.93
-4936,6886,517.3,-5.87,Jeita-1,-10.96
-4941,6891,517.9,-5.71,Jeita-1,-11
-4946,6896,518.5,-5.75,Jeita-1,-11.22
-4951,6901,519.3,-5.84,Jeita-1,-11.28
-4956,6906,520.1,-5.89,Jeita-1,-11.25
-4961,6911,520.9,-5.84,Jeita-1,-11.32
-4966,6916,521.7,-5.85,Jeita-1,-11.42
-4971,6921,522.5,-5.82,Jeita-1,-11.11
-4976,6926,523.3,-5.93,Jeita-1,-11.45
-4981,6931,524.1,-5.52,Jeita-1,-11.18
-4986,6936,524.9,-5.55,Jeita-1,-11.33
-4991,6941,525.7,-5.65,Jeita-1,-11.34
-4996,6946,526.5,-5.62,Jeita-1,-11.35
-5001,6951,527.2,-5.63,Jeita-1,-11.31
-5006,6956,527.9,-5.79,Jeita-1,-11.5
-5012,6962,528.6,-5.86,Jeita-1,-11.54
-5012,6962,529.3,-5.83,Jeita-1,-11.6
-5013,6963,530,-5.88,Jeita-1,-11.3
-5014,6964,530.7,-5.9,Jeita-1,-11.43
-5014,6964,531.4,-5.91,Jeita-1,-11.08
-5015,6965,532.1,-5.96,Jeita-1,-11.33
-5016,6966,532.8,-6.01,Jeita-1,-11.66
-5017,6967,533.5,-5.95,Jeita-1,-11.78
-5017,6967,534.2,-5.69,Jeita-1,-11.18
-5018,6968,534.9,-5.8,Jeita-1,-11.21
-5019,6969,535.6,-5.71,Jeita-1,-11.24
-5019,6969,536.3,-5.89,Jeita-1,-11.54
-5020,6970,537,-5.69,Jeita-1,-11.15
-5021,6971,537.7,-5.8,Jeita-1,-11.53
-5022,6972,538.4,-5.65,Jeita-1,-11.49
-5022,6972,539.1,-5.65,Jeita-1,-11.15
-5023,6973,539.8,-5.55,Jeita-1,-11.38
-5024,6974,540.5,-5.87,Jeita-1,-11.1
-5024,6974,541.2,-5.65,Jeita-1,-11.18
-5025,6975,541.9,-5.85,Jeita-1,-11.34
-5026,6976,542.6,-5.79,Jeita-1,-10.5
-5034,6984,543.3,-5.94,Jeita-1,-11.05
-5042,6992,544,-5.75,Jeita-1,-11.3
-5050,7000,544.7,-5.77,Jeita-1,-11.58
-5058,7008,545.4,-5.58,Jeita-1,-11.1
-5066,7016,546.1,-5.64,Jeita-1,-11.09
-5074,7024,546.8,-5.61,Jeita-1,-10.8
-5082,7032,547.5,-5.65,Jeita-1,-10.9
-5090,7040,548.2,-5.69,Jeita-1,-10.46
-5099,7049,548.9,-5.74,Jeita-1,-10.53
-5107,7057,549.6,-5.62,Jeita-1,-10.99
-5115,7065,550.3,-5.72,Jeita-1,-11.18
-5123,7073,551,-5.68,Jeita-1,-11.1
-5131,7081,551.7,-5.8,Jeita-1,-11.24
-5139,7089,552.4,-5.71,Jeita-1,-10.82
-5147,7097,553.1,-5.74,Jeita-1,-10.83
-5155,7105,553.8,-5.66,Jeita-1,-11.08
-5163,7113,554.5,-5.89,Jeita-1,-11.37
-5171,7121,555.1,-5.67,Jeita-1,-11.01
-5179,7129,555.7,-5.85,Jeita-1,-11.12
-5187,7137,556.3,-5.73,Jeita-1,-10.8
-5195,7145,556.9,-5.67,Jeita-1,-11.14
-5204,7154,557.5,-5.77,Jeita-1,-11.02
-5212,7162,558.1,-5.77,Jeita-1,-11.09
-5220,7170,558.7,-5.71,Jeita-1,-10.71
-5228,7178,559.3,-5.73,Jeita-1,-10.9
-5236,7186,559.9,-5.71,Jeita-1,-11.01
-5244,7194,560.5,-5.97,Jeita-1,-11.29
-5252,7202,561.3,-6.01,Jeita-1,-11
-5260,7210,562.1,-6.02,Jeita-1,-10.99
-5268,7218,562.9,-5.91,Jeita-1,-11.09
-5276,7226,563.7,-5.95,Jeita-1,-11.46
-5284,7234,564.5,-5.8,Jeita-1,-11.2
-5292,7242,565.3,-6.09,Jeita-1,-11.59
-5300,7250,566.1,-5.88,Jeita-1,-11.21
-5309,7259,566.9,-5.77,Jeita-1,-11.05
-5317,7267,567.7,-5.46,Jeita-1,-10.9
-5325,7275,568.5,-5.8,Jeita-1,-11.13
-5333,7283,569.3,-5.65,Jeita-1,-11.17
-5341,7291,570.1,-5.83,Jeita-1,-11.18
-5349,7299,570.9,-5.83,Jeita-1,-11.28
-5357,7307,571.7,-5.84,Jeita-1,-11.23
-5365,7315,572.5,-5.68,Jeita-1,-10.8
-5373,7323,573.3,-5.72,Jeita-1,-10.94
-5374,7324,574.1,-5.89,Jeita-1,-10.9
-5375,7325,574.9,-5.74,Jeita-1,-10.94
-5376,7326,575.7,-5.84,Jeita-1,-11
-5377,7327,576.5,-5.78,Jeita-1,-11.23
-5377,7327,577.3,-5.84,Jeita-1,-11.27
-5378,7328,578.1,-5.99,Jeita-1,-11.6
-5379,7329,578.9,-5.93,Jeita-1,-11.25
-5380,7330,579.7,-6.03,Jeita-1,-11.49
-5381,7331,580.5,-5.68,Jeita-1,-11.12
-5382,7332,581.3,-5.81,Jeita-1,-11.19
-5382,7332,582.1,-5.78,Jeita-1,-11.33
-5383,7333,582.9,-5.7,Jeita-1,-11.49
-5384,7334,583.7,-5.74,Jeita-1,-11.06
-5385,7335,584.5,-5.93,Jeita-1,-11.52
-5386,7336,585.4,-5.73,Jeita-1,-11.09
-5387,7337,586.3,-5.83,Jeita-1,-11.06
-5387,7337,587.2,-5.62,Jeita-1,-11.14
-5388,7338,588.1,-5.73,Jeita-1,-11.17
-5389,7339,589,-5.62,Jeita-1,-11.27
-5390,7340,589.9,-5.7,Jeita-1,-11.09
-5391,7341,590.8,-5.64,Jeita-1,-10.93
-5392,7342,591.7,-5.58,Jeita-1,-10.94
-5396,7346,592.6,-5.86,Jeita-1,-11.13
-5401,7351,593.5,-6.11,Jeita-1,-11.4
-5405,7355,594.3,-5.85,Jeita-1,-11.17
-5410,7360,595.1,-5.82,Jeita-1,-11.37
-5415,7365,595.9,-5.55,Jeita-1,-11.21
-5419,7369,596.7,-5.77,Jeita-1,-11.34
-5424,7374,597.5,-5.64,Jeita-1,-11.16
-5428,7378,598.3,-5.82,Jeita-1,-11.29
-5433,7383,599.1,-5.84,Jeita-1,-11.25
-5437,7387,599.9,-5.95,Jeita-1,-11.2
-5442,7392,600.7,-5.48,Jeita-1,-11.17
-5447,7397,601.5,-5.6,Jeita-1,-11.09
-5451,7401,602.3,-5.75,Jeita-1,-11.56
-5456,7406,603.1,-5.81,Jeita-1,-11.33
-5460,7410,603.9,-5.73,Jeita-1,-11.21
-5465,7415,604.7,-5.96,Jeita-1,-11.35
-5469,7419,605.5,-5.66,Jeita-1,-10.97
-5474,7424,606.3,-5.67,Jeita-1,-10.98
-5479,7429,607.1,-5.82,Jeita-1,-10.8
-5483,7433,607.9,-5.95,Jeita-1,-11.13
-5488,7438,608.7,-5.87,Jeita-1,-11.11
-5492,7442,609.5,-5.98,Jeita-1,-11.5
-5497,7447,610.3,-5.99,Jeita-1,-11.16
-5502,7452,611.1,-6.09,Jeita-1,-11.45
-5506,7456,611.9,-6.06,Jeita-1,-11.63
-5511,7461,612.7,-6.06,Jeita-1,-11.92
-5515,7465,613.5,-5.96,Jeita-1,-11.29
-5520,7470,614.3,-6.03,Jeita-1,-11.41
-5524,7474,615.1,-6.07,Jeita-1,-11.35
-5529,7479,615.9,-6.12,Jeita-1,-11.61
-5534,7484,616.7,-5.76,Jeita-1,-11.04
-5538,7488,617.5,-5.84,Jeita-1,-11.11
-5543,7493,618.3,-5.78,Jeita-1,-10.78
-5547,7497,619.1,-5.85,Jeita-1,-10.92
-5552,7502,619.9,-5.74,Jeita-1,-10.87
-5556,7506,620.7,-5.96,Jeita-1,-11.16
-5561,7511,621.5,-5.92,Jeita-1,-10.95
-5566,7516,622.3,-6.01,Jeita-1,-11.15
-5575,7525,623.1,-5.69,Jeita-1,-10.78
-5584,7534,623.9,-5.79,Jeita-1,-10.87
-5594,7544,624.7,-5.97,Jeita-1,-11.19
-5603,7553,625.5,-6.04,Jeita-1,-11.34
-5612,7562,626.4,-5.76,Jeita-1,-11.02
-5622,7572,627.3,-5.74,Jeita-1,-11.21
-5631,7581,628.2,-5.73,Jeita-1,-11.3
-5640,7590,629.1,-5.77,Jeita-1,-11.4
-5650,7600,630,-5.68,Jeita-1,-11.19
-5659,7609,630.9,-5.6,Jeita-1,-11.08
-5669,7619,631.8,-6,Jeita-1,-11.42
-5678,7628,632.7,-6.01,Jeita-1,-11.64
-5687,7637,633.6,-6.04,Jeita-1,-11.19
-5697,7647,634.5,-6.21,Jeita-1,-11.56
-5706,7656,635.3,-6.18,Jeita-1,-11.4
-5715,7665,636.1,-6.32,Jeita-1,-11.51
-5725,7675,636.9,-6.06,Jeita-1,-11.29
-5734,7684,637.7,-6.2,Jeita-1,-11.45
-5743,7693,638.5,-5.95,Jeita-1,-11.39
-5753,7703,639.3,-6.2,Jeita-1,-11.63
-5762,7712,640.1,-5.97,Jeita-1,-11.18
-5772,7722,640.9,-6.21,Jeita-1,-11.34
-5781,7731,641.7,-5.81,Jeita-1,-11.11
-5784,7734,642.5,-6.02,Jeita-1,-11.21
-5787,7737,643.3,-5.88,Jeita-1,-11.22
-5791,7741,644.1,-5.88,Jeita-1,-11.49
-5794,7744,644.9,-6.02,Jeita-1,-11.14
-5797,7747,645.7,-6.09,Jeita-1,-11.39
-5800,7750,646.5,-5.99,Jeita-1,-11.06
-5803,7753,647.3,-6.03,Jeita-1,-11.18
-5807,7757,648.1,-6.18,Jeita-1,-11.2
-5810,7760,648.9,-6.2,Jeita-1,-11.39
-5813,7763,649.7,-6,Jeita-1,-11.35
-5816,7766,650.5,-5.96,Jeita-1,-11.44
-5820,7770,651.3,-6.1,Jeita-1,-11.09
-5823,7773,652.1,-5.89,Jeita-1,-11.19
-5826,7776,652.9,-6,Jeita-1,-11.11
-5829,7779,653.7,-6.1,Jeita-1,-11.48
-5832,7782,654.5,-6.16,Jeita-1,-10.84
-5836,7786,655.3,-5.99,Jeita-1,-11.05
-5839,7789,656.1,-6.1,Jeita-1,-11.23
-5842,7792,656.9,-5.97,Jeita-1,-11.09
-5845,7795,657.7,-6.04,Jeita-1,-10.82
-5849,7799,658.5,-6.08,Jeita-1,-11.2
-5852,7802,659.1,-6.13,Jeita-1,-10.89
-5855,7805,659.7,-5.93,Jeita-1,-10.94
-5858,7808,660.3,-5.92,Jeita-1,-10.93
-5861,7811,660.9,-5.79,Jeita-1,-11.08
-5865,7815,661.5,-5.84,Jeita-1,-11.2
-5868,7818,662.1,-5.91,Jeita-1,-11.16
-5871,7821,662.7,-5.98,Jeita-1,-10.98
-5874,7824,663.3,-5.91,Jeita-1,-11
-5878,7828,663.9,-5.91,Jeita-1,-11.01
-5881,7831,664.5,-5.95,Jeita-1,-11.19
-5884,7834,665.2,-6.13,Jeita-1,-10.78
-5887,7837,665.9,-6.15,Jeita-1,-10.8
-5896,7846,666.6,-6.04,Jeita-1,-10.55
-5905,7855,667.3,-6.26,Jeita-1,-10.79
-5913,7863,668,-6.07,Jeita-1,-10.83
-5922,7872,668.7,-6.11,Jeita-1,-11.01
-5931,7881,669.4,-6.06,Jeita-1,-10.77
-5940,7890,670.1,-6.31,Jeita-1,-10.99
-5948,7898,670.8,-6.29,Jeita-1,-10.77
-5957,7907,671.5,-6.43,Jeita-1,-10.97
-5966,7916,672.2,-6.31,Jeita-1,-10.88
-5974,7924,672.9,-6.41,Jeita-1,-11.05
-5983,7933,673.6,-6.4,Jeita-1,-10.7
-5992,7942,674.3,-6.28,Jeita-1,-10.43
-6001,7951,675,-6.19,Jeita-1,-10.65
-6009,7959,675.7,-6.35,Jeita-1,-10.83
-6018,7968,676.4,-6.3,Jeita-1,-10.81
-6027,7977,677.1,-6.29,Jeita-1,-10.62
-6036,7986,677.8,-6.33,Jeita-1,-10.78
-6044,7994,678.5,-6.56,Jeita-1,-11.32
-6053,8003,679.3,-6.33,Jeita-1,-11.17
-6062,8012,680.1,-6.44,Jeita-1,-11.08
-6070,8020,680.9,-6.38,Jeita-1,-11.13
-6079,8029,681.7,-6.36,Jeita-1,-11.34
-6088,8038,682.5,-6.31,Jeita-1,-11.11
-6097,8047,683.3,-6.32,Jeita-1,-11.37
-6105,8055,684.1,-6.02,Jeita-1,-10.67
-6114,8064,684.9,-6.2,Jeita-1,-11.02
-6121,8071,685.7,-6.03,Jeita-1,-10.81
-6128,8078,686.5,-6,Jeita-1,-11.13
-6135,8085,687.4,-6.07,Jeita-1,-11.08
-6142,8092,688.3,-6.02,Jeita-1,-11.34
-6149,8099,689.2,-5.91,Jeita-1,-11.08
-6156,8106,690.1,-6.05,Jeita-1,-11.15
-6163,8113,691,-5.98,Jeita-1,-11.11
-6170,8120,691.9,-5.99,Jeita-1,-11.01
-6177,8127,692.8,-5.93,Jeita-1,-11.02
-6184,8134,693.7,-6.12,Jeita-1,-11.52
-6191,8141,694.6,-5.89,Jeita-1,-11.02
-6198,8148,695.5,-6.01,Jeita-1,-11.34
-6205,8155,696.3,-5.77,Jeita-1,-10.57
-6212,8162,697.1,-5.97,Jeita-1,-10.81
-6219,8169,697.9,-5.99,Jeita-1,-10.69
-6226,8176,698.7,-6.03,Jeita-1,-10.92
-6233,8183,699.5,-6.11,Jeita-1,-10.96
-6240,8190,700.3,-6.01,Jeita-1,-11.1
-6246,8196,701.1,-5.94,Jeita-1,-11.02
-6252,8202,701.9,-6.03,Jeita-1,-11.1
-6258,8208,702.7,-6.02,Jeita-1,-11.2
-6264,8214,703.5,-6.15,Jeita-1,-11.35
-6270,8220,704.5,-5.93,Jeita-1,-11.17
-6276,8226,705.5,-6,Jeita-1,-11.35
-6282,8232,706.5,-5.99,Jeita-1,-11.23
-6288,8238,707.5,-6.11,Jeita-1,-11.45
-6294,8244,708.5,-6.13,Jeita-1,-11.2
-6300,8250,709.5,-6.12,Jeita-1,-11.39
-6306,8256,710.5,-6.11,Jeita-1,-11.29
