year (AD),age (BP),F_kerg__ (percent),F_curta_gp_ (percent),C (percent),temperature (percent),glacierCoverage (missing),diatom_abundance (millions of valves/g dry sed)
-7743,9693,5.2,33.8,34.4,10.4,0.6,1579.98
-7763,9713,14.9,13.3,45.9,5.1,0.6,1202.76
-7783,9733,12.3,12.6,38.8,13.7,1.9,538.93
-7802,9752,8.7,4.2,58,18,0.6,878.71
-7822,9772,6.7,11.6,48.4,15.7,3,729.1
-7841,9791,6.7,10.3,49.4,12,0.9,499.25
-7861,9811,4,8.1,70,7,0.5,1575.51
-7880,9830,11.9,7.5,49.9,9.5,1.2,537.78
-7900,9850,5.7,12.7,51.1,9.2,1.3,401.15
-7920,9870,9.7,13.5,33.4,21.4,0.9,190.15
-7939,9889,11.7,16.9,42.8,10.5,1.8,645.55
-7959,9909,8.7,8.4,48.1,16.5,3.2,388.85
-7978,9928,10,17.6,38.5,10.3,0.9,587.18
-7998,9948,8.3,13.4,40.4,17.2,1.5,367.86
-8017,9967,9.3,16.3,42.6,9.9,1.2,612.94
-8037,9987,9.5,19.3,42,9.8,1.5,372.36
-8057,10007,5.2,19.6,47.8,11.3,1.2,328.58
-8076,10026,6.7,15.3,46.8,15.3,2.1,556.92
-8096,10046,1.8,14.7,60.8,8.4,0.6,1226.33
-8115,10065,8.4,18.5,49.8,9,0.6,842.93
-8135,10085,10.6,15,29.6,19.2,2.3,304.91
-8154,10104,13.5,18.3,30.7,11.4,1.5,397.53
-8174,10124,23.1,16.4,26,7.7,2.6,334.61
-8194,10144,7.1,7.7,64.7,3.6,0.9,751.51
-8213,10163,10.2,19.5,34.1,7.2,2.1,373.97
-8233,10183,7.3,14.3,42.7,10.7,1.5,328.83
-8252,10202,15.5,16,34.5,9.3,1.8,216.51
-8272,10222,12.3,14.7,37.5,10.3,3.3,247.44
-8291,10241,9,39.7,14,11.9,3,206.42
-8311,10261,11.9,20.3,29.1,12.4,3.4,231.88
-8331,10281,16.4,18.8,22.6,15.5,4.1,181.82
-8350,10300,15,14.6,33.3,15.9,1.2,313.14
-8370,10320,18.1,10.3,32.4,6.6,6.9,258.96
-8389,10339,17.4,22,27.3,6.5,3.4,233.09
-8409,10359,23.7,15.7,23.4,11.3,5.1,270.24
-8428,10378,15.1,24.5,25.2,2.5,2.5,231.03
-8448,10398,19.3,16.1,25.9,4.8,4.8,195.31
-8467,10417,17.2,14.5,27.1,7.1,5.8,153.31
-8487,10437,16.9,13.1,28.1,6.3,4.7,151.25
-8507,10457,14.4,16.9,32.6,13,4.6,227.45
-8526,10476,4.6,13,32,30.5,2.4,352.93
-8546,10496,21.1,13,20.8,8.2,5.7,133.31
-8565,10515,22.1,11.5,14.8,19.1,3,112.45
-8585,10535,22.7,10.1,26.9,9,4.8,217.31
-8600,10550,24.8,9.6,24.5,11.8,7.1,162.93
-8619,10569,20.5,9.4,29.7,11.9,3.7,203.85
-8639,10589,22.1,11.5,21.8,9.1,6.8,146.77
-8658,10608,20.6,6.6,21.8,17,6.3,122.11
-8678,10628,11.6,10.2,49,10.5,1.5,210.41
-8697,10647,12.5,11.2,40.2,8.1,4.3,138.52
-8717,10667,15.6,14.2,36.7,12.7,2.9,255.06
-8737,10687,9.2,8.5,37.3,21.2,3.6,130.54
-8756,10706,6,14.7,58.3,4.9,3.2,349.95
-8776,10726,8.1,10.2,56.3,7.1,1.8,286.25
-8795,10745,12.7,7.5,49.6,10.4,2.6,208.07
-8815,10765,5.9,9.3,62.9,4.2,3.4,213.15
-8834,10784,9.4,19.2,50.7,5.9,0.8,370.77
-8854,10804,6.1,9.9,70.2,2,0.9,697.04
-8874,10824,2.9,7.5,75.7,0.8,0.3,1017.96
-8893,10843,7.1,17.2,45.4,7.4,3.3,306.2
