year (AD),age (BP),accumulation (gcm-2a-1),depth_top_m (m),thicnkess_m (m)
370.5,1579.5,0.252,369.6,0.215
368,1582,0.246,370.15,0.21
365.3,1584.7,0.241,370.7,0.206
362.7,1587.3,0.248,371.25,0.212
360.1,1589.9,0.231,371.8,0.197
357.3,1592.7,0.234,372.35,0.2
354.5,1595.5,0.238,372.9,0.203
351.8,1598.2,0.237,373.45,0.202
349.1,1600.9,0.228,374,0.194
346.3,1603.7,0.231,374.55,0.197
343.5,1606.5,0.235,375.1,0.2
340.7,1609.3,0.225,375.65,0.192
337.8,1612.2,0.234,376.2,0.199
335.1,1614.9,0.21,376.75,0.178
332,1618,0.213,377.3,0.181
329,1621,0.25,377.85,0.213
326.4,1623.6,0.232,378.4,0.197
323.6,1626.4,0.23,378.95,0.195
320.8,1629.2,0.231,379.5,0.196
318,1632,0.237,380.05,0.201
315.2,1634.8,0.233,380.6,0.197
312.4,1637.6,0.247,381.15,0.21
309.8,1640.2,0.21,381.7,0.178
306.7,1643.3,0.199,382.25,0.169
303.5,1646.5,0.24,382.8,0.203
300.8,1649.2,0.225,383.35,0.191
297.9,1652.1,0.234,383.9,0.199
295.1,1654.9,0.233,384.45,0.197
292.3,1657.7,0.221,385,0.187
289.4,1660.6,0.259,385.55,0.219
286.9,1663.1,0.241,386.1,0.204
284.2,1665.8,0.213,386.65,0.181
281.1,1668.9,0.222,387.2,0.188
278.2,1671.8,0.218,387.75,0.184
275.2,1674.8,0.229,388.3,0.194
272.4,1677.6,0.236,388.85,0.199
269.6,1680.4,0.243,389.4,0.205
266.9,1683.1,0.243,389.95,0.206
264.3,1685.7,0.237,390.5,0.2
261.5,1688.5,0.23,391.05,0.194
258.7,1691.3,0.233,391.6,0.197
255.9,1694.1,0.236,392.15,0.199
253.1,1696.9,0.234,392.7,0.198
250.3,1699.7,0.237,393.25,0.2
247.6,1702.4,0.251,393.8,0.212
245,1705,0.215,394.35,0.181
241.9,1708.1,0.245,394.9,0.207
239.3,1710.7,0.251,395.45,0.211
236.7,1713.3,0.222,396,0.187
233.7,1716.3,0.236,396.55,0.199
231,1719,0.214,397.1,0.18
227.9,1722.1,0.228,397.65,0.192
225,1725,0.23,398.2,0.194
222.2,1727.8,0.238,398.75,0.2
219.5,1730.5,0.216,399.3,0.182
216.4,1733.6,0.218,399.85,0.183
213.4,1736.6,0.224,400.4,0.188
210.5,1739.5,0.239,400.95,0.201
207.8,1742.2,0.206,401.5,0.173
204.6,1745.4,0.221,402.05,0.186
201.6,1748.4,0.23,402.6,0.193
198.8,1751.2,0.208,403.15,0.174
195.6,1754.4,0.225,403.7,0.189
192.7,1757.3,0.25,404.25,0.21
190.1,1759.9,0.24,404.8,0.201
187.4,1762.6,0.248,405.35,0.208
184.7,1765.3,0.243,405.9,0.203
182,1768,0.229,406.45,0.192
179.2,1770.8,0.235,407,0.196
176.4,1773.6,0.236,407.55,0.198
173.6,1776.4,0.224,408.1,0.187
170.6,1779.4,0.234,408.65,0.196
167.8,1782.2,0.22,409.2,0.184
164.8,1785.2,0.225,409.75,0.188
161.9,1788.1,0.23,410.3,0.192
159.1,1790.9,0.228,410.85,0.191
156.2,1793.8,0.211,411.4,0.176
153.1,1796.9,0.207,411.95,0.173
149.9,1800.1,0.228,412.5,0.191
147,1803,0.239,413.05,0.199
144.2,1805.8,0.227,413.6,0.189
141.3,1808.7,0.237,414.15,0.198
138.6,1811.4,0.222,414.7,0.185
135.6,1814.4,0.259,415.25,0.216
133,1817,0.236,415.8,0.196
130.2,1819.8,0.226,416.35,0.188
127.3,1822.7,0.238,416.9,0.199
124.6,1825.4,0.231,417.45,0.193
121.7,1828.3,0.237,418,0.197
118.9,1831.1,0.239,418.55,0.199
116.1,1833.9,0.232,419.1,0.193
113.3,1836.7,0.237,419.65,0.197
110.5,1839.5,0.218,420.2,0.181
107.5,1842.5,0.224,420.75,0.186
104.5,1845.5,0.244,421.3,0.202
101.8,1848.2,0.236,421.85,0.196
99,1851,0.23,422.4,0.191
96.1,1853.9,0.241,422.95,0.2
93.4,1856.6,0.234,423.5,0.194
90.5,1859.5,0.243,424.05,0.202
87.8,1862.2,0.247,424.6,0.205
85.1,1864.9,0.22,425.15,0.183
82.1,1867.9,0.242,425.7,0.201
79.4,1870.6,0.232,426.25,0.192
76.5,1873.5,0.236,426.8,0.195
73.7,1876.3,0.237,427.35,0.196
70.9,1879.1,0.242,427.9,0.201
68.1,1881.9,0.243,428.45,0.202
65.4,1884.6,0.24,429,0.199
62.6,1887.4,0.241,429.55,0.199
59.9,1890.1,0.24,430.1,0.199
57.1,1892.9,0.235,430.65,0.195
54.3,1895.7,0.242,431.2,0.2
51.5,1898.5,0.245,431.75,0.202
48.8,1901.2,0.249,432.3,0.206
46.2,1903.8,0.254,432.85,0.21
43.5,1906.5,0.23,433.4,0.19
40.6,1909.4,0.248,433.95,0.205
38,1912,0.237,434.5,0.196
35.2,1914.8,0.237,435.05,0.196
32.3,1917.7,0.22,435.6,0.181
29.3,1920.7,0.233,436.15,0.192
26.4,1923.6,0.248,436.7,0.205
23.8,1926.2,0.241,437.25,0.199
21,1929,0.26,437.8,0.214
18.4,1931.6,0.252,438.35,0.207
15.8,1934.2,0.239,438.9,0.197
13,1937,0.226,439.45,0.186
10,1940,0.22,440,0.181
7,1943,0.231,440.55,0.19
4.1,1945.9,0.236,441.1,0.194
1.3,1948.7,0.239,441.65,0.197
-1.5,1951.5,0.222,442.2,0.182
-4.5,1954.5,0.253,442.75,0.208
-7.2,1957.2,0.222,443.3,0.182
-10.2,1960.2,0.232,443.85,0.19
-13.1,1963.1,0.223,444.4,0.183
-16.1,1966.1,0.238,444.95,0.195
-18.9,1968.9,0.231,445.5,0.189
-21.8,1971.8,0.214,446.05,0.176
-24.9,1974.9,0.244,446.6,0.2
-27.7,1977.7,0.242,447.15,0.198
-30.4,1980.4,0.254,447.7,0.208
-33.1,1983.1,0.233,448.25,0.191
-36,1986,0.23,448.8,0.189
-38.9,1988.9,0.236,449.35,0.193
-41.7,1991.7,0.237,449.9,0.194
-44.6,1994.6,0.232,450.45,0.19
-47.5,1997.5,0.242,451,0.198
-50.2,2000.2,0.246,451.55,0.201
-53,2003,0.247,452.1,0.202
-55.7,2005.7,0.247,452.65,0.202
-58.4,2008.4,0.244,453.2,0.199
-61.2,2011.2,0.228,453.75,0.186
-64.1,2014.1,0.237,454.3,0.194
-67,2017,0.23,454.85,0.188
-69.9,2019.9,0.188,455.4,0.153
-73.5,2023.5,0.232,455.95,0.189
-76.4,2026.4,0.209,456.5,0.171
-79.6,2029.6,0.228,457.05,0.186
-82.6,2032.6,0.247,457.6,0.201
-85.3,2035.3,0.251,458.15,0.205
-88,2038,0.219,458.7,0.178
-91.1,2041.1,0.203,459.25,0.165
-94.4,2044.4,0.218,459.8,0.177
-97.5,2047.5,0.217,460.35,0.177
-100.6,2050.6,0.24,460.9,0.195
-103.4,2053.4,0.243,461.45,0.198
-106.2,2056.2,0.256,462,0.208
-108.8,2058.8,0.231,462.55,0.188
-111.8,2061.8,0.233,463.1,0.189
-114.7,2064.7,0.22,463.65,0.179
-117.7,2067.7,0.233,464.2,0.19
-120.6,2070.6,0.241,464.75,0.196
-123.5,2073.5,0.231,465.3,0.188
-126.4,2076.4,0.244,465.85,0.199
-129.2,2079.2,0.25,466.4,0.203
-131.9,2081.9,0.251,466.95,0.204
-134.6,2084.6,0.23,467.5,0.187
-137.5,2087.5,0.228,468.05,0.185
-140.5,2090.5,0.217,468.6,0.176
-143.6,2093.6,0.212,469.15,0.172
-146.8,2096.8,0.228,469.7,0.185
-149.8,2099.8,0.238,470.25,0.193
-152.6,2102.6,0.226,470.8,0.183
-155.6,2105.6,0.24,471.35,0.194
-158.5,2108.5,0.224,471.9,0.181
-161.5,2111.5,0.24,472.45,0.194
-164.3,2114.3,0.233,473,0.189
-167.2,2117.2,0.239,473.55,0.193
-170.1,2120.1,0.239,474.1,0.193
-172.9,2122.9,0.227,474.65,0.184
-175.9,2125.9,0.23,475.2,0.186
-178.9,2128.9,0.252,475.75,0.204
-181.6,2131.6,0.218,476.3,0.176
-184.7,2134.7,0.243,476.85,0.196
-187.5,2137.5,0.239,477.4,0.193
-190.4,2140.4,0.239,477.95,0.193
-193.2,2143.2,0.239,478.5,0.192
-196.1,2146.1,0.244,479.05,0.197
-198.9,2148.9,0.224,479.6,0.18
-201.9,2151.9,0.229,480.15,0.185
-204.9,2154.9,0.229,480.7,0.185
-207.9,2157.9,0.244,481.25,0.197
-210.7,2160.7,0.21,481.8,0.169
-213.9,2163.9,0.224,482.35,0.18
-217,2167,0.236,482.9,0.19
-219.9,2169.9,0.234,483.45,0.188
-222.8,2172.8,0.233,484,0.187
-225.7,2175.7,0.214,484.55,0.172
-228.9,2178.9,0.223,485.1,0.179
-232,2182,0.214,485.65,0.172
-235.2,2185.2,0.233,486.2,0.187
-238.1,2188.1,0.218,486.75,0.175
-241.3,2191.3,0.253,487.3,0.204
-244,2194,0.233,487.85,0.187
-246.9,2196.9,0.235,488.4,0.189
-249.8,2199.8,0.249,488.95,0.2
-252.6,2202.6,0.238,489.5,0.191
-255.4,2205.4,0.24,490.05,0.193
-258.3,2208.3,0.202,490.6,0.162
-261.7,2211.7,0.243,491.15,0.195
-264.5,2214.5,0.262,491.7,0.21
-267.1,2217.1,0.255,492.25,0.204
-269.8,2219.8,0.252,492.8,0.202
-272.5,2222.5,0.225,493.35,0.18
-275.6,2225.6,0.237,493.9,0.189
-278.5,2228.5,0.216,494.45,0.173
-281.7,2231.7,0.259,495,0.207
-284.3,2234.3,0.237,495.55,0.19
-287.2,2237.2,0.236,496.1,0.188
-290.1,2240.1,0.233,496.65,0.186
-293.1,2243.1,0.257,497.2,0.206
-295.8,2245.8,0.243,497.75,0.194
-298.6,2248.6,0.242,498.3,0.193
-301.5,2251.5,0.235,498.85,0.188
-304.4,2254.4,0.238,499.4,0.19
-307.3,2257.3,0.237,499.95,0.189
-310.2,2260.2,0.238,500.5,0.19
-313.1,2263.1,0.244,501.05,0.195
-315.9,2265.9,0.233,501.6,0.185
-318.9,2268.9,0.241,502.15,0.192
-321.7,2271.7,0.226,502.7,0.18
-324.8,2274.8,0.235,503.25,0.187
-327.7,2277.7,0.207,503.8,0.165
-331.1,2281.1,0.244,504.35,0.194
-333.9,2283.9,0.249,504.9,0.198
-336.7,2286.7,0.226,505.45,0.18
-339.7,2289.7,0.223,506,0.177
-342.8,2292.8,0.238,506.55,0.189
-345.8,2295.8,0.231,507.1,0.184
-348.7,2298.7,0.222,507.65,0.176
-351.9,2301.9,0.215,508.2,0.171
-355.1,2305.1,0.233,508.75,0.185
-358.1,2308.1,0.22,509.3,0.174
-361.2,2311.2,0.229,509.85,0.181
-364.3,2314.3,0.233,510.4,0.185
-367.2,2317.2,0.249,510.95,0.197
-370,2320,0.254,511.5,0.202
-372.7,2322.7,0.238,512.05,0.188
-375.7,2325.7,0.225,512.6,0.178
-378.7,2328.7,0.246,513.15,0.195
-381.6,2331.6,0.24,513.7,0.19
-384.5,2334.5,0.217,514.25,0.171
-387.7,2337.7,0.219,514.8,0.173
-390.8,2340.8,0.233,515.35,0.184
-393.8,2343.8,0.251,515.9,0.198
-396.6,2346.6,0.241,516.45,0.191
-399.5,2349.5,0.251,517,0.199
-402.3,2352.3,0.26,517.55,0.206
-404.9,2354.9,0.263,518.1,0.208
-407.6,2357.6,0.236,518.65,0.187
-410.5,2360.5,0.233,519.2,0.184
-413.5,2363.5,0.211,519.75,0.167
-416.8,2366.8,0.224,520.3,0.177
-419.9,2369.9,0.229,520.85,0.181
-423,2373,0.245,521.4,0.193
-425.8,2375.8,0.248,521.95,0.195
-428.6,2378.6,0.248,522.5,0.196
-431.4,2381.4,0.244,523.05,0.192
-434.3,2384.3,0.25,523.6,0.197
-437.1,2387.1,0.252,524.15,0.198
-439.9,2389.9,0.231,524.7,0.182
-442.9,2392.9,0.198,525.25,0.156
-446.4,2396.4,0.239,525.8,0.188
-449.3,2399.3,0.237,526.35,0.186
-452.3,2402.3,0.236,526.9,0.185
-455.3,2405.3,0.207,527.45,0.162
-458.6,2408.6,0.25,528,0.197
-461.4,2411.4,0.241,528.55,0.189
-464.3,2414.3,0.221,529.1,0.174
-467.5,2417.5,0.246,529.65,0.193
-470.4,2420.4,0.233,530.2,0.183
-473.4,2423.4,0.253,530.75,0.198
-476.1,2426.1,0.207,531.3,0.162
-479.5,2429.5,0.236,531.85,0.185
-482.5,2432.5,0.248,532.4,0.194
-485.3,2435.3,0.229,532.95,0.179
-488.4,2438.4,0.224,533.5,0.175
-491.5,2441.5,0.243,534.05,0.19
-494.4,2444.4,0.246,534.6,0.193
-497.3,2447.3,0.247,535.15,0.193
-500.1,2450.1,0.238,535.7,0.186
-503.1,2453.1,0.24,536.25,0.188
-506,2456,0.25,536.8,0.195
-508.8,2458.8,0.22,537.35,0.172
-512,2462,0.244,537.9,0.19
-514.9,2464.9,0.235,538.45,0.184
-517.9,2467.9,0.232,539,0.181
-520.9,2470.9,0.221,539.55,0.172
-524.1,2474.1,0.223,540.1,0.174
-527.3,2477.3,0.223,540.65,0.174
-530.4,2480.4,0.252,541.2,0.197
-533.2,2483.2,0.248,541.75,0.194
-536.1,2486.1,0.251,542.3,0.195
-538.9,2488.9,0.248,542.85,0.193
-541.7,2491.7,0.251,543.4,0.195
-544.6,2494.6,0.25,543.95,0.195
-547.4,2497.4,0.244,544.5,0.19
-550.3,2500.3,0.253,545.05,0.197
-553.1,2503.1,0.25,545.6,0.194
-555.9,2505.9,0.241,546.15,0.187
-558.8,2508.8,0.254,546.7,0.197
-561.6,2511.6,0.244,547.25,0.189
-564.5,2514.5,0.241,547.8,0.187
-567.5,2517.5,0.238,548.35,0.185
-570.4,2520.4,0.25,548.9,0.194
-573.3,2523.3,0.244,549.45,0.19
-576.2,2526.2,0.256,550,0.199
-578.9,2528.9,0.226,550.55,0.176
-582.1,2532.1,0.254,551.1,0.197
-584.8,2534.8,0.24,551.65,0.186
-587.8,2537.8,0.206,552.2,0.16
-591.2,2541.2,0.206,552.75,0.16
-594.7,2544.7,0.247,553.3,0.192
-597.6,2547.6,0.24,553.85,0.186
-600.5,2550.5,0.25,554.4,0.193
-603.4,2553.4,0.224,554.95,0.174
-606.5,2556.5,0.222,555.5,0.172
-609.7,2559.7,0.249,556.05,0.193
-612.6,2562.6,0.23,556.6,0.178
-615.7,2565.7,0.242,557.15,0.187
-618.6,2568.6,0.238,557.7,0.184
-621.6,2571.6,0.237,558.25,0.183
-624.6,2574.6,0.231,558.8,0.179
-627.7,2577.7,0.257,559.35,0.198
-630.4,2580.4,0.237,559.9,0.183
-633.4,2583.4,0.239,560.45,0.185
-636.4,2586.4,0.252,561,0.194
-639.2,2589.2,0.234,561.55,0.181
-642.3,2592.3,0.219,562.1,0.169
-645.5,2595.5,0.244,562.65,0.188
-648.5,2598.5,0.243,563.2,0.187
-651.4,2601.4,0.236,563.75,0.182
-654.4,2604.4,0.238,564.3,0.183
-657.4,2607.4,0.205,564.85,0.157
-660.9,2610.9,0.253,565.4,0.195
-663.7,2613.7,0.257,565.95,0.198
-666.5,2616.5,0.239,566.5,0.184
-669.5,2619.5,0.205,567.05,0.157
-673,2623,0.242,567.6,0.186
-676,2626,0.242,568.15,0.186
-678.9,2628.9,0.247,568.7,0.19
-681.8,2631.8,0.246,569.25,0.189
-684.7,2634.7,0.223,569.8,0.171
-687.9,2637.9,0.235,570.35,0.181
-691,2641,0.221,570.9,0.17
-694.2,2644.2,0.24,571.45,0.184
-697.2,2647.2,0.222,572,0.171
-700.4,2650.4,0.242,572.55,0.185
-703.4,2653.4,0.23,573.1,0.176
-706.5,2656.5,0.247,573.65,0.189
-709.4,2659.4,0.25,574.2,0.192
-712.3,2662.3,0.24,574.75,0.184
-715.3,2665.3,0.233,575.3,0.178
-718.4,2668.4,0.23,575.85,0.176
-721.5,2671.5,0.231,576.4,0.177
-724.6,2674.6,0.25,576.95,0.191
-727.5,2677.5,0.242,577.5,0.185
-730.4,2680.4,0.243,578.05,0.185
-733.4,2683.4,0.235,578.6,0.179
-736.5,2686.5,0.244,579.15,0.187
-739.4,2689.4,0.209,579.7,0.159
-742.9,2692.9,0.228,580.25,0.174
-746,2696,0.252,580.8,0.192
-748.9,2698.9,0.248,581.35,0.189
-751.8,2701.8,0.229,581.9,0.174
-755,2705,0.259,582.45,0.197
-757.7,2707.7,0.216,583,0.165
-761.1,2711.1,0.205,583.55,0.156
-764.6,2714.6,0.241,584.1,0.184
-767.6,2717.6,0.238,584.65,0.181
-770.6,2720.6,0.244,585.2,0.186
-773.6,2723.6,0.23,585.75,0.175
-776.7,2726.7,0.242,586.3,0.184
-779.7,2729.7,0.224,586.85,0.17
-782.9,2732.9,0.253,587.4,0.192
-785.8,2735.8,0.235,587.95,0.179
-788.9,2738.9,0.23,588.5,0.175
-792,2742,0.207,589.05,0.158
-795.5,2745.5,0.225,589.6,0.171
-798.7,2748.7,0.242,590.15,0.184
-801.7,2751.7,0.229,590.7,0.174
-804.9,2754.9,0.211,591.25,0.16
-808.3,2758.3,0.244,591.8,0.185
-811.3,2761.3,0.25,592.35,0.19
-814.2,2764.2,0.23,592.9,0.174
-817.4,2767.4,0.239,593.45,0.181
-820.4,2770.4,0.246,594,0.187
-823.3,2773.3,0.231,594.55,0.175
-826.5,2776.5,0.233,595.1,0.177
-829.6,2779.6,0.24,595.65,0.181
-832.6,2782.6,0.231,596.2,0.175
-835.8,2785.8,0.231,596.75,0.175
-838.9,2788.9,0.255,597.3,0.193
-841.8,2791.8,0.244,597.85,0.184
-844.7,2794.7,0.241,598.4,0.182
-847.8,2797.8,0.256,598.95,0.193
-850.6,2800.6,0.208,599.5,0.157
-854.1,2804.1,0.251,600.05,0.189
-857,2807,0.241,600.6,0.182
-860,2810,0.228,601.15,0.172
-863.2,2813.2,0.248,601.7,0.187
-866.2,2816.2,0.254,602.25,0.192
-869,2819,0.237,602.8,0.179
-872.1,2822.1,0.239,603.35,0.18
-875.2,2825.2,0.225,603.9,0.169
-878.4,2828.4,0.246,604.45,0.185
-881.4,2831.4,0.219,605,0.165
-884.7,2834.7,0.225,605.55,0.169
-888,2838,0.241,606.1,0.181
-891,2841,0.237,606.65,0.178
-894.1,2844.1,0.231,607.2,0.174
-897.2,2847.2,0.232,607.75,0.174
-900.4,2850.4,0.215,608.3,0.162
-903.8,2853.8,0.237,608.85,0.178
-906.9,2856.9,0.229,609.4,0.172
-910.1,2860.1,0.211,609.95,0.159
-913.6,2863.6,0.246,610.5,0.184
-916.5,2866.5,0.25,611.05,0.188
-919.5,2869.5,0.248,611.6,0.186
-922.4,2872.4,0.245,612.15,0.184
-925.4,2875.4,0.225,612.7,0.169
-928.7,2878.7,0.243,613.25,0.182
-931.7,2881.7,0.23,613.8,0.172
-934.9,2884.9,0.242,614.35,0.181
-937.9,2887.9,0.209,614.9,0.157
-941.4,2891.4,0.217,615.45,0.163
-944.8,2894.8,0.222,616,0.166
-948.1,2898.1,0.242,616.55,0.181
-951.2,2901.2,0.23,617.1,0.172
-954.4,2904.4,0.228,617.65,0.171
-957.6,2907.6,0.235,618.2,0.175
-960.7,2910.7,0.243,618.75,0.182
-963.7,2913.7,0.24,619.3,0.179
-966.8,2916.8,0.241,619.85,0.18
-969.9,2919.9,0.249,620.4,0.186
-972.8,2922.8,0.241,620.95,0.18
-975.9,2925.9,0.241,621.5,0.18
-979,2929,0.234,622.05,0.174
-982.1,2932.1,0.239,622.6,0.178
-985.2,2935.2,0.254,623.15,0.189
-988.1,2938.1,0.246,623.7,0.183
-991.1,2941.1,0.254,624.25,0.189
-994,2944,0.233,624.8,0.173
-997.2,2947.2,0.241,625.35,0.179
-1000.3,2950.3,0.248,625.9,0.185
-1003.2,2953.2,0.232,626.45,0.173
-1006.4,2956.4,0.223,627,0.165
-1009.7,2959.7,0.244,627.55,0.182
-1012.8,2962.8,0.232,628.1,0.172
-1016,2966,0.259,628.65,0.193
-1018.8,2968.8,0.233,629.2,0.173
-1022,2972,0.236,629.75,0.175
-1025.1,2975.1,0.241,630.3,0.179
-1028.2,2978.2,0.245,630.85,0.182
-1031.2,2981.2,0.245,631.4,0.182
-1034.3,2984.3,0.217,631.95,0.161
-1037.7,2987.7,0.247,632.5,0.183
-1040.7,2990.7,0.243,633.05,0.18
-1043.7,2993.7,0.229,633.6,0.17
-1047,2997,0.22,634.15,0.163
-1050.3,3000.3,0.236,634.7,0.175
-1053.5,3003.5,0.228,635.25,0.169
-1056.7,3006.7,0.242,635.8,0.179
-1059.8,3009.8,0.215,636.35,0.159
-1063.3,3013.3,0.227,636.9,0.168
-1066.5,3016.5,0.252,637.45,0.186
-1069.5,3019.5,0.216,638,0.16
-1072.9,3022.9,0.223,638.55,0.164
-1076.3,3026.3,0.232,639.1,0.171
-1079.5,3029.5,0.253,639.65,0.187
-1082.4,3032.4,0.24,640.2,0.177
-1085.5,3035.5,0.245,640.75,0.181
-1088.6,3038.6,0.242,641.3,0.178
-1091.7,3041.7,0.253,641.85,0.186
-1094.6,3044.6,0.205,642.4,0.151
-1098.2,3048.2,0.226,642.95,0.166
-1101.6,3051.6,0.226,643.5,0.167
-1104.9,3054.9,0.215,644.05,0.158
-1108.3,3058.3,0.24,644.6,0.176
-1111.5,3061.5,0.257,645.15,0.189
-1114.4,3064.4,0.247,645.7,0.182
-1117.4,3067.4,0.215,646.25,0.158
-1120.9,3070.9,0.231,646.8,0.17
-1124.1,3074.1,0.25,647.35,0.184
-1127.1,3077.1,0.243,647.9,0.179
-1130.2,3080.2,0.229,648.45,0.168
-1133.4,3083.4,0.252,649,0.185
-1136.4,3086.4,0.242,649.55,0.178
-1139.5,3089.5,0.249,650.1,0.182
-1142.5,3092.5,0.208,650.65,0.153
-1146.1,3096.1,0.21,651.2,0.154
-1149.7,3099.7,0.244,651.75,0.179
-1152.8,3102.8,0.232,652.3,0.17
-1156,3106,0.234,652.85,0.171
-1159.2,3109.2,0.238,653.4,0.174
-1162.4,3112.4,0.232,653.95,0.17
-1165.6,3115.6,0.233,654.5,0.171
-1168.8,3118.8,0.227,655.05,0.166
-1172.1,3122.1,0.22,655.6,0.161
-1175.6,3125.6,0.23,656.15,0.168
-1178.8,3128.8,0.239,656.7,0.174
-1182,3132,0.228,657.25,0.167
-1185.3,3135.3,0.226,657.8,0.165
-1188.6,3138.6,0.231,658.35,0.168
-1191.9,3141.9,0.222,658.9,0.162
-1195.3,3145.3,0.223,659.45,0.163
-1198.6,3148.6,0.242,660,0.176
-1201.8,3151.8,0.245,660.55,0.179
-1204.8,3154.8,0.252,661.1,0.184
-1207.8,3157.8,0.257,661.65,0.187
-1210.8,3160.8,0.252,662.2,0.183
-1213.8,3163.8,0.254,662.75,0.185
-1216.7,3166.7,0.23,663.3,0.167
-1220,3170,0.235,663.85,0.171
-1223.2,3173.2,0.239,664.4,0.174
-1226.4,3176.4,0.24,664.95,0.175
-1229.5,3179.5,0.223,665.5,0.162
-1232.9,3182.9,0.219,666.05,0.159
-1236.4,3186.4,0.24,666.6,0.175
-1239.5,3189.5,0.24,667.15,0.174
-1242.7,3192.7,0.243,667.7,0.176
-1245.8,3195.8,0.22,668.25,0.16
-1249.2,3199.2,0.233,668.8,0.169
-1252.5,3202.5,0.222,669.35,0.161
-1255.9,3205.9,0.226,669.9,0.164
-1259.3,3209.3,0.216,670.45,0.156
-1262.8,3212.8,0.251,671,0.182
-1265.8,3215.8,0.22,671.55,0.159
-1269.3,3219.3,0.249,672.1,0.18
-1272.3,3222.3,0.239,672.65,0.173
-1275.5,3225.5,0.247,673.2,0.179
-1278.6,3228.6,0.257,673.75,0.186
-1281.5,3231.5,0.223,674.3,0.162
-1284.9,3234.9,0.248,674.85,0.18
-1288,3238,0.242,675.4,0.175
-1291.1,3241.1,0.231,675.95,0.167
-1294.4,3244.4,0.247,676.5,0.179
-1297.5,3247.5,0.253,677.05,0.183
-1300.5,3250.5,0.23,677.6,0.166
-1303.8,3253.8,0.236,678.15,0.171
-1307,3257,0.249,678.7,0.18
-1310.1,3260.1,0.237,679.25,0.171
-1313.3,3263.3,0.245,679.8,0.177
-1316.4,3266.4,0.254,680.35,0.183
-1319.4,3269.4,0.247,680.9,0.178
-1322.5,3272.5,0.249,681.45,0.18
-1325.6,3275.6,0.231,682,0.166
-1328.9,3278.9,0.258,682.55,0.186
-1331.9,3281.9,0.247,683.1,0.178
-1335,3285,0.235,683.65,0.169
-1338.2,3288.2,0.238,684.2,0.171
-1341.4,3291.4,0.241,684.75,0.174
-1344.6,3294.6,0.245,685.3,0.176
-1347.7,3297.7,0.253,685.85,0.182
-1350.7,3300.7,0.249,686.4,0.179
-1353.8,3303.8,0.24,686.95,0.173
-1357,3307,0.241,687.5,0.173
-1360.2,3310.2,0.256,688.05,0.184
-1363.2,3313.2,0.263,688.6,0.189
-1366.1,3316.1,0.242,689.15,0.174
-1369.3,3319.3,0.25,689.7,0.179
-1372.3,3322.3,0.232,690.25,0.166
-1375.6,3325.6,0.237,690.8,0.17
-1378.9,3328.9,0.234,691.35,0.168
-1382.1,3332.1,0.227,691.9,0.162
-1385.5,3335.5,0.245,692.45,0.175
-1388.7,3338.7,0.23,693,0.164
-1392,3342,0.24,693.55,0.171
-1395.2,3345.2,0.256,694.1,0.183
-1398.2,3348.2,0.229,694.65,0.164
-1401.6,3351.6,0.245,695.2,0.175
-1404.7,3354.7,0.233,695.75,0.167
-1408,3358,0.255,696.3,0.182
-1411.1,3361.1,0.258,696.85,0.184
-1414,3364,0.228,697.4,0.163
-1417.4,3367.4,0.243,697.95,0.173
-1420.6,3370.6,0.224,698.5,0.16
-1424,3374,0.236,699.05,0.168
-1427.3,3377.3,0.229,699.6,0.163
-1430.7,3380.7,0.228,700.15,0.163
-1434.1,3384.1,0.238,700.7,0.17
-1437.3,3387.3,0.224,701.25,0.159
-1440.8,3390.8,0.242,701.8,0.172
-1443.9,3393.9,0.239,702.35,0.17
-1447.2,3397.2,0.249,702.9,0.177
-1450.3,3400.3,0.241,703.45,0.171
-1453.5,3403.5,0.224,704,0.159
-1457,3407,0.235,704.55,0.167
-1460.2,3410.2,0.246,705.1,0.174
-1463.4,3413.4,0.237,705.65,0.168
-1466.7,3416.7,0.242,706.2,0.172
-1469.9,3419.9,0.247,706.75,0.175
-1473,3423,0.244,707.3,0.173
-1476.2,3426.2,0.199,707.85,0.141
-1480.1,3430.1,0.241,708.4,0.171
-1483.3,3433.3,0.233,708.95,0.165
-1486.6,3436.6,0.221,709.5,0.156
-1490.2,3440.2,0.243,710.05,0.172
-1493.4,3443.4,0.24,710.6,0.17
-1496.6,3446.6,0.216,711.15,0.153
-1500.2,3450.2,0.239,711.7,0.169
-1503.4,3453.4,0.246,712.25,0.174
-1506.6,3456.6,0.214,712.8,0.152
-1510.2,3460.2,0.234,713.35,0.166
-1513.5,3463.5,0.236,713.9,0.167
-1516.8,3466.8,0.24,714.45,0.169
-1520.1,3470.1,0.23,715,0.162
-1523.5,3473.5,0.231,715.55,0.163
-1526.9,3476.9,0.244,716.1,0.172
-1530,3480,0.241,716.65,0.17
-1533.3,3483.3,0.239,717.2,0.168
-1536.5,3486.5,0.255,717.75,0.18
-1539.6,3489.6,0.248,718.3,0.175
-1542.8,3492.8,0.247,718.85,0.174
-1545.9,3495.9,0.248,719.4,0.174
-1549.1,3499.1,0.207,719.95,0.146
-1552.8,3502.8,0.228,720.5,0.16
-1556.3,3506.3,0.247,721.05,0.174
-1559.4,3509.4,0.244,721.6,0.171
-1562.6,3512.6,0.25,722.15,0.175
-1565.8,3515.8,0.239,722.7,0.168
-1569,3519,0.245,723.25,0.172
-1572.2,3522.2,0.252,723.8,0.177
