depth (m),TOC (percent),CaCO3 (percent),depth (m),d18O (permil),d13C (permil),d18O (permil),d13C (permil),d18O (permil),d13C (permil),d18O (permil),depth (m),planktic.d18O (permil),planktic.d13C (permil),depth (m),age (BP),planktic.d18O (permil),depth (m),age (BP),temperature (degC),temperature (degC),temperatureComposite (degC),Uk37 (missing),depth (m),DBD (g_cm3)
7.8,0.93,17.05,NA,NA,NA,NA,NA,NA,NA,NA,1.765,-2.58,1.4,NA,NA,NA,10.35,27470,23.6,23.6,-1.173,0.823,NA,NA
7.85,1.16,14.75,NA,NA,NA,NA,NA,NA,NA,NA,1.775,-2.49,1.52,NA,NA,NA,10.45,27956,23.6,23.6,-1.173,0.823,NA,NA
7.95,1.1,15.83,NA,NA,NA,NA,NA,NA,NA,NA,1.785,-2.59,1.48,NA,NA,NA,10.55,28408,23.2,23.3,-1.523,0.812,NA,NA
8,1.05,15.75,NA,NA,NA,NA,NA,NA,NA,NA,1.795,-2.55,1.49,NA,NA,NA,10.57,28468,23.7,23.7,-1.073,0.826,NA,NA
8.05,1.13,15.33,NA,NA,NA,NA,NA,NA,NA,NA,1.805,-2.5,1.41,NA,NA,NA,10.59,28529,23.1,23.1,-1.673,0.808,NA,NA
8.1,0.95,16.65,NA,NA,NA,NA,NA,NA,NA,NA,1.815,-2.68,1.65,NA,NA,NA,10.77,29220,23.6,23.6,-1.173,0.822,NA,NA
8.15,1.06,14.25,NA,NA,NA,NA,NA,NA,NA,NA,1.825,-2.82,1.34,NA,NA,NA,10.81,29439,23.5,23.5,-1.273,0.821,NA,NA
8.2,1.27,15.19,NA,NA,NA,NA,NA,NA,NA,NA,1.835,-2.58,1.54,NA,NA,NA,10.89,29877,23.6,23.6,-1.173,0.823,NA,NA
8.25,1.11,16.17,NA,NA,NA,NA,NA,NA,NA,NA,1.845,-2.85,1.46,NA,NA,NA,10.99,30425,23.2,23.3,-1.523,0.813,NA,NA
8.3,1.1,16.88,NA,NA,NA,NA,NA,NA,NA,NA,1.865,-2.35,1.535,NA,NA,NA,11.07,30864,23.2,23.3,-1.523,0.812,NA,NA
8.35,1.06,18.33,NA,NA,NA,NA,NA,NA,NA,NA,1.885,-2.54,1.43,NA,NA,NA,11.11,31083,23.5,23.5,-1.273,0.819,NA,NA
8.4,0.96,17.99,NA,NA,NA,NA,NA,NA,NA,NA,1.905,-2.48,1.52,NA,NA,NA,11.21,31595,23.2,23.3,-1.523,0.811,NA,NA
8.45,1.1,17.58,NA,NA,NA,NA,NA,NA,NA,NA,1.925,-2.53,1.39,NA,NA,NA,11.29,31889,23.8,23.8,-0.973,0.83,NA,NA
8.5,1.1,14.29,NA,NA,NA,NA,NA,NA,NA,NA,1.945,-2.59,1.49,NA,NA,NA,11.39,32250,23.3,23.4,-1.423,0.815,NA,NA
8.55,1,18.58,NA,NA,NA,NA,NA,NA,NA,NA,1.965,-2.4,1.25,NA,NA,NA,11.45,32449,23.6,23.6,-1.173,0.823,NA,NA
8.6,1.01,18.58,NA,NA,NA,NA,NA,NA,NA,NA,1.985,-2.64,1.43,NA,NA,NA,11.55,32782,23.3,23.3,-1.473,0.814,NA,NA
8.65,0.96,17.42,NA,NA,NA,NA,NA,NA,NA,NA,2.005,-2.45,1.41,NA,NA,NA,11.61,32981,23.6,23.6,-1.173,0.824,NA,NA
8.7,0.98,19.15,NA,NA,NA,NA,NA,NA,NA,NA,2.025,-2.39,1.36,NA,NA,NA,11.71,33150,23.5,23.5,-1.273,0.82,NA,NA
8.75,1,17.83,NA,NA,NA,NA,NA,NA,NA,NA,2.045,-2.51,1.38,NA,NA,NA,11.79,33285,23.9,23.9,-0.873,0.833,NA,NA
8.8,1.16,15.83,NA,NA,NA,NA,NA,NA,NA,NA,2.065,-2.66,1.305,NA,NA,NA,11.89,33654,23.5,23.6,-1.223,0.822,NA,NA
8.85,0.96,20.17,NA,NA,NA,NA,NA,NA,NA,NA,2.085,-2.49,1.52,NA,NA,NA,11.99,34447,23.6,23.6,-1.173,0.822,NA,NA
8.9,0.85,20.46,NA,NA,NA,NA,NA,NA,NA,NA,2.105,-2.5,1.37,NA,NA,NA,12.07,35102,23.5,23.6,-1.223,0.821,NA,NA
8.95,0.96,15.92,NA,NA,NA,NA,NA,NA,NA,NA,2.125,-2.55,1.39,NA,NA,NA,12.15,35588,23.4,23.5,-1.323,0.819,NA,NA
9,0.79,20.18,NA,NA,NA,NA,NA,NA,NA,NA,2.145,-2.77,1.4,NA,NA,NA,12.25,36426,23.4,23.4,-1.373,0.816,NA,NA
9.05,0.93,17.25,NA,NA,NA,NA,NA,NA,NA,NA,2.165,-2.68,1.48,NA,NA,NA,12.31,36723,23.4,23.5,-1.323,0.818,NA,NA
9.1,0.79,16.95,NA,NA,NA,NA,NA,NA,NA,NA,2.185,-2.72,1.34,NA,NA,NA,12.41,37421,23.3,23.3,-1.473,0.814,NA,NA
9.15,0.95,16.33,NA,NA,NA,NA,NA,NA,NA,NA,2.205,-2.77,1.45,NA,NA,NA,12.51,38170,23.3,23.4,-1.423,0.815,NA,NA
9.25,0.81,17.17,NA,NA,NA,NA,NA,NA,NA,NA,2.225,-2.72,1.58,NA,NA,NA,12.57,38634,23.5,23.5,-1.273,0.82,NA,NA
9.3,0.8,16.81,NA,NA,NA,NA,NA,NA,NA,NA,2.245,-2.44,1.43,NA,NA,NA,12.61,38947,23.1,23.2,-1.623,0.808,NA,NA
9.35,0.84,17.67,NA,NA,NA,NA,NA,NA,NA,NA,2.265,-2.4,1.32,NA,NA,NA,12.67,39516,23.3,23.4,-1.423,0.816,NA,NA
9.4,0.87,15.73,NA,NA,NA,NA,NA,NA,NA,NA,2.285,-2.37,1.265,NA,NA,NA,12.71,39928,23,23,-1.773,0.804,NA,NA
9.45,0.82,17,NA,NA,NA,NA,NA,NA,NA,NA,2.305,-2.44,1.37,NA,NA,NA,12.75,40201,23.2,23.3,-1.523,0.813,NA,NA
9.5,0.84,16.2,NA,NA,NA,NA,NA,NA,NA,NA,2.325,-2.44,1.06,NA,NA,NA,12.79,40336,23.3,23.3,-1.473,0.813,NA,NA
9.55,0.87,15.25,NA,NA,NA,NA,NA,NA,NA,NA,2.345,-2.68,1.49,NA,NA,NA,12.85,40539,23.1,23.1,-1.673,0.807,NA,NA
9.6,0.91,15.02,NA,NA,NA,NA,NA,NA,NA,NA,2.365,-2.68,1.43,NA,NA,NA,12.89,40637,23.3,23.3,-1.473,0.813,NA,NA
9.65,0.84,16.67,NA,NA,NA,NA,NA,NA,NA,NA,2.385,-2.37,1.5,NA,NA,NA,12.97,40761,23.6,23.6,-1.173,0.824,NA,NA
9.7,0.68,18.56,NA,NA,NA,NA,NA,NA,NA,NA,2.405,-2.43,1.31,NA,NA,NA,13.01,40823,23.6,23.6,-1.173,0.824,NA,NA
9.75,0.91,12.75,NA,NA,NA,NA,NA,NA,NA,NA,2.425,-2.555,1.45,NA,NA,NA,13.07,40978,23.5,23.5,-1.273,0.82,NA,NA
9.8,0.89,15.17,NA,NA,NA,NA,NA,NA,NA,NA,2.445,-2.495,1.475,NA,NA,NA,13.11,41081,24.6,24.5,-0.223,0.853,NA,NA
9.85,0.94,13.75,NA,NA,NA,NA,NA,NA,NA,NA,2.465,-2.55,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.95,0.83,13.08,NA,NA,NA,NA,NA,NA,NA,NA,2.485,-2.82,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.85,14.06,NA,NA,NA,NA,NA,NA,NA,NA,2.505,-2.435,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.05,0.81,13.83,NA,NA,NA,NA,NA,NA,NA,NA,2.525,-2.61,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1,0.85,12.83,NA,NA,NA,NA,NA,NA,NA,NA,2.545,-2.68,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.15,0.85,13.75,NA,NA,NA,NA,NA,NA,NA,NA,2.565,-2.54,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.2,0.92,12.85,NA,NA,NA,NA,NA,NA,NA,NA,2.585,-2.76,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.25,0.88,14.17,NA,NA,NA,NA,NA,NA,NA,NA,2.605,-2.45,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3,0.8,14.01,NA,NA,NA,NA,NA,NA,NA,NA,2.625,-2.29,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.35,1.07,13.17,NA,NA,NA,NA,NA,NA,NA,NA,2.645,-2.38,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.4,0.96,13.59,NA,NA,NA,NA,NA,NA,NA,NA,2.665,-2.42,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.45,0.91,13.75,NA,NA,NA,NA,NA,NA,NA,NA,2.685,-2.54,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.5,1.04,14.51,NA,NA,NA,NA,NA,NA,NA,NA,2.705,-2.54,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.55,0.92,15.67,NA,NA,NA,NA,NA,NA,NA,NA,2.725,-2.27,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.6,1.1,14.32,NA,NA,NA,NA,NA,NA,NA,NA,2.745,-2.15,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.65,0.93,14.83,NA,NA,NA,NA,NA,NA,NA,NA,2.765,-2.35,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.7,0.88,15.89,NA,NA,NA,NA,NA,NA,NA,NA,2.785,-2.58,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.75,0.89,15.58,NA,NA,NA,NA,NA,NA,NA,NA,2.805,-2.4,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.8,0.88,15.3,NA,NA,NA,NA,NA,NA,NA,NA,2.825,-2.5,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.85,0.92,13.58,NA,NA,NA,NA,NA,NA,NA,NA,2.845,-2.42,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.9,0.83,15.06,NA,NA,NA,NA,NA,NA,NA,NA,2.865,-2.52,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.95,0.79,13.08,NA,NA,NA,NA,NA,NA,NA,NA,2.885,-2.77,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.77,15.57,NA,NA,NA,NA,NA,NA,NA,NA,2.905,-2.515,1.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.05,0.79,15.42,NA,NA,NA,NA,NA,NA,NA,NA,2.925,-2.76,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.1,0.77,15.04,NA,NA,NA,NA,NA,NA,NA,NA,2.945,-2.82,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.15,0.92,13,NA,NA,NA,NA,NA,NA,NA,NA,2.965,-2.58,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.2,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.985,-2.43,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.25,0.85,13.17,NA,NA,NA,NA,NA,NA,NA,NA,3.005,-2.43,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.3,0.82,13.75,NA,NA,NA,NA,NA,NA,NA,NA,3.025,-2.27,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.35,0.88,12.5,NA,NA,NA,NA,NA,NA,NA,NA,3.045,-2.52,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.4,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.065,-2.5,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.45,0.92,12.58,NA,NA,NA,NA,NA,NA,NA,NA,3.085,-2.38,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.5,0.78,14.45,NA,NA,NA,NA,NA,NA,NA,NA,3.105,-2.18,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.55,0.91,13.92,NA,NA,NA,NA,NA,NA,NA,NA,3.125,-2.43,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.6,0.87,14.78,NA,NA,NA,NA,NA,NA,NA,NA,3.145,-2.12,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.65,0.97,11.75,NA,NA,NA,NA,NA,NA,NA,NA,3.165,-2.21,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.7,0.91,13.6,NA,NA,NA,NA,NA,NA,NA,NA,3.185,-2.23,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.75,0.95,13.17,NA,NA,NA,NA,NA,NA,NA,NA,3.205,-2.32,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.8,0.94,14.62,NA,NA,NA,NA,NA,NA,NA,NA,3.225,-2.13,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.85,0.95,14.17,NA,NA,NA,NA,NA,NA,NA,NA,3.245,-2.31,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.9,0.82,16.3,NA,NA,NA,NA,NA,NA,NA,NA,3.265,-2.57,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.95,0.98,16.08,NA,NA,NA,NA,NA,NA,NA,NA,3.285,-2.38,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,15.36,NA,NA,NA,NA,NA,NA,NA,NA,3.305,-2.31,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.05,1.07,12.5,NA,NA,NA,NA,NA,NA,NA,NA,3.325,-2.57,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.1,0.83,16.02,NA,NA,NA,NA,NA,NA,NA,NA,3.345,-2.59,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.15,0.92,16.58,NA,NA,NA,NA,NA,NA,NA,NA,3.365,-2.74,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.2,0.87,15.99,NA,NA,NA,NA,NA,NA,NA,NA,3.385,-2.33,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.25,1.08,12.08,NA,NA,NA,NA,NA,NA,NA,NA,3.405,-2.35,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.3,0.91,15.31,NA,NA,NA,NA,NA,NA,NA,NA,3.425,-2.58,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.35,1.08,13.83,NA,NA,NA,NA,NA,NA,NA,NA,3.445,-2.65,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.4,1.16,13.31,NA,NA,NA,NA,NA,NA,NA,NA,3.465,-2.41,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.45,1.04,13.17,NA,NA,NA,NA,NA,NA,NA,NA,3.485,-2.46,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.5,1.03,14.02,NA,NA,NA,NA,NA,NA,NA,NA,3.505,-2.55,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.55,1.09,14.08,NA,NA,NA,NA,NA,NA,NA,NA,3.525,-2.64,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.6,0.85,17.64,NA,NA,NA,NA,NA,NA,NA,NA,3.545,-2.41,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.65,NA,15.33,NA,NA,NA,NA,NA,NA,NA,NA,3.565,-2.3,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.75,0.86,16.42,NA,NA,NA,NA,NA,NA,NA,NA,3.585,-2.5,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.8,0.86,17.4,NA,NA,NA,NA,NA,NA,NA,NA,3.605,-2.48,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.9,0.85,15.32,NA,NA,NA,NA,NA,NA,NA,NA,3.625,-2.2,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.74,16.63,NA,NA,NA,NA,NA,NA,NA,NA,3.645,-2.29,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.665,-2.46,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.685,-2.4,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.705,-2.43,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.725,-2.69,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.745,-2.52,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.765,-2.55,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.785,-1.99,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.805,-2.34,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.825,-2.28,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.845,-2.45,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.865,-2.51,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.885,-2.69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.905,-2.55,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.925,-2.25,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.945,-2.49,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.965,-2.55,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.985,-2.26,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.005,-2.64,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.025,-2.41,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.045,-2.31,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.065,-2.29,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.085,-2.49,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.105,-2.44,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.125,-2.53,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.145,-2.57,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.165,-2.51,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.185,-2.58,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.205,-2.48,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.225,-2.2,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.245,-2.36,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.265,-2.22,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.285,-2.37,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.305,-2.53,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.325,-2.67,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.345,-2.9,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.365,-2.5,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.385,-2.45,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.405,-2.04,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.425,-1.99,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.445,-2.45,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.465,-2.34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.485,-2.56,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.505,-2.42,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.525,-1.91,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.545,-2.38,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.565,-2.38,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.585,-2.52,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.605,-2.39,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.625,-2.12,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.645,-2.39,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.665,-2.43,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.685,-2.33,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.705,-2.17,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.725,-2.43,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.745,-2.43,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.765,-2.43,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.785,-2.27,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.805,-2.53,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.825,-2.66,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.845,-2.44,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.865,-2.62,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.885,-2.56,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.905,-2.39,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.925,-2.56,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.945,-2.39,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.965,-2.41,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.985,-2.18,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.005,-2.44,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.025,-2.77,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
