depth (m),age (BP),temperature (degC),Uk37 (missing),depth (m),planktic.d18O (permil),depth (m),temperature (degC),planktic.MgCa (mmol_mol),depth (m),age (BP),d18O (permil),d13C (permil)
6.49,36386,6.225,0.251,5.91,3.162,27.312,13.38,1.984,6.29,34460,4.449,0.862
6.51,36598,7.345,0.289,5.93,3.43,27.412,12.47,1.801,6.31,34570,4.378,0.893
6.53,36810,6.659,0.265,5.95,2.852,27.512,12.61,1.827,6.33,34690,4.43,0.852
6.55,37022,6.499,0.26,5.97,3.133,27.612,11.83,1.68,6.37,35110,4.372,0.835
6.57,37234,7.041,0.278,5.99,2.921,27.712,10.95,1.53,6.39,35330,4.355,0.82
6.59,37446,7.682,0.3,6.03,3.014,27.812,11.3,1.589,6.41,35540,4.182,0.89
6.61,37658,8.13,0.315,6.05,3.175,27.912,8.67,1.199,6.43,35750,4.446,0.805
6.63,37870,6.995,0.277,6.07,3.488,28.012,10.68,1.487,6.45,35960,4.47,0.829
6.652,38109,6.93,0.275,6.09,3.561,28.112,8.45,1.17,6.49,36390,4.394,0.934
6.673,38321,7.217,0.284,6.11,3.429,28.212,8.01,1.117,6.51,36600,4.504,0.312
6.692,38533,7.569,0.296,6.13,3.327,28.312,9.14,1.26,6.53,36810,4.609,0.174
6.713,38745,7.896,0.307,6.15,3.055,28.412,8.95,1.235,6.55,37020,4.434,0.395
6.732,38957,7.638,0.299,6.17,3.231,28.512,10.07,1.392,6.57,37230,4.257,0.389
6.753,39169,6.707,0.267,6.19,2.939,28.612,9.89,1.366,6.59,37450,4.37,0.828
6.772,39381,6.295,0.253,6.21,3.195,28.712,9.92,1.371,6.61,37660,4.159,0.815
6.793,39593,7.196,0.284,6.23,3.032,28.812,9.96,1.376,6.63,37870,4.3,0.861
6.812,39805,7.165,0.283,6.25,2.969,28.912,9.77,1.348,6.652,38110,4.146,0.872
6.832,40017,6.587,0.263,6.27,3.052,29.012,8.4,1.164,6.673,38320,4.041,0.81
6.853,40195,6.579,0.263,6.29,3.011,29.112,11.35,1.596,6.692,38530,4.119,0.93
6.872,40373,6.266,0.252,6.31,2.832,29.212,12.88,1.882,6.713,38740,4.245,1.023
6.893,40552,6.653,0.265,6.33,2.811,29.312,12.06,1.723,6.732,38960,4.094,0.876
6.912,40730,6.462,0.259,6.35,2.933,29.412,10.76,1.499,6.753,39170,4.312,0.939
6.933,40908,6.443,0.258,6.37,2.974,29.512,10.87,1.517,6.772,39380,4.058,0.838
6.952,41086,6.251,0.252,6.39,2.664,29.612,10.14,1.403,6.832,40020,4.725,0.264
6.973,41264,6.692,0.267,6.41,2.832,29.712,10.3,1.427,6.853,40200,3.923,1.155
6.992,41443,8.066,0.313,6.43,2.963,29.812,10.16,1.407,6.872,40370,4.618,0.366
7.013,41621,7.645,0.299,6.45,2.494,29.912,9.95,1.375,6.893,40550,4.17,0.467
7.032,41799,7.823,0.305,6.47,2.619,30.012,9.63,1.328,6.912,40730,4.637,0.408
7.053,41977,8.177,0.317,6.49,2.63,30.112,7.59,1.068,6.973,41260,4.305,0.874
7.072,42156,7.463,0.293,6.51,3.156,30.212,9.2,1.269,6.992,41440,4.453,0.422
7.093,42334,7.31,0.288,6.53,3.33,30.292,7.45,1.052,7.013,41620,4.555,0.45
7.112,42512,7.563,0.296,6.55,3.064,30.392,8.59,1.188,7.053,41980,4.559,0.635
7.133,42690,7.684,0.3,6.57,3.1,30.512,7.9,1.104,7.072,42160,4.16,0.129
7.152,42868,7.492,0.294,6.59,3.064,30.592,10.19,1.41,7.093,42330,4.339,0.376
7.173,43047,7.437,0.292,6.61,2.818,30.712,7.54,1.062,7.112,42510,4.589,0.432
7.192,43225,7.124,0.281,6.63,2.849,31.092,8.08,1.125,7.133,42690,4.442,0.438
7.213,43403,7.166,0.283,6.652,2.995,31.212,6.98,1.001,7.173,43050,4.497,0.115
7.232,43581,7.372,0.29,6.672,2.841,31.332,6.43,0.943,7.192,43230,4.481,0.46
7.253,43760,7.43,0.292,6.692,2.878,31.432,7.64,1.074,7.213,43400,4.447,0.832
7.272,43938,7.876,0.307,6.712,2.799,31.512,9.21,1.27,7.232,43580,4.257,0.695
7.293,44116,7.273,0.286,6.732,3.052,31.612,8.98,1.238,7.253,43760,4.469,0.742
7.312,44294,6.869,0.273,6.752,2.849,31.712,8.56,1.185,7.272,43940,4.27,0.804
7.332,44472,6.788,0.27,6.772,2.927,31.812,7.52,1.06,7.293,44120,4.446,0.562
7.353,44651,6.685,0.266,6.792,3.153,31.912,8.06,1.123,7.312,44290,4.469,0.639
7.372,44829,8.058,0.313,6.812,3.358,32.012,8.18,1.137,7.332,44470,4.558,0.435
7.393,44972,8.089,0.314,6.832,3.363,32.112,9.59,1.323,7.353,44650,4.472,0.508
7.412,45114,8.188,0.317,6.852,3.128,32.212,11.66,1.651,7.372,44830,4.213,0.707
7.433,45257,7.665,0.3,6.872,3.375,32.312,12.81,1.867,7.393,44970,4.116,0.688
7.452,45400,7.395,0.29,6.892,3.013,32.412,13.25,1.956,7.412,45110,4.172,0.718
7.473,45542,7.448,0.292,6.912,3.577,32.512,13.19,1.945,7.433,45260,4.105,0.877
7.492,45685,7.616,0.298,6.932,3.449,32.612,12.65,1.835,7.452,45400,4.172,0.853
7.513,45827,7.476,0.293,6.952,3.309,32.712,12.75,1.855,7.473,45540,4.294,0.994
7.532,45970,7.238,0.285,6.972,3.281,32.812,13.61,2.034,7.513,45830,4.152,0.923
7.553,46113,7.401,0.291,6.992,3.405,32.912,13.51,2.013,7.532,45970,4.153,1.091
7.572,46255,6.963,0.276,7.012,3.427,33.012,10.19,1.41,7.553,46110,4.106,0.855
7.593,46398,6.096,0.246,7.032,3.571,33.112,10.1,1.396,7.572,46260,4.448,0.483
7.612,46541,7.142,0.282,7.052,3.215,33.212,8.79,1.214,7.593,46400,4.401,0.674
7.633,46683,7.421,0.291,7.072,3.259,33.312,9.82,1.355,7.612,46540,4.312,0.689
7.652,46826,7.067,0.279,7.092,3.324,33.412,11.1,1.555,7.633,46680,4.374,0.609
7.673,46968,6.969,0.276,7.112,3.114,33.512,9.69,1.337,7.652,46830,4.409,0.651
7.713,47254,7.47,0.293,7.132,3.472,33.612,8.95,1.234,7.692,47110,4.488,0.343
7.732,47396,6.556,0.262,7.152,3.581,33.712,10.25,1.419,7.713,47250,4.368,0.181
7.753,47539,7.101,0.28,7.172,3.485,33.812,10.9,1.522,7.732,47400,4.401,0.451
7.793,48142,6.703,0.267,7.192,3.411,33.912,11.27,1.582,7.753,47540,4.507,0.491
7.812,48443,7.252,0.286,7.212,3.247,34.012,10.88,1.518,7.772,47840,4.477,0.238
7.832,48745,7.272,0.286,7.232,3.209,34.112,11.17,1.566,7.793,48140,4.426,0.162
7.853,49046,7.465,0.293,7.252,3.124,34.212,11.05,1.546,7.812,48440,4.357,0.501
7.872,49347,7.027,0.278,7.272,3.186,34.312,12.18,1.745,7.832,48740,4.366,0.561
7.893,49649,7.517,0.295,7.292,3.46,34.412,12.33,1.773,7.853,49050,3.975,0.812
7.912,49950,7.767,0.303,7.312,3.489,34.512,11.95,1.703,7.872,49350,4.324,0.726
7.933,50252,8.685,0.334,7.332,3.675,34.612,12.74,1.852,7.893,49650,4.392,0.835
7.952,50553,7.597,0.297,7.352,3.307,34.712,12.43,1.793,7.912,49950,4.08,0.645
7.973,50854,7.426,0.291,7.372,2.895,34.812,11.85,1.685,7.933,50250,4.267,0.802
7.992,51156,7.842,0.306,7.392,3.003,34.912,11.96,1.704,7.952,50550,4.209,0.852
8.012,51457,8.231,0.319,7.412,2.87,35.012,10.1,1.396,7.973,50850,4.239,0.821
8.033,51758,7.92,0.308,7.432,2.914,35.112,11.63,1.646,7.992,51160,3.972,0.734
8.053,52060,8.166,0.317,7.452,2.855,35.212,11.78,1.673,8.012,51460,4.299,0.769
8.072,52361,8.431,0.326,7.472,2.887,35.312,12.68,1.841,8.033,51760,4.192,0.838
8.092,52663,8.603,0.332,7.492,3.012,35.412,13.05,1.916,8.053,52060,4.251,0.814
8.113,52964,8.825,0.339,7.512,2.903,35.512,13.17,1.94,8.072,52360,4.073,1.014
8.133,53265,8.872,0.341,7.532,2.88,35.612,12.78,1.86,8.092,52660,4.018,0.861
8.152,53567,8.919,0.342,7.552,3.014,35.712,12.84,1.873,8.113,52960,4.081,1.003
8.172,53868,8.677,0.334,7.572,3.163,35.812,14.64,2.27,8.133,53270,3.956,0.99
8.232,54772,8.718,0.335,7.592,3.292,35.912,14.52,2.241,8.152,53570,4.089,0.739
8.252,55074,8.582,0.331,7.612,3.194,36.012,15.62,2.521,8.172,53870,4.271,0.747
8.273,55375,8.504,0.328,7.632,3.145,36.112,13.64,2.039,8.193,54170,4.288,0.714
8.293,55676,8.659,0.333,7.652,3.309,36.212,12.57,1.819,8.213,54470,4.24,0.891
8.312,55978,9.806,0.372,7.672,3.358,36.312,12.5,1.805,8.232,54770,4.325,0.47
8.332,56118,9.63,0.366,7.692,3.286,36.392,11.03,1.543,8.252,55070,4.401,0.645
8.352,56259,8.749,0.336,7.712,3.181,NA,NA,NA,8.273,55380,4.365,0.731
8.373,56399,9.118,0.349,7.732,3.016,NA,NA,NA,8.293,55680,4.273,0.504
8.393,56540,9.272,0.354,7.752,3.351,NA,NA,NA,8.312,55980,4.3,0.566
8.412,56680,9.26,0.354,7.772,2.935,NA,NA,NA,8.332,56120,4.198,0.471
8.432,56821,8.994,0.345,7.792,3.124,NA,NA,NA,8.352,56260,4.2,0.504
8.453,56961,8.705,0.335,7.812,3.098,NA,NA,NA,8.373,56400,4.194,0.643
8.473,57101,9.51,0.362,7.832,2.682,NA,NA,NA,8.393,56540,4.156,0.543
8.492,57242,8.998,0.345,7.852,2.983,NA,NA,NA,8.412,56680,4.222,0.627
8.512,57382,9.269,0.354,7.872,2.624,NA,NA,NA,8.432,56820,4.176,0.588
8.533,57523,9.103,0.348,7.892,2.934,NA,NA,NA,8.453,56960,4.056,0.602
8.572,57803,9.289,0.355,7.912,2.92,NA,NA,NA,8.473,57100,4.016,0.686
8.592,57944,9.071,0.347,7.932,2.832,NA,NA,NA,8.492,57240,4.185,0.541
8.633,58225,10.053,0.381,7.952,2.778,NA,NA,NA,8.512,57380,4.039,0.654
8.652,58365,9.631,0.366,7.972,2.82,NA,NA,NA,8.533,57520,3.916,0.682
8.672,58506,10.255,0.388,7.992,2.684,NA,NA,NA,8.553,57660,4.099,0.669
8.693,58646,10.404,0.393,8.012,2.749,NA,NA,NA,8.572,57800,4.174,0.761
8.713,58786,10.332,0.39,8.032,2.625,NA,NA,NA,8.592,57940,4.055,0.795
8.732,58927,10.58,0.399,8.052,2.728,NA,NA,NA,8.613,58080,3.955,0.733
8.752,59067,10.768,0.405,8.072,2.876,NA,NA,NA,8.633,58220,4.268,0.786
8.773,59208,10.258,0.388,8.092,2.913,NA,NA,NA,8.652,58370,4.18,0.724
8.793,59348,11.068,0.415,8.112,2.673,NA,NA,NA,8.672,58510,4.163,0.659
8.812,59489,10.18,0.385,8.132,2.716,NA,NA,NA,8.693,58650,4.149,0.591
8.832,59629,10.332,0.39,8.152,3.434,NA,NA,NA,8.713,58790,4.271,0.7
8.852,59769,11.143,0.418,8.172,2.93,NA,NA,NA,8.732,58930,4.179,0.799
8.873,59910,10.175,0.385,8.192,2.817,NA,NA,NA,8.752,59070,4.341,0.711
8.893,60050,9.85,0.374,8.212,3.051,NA,NA,NA,8.773,59210,4.338,0.837
8.912,60191,10.421,0.393,8.232,2.888,NA,NA,NA,8.793,59350,4.393,0.74
8.932,60331,9.506,0.362,8.252,2.84,NA,NA,NA,8.812,59490,4.417,0.743
8.953,60472,10.565,0.398,8.272,2.925,NA,NA,NA,8.832,59630,4.208,0.652
8.973,60612,10.527,0.397,8.292,2.993,NA,NA,NA,8.852,59770,4.405,0.756
8.992,60752,9.95,0.377,8.312,3.103,NA,NA,NA,8.873,59910,4.505,0.702
9.012,60893,10.99,0.413,8.332,3.006,NA,NA,NA,8.893,60050,4.472,0.689
9.033,61033,9.127,0.349,8.352,3.095,NA,NA,NA,8.912,60190,4.325,0.632
9.053,61174,12.284,0.457,8.372,3.117,NA,NA,NA,8.932,60330,4.38,0.662
9.072,61314,10.648,0.401,8.392,2.811,NA,NA,NA,8.953,60470,4.395,0.93
9.092,61455,9.27,0.354,8.412,2.959,NA,NA,NA,8.973,60610,4.544,0.528
9.113,61595,9.082,0.348,8.432,2.696,NA,NA,NA,8.992,60750,4.216,0.684
9.133,61735,9.758,0.371,8.452,2.812,NA,NA,NA,9.012,60890,4.532,0.287
9.152,61876,10.881,0.409,8.472,2.642,NA,NA,NA,9.033,61030,4.062,0.608
9.172,62016,9.56,0.364,8.492,2.719,NA,NA,NA,9.053,61170,4.338,0.744
9.193,62157,9.828,0.373,8.512,2.606,NA,NA,NA,9.072,61310,4.525,0.269
9.213,62297,11.4,0.427,8.532,2.907,NA,NA,NA,9.092,61450,4.249,0.337
9.232,62438,9.298,0.355,8.552,2.525,NA,NA,NA,9.113,61600,4.456,0.281
9.252,62578,9.868,0.375,8.572,2.853,NA,NA,NA,9.133,61740,4.474,0.123
9.273,62718,10.059,0.381,8.592,2.941,NA,NA,NA,9.152,61880,4.639,0.031
9.293,62859,9.482,0.361,8.612,2.966,NA,NA,NA,9.172,62020,4.785,0.463
9.312,62999,9.567,0.364,8.632,2.676,NA,NA,NA,9.193,62160,4.691,0.44
9.332,63140,9.468,0.361,8.652,2.698,NA,NA,NA,9.213,62300,4.654,0.144
9.352,63280,9.497,0.362,8.672,2.315,NA,NA,NA,9.232,62440,4.479,0.385
9.373,63420,9.489,0.362,8.692,2.554,NA,NA,NA,9.252,62580,4.489,0.393
9.393,63561,9.535,0.363,8.712,2.655,NA,NA,NA,9.273,62720,4.491,0.358
9.432,63842,9.268,0.354,8.732,2.704,NA,NA,NA,9.293,62860,4.437,0.454
9.492,64263,9.225,0.353,8.752,2.511,NA,NA,NA,9.312,63000,4.454,0.419
9.533,64544,8.993,0.345,8.772,2.67,NA,NA,NA,9.332,63140,4.509,0.4
9.572,64825,9.955,0.377,8.792,2.582,NA,NA,NA,9.352,63280,4.484,0.158
9.613,65106,9.019,0.346,8.812,2.952,NA,NA,NA,9.373,63420,4.513,0.404
9.633,65246,9.083,0.348,8.832,2.679,NA,NA,NA,9.393,63560,4.471,0.337
9.652,65386,10.052,0.381,8.852,2.789,NA,NA,NA,9.412,63700,4.529,0.357
9.672,65527,9.415,0.359,8.872,2.303,NA,NA,NA,9.432,63840,4.567,0.171
9.693,65667,11.418,0.427,8.892,2.625,NA,NA,NA,9.453,63980,4.638,0.261
9.713,65808,9.98,0.378,8.912,2.468,NA,NA,NA,9.473,64120,4.526,0.285
9.732,65948,10.032,0.38,8.932,2.398,NA,NA,NA,9.492,64260,4.518,0.315
9.752,66089,9.626,0.366,8.952,3.154,NA,NA,NA,9.512,64400,4.549,0.444
9.773,66229,9.684,0.368,8.972,3.033,NA,NA,NA,9.533,64540,4.618,0.346
9.793,66370,7.966,0.31,8.992,2.836,NA,NA,NA,9.553,64680,4.448,0.292
9.812,66510,9.123,0.349,9.012,3.255,NA,NA,NA,9.572,64820,4.564,0.324
9.852,66791,9.24,0.353,9.032,2.746,NA,NA,NA,9.592,64970,3.802,0.344
9.873,66931,8.059,0.313,9.052,2.933,NA,NA,NA,9.613,65110,3.767,0.896
9.893,67072,7.633,0.299,9.072,2.764,NA,NA,NA,9.633,65250,4.546,0.359
9.912,67212,8.024,0.312,9.092,3.16,NA,NA,NA,9.652,65390,4.636,0.258
9.932,67353,7.658,0.299,9.112,3.225,NA,NA,NA,9.672,65530,4.433,0.437
9.953,67493,8.172,0.317,9.132,3.639,NA,NA,NA,9.713,65810,4.612,0.23
9.973,67633,7.472,0.293,9.152,3.583,NA,NA,NA,9.732,65950,3.605,0.603
9.992,67774,7.724,0.302,9.172,3.633,NA,NA,NA,9.773,66230,4.446,0.409
10.012,67914,7.684,0.3,9.192,3.288,NA,NA,NA,9.793,66370,4.53,0.396
10.033,68055,8.559,0.33,9.212,3.531,NA,NA,NA,9.812,66510,4.505,0.301
10.053,68195,8.853,0.34,9.232,3.18,NA,NA,NA,9.832,66650,3.741,0.36
10.072,68335,8.265,0.32,9.252,3.342,NA,NA,NA,9.852,66790,4.609,0.128
10.092,68476,7.676,0.3,9.272,2.984,NA,NA,NA,9.873,66930,4.621,0.17
10.113,68616,7.088,0.28,9.292,2.906,NA,NA,NA,9.893,67070,4.488,0.367
10.133,68757,7.382,0.29,9.312,3.417,NA,NA,NA,9.912,67210,4.638,0.125
10.152,68897,7.971,0.31,9.332,3.212,NA,NA,NA,9.932,67350,4.279,0.136
10.172,69038,7.971,0.31,9.352,3.162,NA,NA,NA,9.973,67630,4.748,0.341
10.193,69178,7.971,0.31,9.372,3.159,NA,NA,NA,9.992,67770,4.557,0.23
10.213,69318,7.971,0.31,9.392,3.137,NA,NA,NA,10.012,67910,4.422,0.254
10.232,69459,7.971,0.31,9.412,3.288,NA,NA,NA,10.033,68050,4.711,0.315
10.252,69599,7.382,0.29,9.432,3.018,NA,NA,NA,10.053,68200,4.689,0.095
10.273,69740,7.088,0.28,9.452,3.361,NA,NA,NA,10.072,68340,4.535,0.044
10.293,69880,7.971,0.31,9.472,3.532,NA,NA,NA,10.092,68480,4.571,0.167
10.312,70021,7.971,0.31,9.492,3.557,NA,NA,NA,10.113,68620,4.658,0.23
10.332,70161,8.265,0.32,9.512,3.388,NA,NA,NA,10.133,68760,4.651,0.29
10.352,70301,8.265,0.32,9.532,3.209,NA,NA,NA,10.152,68900,4.751,0.232
10.373,70442,7.971,0.31,9.552,3.577,NA,NA,NA,10.172,69040,4.713,0.153
10.393,70582,7.676,0.3,9.572,2.487,NA,NA,NA,10.193,69180,4.442,0.094
10.412,70723,7.668,0.3,9.592,2.451,NA,NA,NA,10.213,69320,4.541,0.183
10.432,70863,7.621,0.298,9.612,3.203,NA,NA,NA,10.232,69460,4.643,0.016
10.453,71004,7.369,0.29,9.632,3.446,NA,NA,NA,10.252,69600,4.676,0.282
10.473,71144,6.648,0.265,9.652,3.205,NA,NA,NA,10.273,69740,4.669,0.228
10.512,71425,6.541,0.261,9.672,3.342,NA,NA,NA,10.293,69880,4.642,0.242
10.533,71565,6.487,0.26,9.692,2.845,NA,NA,NA,10.312,70020,4.634,0.209
10.553,71706,6.229,0.251,9.712,2.425,NA,NA,NA,10.332,70160,4.429,-0.028
10.572,71846,6.877,0.273,9.732,2.212,NA,NA,NA,10.352,70300,4.538,-0.053
10.592,71987,7.479,0.293,9.752,1.971,NA,NA,NA,10.393,70580,4.554,0.319
10.613,72127,8.189,0.317,9.772,2.165,NA,NA,NA,10.412,70720,4.537,0.113
10.633,72296,8.646,0.333,9.792,1.986,NA,NA,NA,10.432,70860,4.578,0.293
10.652,72466,8.609,0.332,9.812,2.338,NA,NA,NA,10.453,71000,4.656,0.251
10.672,72635,8.299,0.321,9.832,2.401,NA,NA,NA,10.492,71280,4.613,0.277
10.693,72804,8.716,0.335,9.852,2.558,NA,NA,NA,10.512,71420,4.479,0.238
10.713,72974,8.544,0.329,9.872,2.446,NA,NA,NA,10.533,71570,4.538,0.133
10.732,73143,7.884,0.307,9.892,2.388,NA,NA,NA,10.553,71710,4.332,0.248
10.752,73312,7.635,0.299,9.912,2.191,NA,NA,NA,10.572,71850,4.378,0.08
10.773,73481,7.63,0.298,9.932,2.346,NA,NA,NA,10.592,71990,4.305,0.173
10.793,73651,7.703,0.301,9.952,2.676,NA,NA,NA,10.613,72130,4.216,0.504
10.812,73820,7.439,0.292,9.972,2.324,NA,NA,NA,10.633,72300,3.91,0.837
10.832,73989,7.803,0.304,9.992,2.337,NA,NA,NA,10.652,72470,3.875,0.887
10.852,74159,8.11,0.315,10.012,3.04,NA,NA,NA,10.672,72630,3.959,0.985
10.873,74328,7.919,0.308,10.032,3.079,NA,NA,NA,10.693,72800,3.994,0.946
10.893,74497,8.121,0.315,10.052,2.393,NA,NA,NA,10.713,72970,4.111,0.638
10.912,74666,8.108,0.315,10.072,3.582,NA,NA,NA,10.732,73140,4.105,0.508
10.932,74836,8.333,0.322,10.092,3.384,NA,NA,NA,10.752,73310,3.884,0.544
10.953,75005,8.6,0.331,10.112,3.417,NA,NA,NA,10.773,73480,3.93,0.601
10.973,75174,8.816,0.339,10.132,3.427,NA,NA,NA,10.793,73650,3.936,0.497
10.992,75344,8.374,0.324,10.152,3.426,NA,NA,NA,10.812,73820,3.894,0.518
11.012,75513,8.63,0.332,10.172,3.494,NA,NA,NA,10.832,73990,4.097,0.695
11.033,75682,8.877,0.341,10.192,3.44,NA,NA,NA,10.852,74160,4.105,0.694
11.053,75851,8.635,0.333,10.232,3.389,NA,NA,NA,10.873,74330,3.876,0.664
11.072,76021,8.998,0.345,10.252,3.587,NA,NA,NA,10.893,74500,3.924,0.876
11.092,76190,8.499,0.328,10.272,3.806,NA,NA,NA,10.912,74670,3.987,0.844
11.113,76359,8.631,0.332,10.292,3.659,NA,NA,NA,10.932,74840,4.025,0.625
11.133,76529,8.692,0.335,10.312,3.473,NA,NA,NA,10.953,75010,3.89,1.123
11.152,76698,8.731,0.336,10.332,3.458,NA,NA,NA,10.973,75170,3.855,0.967
11.172,76867,8.503,0.328,10.352,3.69,NA,NA,NA,10.992,75340,3.775,0.856
11.193,77037,8.438,0.326,10.372,3.62,NA,NA,NA,11.012,75510,3.942,0.801
11.213,77206,8.408,0.325,10.392,3.288,NA,NA,NA,11.033,75680,3.895,1.067
11.232,77375,8.45,0.326,10.412,3.298,NA,NA,NA,11.053,75850,4.062,0.81
11.252,77544,8.528,0.329,10.432,3.645,NA,NA,NA,11.072,76020,4.13,0.687
11.273,77714,8.575,0.331,10.452,3.608,NA,NA,NA,11.092,76190,3.904,0.61
11.293,77883,8.372,0.324,10.472,3.488,NA,NA,NA,11.113,76360,3.97,0.725
11.312,78052,8.263,0.32,10.492,3.752,NA,NA,NA,11.133,76530,4.191,0.901
11.332,78222,8.46,0.327,10.512,3.726,NA,NA,NA,11.152,76700,3.895,0.796
11.352,78391,8.764,0.337,10.532,3.389,NA,NA,NA,11.172,76870,4.113,0.718
11.373,78560,8.464,0.327,10.552,3.012,NA,NA,NA,11.193,77040,3.908,0.904
11.393,78729,8.436,0.326,10.572,3.488,NA,NA,NA,11.213,77210,3.659,0.975
11.412,78899,8.958,0.344,10.592,2.935,NA,NA,NA,11.232,77380,3.856,0.967
11.432,79068,8.913,0.342,10.612,3.057,NA,NA,NA,11.273,77710,3.966,0.929
11.453,79237,9.4,0.359,10.632,3.005,NA,NA,NA,11.293,77880,3.917,0.943
11.473,79407,9.141,0.35,10.652,2.713,NA,NA,NA,11.312,78050,3.841,0.758
11.492,79576,9.658,0.367,10.672,2.583,NA,NA,NA,11.332,78220,3.92,0.867
11.512,79745,9.819,0.373,10.692,2.686,NA,NA,NA,11.352,78390,3.845,0.808
11.533,79914,9.892,0.375,10.712,2.906,NA,NA,NA,11.373,78560,3.836,0.727
11.553,80084,9.782,0.372,10.732,2.77,NA,NA,NA,11.393,78730,3.837,0.86
11.572,80253,10.291,0.389,10.752,2.928,NA,NA,NA,11.412,78900,3.835,0.81
11.592,80422,10.561,0.398,10.772,2.763,NA,NA,NA,11.432,79070,3.509,0.736
11.633,80761,10.969,0.412,10.792,2.9,NA,NA,NA,11.453,79240,3.743,0.795
11.672,81100,11.192,0.42,10.812,2.492,NA,NA,NA,11.473,79410,3.775,0.76
11.713,81438,11.466,0.429,10.832,2.535,NA,NA,NA,11.492,79580,3.679,0.827
11.752,81777,11.793,0.44,10.852,2.426,NA,NA,NA,11.512,79750,3.692,0.872
11.793,82115,11.59,0.433,10.872,2.723,NA,NA,NA,11.533,79910,3.425,0.666
11.832,82454,11.81,0.441,10.892,2.901,NA,NA,NA,11.553,80080,3.609,0.855
11.873,82792,11.545,0.432,10.912,2.781,NA,NA,NA,11.572,80250,3.64,0.828
11.912,83131,11.483,0.429,10.932,2.762,NA,NA,NA,11.592,80420,3.714,0.762
11.953,83470,11.525,0.431,10.952,3.016,NA,NA,NA,11.613,80590,3.563,0.785
12.033,84147,11.849,0.442,10.972,2.871,NA,NA,NA,11.633,80760,3.576,0.818
12.072,84485,10.855,0.408,10.992,3.072,NA,NA,NA,11.652,80930,3.525,0.747
12.113,84824,10.731,0.404,11.012,2.729,NA,NA,NA,11.672,81100,3.67,0.895
12.152,85162,10.551,0.398,11.032,2.822,NA,NA,NA,11.693,81270,3.658,0.65
12.193,85501,10.233,0.387,11.052,3.003,NA,NA,NA,11.713,81440,3.563,0.764
12.232,85840,10.032,0.38,11.072,2.973,NA,NA,NA,11.732,81610,3.656,0.713
12.273,86178,9.542,0.363,11.092,2.771,NA,NA,NA,11.752,81780,3.616,0.494
12.332,86686,8.807,0.338,11.112,2.868,NA,NA,NA,11.773,81950,3.601,0.739
12.393,87194,7.921,0.308,11.132,2.763,NA,NA,NA,11.793,82120,3.479,0.725
12.453,87702,7.634,0.299,11.152,3.123,NA,NA,NA,11.812,82280,3.661,0.621
12.512,88210,8.114,0.315,11.172,3.059,NA,NA,NA,11.832,82450,3.382,0.915
12.572,88718,8.279,0.32,11.192,2.787,NA,NA,NA,11.852,82620,3.459,0.835
12.633,89225,7.793,0.304,11.212,2.883,NA,NA,NA,11.873,82790,3.573,0.91
12.693,89733,7.425,0.291,11.232,3.011,NA,NA,NA,11.893,82960,3.414,0.831
12.752,90241,6.818,0.271,11.252,2.911,NA,NA,NA,11.912,83130,3.45,0.789
12.812,90749,7.083,0.28,11.272,2.881,NA,NA,NA,11.932,83300,3.296,0.882
12.873,91257,7.27,0.286,11.292,2.824,NA,NA,NA,11.953,83470,3.679,0.882
12.932,91765,7.076,0.28,11.312,2.857,NA,NA,NA,11.973,83640,3.625,1.034
12.992,92273,6.991,0.277,11.332,2.873,NA,NA,NA,11.992,83810,3.423,0.969
13.053,92781,7.494,0.294,11.352,2.754,NA,NA,NA,12.012,83980,3.596,1.046
13.113,93288,8.269,0.32,11.372,2.736,NA,NA,NA,12.033,84150,3.609,0.85
13.172,93796,7.685,0.3,11.392,2.655,NA,NA,NA,12.053,84320,3.625,1.092
13.232,94304,7.314,0.288,11.412,2.728,NA,NA,NA,12.072,84490,3.717,1.174
13.293,94812,7.938,0.309,11.432,2.766,NA,NA,NA,12.092,84650,3.758,0.899
13.352,95320,7.388,0.29,11.452,2.647,NA,NA,NA,12.113,84820,3.578,0.981
13.412,95828,7.849,0.306,11.472,2.735,NA,NA,NA,12.133,84990,3.933,1.037
13.553,97013,11.184,0.419,11.492,2.74,NA,NA,NA,12.152,85160,3.79,1.086
13.613,97521,8.945,0.343,11.512,2.668,NA,NA,NA,12.193,85500,4.003,1.099
13.672,98029,9.223,0.353,11.532,2.74,NA,NA,NA,12.213,85670,3.959,1.062
13.732,98537,9.742,0.37,11.552,2.833,NA,NA,NA,12.232,85840,3.957,0.873
13.773,98875,9.839,0.374,11.572,2.771,NA,NA,NA,12.252,86010,3.785,0.778
13.832,99383,10.394,0.392,11.592,2.73,NA,NA,NA,12.273,86180,3.963,0.839
13.893,99891,10.58,0.399,11.612,2.746,NA,NA,NA,12.293,86350,3.989,0.901
13.953,100399,10.205,0.386,11.632,2.743,NA,NA,NA,12.312,86520,3.971,0.437
14.012,100907,9.566,0.364,11.652,2.662,NA,NA,NA,12.332,86690,4.028,0.533
14.053,101245,9.99,0.379,11.672,2.659,NA,NA,NA,12.352,86860,4.014,0.767
14.092,101584,9.383,0.358,11.692,2.616,NA,NA,NA,12.373,87020,4.021,0.783
14.133,101922,10.159,0.384,11.712,2.558,NA,NA,NA,12.393,87190,4.069,0.52
14.172,102261,10.403,0.393,11.732,2.493,NA,NA,NA,12.412,87360,4.251,0.531
