depth (m),age (BP),temperature (degC),planktic.d18O (permil),d18O (permil),planktic.MgCa (mmol_mol),planktic.d18O (permil)
23.35,255802,28.39,-0.51,3.918,4.89,NA
23.4,256148,28.23,-1.013,4.034,4.821,NA
23.45,256494,28.88,-1.269,3.606,5.11,NA
23.5,256840,27.03,-0.917,3.498,4.329,NA
23.55,257185,27.96,-1.19,3.951,4.704,NA
23.6,257531,29.3,-0.75,3.811,5.31,NA
23.65,257877,25.81,-0.592,3.931,3.879,NA
23.7,258222,26.93,-0.51,3.978,4.291,NA
23.75,258568,27,-0.836,4.03,4.318,NA
23.8,258914,27.63,-0.559,3.846,4.567,NA
23.85,259259,26.06,-0.46,3.93,3.968,NA
23.9,259605,25.05,-0.348,3.89,3.621,NA
23.95,259951,25.34,-0.549,3.887,3.717,NA
23.98,260158,25.14,-0.787,3.933,3.652,NA
24.02,260435,26.23,-0.245,3.848,4.028,NA
24.05,260642,25.29,-0.631,3.86,3.7,NA
24.1,260988,26.34,-0.839,3.8,4.069,NA
24.15,261333,26.42,-0.412,3.569,4.098,NA
24.2,261679,26.02,-0.226,3.86,3.953,NA
24.25,262025,26.14,-0.336,3.626,3.994,NA
24.3,262370,24.98,-0.42,3.804,3.599,NA
24.35,262716,25.4,-0.277,3.855,3.739,NA
24.4,263062,25.9,-0.437,3.852,3.909,NA
24.45,263407,25.98,-0.774,3.722,3.937,NA
24.5,263753,27.42,-0.509,3.714,4.481,NA
24.55,264099,25.15,-0.495,3.961,3.653,NA
24.6,264444,25.28,-0.548,3.914,3.696,NA
24.65,264790,25.69,-1.392,3.999,3.838,NA
24.7,265136,26.79,-1.084,3.758,4.235,NA
24.75,265481,26.77,-0.633,3.671,4.228,NA
24.8,265827,27.13,-0.737,3.684,4.369,NA
24.85,266173,25.62,-0.881,3.511,3.812,NA
24.9,266519,25.51,-0.374,3.312,3.776,NA
24.95,266864,26.17,-0.775,3.43,4.004,NA
25,267210,24.99,-0.707,3.418,3.601,NA
25.05,267556,24.98,-0.667,3.561,3.598,NA
25.1,267901,25.48,-0.276,3.549,3.763,NA
25.15,268247,24.19,-0.782,3.738,3.352,NA
25.2,268593,23.91,-0.637,3.725,3.269,NA
25.25,268938,24.54,-0.957,3.594,3.46,NA
25.3,269284,24.85,-0.23,3.712,3.556,NA
25.35,269630,25.09,-0.492,3.756,3.636,NA
25.4,269975,24.87,-0.266,3.89,3.562,NA
25.45,270321,24.85,-0.294,3.703,3.556,NA
25.48,270528,24.68,-0.693,3.769,3.504,NA
25.52,270805,NA,-0.715,3.627,NA,NA
25.55,271012,24.44,-0.436,3.835,3.429,NA
25.6,271358,24.43,-0.113,3.91,3.424,NA
25.65,271704,25.5,-0.679,3.844,3.77,NA
25.7,272049,23.42,-0.235,4.005,3.127,NA
25.75,272395,24.39,-0.076,4.15,3.414,NA
25.8,272741,23.96,-0.01,3.752,3.283,NA
25.85,273086,24.52,-0.235,3.956,3.453,NA
25.9,273432,25.84,-0.564,3.911,3.889,NA
25.95,273778,26.13,-1.19,3.861,3.99,NA
26,274123,24.16,-1.21,4.065,3.344,NA
26.05,274469,24.7,-0.377,3.966,3.509,NA
26.1,274815,23.41,NA,NA,3.126,NA
26.15,275160,24.03,-0.434,4.091,3.304,NA
26.2,275506,23.81,-0.398,3.915,3.239,NA
26.25,275852,24.25,-0.148,3.823,3.37,NA
26.3,276198,24.35,-0.505,4.133,3.399,NA
26.35,276543,26.06,-0.134,3.816,3.967,NA
26.4,276889,24.52,-0.191,3.723,3.454,NA
26.45,277235,23.89,-0.26,3.973,3.262,NA
26.5,277580,23.87,-0.823,3.772,3.256,NA
26.55,277926,23.64,-0.28,4.079,3.19,NA
26.6,278272,23.81,-0.847,4.184,3.24,NA
26.65,278617,24.37,-0.511,4.072,3.408,NA
26.7,278963,24.34,-0.712,4.236,3.396,NA
26.75,279309,25.35,-0.906,4.016,3.72,NA
26.8,279654,24.87,-0.354,3.664,3.562,NA
26.85,280000,25.02,-0.29,3.465,3.611,NA
26.9,280667,26.37,-0.972,3.516,4.077,NA
26.95,281333,25.65,-0.606,3.591,3.824,NA
26.98,281733,25.98,-0.623,3.354,3.937,NA
27.02,282267,27.32,-0.457,3.23,4.442,NA
27.05,282667,25.77,-1.075,3.313,3.864,NA
27.1,283333,26.31,-1.123,3.219,4.057,NA
27.15,284000,27.48,-1.886,3.229,4.505,NA
27.2,284667,27.3,-1.37,3.271,4.434,NA
27.25,285333,27.21,-1.111,3.21,4.397,NA
27.3,286000,27.69,-1.86,3.422,4.592,NA
27.35,286667,27.46,-1.395,3.458,4.498,NA
27.4,287333,27.57,-1.495,3.372,4.545,NA
27.45,288000,26.58,-1.243,3.435,4.155,NA
27.5,288667,28.57,-0.637,3.729,4.971,NA
27.55,289333,27.94,-0.461,3.724,4.698,NA
27.6,290000,27.18,-0.455,3.536,4.386,NA
27.65,290667,26.48,-0.404,3.682,4.118,NA
27.7,291333,27,-0.325,3.73,4.317,NA
27.75,292000,26.79,-0.505,3.885,4.235,NA
27.8,293185,26.61,-0.361,3.706,4.168,NA
27.85,294370,25.84,-0.774,4.015,3.887,NA
27.9,295556,28.77,-0.398,3.845,5.06,NA
27.95,296741,26.29,-0.731,3.704,4.051,NA
28,297926,26.37,-0.639,3.608,4.079,NA
28.05,299111,26.65,-0.416,3.593,4.181,NA
28.1,300296,26.92,-0.41,3.783,4.284,NA
28.15,301481,28.41,-0.48,3.732,4.902,NA
28.2,302667,28.66,-0.638,3.493,5.01,NA
28.25,303852,28.35,-0.946,3.79,4.876,NA
28.3,305037,27.57,-0.656,3.522,4.542,NA
28.35,306222,28.22,-0.632,3.247,4.818,NA
28.4,307407,27.64,-0.261,3.378,4.572,NA
28.45,308593,28.98,-0.767,2.878,5.16,NA
28.48,309304,28.3,-1.029,3.754,4.85,NA
28.52,310252,28.94,-1.111,2.854,5.14,NA
28.55,310963,28.61,-0.788,3.491,4.99,NA
28.6,312148,26.92,-1.067,3.58,4.284,NA
28.65,313333,29.34,-0.867,3.641,5.33,NA
28.7,314519,26.53,-1.164,3.226,4.136,NA
28.75,315704,25.92,-0.397,3.304,3.916,NA
28.8,316889,26.86,-0.904,NA,4.261,NA
28.85,318074,26.62,-0.564,3.248,4.172,NA
28.9,319259,27.87,-1.236,3.035,4.668,NA
28.95,320444,29.69,-0.726,2.942,5.5,NA
29,321630,28.88,-0.787,NA,5.11,NA
29.05,322815,26.9,-0.927,3.477,4.277,NA
29.1,324000,27.4,-0.489,2.848,4.473,NA
29.15,324700,26.96,-0.72,2.72,4.3,NA
29.2,325400,27.64,-0.725,2.758,4.571,NA
29.25,326100,30.43,-1.084,2.653,5.88,NA
29.3,326800,28.68,-1.025,2.876,5.02,NA
29.35,327500,31.24,-1.172,2.763,6.32,NA
29.4,328200,27.62,-1.702,2.573,4.563,NA
29.45,328900,30.07,-1.095,2.722,5.69,NA
29.5,329600,29.32,-1.186,2.64,5.32,NA
29.55,330300,28.88,-1.184,NA,5.11,NA
29.6,331000,28.07,-1.341,2.429,4.753,NA
29.65,331667,28.5,-0.896,NA,4.939,NA
29.7,332333,27.46,-1.147,2.917,4.498,NA
29.75,333000,26.01,-1.28,NA,3.95,NA
29.8,333667,27.25,-0.467,3.52,4.414,NA
29.85,334333,27.78,-0.948,2.89,4.631,NA
29.9,335000,26.03,-0.104,3.722,3.954,NA
29.95,335667,27.56,-0.892,2.85,4.541,NA
29.98,336067,28.81,0.078,3.26,5.08,NA
30.02,336600,25.8,-0.051,3.242,3.874,NA
30.05,337000,29.28,-0.155,3.067,5.3,NA
30.1,337667,NA,-0.578,3.072,NA,NA
30.15,338333,28.74,0.163,3.561,5.05,NA
30.2,339000,28.66,0.084,3.379,5.01,NA
30.25,339667,27.73,0.259,3.942,4.611,NA
30.3,340333,28.14,0.529,4.161,4.781,NA
30.35,341000,25.75,0.133,4.382,3.856,NA
30.4,341677,29.01,0.353,4.2,5.17,NA
30.45,342354,25.81,-0.335,4.166,3.879,NA
30.5,343031,28.94,0.459,4.128,5.14,NA
30.55,343708,28.05,0.559,4.124,4.745,NA
30.6,344385,28.35,0.169,4.189,4.874,NA
30.65,345062,27.9,0.37,4.216,4.679,NA
30.7,345738,27.09,0.421,4.27,4.351,NA
30.75,346415,28.08,-0.872,4.212,4.755,NA
30.8,347092,26.22,0.423,4.16,4.023,NA
30.85,347769,23.4,-0.008,4.18,3.122,NA
30.9,348446,26.76,0.35,4.199,4.223,NA
30.95,349123,26.17,0.182,4.106,4.004,NA
31,349800,23.97,-0.857,3.998,3.285,NA
31.05,350477,25.55,-0.568,4.178,3.787,NA
31.1,351154,24.41,-0.246,4.03,3.419,NA
31.15,351831,25.05,-0.391,3.978,3.62,NA
31.2,352508,24.45,-0.627,4.1,3.43,NA
31.25,353185,25.16,-0.324,3.957,3.659,NA
31.3,353862,24.27,0.038,4.078,3.376,NA
31.35,354538,24.1,-0.219,3.805,3.324,NA
31.4,355215,24.47,-0.501,3.929,3.438,NA
31.45,355892,24.64,-0.454,3.89,3.489,NA
31.48,356298,25.47,-0.41,3.73,3.76,NA
31.52,356840,25.6,-0.961,3.636,3.804,NA
31.55,357246,26.13,-0.565,3.9,3.992,NA
31.6,357923,26.2,-0.605,3.564,4.016,NA
31.65,358600,24.6,-0.814,3.551,3.479,NA
31.7,359277,25.33,-0.423,3.599,3.715,NA
31.75,359954,25.47,-0.382,3.551,3.761,NA
31.8,360631,25.58,-0.47,3.822,3.8,NA
31.85,361308,24.77,-0.909,3.905,3.532,NA
31.9,361985,24.79,-0.842,3.849,3.537,NA
31.95,362662,25.04,-0.937,3.631,3.617,NA
32,363338,24.54,-0.58,3.574,3.458,NA
32.05,364015,26.22,-0.93,3.756,4.025,NA
32.1,364692,24.92,-0.136,3.725,3.58,NA
32.15,365369,NA,-0.208,3.882,NA,NA
32.2,366046,25.03,0.434,3.894,3.614,NA
32.25,366723,24.54,0.013,4.125,3.458,NA
32.3,367400,24.8,0.479,4.133,3.541,NA
32.35,368077,25.15,0.444,4.018,3.655,NA
32.4,368754,25.68,-0.077,3.967,3.832,NA
32.45,369431,25.11,-0.043,4.01,3.642,NA
32.5,370108,26.2,0.039,3.935,4.018,NA
32.55,370785,26.52,-0.199,4.043,4.134,NA
32.6,371462,25.82,-0.183,4.083,3.881,NA
32.65,372138,25.61,-0.442,4.068,3.81,NA
32.7,372815,25.16,-0.508,4.074,3.659,NA
32.75,373492,25.15,-0.312,4.04,3.653,NA
32.8,374169,25.83,-0.675,3.755,3.884,NA
32.85,374846,25.32,-0.437,4.012,3.711,NA
32.9,375523,25,-0.101,4.018,3.606,NA
32.95,376200,24.76,-0.199,3.878,3.527,NA
32.98,376606,26.72,-0.523,3.824,4.208,NA
33.02,377148,25.14,-0.675,3.837,3.65,NA
33.05,377554,26.06,-0.62,3.969,3.966,NA
33.1,378231,24.77,-0.516,3.765,3.53,NA
33.15,378908,25.09,-0.058,3.551,3.634,NA
33.2,379585,24.7,-0.249,3.566,3.508,NA
33.25,380262,25.46,-0.529,3.727,3.757,NA
33.3,380938,25.04,-0.183,3.701,3.618,NA
33.35,381615,25.88,-0.515,3.655,3.903,NA
33.4,382292,25.29,-0.413,3.604,3.702,NA
33.45,382969,25.69,-0.826,3.582,3.836,NA
33.5,383646,26.41,-0.611,3.639,4.094,NA
33.55,384323,25.42,-0.339,3.655,3.744,NA
33.6,385000,26.82,-0.732,3.753,4.247,NA
33.65,386333,25.37,-0.365,3.63,3.729,NA
33.7,387667,27.22,-0.595,3.496,4.403,NA
33.75,389000,26.25,-0.105,3.576,4.033,NA
33.8,390333,26.57,-0.279,3.418,4.151,NA
33.85,391667,27.26,-0.221,3.477,4.419,NA
33.9,393000,25.82,-0.912,3.441,3.881,NA
33.95,394333,26.41,-0.742,3.46,4.092,NA
34,395667,25.72,-0.891,2.951,3.847,NA
34.05,397000,26.39,-0.767,2.766,4.087,NA
34.1,398333,25.26,-0.368,2.952,3.692,NA
34.15,399667,25.76,-0.643,2.802,3.861,NA
