depth (cm),year (AD),age (BP),clay0x25strd (percent),susc (missing),LOI (missing),LOI (missing),gs500x25 (percent),gs0x2E020x2D30x2E89um (percent),gs30x2E900x2D70x2E79um (percent),gs70x2E800x2D150x2E59um (percent),gs150x2E60um0x2D300x2E99um (percent),gs310x2E000x2D620x2E49um (percent),gs620x2E500x2D1240x2E99um (percent),gs1250x2E000x2D2490x2E99um (percent),gs2500x2E000x2D4990x2E99um (percent),grainSize5000x2E00um0x2D10000x2E00um (percent),gs10000x2E010x2D20000x2E00um (percent),mode (missing),clay0x25 (percent),silt0x25 (percent),sand0x25 (percent),ostracods (missing),C0x2FN (missing)
218.5,-2726.3,4676.3,-0.55,4.6,10.71,6.31,28.27,26.03,10.03,8.52,6.12,7.33,11.52,14.2,13.54,2.64,0,264.88,26.03,32,41.91,NA,9.22
219.5,-2740.2,4690.2,NA,4.5,12.31,5.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
220.5,-2753.4,4703.4,0.09,6.4,8.96,3.94,6.31,37.22,17.57,12.2,7.17,6.44,7.52,5.81,4.91,1.04,0,3.17,37.22,43.39,19.28,NA,8.24
221.5,-2766.8,4716.8,NA,7.8,8.65,6.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222.5,-2780.1,4730.1,-0.53,4.6,9.55,4.65,22.74,26.48,11.47,8.61,5.8,6.46,8.01,10.93,16.44,5.73,0,348.78,26.48,32.34,41.11,NA,7.93
223.5,-2793,4743,NA,5.4,8.91,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224.5,-2806.3,4756.3,-0.31,4.2,10.7,7.55,10.57,30.33,14,11.68,7.71,7.09,8.63,8.5,9.39,2.57,0,3.36,30.33,40.48,29.09,NA,8.64
225.5,-2819.4,4769.4,NA,4.6,10.9,5.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226.5,-2833.1,4783.1,-0.66,4.7,11.27,5.79,17.99,24.14,12.61,11.3,7.77,9.47,14.57,11.36,7.14,1.55,0,93.27,24.14,41.16,34.62,NA,8.89
227.5,-2846.5,4796.5,NA,5.5,10.57,5.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
228.5,-2859.9,4809.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229.5,-2873.8,4823.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230.5,-2887.1,4837.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231.5,-2900.8,4850.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232.5,-2914.5,4864.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233.5,-2928.2,4878.2,NA,5,11.53,6.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234.5,-2942,4892,-0.26,5.1,10.79,5.77,8.81,31.06,16.05,14.79,10.4,10.94,11.49,3.54,1.18,0.44,0,6.79,31.06,52.17,16.66,NA,9.42
235.5,-2955.4,4905.4,NA,5.6,9.34,3.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236.5,-2969,4919,-0.4,7.3,7.14,5.07,11.4,28.74,13.75,12.69,8.53,13.47,18.52,4.08,0.09,0.03,0,76.52,28.74,48.44,22.72,NA,9.42
237.5,-2982.3,4932.3,NA,14.1,7.75,6.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238.5,-2995.8,4945.8,NA,16.6,6.36,4.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.07
239.5,-3009.5,4959.5,NA,11.8,9.02,5.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
240.5,-3023.1,4973.1,-0.75,7,11.35,6.14,29.78,22.49,10.48,9.82,7.6,12.63,20.06,11.97,4.23,0.65,0,88.14,22.49,40.53,36.91,NA,11.31
241.5,-3037,4987,NA,8,9.61,6.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242.5,-3050.8,5000.8,-0.8,11,6.61,7.07,56.15,21.63,9.04,7.88,5.58,7.35,14.4,18.17,13.52,2.36,0,186.3,21.63,29.85,48.45,NA,NA
243.5,-3064.7,5014.7,NA,9.2,8.14,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244.5,-3078.2,5028.2,-0.15,12.5,7.18,5.44,8.64,33.06,14.76,13.08,9.13,9.2,9.48,4.94,2.09,1.95,2.21,3.74,33.06,46.17,20.67,NA,11.34
245.5,-3091.8,5041.8,NA,12.2,7.98,4.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246.5,-3105.4,5055.4,-1.09,10.4,6.69,4.56,126.64,16.61,7.54,6.86,4.86,5.11,8.71,21.24,24.66,4.35,0,279.75,16.61,24.38,58.96,NA,10.73
247.5,-3118.9,5068.9,NA,8.6,6.38,6.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248.5,-3132.7,5082.7,-0.25,8.8,7.74,4.89,10.57,31.32,13.53,10.42,6.07,5.27,8.84,11.92,11.03,1.51,0,3.01,31.32,35.29,33.3,NA,12.29
249.5,-3146.2,5096.2,NA,9.4,7.19,5.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
250.5,-3159.7,5109.7,-0.71,9.1,7.02,4.98,31.43,23.24,10.49,9.61,6.48,6.87,10.45,16.3,14.32,2.17,0,237.64,23.24,33.45,43.24,NA,10.46
251.5,-3173.2,5123.2,NA,9.4,7.49,5.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252.5,-3186.8,5136.8,-1.08,9.4,8.2,5.02,71.53,16.9,7.88,8.11,6.58,8.02,16.99,21.81,12.48,1.18,0,160.04,16.9,30.59,52.45,NA,8.78
253.5,-3200.1,5150.1,NA,8.2,8.26,4.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254.5,-3214,5164,-0.48,5.3,11.33,7.08,22.89,27.33,10.64,8.42,6.06,6.29,6.66,10.92,17.84,5.77,0,347.12,27.33,31.41,41.18,NA,7.79
255.5,-3227.5,5177.5,NA,6.2,10.08,7.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256.5,-3241,5191,-0.33,5.3,11,7.95,15.45,29.95,11.43,8.65,5.34,6.62,10.46,13.16,12.22,2.11,0,252.29,29.95,32.03,37.95,NA,7.73
257.5,-3254.3,5204.3,NA,4.9,11.8,6.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258.5,-3267.4,5217.4,0.02,4.7,11.78,6.12,8.76,35.94,12.27,8.72,5.41,5.86,9.57,11.99,9.24,0.92,0,2.57,35.94,32.26,31.72,NA,8.11
259.5,-3280.9,5230.9,NA,5.1,12.25,5.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
260.5,-3294.4,5244.4,0.11,4.9,11.69,5.9,7.55,37.5,12.99,8.95,6.55,7.05,7.75,8.36,9.2,1.56,0,2.54,37.5,35.54,26.86,NA,7.28
261.5,-3307.8,5257.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262.5,-3321,5271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263.5,-3334.4,5284.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264.5,-3347.8,5297.8,NA,5,7.38,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.81
265.5,-3361.2,5311.2,-0.23,4.7,6.86,6.03,10.65,31.6,13.28,10.15,6.58,5.28,6.26,10.22,12.68,3.88,0,3.42,31.6,35.29,33.03,NA,NA
266.5,-3374.9,5324.9,-0.6,5.1,6.73,7.28,60.12,25.11,8.46,6.28,4.78,5.7,9.55,17.86,18.15,4.05,0,262,25.11,25.21,49.62,1,9.3
267.5,-3388.5,5338.5,NA,4.6,7.35,5.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268.5,-3402.1,5352.1,-0.6,5,7.52,5.54,40.12,25.28,10.49,7.16,4.98,6.38,10.75,16.57,13.6,3.97,0.75,221.42,25.28,29.02,45.63,NA,10.47
269.5,-3415.4,5365.4,NA,5.2,7.56,6.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270.5,-3429.5,5379.5,-0.81,5.7,6.74,5.38,85.08,21.47,8.16,5.49,4.2,6.3,11.88,19.98,18.15,4.3,0,238.29,21.47,24.16,54.31,NA,9.2
271.5,-3442.9,5392.9,NA,6.3,6.69,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272.5,-3456.6,5406.6,-0.46,6.1,6.7,5.86,18.7,27.68,11.69,8.8,6.12,6.25,7.67,13.8,15.41,2.51,0,278.69,27.68,32.85,39.39,NA,8.86
273.5,-3470.4,5420.4,NA,6,8.39,4.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274.5,-3484,5434,-0.91,6.3,6.39,5.23,113.01,19.77,6.91,5.21,4.21,5.45,10.49,20.99,21.55,5.34,0.03,262.6,19.77,21.78,58.4,NA,11.18
275.5,-3497.8,5447.8,NA,5.9,6.81,5.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276.5,-3511.6,5461.6,0.04,6.3,5.92,6.37,6.97,36.43,15.86,11.83,6.71,5.48,7.58,8.22,6.46,1.33,0,3.25,36.43,39.88,23.59,1,11.26
277.5,-3525.3,5475.3,NA,7.4,5.99,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278.5,-3538.9,5488.9,-0.36,6.2,6.59,4.99,28.8,29.46,9.63,6.43,4.98,6.41,9.07,13.73,15.33,4.91,0,294.98,29.46,27.44,43.04,NA,9.05
279.5,-3552.5,5502.5,NA,6.3,6.48,4.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280.5,-3566.3,5516.3,-0.52,6.1,6.03,5.6,47.28,26.54,9.09,6.51,4.65,5.61,7.92,14.23,17.6,7.6,0.19,304.29,26.54,25.86,47.54,NA,8.65
281.5,-3580.1,5530.1,NA,6.5,6.13,5.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282.5,-3593.8,5543.8,-0.94,8.5,5.5,4.17,146.75,19.27,6.7,4.67,3.66,4.26,7.77,22.32,25.02,6.27,0,269.79,19.27,19.29,61.39,NA,6
283.5,-3607.5,5557.5,NA,10.1,5.23,3.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284.5,-3620.9,5570.9,-1.36,9.4,5.07,4.39,188.72,11.9,4.45,3.47,3.24,2.92,8.63,29.84,29.68,5.81,0.03,251.2,11.9,14.08,73.98,NA,10.66
285.5,-3634.5,5584.5,NA,8.3,5.17,3.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286.5,-3647.7,5597.7,-0.4,8.7,5.22,4.45,15.12,28.68,12.17,9.44,6.67,4.59,9.44,16.92,10.31,1.7,0,182.88,28.68,32.86,38.38,1,12.68
287.5,-3660.9,5610.9,NA,7.5,5.15,4.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288.5,-3674.2,5624.2,-0.14,7.2,5.62,4.26,10.22,33.26,12.62,9.09,5.21,4.56,6.28,13.78,11.19,2.8,1.13,226.88,33.26,31.48,35.17,NA,5.64
289.5,-3687.4,5637.4,NA,10.4,4.59,3.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290.5,-3700.8,5650.8,-0.65,8.4,4.98,4.31,39.55,24.37,10.02,7.83,5.81,5.96,9.15,13.69,16.83,6.26,0.02,326.59,24.37,29.61,45.94,NA,12.77
291.5,-3713.9,5663.9,NA,6.2,6.3,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292.5,-3727.4,5677.4,-0.63,5.2,6.01,4.84,38.76,24.75,9.75,7.34,5.92,7.95,11.47,15.11,14.39,3.27,0,259.08,24.75,30.95,44.24,NA,8.57
293.5,-3740.9,5690.9,NA,5.1,6.19,4.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294.5,-3753.9,5703.9,NA,5.5,6.79,5.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.13
295.5,-3767.6,5717.6,-0.26,5.4,6.97,5.65,11.58,31.11,12.91,9.63,6.48,6.75,9.53,9.02,10.96,3.52,0,2.86,31.11,35.77,33.04,NA,NA
296.5,-3781.3,5731.3,-0.65,5.2,7.29,5.69,14.73,24.38,13.33,13.27,12,9.97,8.02,8.99,8.74,1.2,0,7.84,24.38,48.58,26.95,1,9.83
297.5,-3795,5745,NA,5.9,7.06,5.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298.5,-3808.5,5758.5,-1.06,6.5,5.81,4.84,60.01,17.09,8.42,8.28,7.1,9.73,12.68,15.47,16.13,5.04,0,284.41,17.09,33.52,49.32,NA,9.62
299.5,-3822.2,5772.2,NA,6.5,5.44,5.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300.5,-3836.1,5786.1,-0.4,6.4,5.33,4.93,15.67,28.73,12.43,8.72,4.55,5.69,7.85,14.22,14.92,2.8,0,263.99,28.73,31.4,39.79,NA,8.97
301.5,-3849.7,5799.7,NA,5.3,5.91,5.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302.5,-3863.4,5813.4,-0.27,5.2,NA,NA,12.65,30.89,12.48,8.66,4.74,4.84,7.62,15.28,13.35,2.06,0,232.86,30.89,30.72,38.31,NA,10.5
303.5,-3877.2,5827.2,NA,4.8,6.65,7.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304.5,-3890.9,5840.9,-0.64,7.5,5.25,5.73,11.22,24.45,16.39,16.63,13.07,10.86,6.77,4.77,4.52,1.73,0.7,8.15,24.45,56.95,18.49,NA,9.4
305.5,-3904.4,5854.4,NA,8.5,4.36,4.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306.5,-3917.9,5867.9,-0.66,6.8,8.4,4.66,58.49,24.07,9.69,6.3,4.14,6.59,11.72,14.85,13.77,7.3,1.51,222.17,24.07,26.72,49.14,2,8.43
307.5,-3931.1,5881.1,NA,8.7,4.64,4.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308.5,-3944.6,5894.6,-1.1,5.6,4.79,7.78,92.9,16.5,6.93,5.44,4.21,8.15,16.7,19.47,17.22,5.34,0,155.5,16.5,24.73,58.72,NA,6.96
309.5,-3958,5908,NA,8,5.11,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310.5,-3971.6,5921.6,-1.38,9.6,4.09,4.45,94.05,11.65,6.09,5.99,4.79,10.04,21.02,22.83,13.65,3.82,0.06,136.72,11.65,26.92,61.38,NA,10.79
311.5,-3984.5,5934.5,NA,8,4.46,4.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312.5,-3997.8,5947.8,-0.58,7.8,4.8,4.29,14.39,25.46,13.99,11.62,8.46,10.83,13.34,8,7,1.21,0,3.87,25.46,44.9,29.55,NA,14.7
313.5,-4010.3,5960.3,NA,7,5.17,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314.5,-4023.2,5973.2,-0.46,5.6,5.69,4.8,11.32,27.56,14.87,13.28,10.34,11.06,10.94,6.41,4.67,0.78,0,4.08,27.56,49.56,22.79,NA,14.51
315.5,-4036.1,5986.1,NA,5,5.99,5.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316.5,-4049.8,5999.8,-0.71,4.7,6.16,5.89,11.81,23.2,15.76,18.4,16.17,10.4,4.92,4.25,5.48,1.32,0,11.97,23.2,60.71,15.97,2,15.06
317.5,-4063.4,6013.4,NA,5,6.3,5.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318.5,-4077.1,6027.1,-1.03,4.9,6.63,5.8,45.36,17.66,8.97,9.13,8.89,9.86,8.53,10.88,18.38,7.64,0,374.97,17.66,36.85,45.42,NA,13.91
319.5,-4091,6041,NA,4.8,6.43,6.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320.5,-4104.8,6054.8,-1.02,4.6,6.72,5.35,18.61,17.85,12.55,15.23,18.27,21.55,11.24,1.13,1.49,0.6,0,41.83,17.85,67.6,14.46,NA,NA
321.5,-4118.3,6068.3,NA,5.1,6.21,4.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
322.5,-4132.4,6082.4,-0.48,6.1,5.12,5.12,16.61,27.33,12.51,9.43,6.31,8.17,9.92,11.29,12.53,2.44,0,3.03,27.33,36.41,36.18,NA,NA
323.5,-4146.2,6096.2,NA,5.9,5.56,5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324.5,-4160,6110,-0.66,4.7,6.33,6,30.17,24.17,10.91,8.62,6.49,7.42,10.5,15.3,13.81,2.71,0,241.64,24.17,33.43,42.33,NA,NA
325.5,-4174.1,6124.1,0.35,4.2,6.8,6.44,5.28,41.8,17.46,12.91,7.84,7.81,7.23,3.41,1.38,0.05,0,2.87,41.8,46.01,12.07,NA,NA
326.5,-4188,6138,NA,4.8,6.22,6.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15.1
327.5,-4202.3,6152.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328.5,-4216.5,6166.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329.5,-4230.6,6180.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330.5,-4244.5,6194.5,NA,5.7,5.87,6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331.5,-4258.6,6208.6,-0.25,5.5,6.54,5.31,10.71,31.23,13.43,10.38,6.63,7.16,8.38,9.74,9.79,3.18,0,3.1,31.23,37.61,31.08,NA,NA
332.5,-4272.7,6222.7,-0.48,4.9,5.73,5.92,17.36,27.35,12.27,9.19,6.41,7.98,11.94,12.48,9.32,2.89,0.08,3.06,27.35,35.85,36.71,NA,NA
333.5,-4286.5,6236.5,NA,4.9,6.72,5.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334.5,-4300.7,6250.7,-0.28,5,6.73,5.36,10.52,30.73,13.91,11.08,7.44,8.04,8.39,8.07,9.56,2.68,0,3.23,30.73,40.48,28.69,NA,NA
335.5,-4314.7,6264.7,NA,4.6,7.38,6.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336.5,-4327.8,6277.8,-0.46,4.2,7.14,5.8,14.24,27.55,12.79,10.86,8.95,9.75,7.6,8.22,11.69,2.51,0,3.16,27.55,42.35,30.01,1,NA
337.5,-4341.6,6291.6,NA,4.2,6.49,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338.5,-4355.2,6305.2,-0.61,5,6.15,4.37,20.53,24.96,12.06,9.81,7.54,8.78,9.8,13.68,12.03,1.27,0,246.19,24.96,38.18,36.78,NA,NA
339.5,-4368.9,6318.9,NA,5.1,5.99,5.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340.5,-4382.5,6332.5,-0.21,5.2,6.7,5.07,9.5,31.99,14.23,11.63,8.16,8.98,9.29,7.66,5.99,1.95,0.02,3.35,31.99,43.01,24.91,NA,NA
341.5,-4396.1,6346.1,NA,4.8,6.38,5.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342.5,-4410,6360,NA,4.5,6.72,6.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343.5,-4423.5,6373.5,NA,4.8,6.21,6.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344.5,-4437.3,6387.3,-0.45,4.3,6.92,6.12,11.25,27.85,14.82,13.02,10.5,9.08,6.5,7.76,8.7,1.68,0,4.57,27.85,47.41,24.64,NA,NA
345.5,-4450.6,6400.6,NA,4.9,6.11,6.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346.5,-4464,6414,-0.21,5.8,5.65,6.41,9.86,32.02,14.1,9.33,5.55,8.14,9.75,9.95,8.99,2.08,0,3.17,32.02,37.11,30.77,1,NA
347.5,-4477.1,6427.1,NA,5.6,5.57,5.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348.5,-4490.5,6440.5,-0.47,5.5,5.98,5.29,16.86,27.38,12.48,9.25,6.89,8.39,10.26,12.03,10.99,2.26,0,3.36,27.38,36.99,35.54,NA,7.31
349.5,-4503.6,6453.6,NA,5,5.81,5.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350.5,-4517.6,6467.6,-0.66,4.8,6.39,6.84,55.71,24.06,10.04,6.91,4.26,5.73,7.02,13.61,14.05,9.93,4.33,245.13,24.06,26.94,48.93,NA,NA
351.5,-4531.8,6481.8,NA,5.6,6.52,5.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352.5,-4546,6496,-0.93,5.6,6,4.55,110.82,19.38,8.37,5.84,3.79,5.71,8.6,17.07,24.97,6.21,0,321.48,19.38,23.71,56.85,NA,NA
353.5,-4560.3,6510.3,NA,5.3,6.67,5.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
354.5,-4574.5,6524.5,-0.14,5.3,7.01,4.25,11.06,33.26,12.13,7.8,4.32,5.68,8.7,13.27,11.06,3.06,0.64,2.78,33.26,29.93,36.73,NA,8.5
355.5,-4588.3,6538.3,NA,5.4,6.31,6.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
356.5,-4601.6,6551.6,-0.13,5.3,6.52,6.35,9.14,33.42,13.78,10.02,5.62,5.67,7.02,11.11,11.23,2.04,0,3.16,33.42,35.09,31.4,1,NA
357.5,-4615.1,6565.1,NA,4.9,6.87,4.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
358.5,-4628.7,6578.7,-0.09,4.6,7.51,4.27,9.25,34.06,13.18,9.03,5.37,6.21,7.5,10.65,10.72,3.19,0,2.92,34.06,33.79,32.06,NA,NA
359.5,-4642.3,6592.3,NA,4.7,6.65,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360.5,-4655.9,6605.9,NA,5.5,6.27,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.23
361.5,-4669.9,6619.9,NA,5.5,6.67,5.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362.5,-4683.9,6633.9,-0.12,5.8,6.36,5.78,9.27,33.63,13.48,9.55,5.74,6.57,11.23,12.06,6.74,0.92,0,2.92,33.63,35.34,30.95,NA,5.53
363.5,-4697.8,6647.8,NA,5,7.29,6.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364.5,-4711.9,6661.9,-0.28,5,7.28,5.27,17.72,30.84,10.99,7.24,4.03,5.3,7.65,13.63,16.05,4.2,0,292.27,30.84,27.56,41.53,NA,NA
365.5,-4725.8,6675.8,NA,4.6,7.12,4.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366.5,-4739.3,6689.3,-0.34,4.5,7.07,5.62,18.07,29.78,11.09,7.88,4.74,5.23,7.2,11.86,15.74,6.34,0.07,331.42,29.78,28.94,41.21,1,NA
367.5,-4752.8,6702.8,NA,4.8,6.64,5.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368.5,-4766.2,6716.2,0.19,4.5,6.79,5.15,6.45,38.92,14.64,10.33,6.12,6.05,6.98,6.4,7.22,3.24,0.01,2.77,38.92,37.13,23.85,NA,NA
369.5,-4779.8,6729.8,-0.54,4.5,6.75,5.12,32.46,26.17,10.22,7.63,5.54,6.53,9.29,14.03,16.25,4.27,0,301.81,26.17,29.93,43.84,NA,NA
370.5,-4793.3,6743.3,-0.33,4.6,7.19,5.72,14.98,29.95,11.58,8.83,5.62,4.22,7.32,13.52,14.79,4.1,0,281.54,29.95,30.25,39.72,NA,NA
371.5,-4807,6757,NA,5.2,6.48,6.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372.5,-4821,6771,0.14,5.1,6.38,5.64,6.83,38.11,14.29,10.11,5.97,5.83,8.38,9.49,7.12,0.62,0,2.82,38.11,36.2,25.6,NA,NA
373.5,-4834.7,6784.7,NA,4.8,6.64,5.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
