year (AD),age (BP),MS (cgs)
-25.93,1975.93,1792.846
-27.41,1977.41,1783.243
-28.9,1978.9,1764.794
-30.39,1980.39,1764.02
-31.88,1981.88,1807.799
-33.37,1983.37,1851.2
-34.86,1984.86,1869
-36.35,1986.35,1904.6
-37.84,1987.84,1931.3
-39.33,1989.33,1975.8
-40.82,1990.82,1984.7
-42.31,1992.31,1993.6
-43.8,1993.8,1895.7
-45.29,1995.29,1860.1
-46.78,1996.78,1842.3
-48.27,1998.27,2000.841
-49.76,1999.76,1919.999
-51.25,2001.25,1892.571
-52.74,2002.74,1838.578
-54.23,2004.23,1713.29
-55.72,2005.72,1516.938
-57.21,2007.21,1320.315
-58.7,2008.7,1106.081
-60.19,2010.19,909.607
-61.68,2011.68,828.536
-63.17,2013.17,853.375
-64.66,2014.66,817.074
-66.14,2016.14,905.387
-67.63,2017.63,869.216
-69.12,2019.12,806.228
-70.61,2020.61,761.145
-72.1,2022.1,670.302
-73.59,2023.59,642.863
-75.08,2025.08,624.375
-76.57,2026.57,614.801
-78.06,2028.06,640.8
-79.55,2029.55,685.3
-81.04,2031.04,703.1
-82.53,2032.53,703.1
-84.02,2034.02,712
-85.51,2035.51,765.4
-87.39,2037.39,792.1
-89.64,2039.64,836.6
-91.9,2041.9,907.8
-94.15,2044.15,970.1
-96.41,2046.41,1121.4
-98.67,2048.67,1219.3
-100.92,2050.92,1263.8
-103.18,2053.18,1299.4
-105.44,2055.44,1335
-107.69,2057.69,1335
-109.95,2059.95,1326.1
-112.21,2062.21,1299.4
-114.46,2064.46,1281.6
-116.72,2066.72,1308.3
-118.98,2068.98,1549.767
-121.23,2071.23,1444.079
-123.49,2073.49,1542.549
-125.75,2075.75,1596.492
-128,2078,1632.743
-130.26,2080.26,1642.267
-132.52,2082.52,1642.986
-134.77,2084.77,1670.215
-137.03,2087.03,1777.761
-139.29,2089.29,1841.337
-141.54,2091.54,1886.8
-143.8,2093.8,1842.3
-146.06,2096.06,1806.7
-148.31,2098.31,1753.3
-150.57,2100.57,1726.6
-152.83,2102.83,1673.2
-155.08,2105.08,1610.9
-157.34,2107.34,1530.8
-159.6,2109.6,1459.6
-161.85,2111.85,1397.3
-164.11,2114.11,1388.4
-166.37,2116.37,1450.7
-168.62,2118.62,1450.7
-170.88,2120.88,1486.3
-173.14,2123.14,1610.9
-175.39,2125.39,1575.3
-177.65,2127.65,1477.4
-179.91,2129.91,1504.1
-182.16,2132.16,1486.3
-184.42,2134.42,1432.9
-186.68,2136.68,1415.1
-188.93,2138.93,1299.4
-191.19,2141.19,1281.6
-193.45,2143.45,1237.1
-195.7,2145.7,1254.9
-197.96,2147.96,1263.8
-200.22,2150.22,1246
-202.47,2152.47,1246
-204.73,2154.73,1210.4
-206.97,2156.97,1121.4
-209.19,2159.19,1129.414
-211.4,2161.4,995.287
-213.62,2163.62,950.146
-215.83,2165.83,894.307
-218.05,2168.05,875.757
-220.26,2170.26,901.871
-222.48,2172.48,910.144
-224.69,2174.69,918.472
-226.91,2176.91,917.913
-229.12,2179.12,944.095
-231.34,2181.34,980.227
-233.55,2183.55,980.797
-235.77,2185.77,999.339
-237.98,2187.98,1161.108
-240.2,2190.2,1171.22
-242.41,2192.41,1145.561
-244.63,2194.63,1155.003
-246.84,2196.84,1182.217
-249.06,2199.06,1245.03
-251.27,2201.27,1281.072
-253.49,2203.49,1397.3
-255.7,2205.7,1281.6
-257.92,2207.92,1263.8
-260.13,2210.13,1254.9
-262.35,2212.35,1254.9
-264.56,2214.56,1237.1
-266.78,2216.78,1183.7
-268.99,2218.99,1103.6
-271.21,2221.21,1076.9
-273.42,2223.42,1085.8
-275.64,2225.64,1130.3
-277.85,2227.85,1192.6
-280.07,2230.07,1228.2
-282.28,2232.28,1290.5
-284.5,2234.5,1326.1
-286.71,2236.71,1379.5
-288.93,2238.93,1450.7
-291.14,2241.14,1415.1
-293.36,2243.36,1397.3
-295.57,2245.57,1335
-297.79,2247.79,1324.522
-300,2250,1341.044
-302.22,2252.22,1367.049
-304.61,2254.61,1384.186
-307.38,2257.38,1410.161
-310.16,2260.16,1436.166
-312.93,2262.93,1453.288
-315.7,2265.7,1488.225
-318.59,2268.59,1496.51
-321.47,2271.47,1522.578
-324.35,2274.35,1528.409
-327.23,2277.23,1589.562
-330.12,2280.12,1695.754
-333,2283,1784.202
-335.88,2285.88,1837.022
-338.77,2288.77,1872.084
-341.65,2291.65,1862.59
-344.53,2294.53,1790.796
-347.42,2297.42,1772.458
-350.3,2300.3,1798.564
-353.18,2303.18,1869
-356.06,2306.06,1860.1
-358.95,2308.95,1815.6
-361.83,2311.83,1762.2
-364.71,2314.71,1922.4
-367.6,2317.6,1869
-370.48,2320.48,1940.2
-373.36,2323.36,1966.9
-376.24,2326.24,1984.7
-379.13,2329.13,2020.3
-382.01,2332.01,2241.24
-384.89,2334.89,2053.354
-387.78,2337.78,2025.323
-390.66,2340.66,2024.429
-393.54,2343.54,2058.997
-396.43,2346.43,2226.399
-397.71,2347.71,2103.431
-400.12,2350.12,2110.875
-402.53,2352.53,2152.096
-404.94,2354.94,2212.817
-407.35,2357.35,2247.104
-409.76,2359.76,2290.06
-412.18,2362.18,2332.98
-414.59,2364.59,2349.29
-417,2367,2382.973
-419.41,2369.41,2390.293
-421.82,2371.82,2433.231
-424.23,2374.23,2440.375
-426.64,2376.64,2482.45
-429.05,2379.05,2508.389
-431.46,2381.46,2507.492
-433.87,2383.87,2506.799
-436.29,2386.29,2434.898
-438.7,2388.7,2327.235
-441.11,2391.11,2264.191
-443.52,2393.52,2281.016
-445.93,2395.93,2271.287
-448.34,2398.34,2297.046
-450.75,2400.75,2303.732
-454.08,2404.08,2081.918
-456.97,2406.97,2094.612
-459.85,2409.85,2105.477
-462.73,2412.73,2098.541
-465.62,2415.62,2074.43
-468.5,2418.5,2035.823
-471.38,2421.38,2052.689
-474.27,2424.27,2037.084
-477.15,2427.15,2029.891
-480.03,2430.03,2015.017
-482.91,2432.91,1972.183
-485.8,2435.8,1902.974
-488.68,2438.68,1988.69
-491.56,2441.56,1847.496
-494.45,2444.45,1652.931
-497.33,2447.33,1538.38
-500.21,2450.21,1406.027
-502.9,2452.9,1327.105
-505.45,2455.45,1266.097
-508,2458,1196.131
-510.55,2460.55,1181.489
-513.1,2463.1,1147.009
-515.65,2465.65,1062.56
-518.2,2468.2,993.256
-520.75,2470.75,977.12
-523.3,2473.3,1014.117
-525.85,2475.85,1060.048
-528.4,2478.4,1080.177
-530.95,2480.95,1108.607
-533.5,2483.5,1101.005
-536.05,2486.05,1128.969
-538.6,2488.6,1168.384
-541.15,2491.15,1169.05
-543.7,2493.7,1160.701
-546.25,2496.25,1152.492
-548.8,2498.8,1144.092
-551.34,2501.34,1153.479
-553.9,2503.9,1189.667
-556.45,2506.45,1199.067
-558.99,2508.99,1200.386
-561.54,2511.54,1209.849
-564.09,2514.09,1327.398
-566.65,2516.65,1203.39
-569.19,2519.19,1168.453
-571.74,2521.74,1045.306
-574.29,2524.29,930.254
-576.84,2526.84,708.629
-579.4,2529.4,664.637
-581.95,2531.95,611.787
-584.49,2534.49,594.551
-587.04,2537.04,604.551
-589.59,2539.59,626.884
-592.14,2542.14,620.517
-594.69,2544.69,657.671
-597.24,2547.24,685.621
-599.79,2549.79,722.471
-602.34,2552.34,759.151
-604.89,2554.89,795.933
-607.44,2557.44,859.449
-609.99,2559.99,923.033
-612.54,2562.54,933.216
-615.09,2565.09,1006.57
-617.64,2567.64,936.074
-620.19,2570.19,929.483
-622.74,2572.74,850.061
-625.29,2575.29,797.787
-627.84,2577.84,807.199
-630.39,2580.39,861.137
-632.94,2582.94,888.336
-635.49,2585.49,933.412
-638.04,2588.04,1005.162
-640.59,2590.59,1052.957
-643.14,2593.14,1098.408
-645.69,2595.69,1125.85
-648.24,2598.24,1126.687
-650.79,2600.79,1029.529
-653.34,2603.34,994.898
-655.89,2605.89,951.672
-658.44,2608.44,953.137
-660.99,2610.99,901.582
-663.54,2613.54,1000.908
-666.09,2616.09,1038.086
-668.64,2618.64,1048.317
-671.19,2621.19,980.179
-673.74,2623.74,1016.616
-676.29,2626.29,1044.704
-678.84,2628.84,1045.408
-681.39,2631.39,1029.585
-683.94,2633.94,1030.327
-686.49,2636.49,1039.912
-689.04,2639.04,1049.496
-691.59,2641.59,1085.8
-694.14,2644.14,1032.4
-696.69,2646.69,1050.2
-699.24,2649.24,1059.1
-701.79,2651.79,1068
-704.34,2654.34,1094.7
-706.89,2656.89,1130.3
-709.44,2659.44,1165.9
-711.99,2661.99,1219.3
-714.54,2664.54,1254.9
-717.09,2667.09,1404.789
-719.64,2669.64,1368.556
-722.19,2672.19,1385.855
-724.74,2674.74,1394.307
-727.29,2677.29,1420.519
-729.84,2679.84,1428.944
-732.39,2682.39,1428.456
-734.94,2684.94,1401.163
-737.49,2687.49,1293.809
-740.04,2690.04,1222.029
-742.59,2692.59,1157
-745.14,2695.14,1157
-747.69,2697.69,1148.1
-750.22,2700.22,1139.2
-752.7,2702.7,1165.9
-755.18,2705.18,1183.7
-757.65,2707.65,1165.9
-760.13,2710.13,1183.7
-762.61,2712.61,1183.7
-765.08,2715.08,1210.4
-767.56,2717.56,1246
-770.04,2720.04,1274.751
-772.51,2722.51,1293.344
-774.99,2724.99,1311.918
-777.47,2727.47,1312.692
-779.94,2729.94,1331.401
-782.42,2732.42,1305.436
-784.9,2734.9,1270.552
-787.37,2737.37,1271.191
-789.85,2739.85,1254.165
-792.32,2742.32,1377.403
-794.8,2744.8,1313.854
-797.28,2747.28,1339.786
-799.75,2749.75,1374.778
-802.23,2752.23,1320.786
-804.71,2754.71,1240.157
-807.18,2757.18,1168.413
-809.66,2759.66,1167.853
-812.14,2762.14,1211.777
-814.61,2764.61,1237.916
-817.09,2767.09,1299.4
-819.57,2769.57,1326.1
-822.04,2772.04,1335
-824.52,2774.52,1361.7
-827,2777,1415.1
-829.47,2779.47,1432.9
-831.95,2781.95,1432.9
-834.43,2784.43,1468.5
-836.9,2786.9,1486.3
-839.38,2789.38,1486.3
-841.86,2791.86,1504.1
-844.33,2794.33,1495.2
-846.81,2796.81,1441.8
-849.28,2799.28,1397.3
-851.76,2801.76,1361.7
-854.24,2804.24,1317.2
-856.71,2806.71,1308.3
-859.19,2809.19,1326.1
-861.67,2811.67,1308.3
-864.14,2814.14,1281.6
-866.62,2816.62,1397.3
-869.1,2819.1,1290.5
-871.57,2821.57,1299.4
-874.05,2824.05,1299.4
-876.53,2826.53,1290.5
-879,2829,1263.8
-881.48,2831.48,1246
-883.96,2833.96,1246
-886.43,2836.43,1263.8
-888.91,2838.91,1281.6
-891.39,2841.39,1424
-893.86,2843.86,1397.3
-896.34,2846.34,1424
-898.82,2848.82,1459.6
-901.29,2851.29,1459.6
-903.77,2853.77,1415.1
-906.25,2856.25,1352.8
-908.72,2858.72,1317.2
-911.2,2861.2,1299.4
-913.67,2863.67,1326.1
-916.15,2866.15,1343.9
-918.63,2868.63,1352.8
-921.1,2871.1,1441.8
-923.58,2873.58,1343.9
-926.06,2876.06,1361.7
-928.53,2878.53,1326.1
-931.01,2881.01,1290.5
-933.49,2883.49,1237.1
-935.96,2885.96,1112.5
-938.44,2888.44,1023.5
-940.92,2890.92,952.3
-943.39,2893.39,943.4
-945.87,2895.87,934.5
-949.01,2899.01,961.2
-952.31,2902.31,943.4
-955.61,2905.61,961.2
-958.91,2908.91,961.2
-962.21,2912.21,987.9
-965.51,2915.51,1014.6
-968.8,2918.8,1023.5
-972.1,2922.1,1048.999
-975.4,2925.4,1083.859
-978.7,2928.7,1109.884
-982,2932,1118.225
-985.3,2935.3,1135.252
-988.59,2938.59,1152.361
-991.89,2941.89,1151.637
-995.19,2945.19,1142.079
-998.49,2948.49,1096.131
-1001.79,2951.79,1122.091
-1005.09,2955.09,1202.14
-1008.38,2958.38,1229.23
-1011.68,2961.68,1274.09
-1014.98,2964.98,1346.016
-1018.28,2968.28,1488.79
-1020.39,2970.39,1551.426
-1022.25,2972.25,1715.108
-1024.11,2974.11,1698.042
-1025.96,2975.96,1663.652
-1027.82,2977.82,1770.78
-1029.68,2979.68,1797.8
-1031.54,2981.54,1851.2
-1033.39,2983.39,1851.2
-1035.25,2985.25,1904.6
-1037.11,2987.11,1940.2
-1038.97,2988.97,1966.9
-1040.82,2990.82,1966.9
-1042.68,2992.68,1966.9
-1044.54,2994.54,1940.2
-1046.4,2996.4,1949.1
-1048.25,2998.25,1993.6
-1050.11,3000.11,1966.9
-1051.97,3001.97,1958
-1053.83,3003.83,2020.3
-1055.68,3005.68,2082.6
-1057.54,3007.54,2127.1
-1059.4,3009.4,2136
-1061.26,3011.26,2144.9
-1063.11,3013.11,2153.8
-1064.97,3014.97,2189.4
-1066.83,3016.83,2198.3
-1068.69,3018.69,2189.4
-1070.54,3020.54,2180.5
-1072.4,3022.4,2162.7
-1074.26,3024.26,2153.8
-1076.11,3026.11,2153.8
-1078.96,3028.96,2293.728
-1081.82,3031.82,2193.709
-1084.68,3034.68,2165.784
-1087.54,3037.54,2146.854
-1090.39,3040.39,2074.641
-1093.25,3043.25,2048.569
-1096.11,3046.11,1987.08
-1098.97,3048.97,1916.674
-1101.83,3051.83,1864.067
-1104.69,3054.69,1775.878
-1107.54,3057.54,1714.389
-1110.4,3060.4,1670.647
-1113.26,3063.26,1680.41
-1116.12,3066.12,1636.634
-1118.98,3068.98,1664.3
-1121.84,3071.84,1441.8
-1124.69,3074.69,1263.8
-1127.55,3077.55,1094.7
-1130.41,3080.41,916.7
-1133.27,3083.27,809.9
-1136.13,3086.13,756.5
-1138.98,3088.98,694.2
-1141.84,3091.84,694.2
-1144.7,3094.7,667.5
-1147.56,3097.56,677.892
-1150.42,3100.42,678.674
-1153.28,3103.28,679.384
-1156.13,3106.13,715.695
-1158.99,3108.99,716.459
-1161.85,3111.85,734.952
-1164.71,3114.71,753.498
-1167.57,3117.57,772.168
-1170.43,3120.43,781.832
-1173.28,3123.28,791.46
-1176.14,3126.14,809.9
-1179,3129,809.9
-1181.86,3131.86,827.7
-1184.72,3134.72,916.7
-1187.57,3137.57,898.9
-1190.43,3140.43,845.5
-1193.29,3143.29,783.2
-1196.15,3146.15,774.3
-1199.01,3149.01,881.1
-1201.87,3151.87,827.7
-1204.72,3154.72,872.2
-1207.58,3157.58,872.2
-1210.44,3160.44,890
-1213.3,3163.3,890
-1216.16,3166.16,916.7
-1219.02,3169.02,952.3
-1221.87,3171.87,970.1
-1224.73,3174.73,1032.4
-1227.59,3177.59,1094.7
-1230.45,3180.45,1085.8
-1233.31,3183.31,1110.569
-1236.17,3186.17,976.406
-1239.02,3189.02,860.054
-1241.88,3191.88,734.93
-1244.74,3194.74,787.795
-1247.6,3197.6,929.09
-1250.46,3200.46,1079.855
-1253.31,3203.31,1221.743
-1256.17,3206.17,1230.166
-1259.03,3209.03,1193.891
-1261.89,3211.89,1130.986
-1264.75,3214.75,1306.732
-1267.61,3217.61,1314.7
-1270.46,3220.46,1251.337
-1273.32,3223.32,1214.96
-1276.18,3226.18,1214.183
-1279.04,3229.04,1070.345
-1281.9,3231.9,1105.219
-1284.76,3234.76,1149.214
-1287.61,3237.61,1246.583
-1290.47,3240.47,1200.339
-1293.33,3243.33,1190.897
-1296.19,3246.19,1375.824
-1299.05,3249.05,1339.527
-1301.9,3251.9,1374.431
-1304.76,3254.76,1382.557
-1307.62,3257.62,1390.902
-1310.48,3260.48,1381.474
-1313.34,3263.34,1407.451
-1316.2,3266.2,1406.781
-1319.05,3269.05,1466.45
-1321.91,3271.91,1446.718
-1324.77,3274.77,1481.189
-1327.63,3277.63,1524.262
-1330.49,3280.49,1576.444
-1333.35,3283.35,1520.875
-1336.2,3286.2,1519.716
-1339.06,3289.06,1527.279
-1341.92,3291.92,1561.393
-1344.78,3294.78,1542.137
-1347.64,3297.64,1673.2
-1350.49,3300.49,1610.9
-1353.35,3303.35,1619.8
-1356.21,3306.21,1673.2
-1359.07,3309.07,1699.9
-1361.93,3311.93,1699.9
-1364.79,3314.79,1753.3
-1367.64,3317.64,1771.1
-1370.5,3320.5,1788.9
-1373.36,3323.36,1771.1
-1376.22,3326.22,1788.9
-1379.08,3329.08,1584.2
-1381.94,3331.94,1504.1
-1384.79,3334.79,1441.8
-1387.65,3337.65,1397.3
-1390.51,3340.51,1361.7
-1393.37,3343.37,1352.8
-1396.23,3346.23,1352.8
-1398.36,3348.36,1797.936
-1402.7,3352.7,1697.193
-1407.03,3357.03,1535.282
-1411.37,3361.37,1479.762
-1415.71,3365.71,1557.5
-1420.05,3370.05,1557.5
-1424.39,3374.39,1521.9
-1428.73,3378.73,1539.7
-1433.07,3383.07,1602
-1437.4,3387.4,1646.5
-1441.64,3391.64,1708.8
-1445.1,3395.1,1780
-1448.56,3398.56,1824.5
-1452.03,3402.03,1877.9
-1455.49,3405.49,1907
-1458.95,3408.95,1898.528
-1462.41,3412.41,1925.479
-1465.87,3415.87,1934.623
-1469.33,3419.33,1899.291
-1472.79,3422.79,1912.159
-1476.25,3426.25,1930.245
-1479.71,3429.71,1992.781
-1483.17,3433.17,2028.681
-1486.63,3436.63,2028.935
-1490.09,3440.09,1958.615
-1493.55,3443.55,1914.767
-1497.01,3447.01,1924.396
-1500.47,3450.47,1898.452
-1503.93,3453.93,1801.224
-1507.4,3457.4,1668.395
-1510.86,3460.86,1597.924
-1514.32,3464.32,1447.305
-1517.78,3467.78,1298.019
-1521.24,3471.24,1147.447
-1524.7,3474.7,1087.301
-1528.12,3478.12,1053.421
-1531.43,3481.43,1037.274
-1534.73,3484.73,1047.589
-1538.04,3488.04,1093.612
-1541.34,3491.34,1139.7
-1544.65,3494.65,1159.154
-1547.96,3497.96,1160.786
-1551.26,3501.26,1198.018
-1554.57,3504.57,1253.007
-1557.88,3507.88,1317.863
-1561.18,3511.18,1336.231
-1564.49,3514.49,1381.52
-1567.8,3517.8,1409.135
-1571.1,3521.1,1481.145
-1574.41,3524.41,1579.908
-1577.72,3527.72,1562.907
-1581.02,3531.02,1492.538
-1582.85,3532.85,677.991
-1585.03,3535.03,669.806
-1587.21,3537.21,769.202
-1589.39,3539.39,1152.594
-1591.57,3541.57,1349.529
-1593.74,3543.74,1412.433
-1595.92,3545.92,1430.808
-1598.1,3548.1,1485.18
-1600.28,3550.28,1397.3
-1602.46,3552.46,1228.2
-1604.64,3554.64,1094.7
-1606.81,3556.81,996.8
-1608.99,3558.99,1032.4
-1611.17,3561.17,1121.4
-1613.35,3563.35,1148.1
-1615.53,3565.53,1210.4
-1617.7,3567.7,1254.9
-1619.88,3569.88,1237.1
-1622.06,3572.06,1181.226
-1624.24,3574.24,1152.889
-1626.42,3576.42,1187.013
-1628.87,3578.87,1274.456
-1631.54,3581.54,1335.239
-1634.22,3584.22,1422.683
-1636.89,3586.89,1483.467
-1639.56,3589.56,1570.99
-1642.23,3592.23,1622.873
-1644.9,3594.9,1594.697
-1647.58,3597.58,1744.4
-1650.25,3600.25,1593.1
-1652.92,3602.92,1530.8
-1655.59,3605.59,1477.4
-1658.27,3608.27,1513
-1660.94,3610.94,1459.6
-1663.61,3613.61,1335
-1666.28,3616.28,1317.2
-1668.96,3618.96,1424
-1671.63,3621.63,1415.1
-1674.3,3624.3,1370.6
-1676.97,3626.97,1301.167
-1679.65,3629.65,1115.067
-1682.32,3632.32,973.487
-1684.99,3634.99,938.624
-1687.66,3637.66,948.26
-1690.33,3640.33,984.576
-1693.01,3643.01,1021.017
-1695.68,3645.68,1048.538
-1698.35,3648.35,1084.938
-1701.02,3651.02,1066.15
-1703.7,3653.7,1091.717
-1706.37,3656.37,1091
-1709.04,3659.04,1054.7
-1711.71,3661.71,991.766
-1714.38,3664.38,848.716
-1717.06,3667.06,741.283
-1719.73,3669.73,660.583
-1722.4,3672.4,633.217
-1725.07,3675.07,623.667
-1727.75,3677.75,694.2
-1730.42,3680.42,694.2
-1733.09,3683.09,729.8
-1735.76,3685.76,774.3
-1738.44,3688.44,809.9
-1741.11,3691.11,854.4
-1743.78,3693.78,854.4
-1746.45,3696.45,809.9
-1749.13,3699.13,809.9
-1751.8,3701.8,872.2
-1754.47,3704.47,916.7
-1757.14,3707.14,916.7
-1759.81,3709.81,952.3
-1762.49,3712.49,1005.7
-1765.16,3715.16,1317.2
-1767.83,3717.83,1326.1
-1770.5,3720.5,1352.8
-1773.18,3723.18,1397.3
-1775.85,3725.85,1450.7
-1778.52,3728.52,1530.8
-1781.19,3731.19,1662.418
-1783.86,3733.86,1670.614
-1786.54,3736.54,1598.658
-1789.21,3739.21,1544.554
-1791.88,3741.88,1499.368
-1794.55,3744.55,1516.412
-1797.23,3747.23,1533.509
-1799.9,3749.9,1532.875
-1802.57,3752.57,1505.472
-1805.24,3755.24,1487.004
-1807.92,3757.92,1549.964
-1810.59,3760.59,1523.818
-1813.26,3763.26,1515.485
-1815.93,3765.93,1516.011
-1818.6,3768.6,1489.852
-1821.28,3771.28,1472.592
-1823.95,3773.95,1464.273
-1826.62,3776.62,1529.139
-1829.29,3779.29,1591.966
-1831.84,3781.84,1628.052
-1833.88,3783.88,1743.135
-1835.92,3785.92,1742.557
-1837.97,3787.97,1724.148
-1840.01,3790.01,1750.302
-1842.05,3792.05,1847.53
-1844.09,3794.09,1962.512
-1846.14,3796.14,2006.356
-1848.18,3798.18,2085.613
-1850.22,3800.22,2084.989
-1852.27,3802.27,2013.086
-1854.31,3804.31,2020.3
-1856.35,3806.35,1975.8
-1858.39,3808.39,1913.5
-1860.44,3810.44,1851.2
-1862.48,3812.48,1788.9
-1864.52,3814.52,1655.4
-1866.57,3816.57,1450.7
-1868.61,3818.61,1326.1
-1870.65,3820.65,1308.3
-1872.69,3822.69,1388.4
-1874.74,3824.74,1434.719
-1876.8,3826.8,1444.358
-1878.94,3828.94,1427.279
-1881.09,3831.09,1321.164
-1883.23,3833.23,1206.184
-1885.37,3835.37,1233.605
-1887.52,3837.52,1349.989
-1889.66,3839.66,1501.938
-1891.8,3841.8,1600.558
-1893.95,3843.95,1476.679
-1899.55,3849.55,1217.934
-1905.15,3855.15,1190.151
-1910.75,3860.75,1234.023
-1916.35,3866.35,1383.895
-1921.95,3871.95,1498.967
-1927.55,3877.55,1596.192
-1933.15,3883.15,1586.664
-1938.75,3888.75,1568.268
-1944.35,3894.35,1585.424
-1949.95,3899.95,1611.591
-1955.55,3905.55,1698.48
-1961.15,3911.15,1590.799
-1966.75,3916.75,1563.38
-1972.36,3922.36,1527.096
-1977.96,3927.96,1446.349
-1983.56,3933.56,1418.822
-1989.16,3939.16,1391.385
-1994.76,3944.76,1328.347
-2000.36,3950.36,1247.456
-2005.96,3955.96,1184.491
-2011.56,3961.56,1112.5
-2017.16,3967.16,1050.2
-2022.76,3972.76,872.2
-2028.36,3978.36,694.2
-2033.96,3983.96,453.9
-2039.56,3989.56,409.4
-2045.16,3995.16,347.1
-2050.76,4000.76,356
-2056.36,4006.36,373.8
-2061.97,4011.97,418.3
-2067.57,4017.57,434.837
-2073.17,4023.17,443.106
-2078.77,4028.77,469.175
-2084.37,4034.37,477.491
-2089.97,4039.97,493.334
-2095.57,4045.57,510.503
-2101.17,4051.17,509.825
-2106.77,4056.77,455.857
-2112.37,4062.37,455.32
-2117.97,4067.97,463.668
-2123.57,4073.57,437.713
-2129.17,4079.17,465.134
-2134.77,4084.77,474.717
-2140.37,4090.37,439.82
-2145.98,4095.98,378.278
-2151.58,4101.58,334.499
-2157.18,4107.18,317.383
-2162.78,4112.78,309.413
-2168.38,4118.38,319.034
-2173.98,4123.98,346.398
-2179.58,4129.58,409.4
-2185.18,4135.18,462.8
-2190.78,4140.78,507.3
-2196.38,4146.38,525.1
-2201.98,4151.98,596.3
-2207.58,4157.58,658.6
-2213.18,4163.18,658.6
-2218.78,4168.78,614.1
-2224.38,4174.38,560.7
-2229.98,4179.98,534
-2235.59,4185.59,551.019
-2241.19,4191.19,595.16
-2246.79,4196.79,648.201
-2252.39,4202.39,719.052
-2257.99,4207.99,825.466
-2263.59,4213.59,887.426
-2269.19,4219.19,958.258
-2274.79,4224.79,1029.099
-2280.39,4230.39,1055.441
-2285.99,4235.99,1081.755
-2291.59,4241.59,1072.514
-2297.19,4247.19,992.065
-2302.79,4252.79,813.679
-2308.39,4258.39,715.43
-2313.99,4263.99,830.789
-2319.59,4269.59,857.103
-2325.2,4275.2,883.463
-2330.8,4280.8,936.523
-2336.42,4286.42,1077.691
-2342.99,4292.99,988.295
-2349.56,4299.56,729.8
-2356.13,4306.13,551.8
-2362.7,4312.7,471.7
-2369.27,4319.27,480.6
-2375.84,4325.84,498.4
-2382.41,4332.41,516.2
-2388.98,4338.98,542.9
-2395.55,4345.55,569.6
-2401.45,4351.45,507.3
-2406.91,4356.91,471.7
-2412.37,4362.37,471.7
-2417.83,4367.83,500.103
-2423.29,4373.29,500.755
-2428.75,4378.75,492.491
-2434.21,4384.21,493.173
-2439.67,4389.67,493.795
-2445.13,4395.13,504.146
-2450.59,4400.59,504.738
-2455.77,4405.77,487.531
-2460.33,4410.33,443.682
-2464.88,4414.88,417.56
-2469.43,4419.43,427.2
-2473.99,4423.99,418.3
-2478.54,4428.54,436.1
-2483.09,4433.09,418.3
-2487.65,4437.65,409.4
-2492.2,4442.2,418.3
-2496.75,4446.75,471.7
-2501.31,4451.31,525.1
-2505.86,4455.86,525.1
-2510.23,4460.23,480.6
-2514.58,4464.58,418.3
-2518.92,4468.92,400.5
-2523.26,4473.26,391.6
-2527.61,4477.61,391.6
-2531.95,4481.95,409.4
-2536.3,4486.3,436.1
-2540.64,4490.64,445
-2544.98,4494.98,445
-2549.33,4499.33,418.3
-2553.67,4503.67,437.233
-2558.01,4508.01,438.183
-2566.08,4516.08,483.432
-2577.81,4527.81,528.682
-2589.54,4539.54,573.895
-2601.27,4551.27,645.862
-2613,4563,673.257
-2624.74,4574.74,638.37
-2636.47,4586.47,603.573
-2647.19,4597.19,631.041
-2657.48,4607.48,710.474
-2667.77,4617.77,745.415
-2678.07,4628.07,824.808
-2688.36,4638.36,841.917
-2698.65,4648.65,841.259
-2708.94,4658.94,831.202
-2718.97,4668.97,812.728
-2723.61,4673.61,829.853
-2728.26,4678.26,855.83
-2732.9,4682.9,864.103
-2737.55,4687.55,872.2
-2742.2,4692.2,898.9
-2746.84,4696.84,961.2
-2751.49,4701.49,1085.8
-2756.13,4706.13,1183.7
-2760.78,4710.78,1281.6
-2765.42,4715.42,1326.1
-2770.07,4720.07,1299.4
-2774.72,4724.72,1237.1
-2779.36,4729.36,1254.9
-2785.51,4735.51,1450.7
-2793.83,4743.83,1424
-2802.15,4752.15,1504.1
-2810.47,4760.47,1441.8
-2818.78,4768.78,1432.9
-2827.1,4777.1,1450.7
-2835.42,4785.42,1548.6
-2843.74,4793.74,1619.8
-2852.05,4802.05,1530.8
-2860.37,4810.37,1201.5
-2868.69,4818.69,925.6
-2877.01,4827.01,907.8
-2885.32,4835.32,898.9
-2893.64,4843.64,827.7
-2901.96,4851.96,703.1
-2910.28,4860.28,640.8
-2918.59,4868.59,658.6
-2926.91,4876.91,667.5
-2935.23,4885.23,640.8
-2943.55,4893.55,720.9
-2951.24,4901.24,774.3
-2956.16,4906.16,801
-2961.08,4911.08,827.7
-2965.99,4915.99,854.4
-2970.91,4920.91,890
-2975.83,4925.83,890
-2980.75,4930.75,827.7
-2985.67,4935.67,801
-2990.58,4940.58,747.6
-2995.5,4945.5,756.5
-3000.42,4950.42,756.5
-3005.34,4955.34,783.2
-3010.25,4960.25,809.9
-3015.17,4965.17,845.5
-3020.09,4970.09,872.2
-3025.01,4975.01,872.2
-3029.93,4979.93,872.2
-3034.84,4984.84,854.4
-3039.76,4989.76,854.4
-3044.68,4994.68,863.3
-3049.6,4999.6,845.5
