depth (m),age (BP),planktic.d13C (permil),planktic.d18O (permil),planktic.d13C (permil),planktic.d18O (permil),d13C (permil),d18O (permil),depth (m),age (BP),TOC (percent),CaCO3 (percent),depth (m),temperature (degC)
2.695,8555,0.39,3.14,NA,NA,0.75,4.14,2.755,8684,1.13,12.43,NA,NA
2.705,8576,0.38,3.29,-1.66,2.35,0.83,4.07,2.765,8705,1.39,11.76,NA,NA
2.715,8597,0.42,3.19,NA,NA,0.81,4.18,2.78,8737,1.09,10.49,NA,NA
2.725,8618,0.44,3.2,NA,NA,1.01,4.19,2.79,8758,1.09,10.65,NA,NA
2.735,8639,0.5,3.42,NA,NA,0.95,4.32,2.8,8779,1.1,10.55,NA,NA
2.745,8660,0.49,3.17,NA,NA,0.9,4.24,2.81,8801,1.08,10.25,NA,NA
2.755,8681,0.46,3.22,-1.68,2.48,0.92,4.19,2.82,8822,1.09,10.41,NA,NA
2.765,8702,0.37,3.54,NA,NA,0.8,4.27,2.83,8843,1.11,11.31,NA,NA
2.78,8734,0.52,3.74,NA,NA,0.86,4.5,2.84,8864,1.1,11.37,NA,NA
2.79,8755,0.57,3.47,NA,NA,0.71,4.37,2.85,8885,1.06,10.26,NA,NA
2.8,8776,0.51,3.86,NA,NA,0.87,4.42,2.86,8907,1.07,9.98,NA,NA
2.81,8797,0.46,3.27,-1.65,2.63,0.81,4.54,2.87,8928,1.08,10.74,NA,NA
2.82,8818,0.51,3.33,NA,NA,0.83,3.9,2.88,8949,1.05,12.09,NA,NA
2.83,8839,0.46,3.26,NA,NA,0.71,4.47,2.89,8970,1.13,12.31,NA,NA
2.84,8861,0.39,3.36,NA,NA,0.8,4.25,2.91,9012,1.13,12.71,NA,NA
2.85,8882,0.37,3.29,NA,NA,0.71,4.34,2.92,9034,1.15,13.85,NA,NA
2.86,8903,0.38,3.23,-1.69,2.57,0.66,4.67,2.93,9055,1.09,13.38,NA,NA
2.87,8924,0.4,3.2,NA,NA,0.72,3.93,2.94,9076,1.07,11.48,NA,NA
2.88,8945,0.41,2.97,NA,NA,0.65,3.89,2.95,9097,1.1,9.76,NA,NA
2.89,8966,0.39,3.24,NA,NA,0.73,4.45,2.96,9118,1.15,10.78,NA,NA
2.9,8987,0.38,3.43,NA,NA,0.83,4.44,2.97,9140,1.1,11.76,NA,NA
2.91,9008,0.47,3.47,-1.49,2.81,0.81,4,2.98,9161,1.1,12.35,NA,NA
2.92,9029,0.4,3.2,NA,NA,0.8,4.43,2.99,9182,1.13,12.18,NA,NA
2.93,9051,0.54,3.28,NA,NA,0.8,4.23,3,9203,1.11,13.11,NA,NA
2.94,9072,0.38,3.14,NA,NA,0.8,3.84,3.01,9224,1.1,12.92,NA,NA
2.95,9093,0.44,3.3,NA,NA,0.66,4.42,3.02,9246,1.1,12.48,NA,NA
2.96,9114,0.37,3.26,-1.7,2.21,0.84,4.22,3.03,9261,1.09,11.27,NA,NA
2.97,9135,0.27,3.08,NA,NA,0.74,4.4,3.04,9277,1.09,9.92,NA,NA
2.98,9156,0.2,3.24,NA,NA,0.84,4.17,3.05,9293,1.14,12.75,NA,NA
2.99,9177,0.29,3.28,NA,NA,0.74,4.45,3.06,9309,1.12,12.29,NA,NA
3,9198,0.34,3.49,NA,NA,0.55,5.36,3.07,9325,1.13,12.18,NA,NA
3.01,9219,0.27,3.32,-1.68,2.75,0.75,4.25,3.08,9341,1.16,11.17,NA,NA
3.02,9241,0.41,2.99,NA,NA,0.62,4.08,3.09,9357,1.17,12.15,NA,NA
3.03,9257,0.3,3.02,NA,NA,0.61,4.96,3.1,9373,1.15,9.92,NA,NA
3.04,9273,0.32,3.07,NA,NA,0.7,3.91,3.11,9389,1.17,9.83,NA,NA
3.05,9289,0.21,3.01,NA,NA,0.72,4.4,3.12,9404,1.17,10.72,NA,NA
3.06,9305,0.3,3.22,-1.62,2.1,0.54,4,3.13,9420,1.18,10.84,NA,NA
3.07,9321,0.4,3.18,NA,NA,0.71,4.09,3.14,9436,1.12,12.17,NA,NA
3.08,9337,0.51,3.22,NA,NA,0.74,4.24,3.15,9452,1.13,11.97,NA,NA
3.09,9353,0.19,3.08,NA,NA,0.59,4.35,3.16,9468,1.14,11.96,NA,NA
3.1,9369,0.33,3.39,NA,NA,0.74,4.3,3.17,9484,1.15,9.93,NA,NA
3.11,9385,0.3,3.18,-1.52,2.59,0.72,4.2,3.18,9500,1.12,11.27,NA,NA
3.12,9401,0.34,3.13,NA,NA,0.62,4.11,3.19,9516,1.15,12.32,NA,NA
3.13,9417,0.32,3.4,NA,NA,NA,NA,3.2,9532,1.14,11.51,NA,NA
3.14,9434,0.39,3.12,NA,NA,0.68,4.55,3.21,9547,1.11,9.79,NA,NA
3.15,9450,0.2,3.5,NA,NA,NA,NA,3.22,9563,1.12,10.14,NA,NA
3.16,9466,0.3,3.42,-1.59,3.38,0.68,4.47,3.23,9579,1.11,10.05,NA,NA
3.17,9482,0.29,3.19,NA,NA,0.69,4.32,3.24,9595,1.12,11.11,NA,NA
3.18,9498,0.1,3.07,NA,NA,0.6,4.32,3.25,9611,1.1,10.32,NA,NA
3.19,9514,0.45,3.11,NA,NA,0.65,4.04,3.26,9627,1.09,9.85,NA,NA
3.2,9530,0.34,3.2,NA,NA,0.65,4.06,3.27,9643,1.06,9.28,NA,NA
3.21,9546,0.34,2.99,-1.35,2.07,0.72,4.39,3.28,9659,1.05,8.89,NA,NA
3.22,9562,0.35,3.01,NA,NA,0.75,4.64,3.29,9675,1.06,7.77,NA,NA
3.23,9578,0.37,2.99,NA,NA,0.65,4.37,3.3,9690,1.05,8.95,NA,NA
3.24,9594,NA,NA,NA,NA,NA,NA,3.31,9706,1.06,8.78,NA,NA
3.25,9611,0.16,3.24,NA,NA,0.59,4.35,3.32,9722,1.1,8.05,NA,NA
3.26,9627,0.09,3.24,-1.46,2.92,0.71,4.42,3.33,9738,1.1,9.28,NA,NA
3.27,9643,0.43,3.25,NA,NA,0.68,4.38,3.34,9754,1.04,7.66,NA,NA
3.28,9659,0.28,3.36,NA,NA,0.6,4.43,3.35,9770,1.05,8.21,NA,NA
3.29,9675,0.27,3.32,NA,NA,0.61,4.3,3.36,9786,1.04,6.86,NA,NA
3.3,9691,0.31,3.34,NA,NA,0.59,4.55,3.37,9802,1.12,11.46,NA,NA
3.31,9707,0.36,3.66,-1.61,3.16,0.58,4.31,3.38,9818,1.11,5.9,NA,NA
3.32,9723,0.36,3.24,NA,NA,0.52,4.34,3.39,9833,1.11,5.9,NA,NA
3.33,9739,0.42,3.25,NA,NA,0.79,4.15,3.4,9849,1.13,7.58,NA,NA
3.34,9755,0.34,3.27,NA,NA,0.59,4.08,3.41,9865,1.15,6.98,NA,NA
3.35,9771,0.46,3.45,NA,NA,NA,NA,3.42,9881,1.18,5.95,NA,NA
3.36,9787,0.33,3.45,-1.52,2.68,0.67,4.32,3.43,9897,1.19,6.22,NA,NA
3.37,9804,0.22,3.05,NA,NA,0.68,4.28,3.44,9913,1.19,7.23,NA,NA
3.38,9820,0.22,3.2,NA,NA,0.86,4.43,3.45,9929,1.19,7.46,NA,NA
3.39,9836,0.17,3.14,NA,NA,0.75,4.23,3.46,9945,1.15,5.92,NA,NA
3.4,9852,0.29,3.42,NA,NA,0.74,4.54,3.47,9961,1.18,7.61,NA,NA
3.41,9868,0.23,3.38,-1.57,2.26,0.56,4.22,3.48,9976,1.16,6.2,NA,NA
3.42,9884,0.28,3.43,NA,NA,0.74,4.34,3.49,9992,1.06,4.15,NA,NA
3.43,9900,0.25,3.25,NA,NA,0.78,4.3,3.5,10008,1.1,4.94,NA,NA
3.44,9916,0.22,3.24,NA,NA,0.85,4.31,3.51,10024,1.18,8.6,NA,NA
3.45,9932,0.2,3.31,NA,NA,0.78,4.29,3.52,10040,1.2,4.83,NA,NA
3.46,9948,0.26,3.36,-1.76,2.6,0.65,4.38,3.53,10056,1.21,10.26,NA,NA
3.47,9964,0.22,3.26,NA,NA,0.85,4.39,3.54,10072,1.19,3.85,NA,NA
3.48,9981,0.28,3.27,NA,NA,0.76,4.33,3.55,10088,1.13,4,NA,NA
3.49,9997,0.2,3.34,NA,NA,0.66,4.34,3.56,10104,1.14,7.11,NA,NA
3.5,10013,0.23,3.16,NA,NA,0.84,4.36,3.57,10120,1.12,8.33,NA,NA
3.51,10029,0.28,3.26,-1.63,2.54,0.69,4.36,3.58,10135,1.14,4.53,NA,NA
3.52,10045,0.19,3.42,NA,NA,0.74,4.41,3.59,10151,1.13,7.04,NA,NA
3.53,10061,0.24,3.34,NA,NA,0.75,4.22,3.6,10167,1.13,4.18,NA,NA
3.54,10077,0.19,3.46,NA,NA,0.83,4.26,3.61,10183,1.17,5.23,NA,NA
3.55,10093,0.02,3.21,NA,NA,0.66,4.39,3.62,10199,1.16,10.29,NA,NA
3.56,10109,0.14,3.54,-1.53,3.18,0.93,4.17,3.63,10215,1.16,6.76,NA,NA
3.57,10125,0.07,3.53,NA,NA,0.76,4.47,3.64,10231,1.14,3.67,NA,NA
3.58,10141,0.31,3.38,NA,NA,0.8,4.25,3.65,10247,1.22,7.31,NA,NA
3.59,10157,0.16,3.38,NA,NA,0.88,4.36,3.66,10263,1.12,3.57,NA,NA
3.6,10174,0.21,3.27,NA,NA,0.74,4.28,3.67,10278,1.16,6.85,NA,NA
3.61,10190,0.26,3.46,-1.74,2.12,0.82,4.35,3.68,10294,1.19,5.32,NA,NA
3.62,10206,0.15,3.43,NA,NA,0.86,4.36,3.69,10310,1.2,5.03,NA,NA
3.63,10222,0.1,3.48,NA,NA,0.84,4.31,3.7,10326,1.3,3.4,NA,NA
3.64,10238,0.31,3.5,NA,NA,0.77,4.3,3.71,10342,1.12,6.41,NA,NA
3.65,10254,0.23,3.72,NA,NA,0.84,4.32,3.72,10358,1.26,4.46,NA,NA
3.66,10270,0.33,3.56,-1.48,3.02,0.82,4.22,3.73,10374,1.25,6.11,NA,NA
3.67,10286,0.16,3.49,NA,NA,0.67,4.28,3.74,10390,1.2,5.84,NA,NA
3.68,10302,0.13,3.39,NA,NA,0.93,4.23,3.75,10406,1.18,4.98,NA,NA
3.69,10318,0.24,3.57,NA,NA,0.67,4.39,3.76,10421,1.2,4.16,NA,NA
3.7,10334,0.28,3.41,NA,NA,0.7,4.36,3.775,10445,1.24,2.46,NA,NA
3.71,10351,0.2,3.34,-1.56,2.42,0.79,4.3,3.785,10461,1.21,1.86,NA,NA
3.72,10367,0.08,3.46,NA,NA,0.78,4.21,3.795,10477,1.31,3.11,NA,NA
3.73,10383,0.26,3.45,NA,NA,0.81,4.27,3.805,10493,1.25,3.6,NA,NA
3.74,10399,0.25,3.75,NA,NA,0.73,4.29,3.815,10509,1.21,3.16,NA,NA
3.75,10415,0.31,3.54,NA,NA,0.72,4.21,3.825,10525,1.22,2.99,NA,NA
3.76,10431,0.31,3.51,-1.57,2.45,0.7,4.31,3.835,10541,1.26,2.15,NA,NA
3.775,10455,0.16,3.47,NA,NA,0.74,4.31,3.845,10557,1.33,1.48,NA,NA
3.785,10471,0.31,3.39,NA,NA,0.86,4.32,3.855,10572,1.19,3.5,NA,NA
3.795,10487,0.12,3.44,NA,NA,0.82,4.23,3.865,10588,1.1,4.21,NA,NA
3.805,10503,0.19,3.52,-1.72,2.16,0.89,4.39,3.875,10604,1.13,4.89,NA,NA
3.815,10519,0.14,3.52,NA,NA,0.84,4.22,3.885,10620,1.14,4.79,NA,NA
3.825,10536,0.3,3.52,NA,NA,0.81,4.46,3.895,10636,1.17,4.71,NA,NA
3.835,10552,0.3,3.64,NA,NA,0.78,4.51,3.905,10652,1.29,4.3,NA,NA
3.845,10568,0.16,3.51,NA,NA,0.63,4.38,3.915,10668,1.17,5.07,NA,NA
3.855,10584,0.16,3.52,-1.63,2.49,0.92,4.42,3.925,10684,1.13,4.78,NA,NA
3.865,10600,0.26,3.58,NA,NA,0.84,4.43,3.935,10700,1.13,5.68,NA,NA
3.875,10616,0.34,3.67,NA,NA,0.77,4.43,3.945,10715,1.12,4.34,NA,NA
3.885,10632,0.23,3.59,NA,NA,0.87,4.38,3.955,10731,1.16,4.66,NA,NA
3.895,10648,0.25,3.63,NA,NA,0.94,4.51,3.965,10747,1.19,3.45,NA,NA
3.905,10664,0.32,3.67,NA,NA,0.66,4.49,3.975,10763,1.2,3.6,NA,NA
3.915,10680,0.26,3.63,NA,NA,0.84,4.54,3.985,10779,1.15,3.29,NA,NA
3.925,10696,0.33,3.72,NA,NA,0.76,4.39,3.995,10795,1.2,3.86,NA,NA
3.935,10712,0.32,3.68,NA,NA,0.66,4.5,4.005,10811,1.29,3.55,NA,NA
3.945,10729,0.31,3.58,NA,NA,0.73,4.4,4.015,10827,1.24,3.6,NA,NA
3.955,10745,0.31,3.76,NA,NA,0.85,4.53,4.025,10843,1.18,4.09,NA,NA
3.965,10761,0.18,3.65,NA,NA,0.86,4.37,4.035,10858,1.17,4,NA,NA
3.975,10777,0.28,3.64,NA,NA,0.86,4.44,4.045,10874,1.15,4.09,NA,NA
3.985,10793,0.31,3.9,NA,NA,NA,NA,4.055,10890,1.1,3.8,NA,NA
3.995,10809,0.3,3.76,NA,NA,0.74,4.28,4.065,10906,1.21,2.9,NA,NA
4.005,10825,0.31,3.87,NA,NA,0.78,4.52,4.075,10922,1.23,3.05,NA,NA
4.015,10841,0.33,3.9,NA,NA,0.78,4.63,4.085,10938,1.23,3.04,NA,NA
4.025,10857,0.28,3.69,NA,NA,0.74,4.43,4.095,10954,1.19,4.58,NA,NA
4.035,10873,0.24,3.68,NA,NA,0.71,4.26,4.105,10970,1.26,2.93,NA,NA
4.045,10889,0.31,3.69,NA,NA,0.73,4.01,4.115,10986,1.25,4.13,NA,NA
4.055,10906,0.4,3.67,NA,NA,0.71,4.4,4.125,11001,1.14,4.78,NA,NA
4.065,10922,0.35,4.28,NA,NA,0.78,4.58,4.135,11017,1.2,3.27,NA,NA
4.075,10938,0.34,3.8,NA,NA,0.75,4.34,4.145,11033,1.2,NA,NA,NA
4.085,10954,0.38,3.92,NA,NA,0.93,4.36,4.155,11049,1.67,NA,NA,NA
4.095,10970,0.34,3.9,NA,NA,0.83,4.4,4.165,11065,1.41,2.46,NA,NA
4.105,10986,0.32,3.88,NA,NA,0.77,4.44,4.175,11081,1.42,5.78,NA,NA
4.115,11002,0.3,3.95,NA,NA,0.76,4.35,4.185,11097,1.28,2.85,NA,NA
4.125,11018,0.19,3.7,NA,NA,0.7,4.26,4.195,11113,1.16,3.38,NA,NA
4.135,11034,0.32,4.01,NA,NA,0.71,4.54,4.205,11129,1.4,1.46,NA,NA
4.145,11050,0.28,3.78,NA,NA,0.72,4.29,4.215,11145,1.58,NA,NA,NA
4.155,11066,0.38,4.17,NA,NA,0.86,4.72,4.225,11160,1.17,3.81,NA,NA
4.165,11082,0.37,3.84,NA,NA,0.83,4.3,4.235,11176,1.13,4.21,NA,NA
4.175,11099,0.37,3.9,NA,NA,0.66,4.35,4.245,11192,1.16,4.32,NA,NA
4.185,11115,0.3,3.89,NA,NA,0.77,4.37,4.255,11208,1.16,4.2,NA,NA
4.195,11131,0.35,4.21,NA,NA,0.73,4.41,4.265,11224,1.27,3.2,NA,NA
4.205,11147,0.44,4.61,NA,NA,0.61,4.48,4.275,11240,1.23,4.13,NA,NA
4.215,11163,0.26,4.49,NA,NA,0.6,4.64,4.285,11256,1.12,4.13,NA,NA
4.225,11179,0.44,4.51,NA,NA,-0.54,NA,4.295,11272,1.13,4.14,NA,NA
4.235,11195,0.38,4.34,NA,NA,0.6,4.5,4.305,11288,1.08,4.28,NA,NA
4.245,11211,0.32,4.35,NA,NA,0.48,4.44,4.315,11303,1.07,4.39,NA,NA
4.255,11227,0.44,4.47,NA,NA,0.6,4.49,4.325,11319,1.18,3.32,NA,NA
4.265,11243,0.34,4.37,NA,NA,0.56,4.54,4.335,11335,1.28,NA,NA,NA
4.275,11259,0.35,4.26,NA,NA,0.62,4.65,4.345,11351,1.18,2.13,NA,NA
4.285,11276,0.27,4.04,NA,NA,0.61,4.47,4.355,11367,1.07,5.69,NA,NA
4.295,11292,0.33,4.01,NA,NA,0.6,4.29,4.365,11383,1.06,4.12,NA,NA
4.305,11308,0.31,3.95,NA,NA,NA,NA,4.375,11399,1.05,NA,NA,NA
4.315,11324,0.38,4.17,NA,NA,NA,NA,4.385,11415,1.05,3.19,NA,NA
4.325,11340,0.26,3.96,NA,NA,0.72,4.41,4.395,11431,1.04,2.85,NA,NA
4.335,11356,0.35,3.88,NA,NA,NA,NA,4.405,11446,1.01,3.21,NA,NA
4.345,11372,0.31,4.02,NA,NA,NA,NA,4.415,11462,0.98,3.34,NA,NA
4.355,11388,0.23,3.94,NA,NA,NA,NA,4.425,11478,0.97,4.83,NA,NA
4.365,11404,0.36,4.04,NA,NA,0.08,4.28,4.435,11494,0.96,4.55,NA,NA
4.375,11420,0.28,3.91,NA,NA,-0.06,4.33,4.445,11510,0.94,4,NA,NA
4.385,11436,0.32,3.76,NA,NA,0.31,4.04,4.455,11526,0.91,4.46,NA,NA
4.395,11452,0.32,3.79,NA,NA,NA,NA,4.465,11542,0.89,NA,NA,NA
4.405,11469,0.27,3.74,NA,NA,NA,NA,4.475,11558,0.92,4.39,NA,NA
4.415,11485,0.32,3.66,NA,NA,0.52,4.28,4.485,11574,0.9,4.61,NA,NA
4.425,11501,0.28,4.11,NA,NA,0.62,4.31,4.495,11589,0.92,4.9,NA,NA
4.435,11517,0.29,3.97,NA,NA,NA,NA,4.505,11605,0.9,4.4,NA,NA
4.445,11533,0.22,4.09,NA,NA,NA,NA,4.515,11621,0.89,4.55,NA,NA
4.455,11549,0.21,3.83,NA,NA,NA,NA,4.525,11637,0.91,4.03,NA,NA
4.465,11565,0.24,3.91,NA,NA,NA,NA,4.535,11653,0.93,4.47,NA,NA
4.475,11581,0.12,3.87,NA,NA,NA,NA,4.545,11669,0.92,4.4,NA,NA
4.485,11597,0.05,4.08,NA,NA,NA,NA,4.555,11685,0.78,4.09,NA,NA
4.495,11613,0.23,3.72,NA,NA,NA,NA,4.565,11701,0.63,3.5,NA,NA
4.505,11629,0.14,3.83,NA,NA,NA,NA,4.575,11717,0.62,3.02,NA,NA
4.515,11646,0.23,3.94,NA,NA,NA,NA,4.585,11732,0.61,2.61,NA,NA
4.525,11662,0.19,4.04,NA,NA,NA,NA,4.595,11748,0.64,2.79,NA,NA
4.535,11678,-0.07,3.65,NA,NA,NA,NA,4.605,11764,0.65,2.67,NA,NA
4.545,11694,0,3.68,NA,NA,NA,NA,4.615,11780,0.69,2.47,NA,NA
4.555,11710,NA,NA,NA,NA,NA,NA,4.625,11796,0.77,3.15,NA,NA
4.565,11726,0.16,4.28,NA,NA,NA,NA,4.635,11812,0.81,4.31,NA,NA
4.575,11742,0.12,3.36,NA,NA,NA,NA,4.645,11828,0.79,4.6,NA,NA
4.585,11758,0.13,3.04,NA,NA,NA,NA,4.655,11844,0.82,4.25,NA,NA
4.595,11774,0.19,2.85,NA,NA,NA,NA,4.665,11860,0.76,4.54,NA,NA
4.605,11790,0.29,2.24,NA,NA,0.66,3.54,4.675,11876,0.71,4.13,NA,NA
4.615,11806,0.23,2.91,NA,NA,NA,NA,4.685,11891,0.74,4.05,NA,NA
4.625,11822,0.26,3.74,NA,NA,NA,NA,4.695,11907,0.79,4.18,NA,NA
4.635,11839,0.28,3.9,NA,NA,NA,NA,4.705,11923,0.8,3.5,NA,NA
4.645,11855,NA,NA,NA,NA,NA,NA,4.715,11939,0.94,5.74,NA,NA
4.655,11871,NA,NA,NA,NA,NA,NA,4.725,11955,0.96,5.15,NA,NA
4.665,11887,NA,NA,NA,NA,NA,NA,4.735,11971,0.99,4.1,NA,NA
4.675,11903,NA,NA,NA,NA,NA,NA,4.745,11987,0.97,3.95,NA,NA
4.685,11919,0.05,3.43,NA,NA,NA,NA,4.755,12003,1,4.44,NA,NA
4.695,11935,0.03,4.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.705,11951,0,4.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.715,11967,0.22,4.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.725,11983,0.2,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.735,11999,0.28,3.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.745,12016,0.35,4.22,NA,NA,0.75,3.81,NA,NA,NA,NA,NA,NA
4.755,12032,0.31,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
