year (AD) [1-1],age (BP) [1-1],depth (cm) [1-1],temperature (degC) [1-1],CoreSect1H (missing) [1-1],Top (missing) [1-1],Bot (missing) [1-1],sumUK37 (missing) [1-1],year (AD) [2-1],age (BP) [2-1],depth (cm) [2-1],CaCO3MAR (g/cm2/yr) [2-1],core (missing) [2-1],section (missing) [2-1],top (missing) [2-1],bot (missing) [2-1],sedRate (missing) [2-1],Corg (missing) [2-1],CaCO3 (missing) [2-1],WetBD (missing) [2-1],EstDryBD (missing) [2-1],bulkMAR (missing) [2-1],CordMAR (missing) [2-1],year (AD) [3-1],age (BP) [3-1],depth (cm) [3-1],BSi (percent) [3-1],year (AD) [4-1],age (BP) [4-1],depth (cm) [4-1],Thalassionema_nitzschioides (percent) [4-1],core_section (missing) [4-1],range (missing) [4-1],Actinocyclus_curvatulus (percent) [4-1],Azpeitia_nodulifer (percent) [4-1],A_tabularis (percent) [4-1],Coscinodiscus_radiatus (percent) [4-1],Delphineis (percent) [4-1],Hemidiscus_cuneiformis (percent) [4-1],Neodenticula_seminae (percent) [4-1],Nitzschia_interruptestriata (percent) [4-1],N_sicula (percent) [4-1],Pseudoeunotia_doliolus (percent) [4-1],Rhizosolenia (percent) [4-1],Roperia_tesselata (percent) [4-1],Stephanopyxis (percent) [4-1],Thalassiosira_excentrica (percent) [4-1],T_oestrupii (percent) [4-1],T_pacifica (percent) [4-1],T_spp (percent) [4-1],Thalassiothrix_longissima (percent) [4-1],Other_planktic (percent) [4-1],Actinoptychus (percent) [4-1],Paralia_sucata (percent) [4-1],Minidiscus? (percent) [4-1],Benthic (percent) [4-1],Freshwater_planktic (percent) [4-1],Reworked (percent) [4-1],total_non_Chaetoceros_counted (missing) [4-1],Chaetoceros_spores (missing) [4-1],Diatoms_per_traverse (missing) [4-1],year (AD) [5-1],age (BP) [5-1],depth (cm) [5-1],Sequoia (percent) [5-1],core_section (missing) [5-1],interval (cm) [5-1],Abies (percent) [5-1],Alnus (percent) [5-1],Artemisia (percent) [5-1],Chenopodiacaeae (percent) [5-1],Compositae (percent) [5-1],Cyperaceae (percent) [5-1],Gramineae (percent) [5-1],Picea (percent) [5-1],Pinus (percent) [5-1],Pseudtsuga (percent) [5-1],Quercus (percent) [5-1],RRA (missing) [5-1],Tsuga_heterophylla (missing) [5-1],T_mertensianna (missing) [5-1],TCT (missing) [5-1],Total_grains_counted (missing) [5-1],pollen_grains/gram (missing) [5-1]
-3570,5520,2.11,10.8,2,60,61,1.49,-3460,5410,2.06,0.838,1H,2,55,56,0.42,1.52,1.87,1.69,1.07,44.82,0.681,-3570,5520,2.11,2.85,-4540,6490,2.57,58.3,1H-2,-1,2.5,NA,1.5,5.9,1.2,0.5,4,1,NA,7.7,0.5,NA,NA,3.5,1.5,2,4,2.2,0.5,0.5,1,1,0.5,0.5,NA,203,80,56,-4630,6580,2.61,10.2,1H-2,-2,4.3,15.1,2.3,0.7,4.9,NA,2,3.6,28.2,2.3,16.4,2.6,3.9,NA,3.6,305,12
-3780,5730,2.21,10.8,2,70,71,1.73,-3550,5500,2.11,0.817,1H,2,60,61,0.44,1.51,1.74,1.69,1.07,46.95,0.709,-3650,5600,2.15,2.85,-4630,6580,2.61,57.1,1H-2,-1,4.5,NA,NA,4.5,2.7,NA,5.7,0.2,NA,7.7,1,NA,1,6,0.5,2.5,4,0.2,0.5,NA,0.5,NA,NA,1.5,NA,202,77,77,-4840,6790,2.71,8.4,1H-2,-2,3.1,15.1,4.1,1.3,1.8,1.3,3.3,6.1,28.1,3.1,10.7,2.8,5.6,NA,5.1,391,10
-3880,5830,2.26,10.7,2,75,76,1.59,-3690,5640,2.17,1.174,1H,2,65,69,0.47,1.49,2.41,1.67,1.04,48.7,0.726,-3740,5690,2.19,2.82,-4840,6790,2.71,52.5,1H-2,-1,4.4,NA,0.5,3.9,1.5,NA,3.9,NA,0.5,9.8,1,NA,1.5,2.9,1,3.4,3.4,2.5,0.5,0.5,0.5,NA,3.4,2.5,NA,204,72,37,-5080,7030,2.82,9.2,1H-2,-2,0.6,16.6,6.5,3.1,3.4,NA,1.5,2.5,26.5,1.8,12.6,2.8,3.4,0.3,9.2,325,2
-3990,5940,2.31,10.8,2,80,81,1.43,-3770,5720,2.21,1.067,1H,2,70,71,0.47,1.51,2.19,1.67,1.04,48.7,0.735,-3820,5770,2.23,2.89,-4970,6920,2.77,62,1H-2,-1,1,0.5,0.5,3.4,1,NA,2.4,0.2,0.2,11.4,2.4,0.5,0.5,2.9,0.5,1.5,2.4,2.9,0.5,1,NA,1,0.5,1,NA,207,70,20,-5270,7220,2.91,8.8,1H-2,-2,1.3,22,4.4,1.3,4.7,0.6,3.8,3.1,25.5,3.1,10.1,3.1,3.5,NA,4.7,318,13
-4100,6050,2.36,10.8,2,85,86,1.28,-3870,5820,2.26,1.022,1H,2,75,76,0.47,1.47,2.13,1.66,1.02,47.97,0.705,-3910,5860,2.27,2.65,-5050,7000,2.81,50,1H-2,-1,6.4,NA,NA,2.5,1.5,NA,0.5,NA,NA,11.3,2.5,NA,0.5,4.4,2,2.5,4.9,4.2,1,1.5,0.5,1.5,1,1.5,NA,203,79,38,-5590,7540,3.06,6.2,1H-3,-2,0.9,24.9,7.2,1.2,3.7,0.3,1.9,0.6,29.9,0.9,11.2,3.7,1.6,NA,5.6,321,5
-4310,6260,2.46,10.4,2,95,96,1.28,-3980,5930,2.31,1.086,1H,2,80,81,0.47,1.46,2.23,1.67,1.04,48.7,0.711,-3990,5940,2.31,2.61,-5160,7110,2.86,50,1H-2,-1,0.9,NA,0.9,3.8,1.4,NA,4,NA,NA,16.3,1.9,NA,1.4,2.4,0.9,1.9,5.7,3.3,0.5,1.4,0.9,0.5,0.5,0.9,0.5,212,77,108,-5690,7640,3.11,7,1H-3,-2,1.6,23,3.5,2.2,5.1,0.3,2.2,3.5,29.1,3.2,10.9,3.5,2.2,NA,2.6,313,8
-4420,6370,2.51,10.2,2,100,101,1.56,-4090,6040,2.36,0.896,1H,2,85,86,0.47,1.44,1.84,1.67,1.04,48.7,0.701,-4080,6030,2.35,2.68,-5370,7320,2.96,43.2,1H-2,-1,4.3,NA,1,7.2,1.7,NA,2.9,NA,NA,12.6,1.9,0.5,3.9,2.4,1,1.9,2.9,5.3,0.5,0.5,0.5,1.4,1.9,1.4,1,207,80,39,-5910,7860,3.21,5.1,1H-3,-2,1,18.8,2.5,1,3.8,1,3.8,3.2,36,2.5,9.2,3.2,5.1,0.3,3.5,314,10
-4540,6490,2.57,9.8,2,106,107,1.24,-4220,6170,2.42,1.138,1H,2,90,94,0.47,1.44,2.27,1.69,1.07,50.15,0.722,-4160,6110,2.39,2.65,-5480,7430,3.01,41.8,1H-3,-1,1.9,NA,1,2.9,2.1,NA,4.3,0.7,0.2,13.8,1,1.4,2.4,5.2,1.4,3.3,4.3,5.7,1,NA,0.5,1.4,1,1.9,1,211,79,26,-6160,8110,3.33,5.9,1H-3,-2,2.9,18.2,4.7,2.1,6.8,0.3,1.2,3.5,32.9,1.2,10.6,2.1,3.5,NA,4.1,340,5
-4630,6580,2.61,10.1,2,110,111,1.26,-4300,6250,2.46,1.002,1H,2,95,96,0.47,1.46,1.97,1.7,1.08,50.88,0.743,-4250,6200,2.43,2.53,-5590,7540,3.06,41.4,1H-3,-1,2.7,NA,1.4,5.5,0.9,NA,3.2,1.1,NA,12.6,2.7,3.2,0.5,4.1,4.6,1.8,2.7,4.1,NA,1.4,NA,0.9,3.7,0.9,0.5,219,75,21,-6330,8280,3.41,9.5,1H-3,-2,4.7,21.2,1.9,2.8,2.2,1.3,3.2,5.4,22.5,3.5,10.1,3.5,3.2,NA,5.1,316,9
-4840,6790,2.71,10.4,2,120,121,1.36,-4410,6360,2.51,1.048,1H,2,100,101,0.47,1.48,2.06,1.7,1.08,50.88,0.753,-4330,6280,2.47,2.48,-5800,7750,3.16,35.4,1H-3,-1,4,0.4,1.3,1.8,NA,NA,3.4,0.4,NA,24.7,0.9,7.6,1.3,1.3,2.2,3.1,5.8,2.5,1.8,NA,NA,0.4,NA,1.3,NA,223,69,357,-6540,8490,3.51,8.2,1H-3,-2,1.6,21.6,2.8,0.9,4.1,0.3,2.5,3.1,33.9,2.2,8.5,3.4,2.2,NA,4.7,319,8
-4970,6920,2.77,10.2,2,126,127,1.62,-4530,6480,2.57,0.972,1H,2,106,106,0.47,1.46,1.91,1.7,1.08,50.88,0.743,-4420,6370,2.51,2.74,-5910,7860,3.21,50,1H-3,-1,1.9,NA,1.4,1.4,0.2,NA,2.9,0.7,NA,14.8,0.5,2.4,1.4,3.3,1.4,3.8,3.3,3.3,1.4,0.5,0.5,1.4,1,2.4,NA,210,83,59,-6650,8600,3.56,8.6,1H-3,-2,0.3,23.1,3.4,0.6,2.2,0.3,0.6,2.8,35.7,1.5,10.8,1.8,NA,0.6,7.7,325,3
-4970,6920,2.77,10.2,2,126,127,1.61,-4620,6570,2.61,0.901,1H,2,110,111,0.47,1.47,1.77,1.7,1.08,50.88,0.748,-4500,6450,2.55,3.21,-6010,7960,3.26,44.8,1H-3,-1,3.7,NA,1.4,1.4,1.6,NA,3,0.9,NA,21.5,1.4,1.4,NA,4.6,0.5,3.2,3.2,3.7,NA,0.9,NA,0.5,0.5,1.8,NA,217,82,76,-6760,8710,3.61,6,1H-3,-2,2.1,24.4,5.1,1.8,3.6,0.3,2.7,4.8,26.5,3.6,12.5,2.1,1.5,NA,3.3,336,13
-5050,7000,2.81,10.7,2,130,131,1.38,-4770,6720,2.68,1.62,1H,2,115,120,0.47,1.53,3.23,1.69,1.07,50.15,0.767,-4590,6540,2.59,2.65,-6120,8070,3.31,50.4,1H-3,-1,2,NA,NA,3.5,0.5,NA,3.2,1,NA,17.6,2,NA,1.5,2,1.5,2,5.5,5.5,0.5,0.5,NA,NA,NA,1,NA,202,80,77,-6970,8920,3.71,5.5,1H-3,-2,1.1,28.5,4.8,2.1,6.4,0.2,2.7,3.9,25.6,2.3,9.8,1.4,3.4,NA,2.3,438,10
-5160,7110,2.86,10.6,2,135,136,1.57,-4830,6780,2.71,0.969,1H,2,120,121,0.47,1.46,1.96,1.68,1.05,49.43,0.722,-4670,6620,2.63,2.78,-6220,8170,3.36,51.4,1H-3,-1,2.6,NA,0.9,4,0.2,NA,3.8,0.9,0.2,11.3,0.4,NA,0.4,2.6,3.1,3.5,2.2,7.1,0.4,NA,NA,0.4,2.6,1.3,0.4,227,80,22,-7310,9260,3.87,7.9,1H-3,-2,0.3,19.5,4.3,1.2,4.6,0.6,1.2,2.7,40.9,1.2,9.1,0.9,1.5,NA,4,328,4
-5370,7320,2.96,10.4,2,145,146,1.61,-4960,6910,2.77,1.169,1H,2,126,127,0.47,1.45,2.33,1.69,1.07,50.15,0.727,-4760,6710,2.67,2.61,-6440,8390,3.46,47.5,1H-3,-1,1.5,NA,1.5,4.5,3.2,NA,4.7,NA,0.5,17.1,0.5,0.5,1,3.5,1,2.5,2.5,3.7,0.5,0.5,NA,NA,2.5,1,NA,202,83,69,-7390,9340,3.91,2.4,1H-3,-2,4.2,26.1,4.8,1.2,6.7,0.6,2.4,3,31.5,0.6,9.1,1.8,1.8,NA,3.6,165,11
-5480,7430,3.01,10.4,3,0,1,1.42,-5040,6990,2.81,1.033,1H,2,130,131,0.47,1.48,2.06,1.69,1.07,50.15,0.742,-4840,6790,2.71,2.45,-6540,8490,3.51,39.7,1H-3,-1,4.4,NA,1,3,1,NA,6.7,1.2,NA,12.4,2.5,2,1.5,5.4,2.5,1,4.9,4,0.5,2.5,1,0.5,1.5,0.5,0.5,202,84,58,-7610,9560,4.01,7.4,1H-3,-2,1.9,25.4,2.9,1.6,5.1,0.3,1.9,4.2,29.3,2.6,9.3,2.6,1.3,NA,4.2,311,13
-5590,7540,3.06,10.9,3,5,6,1.29,-5150,7100,2.86,0.928,1H,2,135,136,0.47,1.48,1.85,1.69,1.07,50.15,0.742,-4930,6880,2.75,2.25,-6650,8600,3.56,47.2,1H-3,-1,1.9,NA,2.9,3.4,0.5,NA,2.9,0.7,0.2,13.9,4.9,5.8,0.5,2.4,0.5,2.9,4.9,3.4,NA,NA,NA,0.5,0.5,NA,NA,206,80,70,-7820,9770,4.11,5.1,1H-3,-2,0.8,26.1,3.2,1.6,5.1,0.8,4,0.8,34,4,7.5,2,2,NA,3.2,253,8
-5780,7730,3.16,10.9,3,15,16,1.29,-5290,7240,2.92,1.302,1H,2,140,144,0.47,1.35,2.56,1.7,1.08,50.88,0.687,-5010,6960,2.79,2.67,-6760,8710,3.61,43.4,1H-3,-1,4.2,NA,1.4,1.8,0.5,NA,6.7,1.6,0.9,19.2,0.9,1.4,0.9,1.8,2.3,2.8,3.7,2.8,0.9,NA,NA,NA,1.4,1.4,NA,217,78,66,-8020,9970,4.21,4.3,1H-3,-2,1,22.2,2.6,2.3,4.6,0.3,2.6,2.3,36.4,2.6,8.9,1.7,4,NA,4,302,14
-5890,7840,3.21,10.6,3,20,21,1.54,-5360,7310,2.96,0.967,1H,2,145,146,0.47,1.4,1.9,1.7,1.08,50.88,0.712,-5100,7050,2.83,2.66,-6970,8920,3.71,39.3,1H-3,-1,4.4,NA,1.8,2.2,0.9,NA,8.2,0.4,0.7,21.3,NA,3.6,0.4,1.3,0.9,3.6,3.6,2.4,0.9,NA,0.4,0.9,1.3,1.3,NA,225,73,107,-8170,10120,4.33,8.4,1H-3,-2,0.3,27.3,6.3,1.8,3.9,NA,2.7,0.9,27.9,1.2,10.8,1.2,0.9,NA,6.3,333,5
-5990,7940,3.26,11.5,3,25,26,1.12,-5470,7420,3.01,1.274,1H,3,0,1,0.47,1.38,2.54,1.69,1.07,50.15,0.692,-5180,7130,2.87,2.33,-7050,9000,3.75,49.8,1H-3,-1,1.9,NA,1,NA,0.7,NA,6,0.7,NA,15.1,0.5,4.3,NA,4.3,1,3.4,3.8,2.6,0.5,0.5,NA,0.5,1.9,1.4,NA,208,69,168,-8270,10220,4.41,4.5,1H-3,-2,1,32.1,5.5,1.3,1.9,0.6,0.6,2.9,30.5,2.3,11,0.6,1.6,NA,3.2,308,12
-6100,8050,3.31,10.8,3,30,31,1.53,-5580,7530,3.06,1.359,1H,3,5,6,0.47,1.43,2.71,1.69,1.07,50.15,0.717,-5270,7220,2.91,2.7,-7160,9110,3.8,50.4,1H-3,-1,1.4,NA,1.4,5.8,0.5,NA,2.2,0.2,NA,13.5,1.4,3.4,1,4.3,1.4,2.4,5.8,2.9,0.5,NA,NA,NA,0.5,1,NA,208,74,47,-8460,10410,4.56,4.8,1H-4,-2,0.3,35.9,2.2,1,5.1,0.3,1,2.6,32.4,2.2,7.1,0.6,1.3,NA,3.2,312,4
-6250,8200,3.36,10.2,3,35,36,1.76,-5740,7690,3.13,1.56,1H,3,11,15,0.47,1.37,3.11,1.69,1.07,50.15,0.687,-5330,7280,2.94,2.36,-7290,9240,3.86,47.1,1H-3,-1,2,NA,1.5,3.9,0.5,0.5,2.7,0.7,NA,19.4,3.4,0.5,1,3.9,2.5,2,1.5,3.2,0.5,0.5,NA,NA,1.5,1.5,NA,204,74,9,-8520,10470,4.61,3.8,1H-4,-2,1.6,32.1,2.5,1.3,3.5,0.6,1.6,6.3,29.6,1.6,7.5,2.5,0.9,NA,4.7,318,13
-6440,8390,3.46,11.3,3,45,46,1.63,-5790,7740,3.16,1.28,1H,3,15,16,0.47,1.45,2.59,1.68,1.05,49.43,0.717,-5570,7520,3.05,2.77,-7480,9430,3.95,40.9,1H-3,-1,3.2,NA,1.6,5.7,0.2,NA,4.3,0.4,0.2,23.5,2,1.6,1.2,2,2,1.6,4.5,3,0.4,NA,NA,NA,0.8,0.8,NA,247,68,53,-8650,10600,4.71,1.8,1H-4,-2,2.7,24.5,2.7,2.4,4.2,0.3,1.5,5.7,40.9,2.4,5.4,1.8,1.2,NA,2.7,335,11
-6540,8490,3.51,11.3,3,50,51,1.73,-5890,7840,3.21,1.189,1H,3,20,21,0.47,1.43,2.37,1.69,1.07,50.15,0.717,-5650,7600,3.09,2.44,-7590,9540,4,37.5,1H-3,-1,3.1,NA,1.3,1.8,0.4,NA,8.2,0.9,NA,20,4.4,NA,0.4,4,6.2,0.9,2.7,2.9,0.9,0.9,NA,0.4,0.9,1.8,0.4,226,80,54,-8800,10750,4.83,3.5,1H-4,-2,0.3,39.2,3.2,2.8,4.1,NA,1.9,0.3,28.2,0.6,7.9,2.5,NA,NA,5.4,316,3
-6650,8600,3.56,11.8,3,55,56,1.43,-6000,7950,3.26,1.645,1H,3,25,26,0.47,1.35,3.28,1.69,1.07,50.15,0.677,-5740,7690,3.13,2.93,-7710,9660,4.06,42.2,1H-3,-1,3.8,NA,0.4,3,0.9,NA,6.4,1.5,NA,17.1,3.8,3.8,0.4,4.3,3,1.3,1.7,3.4,NA,NA,NA,NA,0.9,2.1,NA,235,70,19,-8900,10850,4.91,4.6,1H-4,-2,2.6,31,1.3,0.7,4.2,1.6,4.9,3.3,26.5,2.3,11.1,0.3,2,0.3,3.3,306,18
-6760,8710,3.61,11.3,3,60,61,1.54,-6110,8060,3.31,1.384,1H,3,30,31,0.47,1.34,2.8,1.68,1.05,49.43,0.662,-5820,7770,3.17,2.98,-7800,9750,4.1,36.5,1H-3,-1,1.8,NA,NA,2.3,0.9,NA,NA,0.7,NA,22,12.8,0.9,NA,1.8,4.6,2.8,5,4.6,0.9,NA,NA,0.5,0.9,0.9,NA,218,79,54,-9060,11010,5.01,7,1H-4,-2,0.2,41.4,3.3,1.5,4.6,0.4,2.9,0.7,21.7,0.2,7.7,2.2,0.4,0.2,5.5,456,7
-6970,8920,3.71,11.6,3,70,71,1.47,-6210,8160,3.36,1.6,1H,3,35,36,0.47,1.32,3.19,1.69,1.07,50.15,0.662,-5910,7860,3.21,2.71,-8010,9960,4.2,40.3,1H-3,-1,2.7,NA,1.9,2.7,2.3,NA,1.3,0.4,NA,18.2,3.8,4.6,NA,3.8,1.9,1.5,6.9,3.1,0.4,0.8,NA,0.8,1.5,1.1,NA,262,72,33,-9140,11090,5.06,3.5,1H-4,-2,0.6,48.7,4.1,1.2,4.6,0.3,2.3,1.7,20.9,0.3,7.2,0.3,0.9,0.6,2.9,345,9
-6970,8920,3.71,11.8,3,70,71,1.46,-6360,8310,3.43,2.663,1H,3,40,45,0.47,1.36,5.31,1.69,1.07,50.15,0.682,-5990,7940,3.25,2.43,-8080,10030,4.26,40.8,1H-3,-1,1.8,NA,0.9,4.1,0.7,NA,1.1,1.8,0.2,13.5,1.1,0.5,1.8,6.4,2.3,5,7.3,4.4,0.5,0.9,0.5,0.9,0.5,1.8,0.9,218,82,33,-9640,11590,5.37,4.2,1H-4,-2,0.6,53.7,4,1.4,4.2,0.3,1.1,1.4,17.2,1.1,5.4,0.3,0.8,NA,4.2,354,3
-7080,9030,3.76,11.7,3,75,76,1.47,-6430,8380,3.46,2.011,1H,3,45,46,0.47,1.37,4.01,1.69,1.07,50.15,0.687,-6080,8030,3.29,2.38,-8210,10160,4.36,50.6,1H-3,-1,NA,NA,2.5,4,3.2,NA,2.7,1.7,0.2,11,2.5,NA,2,3.5,2.5,1,3.5,3.5,0.5,1.5,NA,NA,2,1,0.5,201,81,14,-10360,12310,5.82,NA,1H-4,-2,2,31,6,1,1,1,2,4,30,1,4,8,4,NA,4,246,7
-7180,9130,3.81,11.7,3,80,81,1.56,-6530,8480,3.51,1.928,1H,3,50,51,0.47,1.37,3.9,1.68,1.05,49.43,0.677,-6160,8110,3.33,2.48,-8260,10210,4.4,40.9,1H-3,-1,2.6,NA,0.9,5.6,0.6,NA,2.8,1.7,NA,10.6,3.9,0.4,NA,4.8,2.6,2.6,4.8,3.9,1.3,1.7,NA,1.3,2.2,4.3,0.4,231,82,150,-10750,12700,6.06,NA,1H-5,-2,4,11,3,NA,3,NA,1,7,47,6,3,4,8,NA,4,266,3
-7310,9260,3.87,11.5,3,86,87,1.72,-6640,8590,3.56,1.952,1H,3,55,56,0.47,1.39,3.95,1.68,1.05,49.43,0.687,-6250,8200,3.37,2.21,-8380,10330,4.5,48.5,1H-4,-1,3.1,NA,NA,4.4,0.9,NA,1.8,4.2,0.2,0.9,0.9,0.4,0.4,8.4,6.6,2.2,7.5,5.1,0.4,1.3,NA,0.4,0.9,1.3,NA,226,83,23,-11180,13130,6.33,NA,1H-5,-2,6,21,8,2,2,NA,NA,13,30,1,5,3,1,NA,7,216,2
-7420,9370,3.92,11.9,3,90,91,1.58,-6750,8700,3.61,2.055,1H,3,60,61,0.47,1.34,4.22,1.67,1.04,48.7,0.653,-6330,8280,3.41,2.7,-8450,10400,4.55,48.5,1H-4,-1,3.1,NA,NA,4.4,0.9,NA,1.8,4.2,0.2,0.9,0.9,0.4,0.4,8.4,6.6,2.2,7.5,5.1,0.4,1.3,NA,0.4,0.9,1.3,NA,54,83,39,-11560,13510,6.56,NA,1H-5,-2,6,19,5,2,3,1,2,13,27,2,2,1,6,NA,11,262,3
-7610,9560,4.01,11.8,3,100,101,1.81,-6880,8830,3.67,2.71,1H,3,65,69,0.47,1.39,5.65,1.66,1.02,47.97,0.667,-6420,8370,3.45,2.4,-8570,10520,4.65,39.9,1H-4,-1,3.5,NA,1.2,6.9,1.2,NA,1.2,2.9,1.2,NA,2.3,NA,NA,8.1,5.8,2.3,19.7,2.9,NA,NA,NA,NA,1.2,NA,NA,87,75,116,-12060,14010,6.87,1,1H-5,-2,1,26,3,NA,2,NA,1,13,37,2,2,NA,7,NA,6,254,2
-7710,9660,4.06,11.1,3,106,107,1.91,-6960,8910,3.71,1.679,1H,3,70,71,0.47,1.41,3.5,1.66,1.02,47.97,0.676,-6500,8450,3.49,2.66,-8630,10580,4.7,67.2,1H-4,-1,NA,NA,1.6,1.6,NA,NA,NA,3.3,NA,NA,1.6,NA,NA,4.9,3.3,NA,8.2,1.6,NA,1.6,NA,NA,3.3,1.6,NA,61,82,37,-12780,14730,7.32,1,1H-5,-2,1,26,10,3,7,1,5,3,30,NA,1,1,4,NA,7,250,2
-7820,9770,4.11,12.7,3,110,111,1.77,-7070,9020,3.76,1.641,1H,3,75,76,0.47,1.43,3.37,1.67,1.04,48.7,0.696,-6590,8540,3.53,2.79,-8710,10660,4.76,56.8,1H-4,-1,NA,NA,NA,1,1,NA,2.1,1.6,NA,NA,4.2,NA,1,8.3,1,3.1,8.3,5.2,NA,NA,NA,1,3.1,NA,2.1,96,71,26,-10150,12100,5.69,1.3,E2H-1,-2,3.1,20.1,4.5,0.9,3.6,0.5,0.5,13,36.6,0.5,4,0.5,9.8,NA,1.3,224,9
-8020,9970,4.21,12.8,3,120,121,1.45,-7170,9120,3.81,1.899,1H,3,80,81,0.47,1.42,3.9,1.67,1.04,48.7,0.692,-6670,8620,3.57,2.81,-8770,10720,4.81,55.5,1H-4,-1,1.2,NA,1.2,1.2,NA,NA,NA,3.5,NA,1.2,1.2,NA,NA,3.5,4.6,6.9,8.1,2.9,NA,2.3,NA,1.2,4.6,1.2,NA,87,75,43,-10560,12510,5.94,2.2,E2H-1,-2,NA,12.9,19.1,4,12.4,0.4,5.8,4,29.3,NA,4,0.9,3.1,0.4,1.3,225,7
-8100,10050,4.27,13.2,3,126,127,1.34,-7300,9250,3.87,1.905,1H,3,86,87,0.47,1.45,3.97,1.66,1.02,47.97,0.696,-6760,8710,3.61,2.67,-8820,10770,4.85,52.1,1H-4,-1,NA,NA,2.8,1.4,NA,NA,2.8,0.7,0.7,NA,NA,1.4,1.4,8.5,4.2,NA,9.9,2.8,1.4,NA,NA,5.6,1.4,2.8,NA,71,79,47,-10960,12910,6.19,1.6,E2H-1,-2,0.5,6.8,22.6,1.6,14.7,0.5,5.3,3.7,34.2,NA,3.7,NA,2.6,1.1,1.1,190,4
-8220,10170,4.37,11.6,3,136,137,1.95,-7420,9370,3.92,1.641,1H,3,90,94,0.47,1.48,3.42,1.66,1.02,47.97,0.71,-6840,8790,3.65,2.75,-8880,10830,4.9,58.7,1H-4,-1,NA,NA,1.4,NA,NA,NA,NA,4.3,NA,NA,13,NA,NA,11.6,NA,NA,4.3,3.6,NA,NA,NA,NA,NA,2.9,NA,69,80,29,-11360,13310,6.44,1.4,E2H-2,-2,0.9,10.3,20.2,1.4,13.2,0.5,4.7,2.4,24.4,NA,9.4,1.4,2.4,0.9,6.6,213,2
-8270,10220,4.41,12,3,140,141,1.7,-7490,9440,3.96,1.295,1H,3,95,96,0.47,1.53,2.7,1.66,1.02,47.97,0.734,-6930,8880,3.69,3.04,-9040,10990,5,56.3,1H-4,-1,1,NA,1.9,1,1.9,NA,NA,4.9,NA,NA,NA,NA,NA,12.6,1.9,1.9,4.9,2.9,3.9,1,NA,2.9,NA,1,NA,103,70,50,-11760,13710,6.69,1.9,E2H-2,-2,1,9.1,15.4,0.5,12,0.5,3.4,6.3,39.9,NA,4.3,0.5,3.9,0.5,1,208,3
-8400,10350,4.51,11.9,4,0,1,2.15,-7600,9550,4.01,2.075,1H,3,100,101,0.47,1.56,4.26,1.67,1.04,48.7,0.76,-7010,8960,3.73,3.01,-9120,11070,5.05,59.4,1H-4,-1.1,NA,NA,2.1,2.1,2.1,NA,2.1,1,NA,NA,10.4,NA,NA,12.5,NA,NA,2.1,NA,NA,NA,NA,NA,2.1,4.2,NA,48,68,9,-12170,14120,6.94,0.9,E2H-2,-2,0.4,4.4,11.5,1.3,7.5,0.9,3.5,4.4,47.1,0.9,3.5,0.9,9.3,1.3,2.2,227,4
-8450,10400,4.55,11.9,4,5,6,2.11,-7720,9670,4.07,2.131,1H,3,106,107,0.47,1.51,4.51,1.65,1.01,47.25,0.713,-7100,9050,3.77,2.81,-9200,11150,5.1,58.3,1H-4,-1,1.7,NA,NA,1.7,0.8,NA,NA,0.8,NA,NA,8.3,NA,1.7,5,3.3,NA,8.3,1.7,1.7,NA,NA,1.7,3.3,NA,1.7,60,70,14,-12570,14520,7.19,0.4,E2H-2,-2,1.3,5.7,18,NA,10.1,NA,4.4,6.1,38.6,0.9,3.1,0.9,7,1.8,1.8,228,6
-8570,10520,4.65,11.6,4,15,16,2.15,-7810,9760,4.11,1.908,1H,3,110,111,0.51,1.58,3.84,1.63,0.97,49.69,0.785,-7180,9130,3.81,2.8,-9360,11310,5.2,44.4,1H-4,-1,0.9,NA,NA,0.9,3.1,NA,NA,5.3,0.4,NA,NA,NA,0.9,8,5.3,2.7,16,1.3,0.9,NA,NA,8,0.9,NA,0.9,113,69,24,-12970,14920,7.44,1,E2H-2,-2,2,4.9,12.7,2.9,5.9,NA,NA,6.9,40.2,2,2.9,NA,12.7,2.9,3,102,4
-8630,10580,4.7,11.7,4,20,21,2.53,-7980,9930,4.18,2.796,1H,3,115,120,0.58,1.5,4.87,1.64,0.99,57.41,0.861,-7270,9220,3.85,2.45,-9460,11410,5.26,55.3,1H-4,-1,2.4,NA,NA,NA,3.5,NA,NA,1.2,1.2,NA,2.4,NA,NA,9.4,2.4,NA,NA,3.5,2.4,NA,NA,4.7,2.4,9.4,NA,43,87,36,-13330,15280,7.66,1,E2H-2,-2,1,3,21,NA,6,NA,1,5,47,NA,4,NA,5,1,5,100,2
-8710,10660,4.76,11.3,4,26,27,2.23,-8010,9960,4.21,1.956,1H,3,120,121,0.64,1.59,3.04,1.65,1.01,64.34,1.023,-7350,9300,3.89,2.85,-9620,11570,5.36,53.2,1H-4,-1,2.8,NA,NA,NA,2.1,NA,NA,3.5,NA,NA,2.8,NA,2.8,8.5,1.4,NA,4.3,8.5,1.4,2.8,NA,2.8,1.4,1.4,NA,71,81,54,-13730,15680,7.91,2,E2H-3,-2,1,7,29,1,14,1,5,4,26,NA,2,1,4,NA,4,101,3
