year (AD),age (BP),depth (m),temperature (degC),C370x3A4 (percent),C26OH0x2F0x28C26OH0x2BC290x29 (missing)
-99200,101150,18.57,18.85,0.04,67.82
-99530,101480,18.6,18.81,0.18,68.09
-99830,101780,18.63,18.72,0.11,69.22
-100160,102110,18.66,18.88,0.08,68.69
-100410,102360,18.69,18.49,0.04,70
-100710,102660,18.72,18.56,0.06,70.25
-100980,102930,18.75,18.44,0.14,68.44
-101290,103240,18.78,18.7,0.07,68.38
-101600,103550,18.81,18.8,0.07,67.93
-101920,103870,18.84,19.02,0.04,69.38
-102190,104140,18.87,18.58,0.11,65.95
-102440,104390,18.9,18.54,0.13,64.37
-102680,104630,18.93,18.73,0.17,67.12
-103020,104970,18.96,16.43,0.93,62.07
-103290,105240,18.99,14.96,1.39,64.83
-103460,105410,19.02,15.07,1.28,63.97
-103580,105530,19.05,14.66,1.77,62.58
-103690,105640,19.08,14.98,1.29,64.25
-103800,105750,19.11,15.31,1.43,66.32
-103930,105880,19.14,15.54,0.92,67.49
-104050,106000,19.17,15.77,1.13,68.55
-104300,106250,19.2,18.17,0.06,69.07
-104470,106420,19.23,17.66,0,67.96
-104670,106620,19.26,18.76,0.15,68.3
-104840,106790,19.29,18.3,0.03,70.04
-105060,107010,19.32,17.19,0.55,67.95
-105280,107230,19.35,17.81,0.2,69.67
-105500,107450,19.38,18.09,0.24,71.05
-105760,107710,19.41,18.04,0.38,68.34
-106040,107990,19.44,17.4,0.59,67.92
-106310,108260,19.47,17.63,0.51,70.33
-106710,108660,19.5,16.71,0.61,63.29
-107240,109190,19.53,14.58,1.65,66.99
-107770,109720,19.56,13.68,3.13,62.75
-108230,110180,19.59,13.96,2.84,61.94
-108680,110630,19.62,14.25,2.57,64.76
-109110,111060,19.65,15.95,0.49,71.61
-109420,111370,19.68,14.84,0.77,69.54
-109890,111840,19.71,16.97,0.02,72.5
-110180,112130,19.74,17,0.03,73.98
-110370,112320,19.77,17.09,0.03,70.69
-110560,112510,19.8,17.06,0.01,73.95
-110740,112690,19.83,17.22,0.01,72.73
-110930,112880,19.86,17.26,0.01,75.06
-111150,113100,19.89,17.32,0.05,73.87
-111360,113310,19.92,17.43,0.04,74.18
-111540,113490,19.95,17.68,0.01,73.94
-111700,113650,19.98,17.46,0.04,74.69
-111850,113800,20.01,17.88,0.07,72.56
-112000,113950,20.04,17.64,0.04,72.84
-112120,114070,20.07,17.6,0.03,72.72
-112270,114220,20.1,17.94,0.08,71.2
-112450,114400,20.13,18.17,0.06,70.19
-112650,114600,20.16,18.05,0.11,69.25
-112900,114850,20.19,17.92,0.05,70.8
-113160,115110,20.22,18.08,0.09,70.62
-113520,115470,20.25,18.02,0.01,69.52
-114010,115960,20.28,18.23,0.14,70.25
-114630,116580,20.31,18.4,0.01,71.27
-115100,117050,20.34,18.65,0.16,71
-116050,118000,20.37,18.65,0.04,68.83
-116220,118170,20.4,18.83,0.08,65.45
-116370,118320,20.43,19.08,0,65.22
-116520,118470,20.46,18.76,0.01,65.78
-116680,118630,20.49,18.63,0.02,65.37
-116890,118840,20.52,19.17,0,62.79
-117130,119080,20.55,19.39,0.12,63.48
-117390,119340,20.58,19.51,0.02,63.09
-117650,119600,20.61,19.55,0.04,62.95
-117920,119870,20.64,19.32,0.04,63.15
-118240,120190,20.67,19.44,0.05,64.02
-118600,120550,20.7,19.28,0.05,70.37
-118990,120940,20.73,19.98,0.19,62.32
-119350,121300,20.76,20.2,0.24,58.2
-119660,121610,20.79,19.92,0.02,62.27
-119920,121870,20.82,20.29,0.05,60.4
-120160,122110,20.85,20.12,0.07,60.33
-120410,122360,20.88,20.36,0.12,58.9
-120680,122630,20.91,20.19,0.07,64.01
-120960,122910,20.94,20.5,0.2,56.93
-121250,123200,20.97,20.6,0.26,62.26
-121530,123480,21,20.76,0.45,62.18
-121800,123750,21.03,20.56,0.18,62.98
-122070,124020,21.06,20.63,0.2,65.52
-122330,124280,21.09,20.72,0.13,60.76
-122570,124520,21.12,20.72,0.01,63.91
-122780,124730,21.15,20.4,0.01,65.02
-122970,124920,21.18,20.59,1.45,62.42
-123130,125080,21.21,20.28,0.04,62.56
-123290,125240,21.24,20.39,0.06,57.53
-123450,125400,21.27,20.45,0,63.85
-123650,125600,21.3,19.71,0.06,59.52
-123900,125850,21.33,19.28,0.25,60.69
-124230,126180,21.36,18.55,0.42,62.37
-124670,126620,21.39,20.1,0.07,64.23
-125190,127140,21.42,19.82,0.04,64.05
-125680,127630,21.45,13.91,2,66.45
-126040,127990,21.48,14.3,1.79,65.39
-126240,128190,21.51,13.61,2.02,64.83
-126330,128280,21.54,13.79,1.93,66.78
-126420,128370,21.6,13.47,2.43,71.74
-126530,128480,21.63,12.46,3.79,68.3
-126750,128700,21.66,15.15,1.93,68.61
-127080,129030,21.69,10.98,5.49,67.53
-127440,129390,21.72,11.18,6.96,66.78
-127760,129710,21.75,10.95,7.4,68.13
-128030,129980,21.78,12.46,5.14,70.71
-128250,130200,21.81,13.85,2.9,68.21
-128410,130360,21.84,13.99,2.38,68.88
-128550,130500,21.87,12.93,3.25,68.64
-128670,130620,21.9,12.27,3.99,65.45
-128800,130750,21.93,11.67,4.04,67.91
-128950,130900,21.96,11.15,4.9,69.54
-129100,131050,21.99,11.32,5,70.8
-129240,131190,22.02,13.71,2.71,72.87
-129380,131330,22.05,14.33,1.89,73.17
-129520,131470,22.08,14.61,1.13,72.92
-129650,131600,22.11,14.48,0.92,72.62
-129770,131720,22.14,14.52,0.87,74.12
-129900,131850,22.17,14.65,0.93,74.54
-130020,131970,22.2,14.34,1.87,74.66
-130150,132100,22.23,14.54,1.76,74.2
-130280,132230,22.26,14.54,1.45,74.51
-130410,132360,22.29,15.19,0.79,74.32
-130530,132480,22.32,15.18,0.92,73.7
-130660,132610,22.35,14.74,1.04,75.1
-130790,132740,22.38,14.62,1.15,74.72
-130910,132860,22.41,14.28,1.29,74.98
-131040,132990,22.44,13.62,2.25,74.12
-131170,133120,22.47,15.08,0.79,75.29
-131300,133250,22.5,15.06,1.16,76.02
-131420,133370,22.53,14.81,0.82,72.83
-131550,133500,22.56,14.98,0.66,74.82
-131680,133630,22.59,15.15,0.71,75.6
-131810,133760,22.62,15.11,0.71,73.39
-131930,133880,22.65,14.87,0.75,74.63
-132060,134010,22.68,14.9,0.67,74
-132190,134140,22.71,14.99,0.7,73.43
-132310,134260,22.74,14.62,0.82,74.52
-132440,134390,22.77,15.05,0.76,72.28
-132570,134520,22.8,14.76,0.71,71.77
-132700,134650,22.83,14.69,0.42,73.23
-132820,134770,22.86,13.51,1.56,69.35
-132950,134900,22.89,14.53,1.01,71.42
-133080,135030,22.92,14.31,1.4,71.97
-133210,135160,22.95,14.7,0.84,70.98
-133330,135280,22.98,13.83,1.29,71.84
-133460,135410,23.01,13.52,1.96,73.33
-133590,135540,23.04,14.46,0.89,72.56
-133710,135660,23.07,15.04,0.53,71.34
-133840,135790,23.1,14.22,1.59,70.79
-133970,135920,23.13,14.33,1.11,70.92
-134100,136050,23.16,12.59,2.12,66.9
-134220,136170,23.19,12.18,2.99,65.26
-134350,136300,23.22,11.75,2.97,66.77
-134480,136430,23.25,12.13,3.13,69.44
-134610,136560,23.28,12.08,3.83,70.11
-134730,136680,23.31,13.66,1.72,69.76
-134860,136810,23.34,13.77,1.82,73.19
-134990,136940,23.37,14.77,1.94,69.7
-135120,137070,23.4,13.11,2.82,67.78
-135240,137190,23.43,11.25,3.37,69.97
-135370,137320,23.46,11,3.76,69.38
-135490,137440,23.49,9.36,7.68,71.57
-135610,137560,23.52,14,1.77,72.91
-135730,137680,23.55,13.85,3.16,71.25
-135860,137810,23.58,14.21,1.83,70.4
-136010,137960,23.61,13.01,3.16,68.2
-136180,138130,23.64,11.18,6.16,65.5
-136390,138340,23.67,10.29,7.38,70.67
-136650,138600,23.7,9.32,8.18,69.08
-136940,138890,23.73,9.77,7.11,69.56
-137270,139220,23.76,11.68,4.53,65.03
-137650,139600,23.79,10.91,6.13,69.07
-138110,140060,23.82,11.09,6.04,68.94
-138690,140640,23.85,9.89,8.64,66
-139420,141370,23.88,11,7.35,65.16
-140290,142240,23.91,8.07,11.17,70.07
-141260,143210,23.94,7.57,13.25,72.52
-142240,144190,23.97,9.23,10.2,66.4
-143160,145110,24,8.45,10.65,66.05
-143980,145930,24.03,8.64,7.86,69.55
-144690,146640,24.06,9.03,8.34,67.16
-145270,147220,24.09,8.52,9.13,54.12
-145750,147700,24.12,9.25,7.8,70.26
-146120,148070,24.15,9.08,8.27,65.82
-146400,148350,24.18,11.17,4.52,68.88
-146610,148560,24.21,9.99,6.48,70.55
-146790,148740,24.24,12.94,3.5,68.07
-146950,148900,24.27,12.3,3.72,67.45
-147110,149060,24.3,11.5,4.06,69.34
-147270,149220,24.33,12.78,3.13,70.24
-147440,149390,24.36,13.24,2.55,71.12
-147610,149560,24.39,12.44,3.14,70.53
-147810,149760,24.42,13.71,2.13,71.84
-148050,150000,24.45,14.78,1.17,69.28
-148340,150290,24.48,14.94,1.28,69.89
-148670,150620,24.51,11.78,3.38,66.66
-149010,150960,24.54,14.39,1.34,69.76
-149300,151250,24.57,13.47,3.74,68.33
-149550,151500,24.6,14.54,1.25,71.75
-149780,151730,24.63,15.13,0.8,71
-150040,151990,24.66,15.37,0.78,73.69
-150400,152350,24.69,14.95,0.91,72.12
-150880,152830,24.72,14.93,1.21,72
-151470,153420,24.75,13.41,2.71,67.61
-152080,154030,24.78,15.07,1.29,66.93
-152630,154580,24.81,14.48,1.14,73.62
-153100,155050,24.84,14.55,1.18,73.73
-153470,155420,24.87,14.74,1.16,73.02
-153780,155730,24.9,14.63,1.16,73.45
-154080,156030,24.93,14.67,1.02,72.13
-154390,156340,24.96,14.5,1.1,72.98
-154720,156670,24.99,14.26,1.29,74.76
-155090,157040,25.02,15.06,0.74,72.64
-155470,157420,25.05,14.92,0.92,72.15
-155830,157780,25.08,14.86,1.99,70.39
-156160,158110,25.11,15.12,1,71.48
-156430,158380,25.14,15.36,1.03,72.13
-156650,158600,25.17,15.32,1.19,71.14
-156820,158770,25.2,15.42,1.09,70.19
-156970,158920,25.23,15.24,1.21,71.1
-157170,159120,25.26,15.44,1.14,69.72
-157480,159430,25.29,15.56,0.89,65.69
-158020,159970,25.32,14.6,1.84,67.32
-158840,160790,25.35,14.86,2.23,64.47
-160000,161950,25.38,12.84,3.81,66.38
-161420,163370,25.41,13.57,3.06,67.93
-162960,164910,25.44,15.16,1.36,68.57
-164430,166380,25.47,13.47,2.8,65.86
-165680,167630,25.5,12.18,4.8,64.63
-166660,168610,25.53,13.76,2.42,65.8
-167370,169320,25.56,14.28,2.17,61.52
-167920,169870,25.59,13.51,3,68.46
-168390,170340,25.62,15.14,1.3,66.05
-168880,170830,25.65,15.01,1.66,62.31
-169440,171390,25.68,14.77,2,66.58
-170090,172040,25.71,14.65,2.13,62.46
-170790,172740,25.74,11.43,4.97,65.54
-171490,173440,25.77,11.81,4.63,63.63
-172120,174070,25.8,12.48,3.98,64.75
-172640,174590,25.83,14,3,63.58
-173030,174980,25.86,13.87,3.97,61.92
-173330,175280,25.89,14.2,2.3,64.49
-173560,175510,25.92,14.19,3.75,66.58
-173760,175710,25.95,15.12,2.4,68.72
-173960,175910,25.98,13.75,3.44,66.6
-174190,176140,26.01,15.33,1.74,67.54
-174450,176400,26.04,13.61,3.44,65.42
-174750,176700,26.07,14.24,2.21,65.13
-175080,177030,26.1,11.71,4.42,70.53
-175440,177390,26.13,11.29,5.12,71.69
-175790,177740,26.16,13.59,2.63,70.61
-176110,178060,26.19,14.66,1.79,71.32
-176390,178340,26.22,14.96,1.46,69.2
-176620,178570,26.25,14.93,1.55,71.9
-176840,178790,26.28,14.84,1.73,72.55
-177050,179000,26.31,15,1.44,72.84
-177280,179230,26.34,15.3,1.47,72.53
-177550,179500,26.37,14.7,1.75,73.27
-177880,179830,26.4,15.2,1.43,71.09
-178290,180240,26.43,14.92,1.78,73.4
-178770,180720,26.46,15,1.43,73.18
-179310,181260,26.49,15.19,1.44,71.85
-179860,181810,26.52,14.99,2.15,73.39
-180380,182330,26.55,15.21,1.52,73.64
-180850,182800,26.58,15.21,1.67,73.76
-181250,183200,26.61,15.32,1.35,74.1
-181600,183550,26.64,15.11,1.93,70.46
-181900,183850,26.67,15.84,0.99,74.55
-182170,184120,26.7,15.59,1.34,76.25
-182400,184350,26.73,15.47,2.01,74.97
-182620,184570,26.76,15.93,1.07,74.61
-182840,184790,26.79,16.13,1,75.29
-183080,185030,26.82,17.09,0.49,72.7
-183340,185290,26.85,16.25,1.93,75.7
-183630,185580,26.88,17.51,0.6,72.95
-183930,185880,26.91,17.2,0.64,72.76
-184250,186200,26.94,18.36,0.59,70.67
-184560,186510,26.97,17.97,0.62,69.48
-184890,186840,27,17,1.01,68.26
-185250,187200,27.03,16.19,2.03,64.56
-185660,187610,27.06,14.81,3.53,64.5
-186120,188070,27.09,13.86,5.59,65.14
-186590,188540,27.12,14.22,5.69,64.24
-187010,188960,27.15,14.45,4.42,64.77
-187370,189320,27.18,15.75,2.24,65.35
-187640,189590,27.21,16.19,1.58,53.58
-187860,189810,27.24,16.3,1.44,66.05
-188060,190010,27.27,17.4,1.18,70.4
-188250,190200,27.3,17.48,0.93,63
-188450,190400,27.33,16.6,1.73,61.3
-188690,190640,27.36,16.62,1.76,57.77
-188960,190910,27.39,16.32,3.01,61.7
-189260,191210,27.42,14.99,3.43,66.37
-189590,191540,27.45,17.56,0.52,62.55
-189440,191390,16.88,16.95,2.01,70.15
-190070,192020,16.9,18.44,0.11,66.84
-190710,192660,16.92,17.77,1.2,70.41
-191380,193330,16.94,18.49,0.07,66.79
-192050,194000,16.96,18.28,0.17,57.82
-192680,194630,16.98,18.78,0.16,64.52
-193240,195190,17,18.61,0.06,64.1
-193730,195680,17.02,18.38,0.17,67.76
-194170,196120,17.04,18.53,0.31,67.11
-194580,196530,17.06,18.51,0.04,66.21
-194980,196930,17.08,18.45,0.1,67.06
-195380,197330,17.1,18.2,0.14,66.25
-195800,197750,17.12,18.19,0.22,66.85
-196270,198220,17.14,17.94,0.23,68.53
-196850,198800,17.16,16.8,0.44,64.15
-197590,199540,17.18,16.45,0.82,61.84
-198530,200480,17.2,16.57,0.79,63.53
-199580,201530,17.22,16.06,0.9,64.61
-200530,202480,17.24,16.49,0.48,63.16
-201230,203180,17.26,16.87,0.38,67.65
-201670,203620,17.28,16.56,0.26,69.96
-201970,203920,17.3,17.07,0.17,70.13
-202180,204130,17.32,17.26,0.11,69.33
-202350,204300,17.34,17.72,0.2,69.25
-202490,204440,17.36,17.38,0.16,70.39
-202630,204580,17.38,17.44,0.26,68.56
-202770,204720,17.4,17.46,0.08,70.09
-202960,204910,17.42,17.49,0.14,70.65
-203210,205160,17.44,17.63,0.05,66.01
-203540,205490,17.46,17.49,0.12,70.04
-203950,205900,17.48,17.94,0.1,67.73
-204390,206340,17.5,18,0.11,69.15
-204800,206750,17.52,18.4,0.1,67.64
-205150,207100,17.54,18.56,0.02,69.81
-205430,207380,17.56,18.35,0.09,68.19
-205660,207610,17.58,18.36,0.06,66.14
-205890,207840,17.6,18.05,0.1,68.97
-206120,208070,17.62,18.46,0.07,69.02
-206370,208320,17.64,18.5,0.13,61.04
-206640,208590,17.66,18.48,0.05,66.42
-206940,208890,17.68,18.37,0.05,66.95
-207290,209240,17.7,18.56,0.06,67.37
-207680,209630,17.72,18.65,0.06,66.51
-208110,210060,17.74,18.83,0.03,69.43
-208560,210510,17.76,18.63,0.06,64.62
-209030,210980,17.78,18.81,0.05,66.4
-209470,211420,17.8,18.84,0.06,63.34
-209890,211840,17.82,18.69,0.07,65.08
-210280,212230,17.84,18.74,0.08,65.11
-210640,212590,17.86,18.91,0.05,65.13
-210960,212910,17.88,19,0.07,61.05
-211260,213210,17.9,18.97,0.12,63.33
-211540,213490,17.92,19.19,0.14,62.85
-211800,213750,17.94,19.11,0.1,63.65
-212060,214010,17.96,19.12,0.08,61.62
-212300,214250,17.98,19.24,0.11,63.22
-212540,214490,18,19.14,0.14,56.44
-212770,214720,18.02,19.23,0.14,64.67
-213000,214950,18.04,19,0.11,65.71
-213210,215160,18.06,19.05,0.15,66.41
-213410,215360,18.08,19.14,0.06,65.03
-213590,215540,18.1,18.96,0.09,66.4
-213760,215710,18.12,19.07,0.08,64.73
-213930,215880,18.14,18.93,0.13,63.99
-214100,216050,18.16,19.2,0.12,62.51
-214330,216280,18.18,19.11,0.12,64.4
-214660,216610,18.2,19.33,0.24,64.83
-215170,217120,18.22,19.56,0.02,63.64
-215950,217900,18.24,18.9,0.32,60.09
-217010,218960,18.26,18.23,0.48,60.64
-218270,220220,18.28,16.5,0.91,61.42
-219510,221460,18.3,12.99,2.22,62.42
-220450,222400,18.32,13.03,2.13,62.18
-221040,222990,18.34,13.43,2.16,64.43
-221360,223310,18.36,14.41,1.51,63.19
-221550,223500,18.38,13.35,1.98,66.93
-221740,223690,18.4,14.59,1.24,67.93
-222010,223960,18.42,16.19,0.54,68.84
-222400,224350,18.44,16.13,0.37,70.99
-222960,224910,18.46,15.95,0.47,68.27
-223660,225610,18.48,14.91,0.42,75.32
-224440,226390,18.5,15.97,0.24,74.69
-225190,227140,18.52,17.09,0.22,74.94
-225860,227810,18.54,17.14,0.11,72.79
-226470,228420,18.56,17.05,0.12,71.44
-227030,228980,18.58,16.95,0.15,73.93
-227580,229530,18.6,16.79,0.16,72.18
-228080,230030,18.62,17.05,0.14,74.5
-228520,230470,18.64,17.6,0.12,68.49
-228880,230830,18.66,17.86,0.1,66.93
-229210,231160,18.68,17.75,0.09,71.74
-229530,231480,18.7,17.7,0.09,66.6
-229910,231860,18.72,18.07,0.12,63.09
-230350,232300,18.74,18.12,0.09,65.97
-230870,232820,18.76,18.55,0.11,64.48
-231440,233390,18.78,18.76,0.1,68.63
-232040,233990,18.8,18.36,0.12,63.51
-232600,234550,18.82,18.83,0.05,68.49
-233100,235050,18.84,18.86,0.12,64.68
-233500,235450,18.86,19.06,0.11,63.6
-233800,235750,18.88,18.88,0.07,66.24
-234020,235970,18.9,19.02,0.1,65.42
-234190,236140,18.92,18.91,0.1,65.29
-234320,236270,18.94,18.93,0.07,67.23
-234430,236380,18.96,19.01,0.09,66.08
-234530,236480,18.98,18.9,0.15,67.66
-234620,236570,19,18.88,0.13,65.71
-234730,236680,19.02,18.74,0.08,64.7
-234840,236790,19.04,18.93,0.04,64.8
-235000,236950,19.06,18.7,0.06,67.33
-235270,237220,19.08,18.77,0,64.35
-235720,237670,19.1,18.13,0.01,69.48
-236390,238340,19.12,19.07,0.07,64.3
-237280,239230,19.14,19.08,0.05,67.24
-238280,240230,19.16,18.69,0.05,68.37
-239230,241180,19.18,18.98,0.02,66.61
-239420,241370,19.2,18.81,0.07,62.9
-239600,241550,19.22,18.86,0.07,62.94
-239790,241740,19.24,17.36,0.25,65.45
-240480,242430,19.26,15.09,0.84,68.18
-241630,243580,19.28,15.75,0.92,67.38
-242680,244630,19.3,13.68,1.09,66.93
-242860,244810,19.32,13.18,1.83,68.18
-243110,245060,19.34,15.39,0.6,68.87
-243840,245790,19.36,14.09,1.2,71.09
-244400,246350,19.38,13.97,0.59,68.11
-244960,246910,19.4,14.13,1.05,70.67
-245570,247520,19.42,13.04,1.64,71.04
-245720,247670,19.44,13.14,1.57,74.04
-245980,247930,19.46,13.93,1.2,66.73
-246350,248300,19.48,14.02,0.74,75.87
-246950,248900,19.5,13.7,1.21,75.07
-247550,249500,19.52,13.37,1.52,77.25
-247990,249940,19.54,13.74,1.18,74.84
-248260,250210,19.56,13.65,0.75,75.93
-248680,250630,19.58,13.8,0.69,75.49
-249050,251000,19.6,13.45,1.22,75.23
-249380,251330,19.62,13.36,1.28,75.07
-249670,251620,19.64,13.95,0.71,75.44
-250040,251990,19.66,13.8,1.06,75.25
-250280,252230,19.68,14.02,1.1,73.94
-250530,252480,19.7,13.89,1.32,75.91
-250780,252730,19.72,13.44,0.84,71.3
-251280,253230,19.74,14.31,1.24,72.42
-251500,253450,19.76,13.93,1.13,72.98
-251770,253720,19.78,14.43,0.58,74.2
-252090,254040,19.8,14.2,0.94,73.93
-252410,254360,19.82,14.6,0.9,71.94
-252730,254680,19.84,14.29,0.58,74.94
-252970,254920,19.86,14.65,0.81,74.38
-253210,255160,19.88,14.64,0.53,71.41
-253720,255670,19.9,14.72,0.82,73.99
-253940,255890,19.92,14.5,0.79,74.85
-254190,256140,19.94,14.59,0.87,74.9
-254470,256420,19.96,14.51,0.59,75.25
-254890,256840,19.98,14.63,0.43,73.06
-255120,257070,20,14.37,0.58,74.93
-255330,257280,20.02,14.41,0.56,75.52
-255540,257490,20.04,14.91,0.8,74.65
-255910,257860,20.06,14.85,0.49,75.59
-256190,258140,20.08,14.8,0.48,75.11
-256430,258380,20.1,14.17,0.67,72.4
-256640,258590,20.12,14.33,0.6,74.71
-256920,258870,20.14,14.15,1.05,75.99
-257190,259140,20.16,13.55,1.25,75.87
-257660,259610,20.18,14.91,0.46,72.55
-258070,260020,20.2,15.03,0.43,73.38
-258320,260270,20.22,14.86,0.42,75.82
-258620,260570,20.24,14.88,0.83,74.7
-258890,260840,20.26,14.48,0.72,73.92
-259160,261110,20.28,15.06,0.58,72.91
-259620,261570,20.3,15.08,0.55,73.62
-260130,262080,20.32,15.01,0.52,74.71
-260780,262730,20.34,14.35,0.59,73.29
-261170,263120,20.36,14.62,0.66,71.59
-261640,263590,20.38,13.99,0.82,71.88
-262180,264130,20.4,12.28,2.25,67.45
-262630,264580,20.42,12.39,2.96,65.37
-263030,264980,20.44,8.82,6.94,63.19
-263440,265390,20.46,7.23,10.15,61.08
-264020,265970,20.48,5.93,14.42,65.38
-264680,266630,20.5,10.26,5.39,69.66
-265490,267440,20.52,6.31,11.36,67.04
-265790,267740,20.54,5.85,13.35,67.34
-266080,268030,20.56,9.57,7.97,69.36
-266440,268390,20.58,7.76,6.87,67.65
-266790,268740,20.6,7.59,4.29,71.08
-267410,269360,20.62,8.69,2.72,68.28
-267910,269860,20.64,8.04,4.49,69.12
-268450,270400,20.66,8.11,3.42,71.83
-268940,270890,20.68,9.06,3.17,69.43
-269850,271800,20.7,10.05,2.47,67.06
-270330,272280,20.72,10.76,1.59,72.38
-270820,272770,20.74,11.64,1.09,69.83
-271230,273180,20.76,10.91,0.24,69.66
-271590,273540,20.78,9.83,0.5,68.7
-272010,273960,20.8,9.43,0.84,71.36
-272330,274280,20.82,10.71,0.68,72.36
-272660,274610,20.84,11.57,0.6,72.19
-273010,274960,20.86,11.01,0.91,71.65
-273440,275390,20.88,13.15,0.35,72.79
-273730,275680,20.9,8.79,1.9,71.32
-274090,276040,20.92,8.8,1.91,69.48
-274510,276460,20.94,11.23,1.2,71.38
-274950,276900,20.96,11.99,0.48,72.41
-275240,277190,20.98,12.47,0.19,72.18
-275550,277500,21,12.39,0.94,74.26
-275870,277820,21.02,12.58,0.55,74.71
-276310,278260,21.04,13.17,0.2,77.76
-276660,278610,21.06,14.48,0.13,75.21
-277030,278980,21.08,15.07,0.08,74.57
-277420,279370,21.1,15.41,0.08,73.87
-277820,279770,21.12,15.57,0.06,77
-278050,280000,21.14,15.57,0.07,75.39
-278290,280240,21.16,15.79,0.1,73.81
-278530,280480,21.18,15.15,0.06,75.94
-278850,280800,21.2,15.49,0.04,73.42
-279000,280950,21.22,15.57,0.05,72.75
-279170,281120,21.24,15.39,0.04,75.35
-279340,281290,21.26,15.9,0.04,75.82
-279490,281440,21.28,16.08,0.04,75.8
-279790,281740,21.3,16.03,0.06,72.39
-280080,282030,21.32,15.89,0.08,74.68
-280350,282300,21.34,16.49,0.02,73.81
-280560,282510,21.36,16.11,0.06,69.88
-280690,282640,21.38,16.13,0.05,69.31
-280940,282890,21.4,16.06,0.05,71.52
-281290,283240,21.42,16.19,0.07,71.28
-281760,283710,21.44,16.14,0.04,70.83
-282070,284020,21.46,16.38,0.05,71.69
-282370,284320,21.48,16.72,0.13,70.49
-282640,284590,21.5,16.89,0.02,68.22
-283380,285330,21.54,16.64,0.1,69.33
-283670,285620,21.56,16.68,0.08,70.04
-283960,285910,21.58,16.55,0.13,72.15
-284130,286080,21.6,16.86,0.08,71.6
-284310,286260,21.62,17.13,0.06,65.78
-284490,286440,21.64,16.99,0.03,68.52
-284750,286700,21.66,16.92,0.01,70.16
-284940,286890,21.68,16.69,0.01,67.85
-285140,287090,21.7,16.67,0.05,71.76
-285350,287300,21.72,16.76,0.06,68.8
-285620,287570,21.74,16.81,0.07,71.46
-285830,287780,21.76,16.93,0.02,71.98
-286040,287990,21.78,16.99,0.03,71.03
-286230,288180,21.8,17.03,0.04,70.41
-286570,288520,21.82,17.03,0.05,71.09
-286760,288710,21.84,16.81,0.03,70.88
-286980,288930,21.86,16.96,0.07,67.92
-287210,289160,21.88,17.18,0.03,68.01
-287580,289530,21.9,16.97,0.03,68.08
-287770,289720,21.92,17.22,0.05,69.02
-288010,289960,21.94,16.99,0.05,66.86
-288300,290250,21.96,16.86,0.08,65.4
-289720,291670,21.98,14.61,0.39,63.94
-290290,292240,22,12.77,0.93,61.17
-291530,293480,22.02,12.19,1.25,61.86
-292480,294430,22.04,12.93,0.82,65.1
-293370,295320,22.06,11.93,1.52,68.18
-293580,295530,22.08,14.53,0.11,68.15
-294070,296020,22.1,14.7,0.13,71.47
-294430,296380,22.12,12.92,0.54,69.88
-294710,296660,22.14,14,0.48,67.16
-294970,296920,22.16,10.68,2.05,68.39
-295220,297170,22.18,11.41,1.69,71.49
-295460,297410,22.2,13.41,0.68,73.38
-295790,297740,22.22,14.51,0.21,74.57
-296080,298030,22.24,15.57,0.05,75.03
-296430,298380,22.26,15.4,0.05,75.5
-296770,298720,22.28,15.09,0.05,75.93
-297110,299060,22.3,15.53,0.06,75.8
-297670,299620,22.32,15.37,0.07,73.53
-298160,300110,22.34,15.33,0.08,72.8
-298630,300580,22.36,15.3,0.12,75.98
-299100,301050,22.38,15.57,0.03,75.75
-299510,301460,22.4,15.09,0.35,74.78
-299680,301630,22.42,14.15,0.89,74.93
-299920,301870,22.44,14.58,0.74,75.18
-300210,302160,22.46,16.24,0.06,78.27
-300340,302290,22.48,15.39,0.06,78.7
-300460,302410,22.5,16.1,0.01,79.39
-300580,302530,22.52,16.05,0.02,79.55
-300820,302770,22.54,16.07,0.06,79.17
-301060,303010,22.56,16.27,0.04,78.82
-301290,303240,22.58,16.35,0.05,78.67
-301510,303460,22.6,16.47,0.08,NA
-301740,303690,22.62,16.09,0.33,76.76
-301970,303920,22.64,16.45,0.06,77.06
-302180,304130,22.66,16.63,0.05,78.03
-302480,304430,22.68,16.54,0.04,75.36
-302850,304800,22.7,16.65,0.09,74.7
-303040,304990,22.72,17.02,0.08,76.71
-303240,305190,22.74,16.79,0.36,73.42
-303450,305400,22.76,16.68,0.04,77.24
-304020,305970,22.78,16.54,0.11,72.77
-305370,307320,22.8,14.91,0.42,69.13
-305920,307870,22.82,15.45,0.3,71.32
-306240,308190,22.84,15.88,0.23,70.91
-306550,308500,22.86,16.35,0.09,71.98
-306960,308910,22.88,16.63,0.06,69.31
-307290,309240,22.9,16.15,0.13,69.73
-307680,309630,22.92,15.83,0.25,74.53
-308290,310240,22.94,15.8,0.05,72.76
-308890,310840,22.96,14.92,0.11,73.16
-309190,311140,22.98,14.91,0.23,74.78
-309400,311350,23,15.89,0.16,74.17
-309610,311560,23.02,16.04,0.14,72.59
-309900,311850,23.04,16.36,0.14,72.99
-310390,312340,23.06,16.73,0.08,70.89
-310590,312540,23.08,16.57,0.13,71.18
-310770,312720,23.1,16.35,0.04,72.82
-310990,312940,23.12,17.01,0.08,72.06
-311240,313190,23.14,16.56,0.07,72.68
