age (BP) [1-1],d18O (permil) [1-1],age (BP) [2-1],d18O (permil) [2-1]
4987.3,-23.478,4987.6,-22.772
4997.3,-23.658,4997.6,-22.672
5007.3,-23.486,5007.6,-23.009
5017.3,-23.529,5017.6,-22.806
5027.3,-23.504,5027.6,-22.66
5037.3,-23.236,5037.6,-23.08
5047.3,-23.27,5047.6,-23.106
5057.3,-23.893,5057.6,-23.549
5067.3,-23.649,5067.6,-23.01
5077.3,-23.82,5077.6,-22.525
5087.3,-22.538,5087.6,-22.54
5097.3,-22.862,5097.6,-22.431
5107.3,-23.179,5107.6,-22.45
5117.3,-23.521,5117.6,-22.587
5127.3,-23.724,5127.6,-22.698
5137.3,-23.795,5137.6,-22.34
5147.3,-24.582,5147.6,-22.612
5157.3,-23.82,5157.6,-22.504
5167.3,-23.035,5167.6,-22.351
5177.3,-22.802,5177.6,-22.424
5187.3,-23.21,5187.6,-22.456
5197.3,-23.457,5197.6,-22.825
5207.3,-23.113,5207.6,-22.913
5217.3,-23.62,5217.6,-22.719
5227.3,-23.439,5227.6,-23.128
5237.3,-23.244,5237.6,-23.751
5247.3,-23.024,5247.6,-23.765
5257.3,-23.133,5257.6,-23.726
5267.3,-23.639,5267.6,-24.033
5277.3,-23.1,5277.6,-24.198
5287.3,-23.225,5287.6,-23.717
5297.3,-23.71,5297.6,-22.582
5307.3,-23.96,5307.6,-22.442
5317.3,-23.813,5317.6,-22.51
5327.3,-23.31,5327.6,-22.511
5337.3,-23.453,5337.6,-23.31
5347.3,-23.462,5347.6,-23.517
5357.3,-23.483,5357.6,-23.765
5367.3,-23.584,5367.6,-23.042
5377.3,-23.8,5377.6,-22.279
5387.3,-23.581,5387.6,-22.071
5397.3,-23.36,5397.6,-22.259
5407.3,-23.306,5407.6,-22.631
5417.3,-23.449,5417.6,-23.035
5427.3,-23.64,5427.6,-22.91
5437.3,-23.632,5437.6,-22.805
5447.3,-23.483,5447.6,-22.671
5457.3,-23.156,5457.6,-22.267
5467.3,-22.52,5467.6,-22.261
5477.3,-22.921,5477.6,-22.889
5487.3,-23.292,5487.6,-23.133
5497.3,-23.301,5497.6,-23.26
5507.3,-22.96,5507.6,-23.036
5517.3,-22.97,5517.6,-22.85
5527.3,-23.447,5527.6,-22.638
5537.3,-23.8,5537.6,-22.456
5547.3,-24.035,5547.6,-22.401
5557.3,-23.75,5557.6,-22.13
5567.3,-23.409,5567.6,-22.443
5577.3,-23.546,5577.6,-22.9
5587.3,-23.682,5587.6,-23.056
5597.3,-23.4,5597.6,-22.885
5607.3,-22.919,5607.6,-22.76
5617.3,-22.444,5617.6,-22.12
5627.3,-22.029,5627.6,-22.172
5637.3,-21.97,5637.6,-22.51
5647.3,-22.559,5647.6,-22.97
5657.3,-22.949,5657.6,-23.366
5667.3,-23.276,5667.6,-22.66
5677.3,-23.34,5677.6,-22.276
5687.3,-23.788,5687.6,-22.223
5697.3,-23.688,5697.6,-22.35
5707.3,-23.15,5707.6,-22.556
5717.3,-23.198,5717.6,-22.27
5727.3,-23.696,5727.6,-22.848
5737.3,-23.72,5737.6,-22.842
5747.3,-22.86,5747.6,-22.676
5757.3,-22.448,5757.6,-22.748
5767.3,-22.553,5767.6,-23.12
5777.3,-22.86,5777.6,-23.325
5787.3,-23.333,5787.6,-22.956
5797.3,-23.35,5797.6,-22.661
5807.3,-23.373,5807.6,-22.562
5817.3,-23.62,5817.6,-22.66
5827.3,-23.465,5827.6,-22.873
5837.3,-23.507,5837.6,-22.932
5847.3,-24,5847.6,-22.88
5857.3,-23.341,5857.6,-22.845
5867.3,-23.271,5867.6,-23.05
5877.3,-23.72,5877.6,-22.806
5887.3,-23.465,5887.6,-22.573
5897.3,-23.221,5897.6,-22.735
5907.3,-22.85,5907.6,-23.054
5917.3,-23.658,5917.6,-22.61
5927.3,-23.479,5927.6,-22.346
5937.3,-23.02,5937.6,-22.066
5947.3,-22.922,5947.6,-21.906
5957.3,-22.996,5957.6,-21.955
5967.3,-23.11,5967.6,-22.76
5977.3,-23.235,5977.6,-22.668
5987.3,-23.245,5987.6,-22.608
5997.3,-23.252,5997.6,-22.567
6007.3,-23.45,6007.6,-22.47
6017.3,-23.35,6017.6,-22.738
6027.3,-23.255,6027.6,-22.566
6037.3,-23.99,6037.6,-22.326
6047.3,-24.082,6047.6,-22.24
6057.3,-24.166,6057.6,-22.002
6067.3,-23.2,6067.6,-22.327
6077.3,-23.449,6077.6,-22.69
6087.3,-23.73,6087.6,-22.88
6097.3,-23.444,6097.6,-23.049
6107.3,-23.159,6107.6,-22.903
6117.3,-22.8,6117.6,-22.675
6127.3,-22.489,6127.6,-22.29
6137.3,-22.68,6137.6,-22.567
6147.3,-23.02,6147.6,-22.904
6157.3,-23.111,6157.6,-23.144
6167.3,-23.387,6167.6,-22.94
6177.3,-23.82,6177.6,-22.851
6187.3,-24.106,6187.6,-22.719
6197.3,-24.198,6197.6,-22.647
6207.3,-24.29,6207.6,-23.48
6217.3,-23.816,6217.6,-23.542
6227.3,-23.567,6227.6,-23.132
6237.3,-23.12,6237.6,-22.27
6247.3,-23.793,6247.6,-22.242
6257.3,-24.233,6257.6,-22.418
6267.3,-22.66,6267.6,-22.58
6277.3,-22.997,6277.6,-22.58
6287.3,-23.43,6287.6,-22.764
6297.3,-23.314,6297.6,-22.698
6307.3,-23.175,6307.6,-22.46
6317.3,-22.8,6317.6,-22.302
6327.3,-23.104,6327.6,-22.501
6337.3,-23.278,6337.6,-22.73
6347.3,-23.21,6347.6,-23.18
6357.3,-23.106,6357.6,-22.891
6367.3,-22.96,6367.6,-22.742
6377.3,-23.497,6377.6,-22.75
6387.3,-23.507,6387.6,-22.614
6397.3,-22.92,6397.6,-22.341
6407.3,-23.006,6407.6,-21.96
6417.3,-23.07,6417.6,-22.034
6427.3,-23.953,6427.6,-22.478
6437.3,-23.843,6437.6,-22.921
6447.3,-23.38,6447.6,-22.98
6457.3,-23.303,6457.6,-22.872
6467.3,-23.26,6467.6,-22.787
6477.3,-23.358,6477.6,-22.85
6487.3,-23.4,6487.6,-23.221
6497.3,-23.48,6497.6,-23.316
6507.3,-23.121,6507.6,-22.56
6517.3,-22.93,6517.6,-22.475
6527.3,-23.084,6527.6,-22.509
6537.3,-23.048,6537.6,-22.83
6547.3,-22.95,6547.6,-22.305
6557.3,-22.992,6557.6,-22.078
6567.3,-23.02,6567.6,-22.17
6577.3,-23.522,6577.6,-22.392
6587.3,-23.554,6587.6,-22.512
6597.3,-23.49,6597.6,-22.44
6607.3,-23.693,6607.6,-22.843
6617.3,-23.84,6617.6,-23.154
6627.3,-23.221,6627.6,-23.3
6637.3,-22.99,6637.6,-23.3
6647.3,-22.38,6647.6,-23.3
6657.3,-22.707,6657.6,-23.091
6667.3,-23.07,6667.6,-22.992
6677.3,-23.197,6677.6,-22.84
6687.3,-23.244,6687.6,-22.818
6697.3,-23.33,6697.6,-22.871
6707.3,-23.588,6707.6,-23.33
6717.3,-24.11,6717.6,-22.894
6727.3,-23.532,6727.6,-22.52
6737.3,-23.12,6737.6,-22.739
6747.3,-23.052,6747.6,-22.91
6757.3,-23.137,6757.6,-23.19
6767.3,-23.84,6767.6,-22.662
6777.3,-23.959,6777.6,-22.436
6787.3,-24.18,6787.6,-22.32
6797.3,-23.861,6797.6,-22.456
6807.3,-23.65,6807.6,-22.59
6817.3,-23.692,6817.6,-23.095
6827.3,-23.655,6827.6,-23.133
6837.3,-22.77,6837.6,-23.06
6847.3,-22.855,6847.6,-22.832
6857.3,-23.08,6857.6,-22.67
6867.3,-23.359,6867.6,-22.784
6877.3,-23.68,6877.6,-22.7
6887.3,-24.099,6887.6,-22.5
6897.3,-24.33,6897.6,-22.374
6907.3,-23.406,6907.6,-22.31
6917.3,-23.233,6917.6,-22.96
6927.3,-23.08,6927.6,-23.088
6937.3,-23.116,6937.6,-23.32
6947.3,-23.23,6947.6,-23.023
6957.3,-23.603,6957.6,-22.85
6967.3,-24.11,6967.6,-23.253
