year (AD),age (BP),T (degC),Stal.ID (missing),d13C (permil),10YrRun.Avg. (degC)
119,1831,0.04,C13,-0.12,-0.06
112,1838,-0.24,LV5,-1.56,-0.12
105,1845,-0.13,LV5,-0.98,-0.09
101,1849,0.4,C13,1.66,-0.06
97,1853,-0.07,LV5,-0.67,-0.02
90,1860,-0.21,LV5,-1.42,-0.01
82,1868,0.06,C13,-0.03,0
80,1870,-0.12,LV5,-0.96,0.01
73,1877,0.05,LV5,-0.07,-0.06
66,1884,0.13,LV5,0.3,-0.07
63,1887,-0.12,C13,-0.95,-0.04
58,1892,-0.05,LV5,-0.59,-0.04
51,1899,-0.2,LV5,-1.36,-0.03
44,1906,0.1,C13,0.16,-0.07
44,1906,-0.18,LV5,-1.24,-0.02
37,1913,0.02,LV5,-0.22,-0.09
29,1921,0,LV5,-0.32,-0.07
22,1928,0.07,LV5,0.03,-0.1
15,1935,-0.31,LV5,-1.9,-0.11
8,1942,-0.3,LV5,-1.84,-0.12
6,1944,0.12,C13,0.27,-0.16
1,1949,-0.44,LV5,-2.57,-0.2
-7,1957,-0.29,LV5,-1.79,-0.18
-8,1958,0.01,C13,-0.27,-0.18
-14,1964,-0.34,LV5,-2.07,-0.18
-21,1971,-0.31,LV5,-1.91,-0.15
-23,1973,0.26,C13,0.97,-0.11
-28,1978,-0.37,LV5,-2.19,-0.07
-36,1986,-0.26,LV5,-1.65,-0.06
-38,1988,0.38,C13,1.59,0
-43,1993,-0.04,LV5,-0.56,0.05
-50,2000,0.04,LV5,-0.15,0.02
-53,2003,0.1,C13,0.19,0.05
-68,2018,0.19,C13,0.6,0.04
-79,2029,0.11,LV5,0.21,-0.01
-82,2032,0.04,C13,-0.13,0.01
-97,2047,-0.13,C13,-0.99,-0.04
-108,2058,-0.31,LV5,-1.91,-0.06
-112,2062,-0.1,C13,-0.83,-0.07
-127,2077,0.15,C13,0.43,-0.15
-137,2087,-0.4,LV5,-2.35,-0.16
-142,2092,-0.08,C13,-0.72,-0.16
-157,2107,0.04,C13,-0.13,-0.14
-167,2117,-0.55,LV5,-3.14,-0.11
-171,2121,-0.03,C13,-0.49,-0.12
-186,2136,-0.13,C13,-1.01,-0.1
-196,2146,-0.16,LV5,-1.13,-0.08
-201,2151,0.16,C13,0.45,-0.11
-216,2166,0.07,C13,0.01,-0.06
-225,2175,-0.23,LV5,-1.51,-0.06
-231,2181,0.12,C13,0.25,-0.06
-245,2195,-0.21,C13,-1.41,-0.02
-254,2204,-0.12,LV5,-0.93,-0.03
-260,2210,-0.07,C13,-0.67,-0.05
-271,2221,-0.1,LV5,-0.86,-0.01
-275,2225,0.17,C13,0.5,-0.05
-283,2233,0.14,C13,0.39,-0.05
-287,2237,-0.15,LV5,-1.12,-0.04
-290,2240,0.12,C13,0.27,-0.06
-304,2254,-0.2,LV5,-1.35,-0.08
-305,2255,-0.22,C13,-1.45,-0.11
-320,2270,-0.07,C13,-0.69,-0.15
-321,2271,-0.25,LV5,-1.62,-0.11
-335,2285,-0.24,C13,-1.55,-0.14
-337,2287,-0.08,LV5,-0.73,-0.17
-350,2300,-0.24,C13,-1.54,-0.15
-354,2304,0.16,LV5,0.47,-0.16
-365,2315,-0.08,C13,-0.76,-0.13
-371,2321,-0.48,LV5,-2.78,-0.08
-380,2330,-0.09,C13,-0.8,-0.1
-387,2337,-0.11,LV5,-0.89,-0.06
-395,2345,0,C13,-0.32,-0.09
-404,2354,0.15,LV5,0.44,-0.1
-410,2360,-0.25,C13,-1.58,-0.05
-421,2371,0.11,LV5,0.22,-0.03
-425,2375,-0.04,C13,-0.53,-0.05
-429,2379,-0.2,LV5,-1.35,-0.04
-438,2388,-0.07,LV5,-0.71,-0.08
-440,2390,0.11,C13,0.2,-0.07
-447,2397,-0.24,LV5,-1.57,-0.07
-455,2405,0.11,C13,0.22,-0.09
-456,2406,-0.23,LV5,-1.5,-0.09
-465,2415,-0.21,LV5,-1.39,-0.12
-470,2420,0.12,C13,0.26,-0.16
-473,2423,-0.22,LV5,-1.45,-0.15
-482,2432,-0.2,LV5,-1.35,-0.17
-485,2435,-0.34,C13,-2.08,-0.16
-491,2441,-0.22,LV5,-1.46,-0.16
-500,2450,0,C13,-0.34,-0.16
-500,2450,-0.19,LV5,-1.3,-0.19
-509,2459,-0.21,LV5,-1.4,-0.15
-518,2468,-0.13,LV5,-1,-0.12
-527,2477,-0.15,LV5,-1.09,-0.13
-530,2480,0.04,C13,-0.16,-0.12
-536,2486,-0.14,LV5,-1.04,-0.15
-545,2495,-0.29,C13,-1.79,-0.17
-545,2495,-0.11,LV5,-0.92,-0.14
-553,2503,-0.08,LV5,-0.75,-0.16
-560,2510,-0.26,C13,-1.63,-0.18
-562,2512,-0.16,LV5,-1.17,-0.18
-571,2521,-0.33,LV5,-2.03,-0.2
-575,2525,-0.13,C13,-1,-0.2
-580,2530,-0.13,LV5,-0.99,-0.21
-589,2539,-0.13,LV5,-0.99,-0.22
-590,2540,-0.27,C13,-1.72,-0.24
-599,2549,-0.27,LV5,-1.71,-0.24
-609,2559,-0.23,LV5,-1.49,-0.27
-619,2569,-0.34,LV5,-2.05,-0.31
-629,2579,-0.3,LV5,-1.87,-0.34
-639,2589,-0.4,LV5,-2.36,-0.36
-648,2598,-0.38,LV5,-2.25,-0.37
-658,2608,-0.43,LV5,-2.51,-0.38
-668,2618,-0.4,LV5,-2.38,-0.36
-678,2628,-0.47,LV5,-2.73,-0.35
-688,2638,-0.37,LV5,-2.19,-0.33
-698,2648,-0.36,LV5,-2.18,-0.32
-707,2657,-0.08,LV5,-0.75,-0.28
-715,2665,-0.28,LV5,-1.76,-0.25
-724,2674,-0.17,LV5,-1.22,-0.23
-732,2682,-0.27,LV5,-1.71,-0.22
-741,2691,-0.07,LV5,-0.7,-0.22
-749,2699,-0.18,LV5,-1.27,-0.26
-758,2708,-0.27,LV5,-1.72,-0.27
-766,2716,-0.27,LV5,-1.69,-0.29
-775,2725,-0.4,LV5,-2.35,-0.29
-783,2733,-0.44,LV5,-2.55,-0.32
-792,2742,-0.34,LV5,-2.05,-0.35
-800,2750,-0.39,LV5,-2.29,-0.37
-809,2759,-0.23,LV5,-1.49,-0.36
-816,2766,-0.38,LV5,-2.24,-0.36
-824,2774,-0.48,LV5,-2.76,-0.34
-831,2781,-0.39,LV5,-2.33,-0.32
-839,2789,-0.23,LV5,-1.48,-0.3
-846,2796,-0.38,LV5,-2.27,-0.31
-853,2803,-0.27,LV5,-1.69,-0.31
-861,2811,-0.16,LV5,-1.17,-0.29
-868,2818,-0.18,LV5,-1.23,-0.29
-876,2826,-0.34,LV5,-2.07,-0.29
-883,2833,-0.38,LV5,-2.25,-0.28
-890,2840,-0.32,LV5,-1.96,-0.26
-898,2848,-0.31,LV5,-1.91,-0.25
-905,2855,-0.29,LV5,-1.78,-0.27
-913,2863,-0.29,LV5,-1.79,-0.26
-920,2870,-0.03,LV5,-0.51,-0.24
-927,2877,-0.12,LV5,-0.94,-0.23
-935,2885,-0.35,LV5,-2.11,-0.18
-942,2892,-0.24,LV5,-1.57,-0.16
-949,2899,-0.2,LV5,-1.34,-0.11
-957,2907,-0.21,LV5,-1.41,-0.09
-964,2914,0.07,LV5,0.03,-0.04
-972,2922,-0.06,LV5,-0.66,0.03
-979,2929,0.18,LV5,0.58,0.1
-986,2936,0.12,LV5,0.26,0.14
-994,2944,0.3,LV5,1.17,0.19
-1001,2951,0.33,LV5,1.32,0.19
-1009,2959,0.33,LV5,1.34,0.21
-1016,2966,0.21,LV5,0.71,0.21
-1027,2977,0.19,LV5,0.63,0.2
-1038,2988,0.08,LV5,0.04,0.16
-1049,2999,0.12,LV5,0.29,0.14
-1060,3010,0.18,LV5,0.57,0.11
-1072,3022,0.02,LV5,-0.25,0.08
-1083,3033,-0.01,LV5,-0.37,0.06
-1094,3044,0.12,LV5,0.25,0.04
-1105,3055,0.06,LV5,-0.04,0.02
-1116,3066,-0.08,LV5,-0.72,-0.02
-1127,3077,0.02,LV5,-0.23,-0.04
-1138,3088,-0.1,LV5,-0.83,-0.07
-1149,3099,0,LV5,-0.35,-0.09
-1161,3111,-0.2,LV5,-1.37,-0.11
-1172,3122,-0.15,LV5,-1.08,-0.12
-1183,3133,-0.3,LV5,-1.83,-0.16
-1194,3144,-0.04,LV5,-0.54,-0.18
-1205,3155,-0.12,LV5,-0.93,-0.22
-1216,3166,-0.16,LV5,-1.15,-0.22
-1227,3177,-0.42,LV5,-2.44,-0.23
-1238,3188,-0.27,LV5,-1.7,-0.2
-1249,3199,-0.37,LV5,-2.22,-0.2
-1261,3211,-0.17,LV5,-1.22,-0.19
-1272,3222,-0.19,LV5,-1.3,-0.17
-1283,3233,-0.1,LV5,-0.86,-0.13
-1294,3244,0,LV5,-0.33,-0.1
-1305,3255,0.01,LV5,-0.27,-0.07
-1314,3264,-0.02,LV5,-0.42,-0.07
-1322,3272,-0.04,LV5,-0.53,-0.05
-1331,3281,-0.03,LV5,-0.5,-0.04
-1340,3290,-0.11,LV5,-0.91,-0.04
-1349,3299,-0.14,LV5,-1.06,-0.04
-1357,3307,-0.01,LV5,-0.39,-0.06
-1366,3316,-0.02,LV5,-0.43,-0.06
-1375,3325,0.03,LV5,-0.17,-0.05
-1383,3333,-0.06,LV5,-0.64,-0.04
-1392,3342,-0.17,LV5,-1.19,0
-1401,3351,-0.05,LV5,-0.58,0.02
-1409,3359,0.11,LV5,0.24,0.04
-1418,3368,-0.03,LV5,-0.49,0.06
-1427,3377,0.17,LV5,0.54,0.09
-1436,3386,0.19,LV5,0.64,0.11
-1444,3394,0.15,LV5,0.44,0.12
-1453,3403,0.21,LV5,0.72,0.09
-1462,3412,0.2,LV5,0.68,0.08
-1470,3420,0.06,LV5,-0.04,0.07
-1479,3429,0,LV5,-0.35,0.05
-1488,3438,-0.18,LV5,-1.25,0.03
-1496,3446,-0.14,LV5,-1.03,0.01
-1505,3455,0.1,LV5,0.17,-0.03
-1514,3464,0.09,LV5,0.09,-0.04
-1523,3473,-0.03,LV5,-0.47,-0.06
-1531,3481,-0.02,LV5,-0.42,-0.06
-1540,3490,-0.13,LV5,-1.01,-0.08
-1549,3499,-0.1,LV5,-0.83,-0.12
-1559,3509,-0.1,LV5,-0.84,-0.16
-1568,3518,-0.21,LV5,-1.38,-0.17
-1578,3528,-0.3,LV5,-1.87,-0.18
-1587,3537,-0.32,LV5,-1.94,-0.17
-1597,3547,-0.25,LV5,-1.6,-0.16
-1606,3556,-0.09,LV5,-0.79,-0.13
-1616,3566,-0.14,LV5,-1.03,-0.09
-1625,3575,0,LV5,-0.33,-0.05
-1635,3585,-0.02,LV5,-0.42,-0.01
-1644,3594,0.11,LV5,0.22,0.03
-1653,3603,0.18,LV5,0.59,0.05
-1663,3613,0.04,LV5,-0.14,0.08
-1672,3622,0.07,LV5,0,0.1
-1682,3632,0.07,LV5,0,0.12
-1691,3641,0.14,LV5,0.37,0.13
-1701,3651,0.16,LV5,0.48,0.13
-1710,3660,0.1,LV5,0.19,0.16
-1720,3670,0.24,LV5,0.85,0.16
-1729,3679,0.21,LV5,0.72,0.18
-1739,3689,0.17,LV5,0.53,0.19
-1748,3698,0.28,LV5,1.09,0.19
-1757,3707,0.07,LV5,-0.01,0.2
-1767,3717,0.23,LV5,0.81,0.19
-1776,3726,0.21,LV5,0.72,0.19
-1786,3736,0.2,LV5,0.66,0.2
-1795,3745,0.17,LV5,0.52,0.2
-1805,3755,0.16,LV5,0.47,0.22
-1814,3764,0.23,LV5,0.81,0.23
-1824,3774,0.22,LV5,0.77,0.24
-1833,3783,0.31,LV5,1.23,0.24
-1842,3792,0.27,LV5,1.04,0.23
-1852,3802,0.27,LV5,1.01,0.23
-1861,3811,0.29,LV5,1.14,0.22
-1880,3830,0.2,LV5,0.69,0.2
-1890,3840,0.13,LV5,0.33,0.17
-1899,3849,0.12,LV5,0.28,0.16
-1909,3859,0.19,LV5,0.62,0.12
-1918,3868,0.04,LV5,-0.16,NA
-1928,3878,0.01,LV5,-0.28,NA
-1937,3887,0.15,LV5,0.42,NA
-1949,3899,-0.06,LV5,-0.64,NA
-2055,4005,NA,NA,NA,NA
