year (AD) [1-1],d18O (permil) [1-1],d18O (permil) [1-1],d18O (permil) [1-1],d18O (permil) [1-1],year (AD) [1-2],d18O (permil) [1-2],d18O (permil) [1-2],year (AD) [1-3],d18O (permil) [1-3]
NA,NA,NA,NA,NA,1964.5,-13.35,-13.14,NA,NA
NA,NA,NA,NA,NA,1964.417,-13.44,-13.79,NA,NA
NA,NA,NA,NA,NA,1964.333,-13.53,-14.44,NA,NA
NA,NA,NA,NA,NA,1964.25,-14.44,-15.22,NA,NA
NA,NA,NA,NA,NA,1964.167,-14.54,-14.5,NA,NA
NA,NA,NA,NA,NA,1964.083,-15.07,-15.51,NA,NA
NA,NA,NA,NA,NA,1964,-17.9,-17.3,NA,NA
NA,NA,NA,NA,NA,1963.917,-18.99,-19.09,NA,NA
NA,NA,NA,NA,NA,1963.833,-15.54,-18.37,NA,NA
NA,NA,NA,NA,NA,1963.75,-13.02,-14.37,NA,NA
NA,NA,NA,NA,NA,1963.667,-8.28,-11.15,NA,NA
NA,NA,NA,NA,NA,1963.583,-9.52,-9.99,NA,NA
NA,NA,NA,NA,NA,1963.5,-11.67,-8.83,NA,NA
NA,NA,NA,NA,NA,1963.417,-13.81,-11.82,NA,NA
NA,NA,NA,NA,NA,1963.333,-16.77,-16.31,NA,NA
NA,NA,NA,NA,NA,1963.25,-17.23,-17.04,NA,NA
NA,NA,NA,NA,NA,1963.167,-17.69,-17.77,NA,NA
NA,NA,NA,NA,NA,1963.083,-17.69,-17.77,NA,NA
NA,NA,NA,NA,NA,1963,-17.69,-17.77,NA,NA
NA,NA,NA,NA,NA,1962.917,-18.18,-18.46,NA,NA
NA,NA,NA,NA,NA,1962.833,-14.25,-15.13,NA,NA
NA,NA,NA,NA,NA,1962.75,-12.7,-11.79,NA,NA
NA,NA,NA,NA,NA,1962.667,-11.14,-8.92,NA,NA
NA,NA,NA,NA,NA,1962.583,-10.16,-13.32,NA,NA
NA,NA,NA,NA,NA,1962.5,-13.73,-17.71,NA,NA
NA,NA,NA,NA,NA,1962.417,-22.3,-23.74,NA,NA
NA,NA,NA,NA,NA,1962.333,-23.91,-24.28,NA,NA
NA,NA,NA,NA,NA,1962.25,-23.72,-23.37,NA,NA
NA,NA,NA,NA,NA,1962.167,-24.29,-24.74,NA,NA
NA,NA,NA,NA,NA,1962.083,-25.1,-24.25,NA,NA
NA,NA,NA,NA,NA,1962,-21.91,-21,NA,NA
NA,NA,NA,NA,NA,1961.917,-18.85,-19.13,NA,NA
NA,NA,NA,NA,NA,1961.833,-16.75,-18.98,NA,NA
NA,NA,NA,NA,NA,1961.75,-13.46,-11.76,NA,NA
NA,NA,NA,NA,NA,1961.667,-11.2,-8.85,NA,NA
NA,NA,NA,NA,NA,1961.583,-8.58,-8.57,NA,NA
NA,NA,NA,NA,NA,1961.5,-12.83,-11.19,NA,NA
NA,NA,NA,NA,NA,1961.417,-17.52,-18.1,NA,NA
NA,NA,NA,NA,NA,1961.333,-20.59,-20.88,NA,NA
NA,NA,NA,NA,NA,1961.25,-22.44,-22.72,NA,NA
NA,NA,NA,NA,NA,1961.167,-22.56,-21.96,NA,NA
NA,NA,NA,NA,NA,1961.083,-21.52,-22.13,NA,NA
NA,NA,NA,NA,NA,1961,-18.32,-21.31,NA,NA
NA,NA,NA,NA,NA,1960.917,-18.22,-18.78,NA,NA
NA,NA,NA,NA,NA,1960.833,-18.08,-17.88,NA,NA
NA,NA,NA,NA,NA,1960.75,-17.98,-17.7,NA,NA
NA,NA,NA,NA,NA,1960.667,-19.14,-15.24,NA,NA
NA,NA,NA,NA,NA,1960.583,-15.15,-12.79,NA,NA
NA,NA,NA,NA,NA,1960.5,-14.01,-20.27,NA,NA
NA,NA,NA,NA,NA,1960.417,-17.85,-22.02,NA,NA
NA,NA,NA,NA,NA,1960.333,-19.6,-17.89,NA,NA
NA,NA,NA,NA,NA,1960.25,-17.72,-15.89,NA,NA
NA,NA,NA,NA,NA,1960.167,-15.54,-16.6,NA,NA
NA,NA,NA,NA,NA,1960.083,-16.7,-19.08,NA,NA
NA,NA,NA,NA,NA,1960,-18.54,-18.47,NA,NA
NA,NA,NA,NA,NA,1959.917,-19.07,-17.5,NA,NA
NA,NA,NA,NA,NA,1959.833,-17.04,-16.52,NA,NA
NA,NA,NA,NA,NA,1959.75,-17.24,-17.18,NA,NA
NA,NA,NA,NA,NA,1959.667,-17.43,-15.5,NA,NA
NA,NA,NA,NA,NA,1959.583,-13.44,-10.39,NA,NA
NA,NA,NA,NA,NA,1959.5,-10.57,-11.84,NA,NA
NA,NA,NA,NA,NA,1959.417,-13.28,-18.74,NA,NA
NA,NA,NA,NA,NA,1959.333,-17.32,-16.15,NA,NA
NA,NA,NA,NA,NA,1959.25,-16.75,-18.65,NA,NA
NA,NA,NA,NA,NA,1959.167,-19.8,-19.42,NA,NA
NA,NA,NA,NA,NA,1959.083,-18.52,-18.46,NA,NA
NA,NA,NA,NA,NA,1959,-17.02,-17.49,NA,NA
NA,NA,NA,NA,NA,1958.917,-17.57,-16.74,NA,NA
NA,NA,NA,NA,NA,1958.833,-18.32,-19.25,NA,NA
NA,NA,NA,NA,NA,1958.75,-18.6,-20.03,NA,NA
NA,NA,NA,NA,NA,1958.667,-15.77,-16.47,NA,NA
NA,NA,NA,NA,NA,1958.583,-16.35,-15.13,NA,NA
NA,NA,NA,NA,NA,1958.5,-15.07,-13.76,NA,NA
NA,NA,NA,NA,NA,1958.417,-17.78,-12.39,NA,NA
NA,NA,NA,NA,NA,1958.333,-19.62,-17.31,NA,NA
NA,NA,NA,NA,NA,1958.25,-21.45,-21.27,NA,NA
NA,NA,NA,NA,NA,1958.167,-23.34,-22.83,NA,NA
NA,NA,NA,NA,NA,1958.083,-22.95,-22.8,NA,NA
NA,NA,NA,NA,NA,1958,-20.88,-21.72,NA,NA
NA,NA,NA,NA,NA,1957.917,-19.95,-19.8,NA,NA
NA,NA,NA,NA,NA,1957.833,-19.02,-12.77,NA,NA
NA,NA,NA,NA,NA,1957.75,-14.46,-9.61,NA,NA
NA,NA,NA,NA,NA,1957.667,-9.39,-10.7,NA,NA
NA,NA,NA,NA,NA,1957.583,-10.6,-11.79,NA,NA
NA,NA,NA,NA,NA,1957.5,-12.31,-10.88,NA,NA
NA,NA,NA,NA,NA,1957.417,-15.16,-15.12,NA,NA
NA,NA,NA,NA,NA,1957.333,-18.01,-19.36,NA,NA
NA,NA,NA,NA,NA,1957.25,-18.28,-18.67,NA,NA
NA,NA,NA,NA,NA,1957.167,-15.87,-17.41,NA,NA
NA,NA,NA,NA,NA,1957.083,-15.5,-16.14,NA,NA
NA,NA,NA,NA,NA,1957,-15.12,-15.91,NA,NA
NA,NA,NA,NA,NA,1956.917,-15.04,-14.36,NA,NA
NA,NA,NA,NA,NA,1956.833,-14.69,-14.25,NA,NA
NA,NA,NA,NA,NA,1956.75,-14.34,-14.14,NA,NA
NA,NA,NA,NA,NA,1956.667,-14.61,-15.04,NA,NA
NA,NA,NA,NA,NA,1956.583,-12.17,-13.57,NA,NA
NA,NA,NA,NA,NA,1956.5,-11.95,-12.1,NA,NA
NA,NA,NA,NA,NA,1956.417,-11.72,-12.74,NA,NA
NA,NA,NA,NA,NA,1956.333,-13.93,-15.57,NA,NA
NA,NA,NA,NA,NA,1956.25,-17.69,-18.4,NA,NA
NA,NA,NA,NA,NA,1956.167,-17.84,-18.5,NA,NA
NA,NA,NA,NA,NA,1956.083,-17.99,-18.6,NA,NA
NA,NA,NA,NA,NA,1956,-15.88,-17.65,NA,NA
NA,NA,NA,NA,NA,1955.917,-19.77,-18.18,NA,NA
NA,NA,NA,NA,NA,1955.833,-15.72,-18.71,NA,NA
NA,NA,NA,NA,NA,1955.75,-11.67,-11.39,NA,NA
NA,NA,NA,NA,NA,1955.667,-9.73,-10.62,NA,NA
NA,NA,NA,NA,NA,1955.583,-11.02,-9.85,NA,NA
NA,NA,NA,NA,NA,1955.5,-11.75,-11.65,NA,NA
NA,NA,NA,NA,NA,1955.417,-12.47,-11.34,NA,NA
NA,NA,NA,NA,NA,1955.333,-18.21,-14.63,NA,NA
NA,NA,NA,NA,NA,1955.25,-21.72,-21.32,NA,NA
NA,NA,NA,NA,NA,1955.167,-23.98,-22.98,NA,NA
NA,NA,NA,NA,NA,1955.083,-25.32,-24.67,NA,NA
NA,NA,NA,NA,NA,1955,-26.46,-26.51,NA,NA
NA,NA,NA,NA,NA,1954.917,-25.49,-24.39,NA,NA
NA,NA,NA,NA,NA,1954.833,-21.33,-19.82,NA,NA
NA,NA,NA,NA,NA,1954.75,-17.24,-15.92,NA,NA
NA,NA,NA,NA,NA,1954.667,-11.67,-10.92,NA,NA
NA,NA,NA,NA,NA,1954.583,-11.79,-11.45,NA,NA
NA,NA,NA,NA,NA,1954.5,-10.86,-17.3,NA,NA
NA,NA,NA,NA,NA,1954.417,-18.23,-24.89,NA,NA
NA,NA,NA,NA,NA,1954.333,-24.14,-24.88,NA,NA
NA,NA,NA,NA,NA,1954.25,-25.29,-24.86,NA,NA
NA,NA,NA,NA,NA,1954.167,-23.21,-23.26,NA,NA
NA,NA,NA,NA,NA,1954.083,-22.79,-21.49,NA,NA
NA,NA,NA,NA,NA,1954,-20.01,-19.44,NA,NA
NA,NA,NA,NA,NA,1953.917,-17.65,-17.39,NA,NA
NA,NA,NA,NA,NA,1953.833,-14.7,-13.9,NA,NA
NA,NA,NA,NA,NA,1953.75,-14.41,-13.86,NA,NA
NA,NA,NA,NA,NA,1953.667,-14.11,-13.53,NA,NA
NA,NA,NA,NA,NA,1953.583,-13.14,-13.19,NA,NA
NA,NA,NA,NA,NA,1953.5,-13.81,-13.03,NA,NA
NA,NA,NA,NA,NA,1953.417,-16.86,-18.56,NA,NA
NA,NA,NA,NA,NA,1953.333,-22.96,-21.58,NA,NA
NA,NA,NA,NA,NA,1953.25,-22.48,-24.59,NA,NA
NA,NA,NA,NA,NA,1953.167,-21.99,-20.67,NA,NA
NA,NA,NA,NA,NA,1953.083,-20.14,-19.34,NA,NA
NA,NA,NA,NA,NA,1953,-17.54,-17.96,NA,NA
NA,NA,NA,NA,NA,1952.917,-16.51,-16.89,NA,NA
NA,NA,NA,NA,NA,1952.833,-18.02,-18.35,NA,NA
NA,NA,NA,NA,NA,1952.75,-19.52,-19.8,NA,NA
NA,NA,NA,NA,NA,1952.667,-18,-21.42,NA,NA
NA,NA,NA,NA,NA,1952.583,-18.39,-15.61,NA,NA
NA,NA,NA,NA,NA,1952.5,-21.4,-17.85,NA,NA
NA,NA,NA,NA,NA,1952.417,-23.11,-20.09,NA,NA
NA,NA,NA,NA,NA,1952.333,-22.35,-22.72,NA,NA
NA,NA,NA,NA,NA,1952.25,-22.18,-22.16,NA,NA
NA,NA,NA,NA,NA,1952.167,-21.71,-21.6,NA,NA
NA,NA,NA,NA,NA,1952.083,-20.26,-22.23,NA,NA
NA,NA,NA,NA,NA,1952,-17.04,-20.37,NA,NA
NA,NA,NA,NA,NA,1951.917,-13.53,-16.6,NA,NA
NA,NA,NA,NA,NA,1951.833,-12.4,-12.82,NA,NA
NA,NA,NA,NA,NA,1951.75,-15.26,-14.86,NA,NA
NA,NA,NA,NA,NA,1951.667,-15.84,-16.89,NA,NA
NA,NA,NA,NA,NA,1951.583,-13.15,-19.8,NA,NA
NA,NA,NA,NA,NA,1951.5,-16.1,-14.47,NA,NA
NA,NA,NA,NA,NA,1951.417,-19.05,-19.78,NA,NA
NA,NA,NA,NA,NA,1951.333,-20.24,-19.11,NA,NA
NA,NA,NA,NA,NA,1951.25,-20.12,-19.83,NA,NA
NA,NA,NA,NA,NA,1951.167,-20.84,-20.54,NA,NA
NA,NA,NA,NA,NA,1951.083,-19.45,-19.16,NA,NA
NA,NA,NA,NA,NA,1951,-18.4,-18,NA,NA
NA,NA,NA,NA,NA,1950.917,-17.21,-15.53,NA,NA
NA,NA,NA,NA,NA,1950.833,-15.71,-16.82,NA,NA
NA,NA,NA,NA,NA,1950.75,-17.62,-18.1,NA,NA
NA,NA,NA,NA,NA,1950.667,-20.59,-18.91,NA,NA
NA,NA,NA,NA,NA,1950.583,-18.66,-17.06,NA,NA
NA,NA,NA,NA,NA,1950.5,-17.52,-18.21,NA,NA
NA,NA,NA,NA,NA,1950.417,-22.58,-19.36,NA,NA
NA,NA,NA,NA,NA,1950.333,-21.44,-22.79,NA,NA
NA,NA,NA,NA,NA,1950.25,-19.46,-22.08,NA,NA
NA,NA,NA,NA,NA,1950.167,-18.69,-21.37,NA,NA
NA,NA,NA,NA,NA,1950.083,-19.82,-20.31,NA,NA
NA,NA,NA,NA,NA,1950,-20.94,-19.24,NA,NA
NA,NA,NA,NA,NA,1949.917,-18.86,-21.51,NA,NA
NA,NA,NA,NA,NA,1949.833,-20.15,-20.95,NA,NA
NA,NA,NA,NA,NA,1949.75,-22.31,-20.38,NA,NA
NA,NA,NA,NA,NA,1949.667,-19.43,-15.77,NA,NA
NA,NA,NA,NA,NA,1949.583,-16,-14.46,NA,NA
NA,NA,NA,NA,NA,1949.5,-13.88,-13.14,NA,NA
NA,NA,NA,NA,NA,1949.417,-12.84,-20.09,NA,NA
NA,NA,NA,NA,NA,1949.333,-21.38,-21.26,NA,NA
NA,NA,NA,NA,NA,1949.25,-22.65,-22.42,NA,NA
NA,NA,NA,NA,NA,1949.167,-23.91,-24.96,NA,NA
NA,NA,NA,NA,NA,1949.083,-24.97,-23.26,NA,NA
NA,NA,NA,NA,NA,1949,-21.03,-21.56,NA,NA
NA,NA,NA,NA,NA,1948.917,-19.06,-19.57,NA,NA
NA,NA,NA,NA,NA,1948.833,-19.24,-19.11,NA,NA
NA,NA,NA,NA,NA,1948.75,-17.39,-17.62,NA,NA
NA,NA,NA,NA,NA,1948.667,-16.52,-16.12,NA,NA
NA,NA,NA,NA,NA,1948.583,-15.39,-15.3,NA,NA
NA,NA,NA,NA,NA,1948.5,-16.63,-17.88,NA,NA
NA,NA,NA,NA,NA,1948.417,-20.12,-19,NA,NA
NA,NA,NA,NA,NA,1948.333,-19.66,-20.12,NA,NA
NA,NA,NA,NA,NA,1948.25,-18.32,-18.9,NA,NA
NA,NA,NA,NA,NA,1948.167,-15.07,-16.35,NA,NA
NA,NA,NA,NA,NA,1948.083,-13.58,-15.05,NA,NA
NA,NA,NA,NA,NA,1948,-13.45,-13.74,NA,NA
NA,NA,NA,NA,NA,1947.917,-13.27,-13.73,NA,NA
NA,NA,NA,NA,NA,1947.833,-13.65,-14.23,NA,NA
NA,NA,NA,NA,NA,1947.75,-16.43,-14.73,NA,NA
NA,NA,NA,NA,NA,1947.667,-16.13,-14.99,NA,NA
NA,NA,NA,NA,NA,1947.583,-14.09,-13.93,NA,NA
NA,NA,NA,NA,NA,1947.5,-15.54,-12.87,NA,NA
NA,NA,NA,NA,NA,1947.417,-15.41,-15.38,NA,NA
NA,NA,NA,NA,NA,1947.333,-17.11,-16.98,NA,NA
NA,NA,NA,NA,NA,1947.25,-18.15,-16.89,NA,NA
NA,NA,NA,NA,NA,1947.167,-18.56,-15.75,NA,NA
NA,NA,NA,NA,NA,1947.083,-15.46,-14.6,NA,NA
NA,NA,NA,NA,NA,1947,-16.91,-16.08,NA,NA
NA,NA,NA,NA,NA,1946.917,-15.56,-15.32,NA,NA
NA,NA,NA,NA,NA,1946.833,-15.79,-14.55,NA,NA
NA,NA,NA,NA,NA,1946.75,-16.6,-15.49,NA,NA
NA,NA,NA,NA,NA,1946.667,-14.91,-13.46,NA,NA
NA,NA,NA,NA,NA,1946.583,-10.54,-11.15,NA,NA
NA,NA,NA,NA,NA,1946.5,-12.32,-13.47,NA,NA
NA,NA,NA,NA,NA,1946.417,-15.31,-14.87,NA,NA
NA,NA,NA,NA,NA,1946.333,-15.98,-16.26,NA,NA
NA,NA,NA,NA,NA,1946.25,-15.15,-15.66,NA,NA
NA,NA,NA,NA,NA,1946.167,-14.47,-14.8,NA,NA
NA,NA,NA,NA,NA,1946.083,-14.08,-14.66,NA,NA
NA,NA,NA,NA,NA,1946,-16.08,-15.27,NA,NA
NA,NA,NA,NA,NA,1945.917,-19.27,-15.88,NA,NA
NA,NA,NA,NA,NA,1945.833,-14.46,-17.36,NA,NA
NA,NA,NA,NA,NA,1945.75,-12.11,-14.02,NA,NA
NA,NA,NA,NA,NA,1945.667,-13.83,-13.71,NA,NA
NA,NA,NA,NA,NA,1945.583,-13.54,-14.54,NA,NA
NA,NA,NA,NA,NA,1945.5,-13.45,-15.21,NA,NA
NA,NA,NA,NA,NA,1945.417,-18.04,-15.87,NA,NA
NA,NA,NA,NA,NA,1945.333,-19.79,-19.91,NA,NA
NA,NA,NA,NA,NA,1945.25,-19.52,-19.71,NA,NA
NA,NA,NA,NA,NA,1945.167,-22.01,-21.59,NA,NA
NA,NA,NA,NA,NA,1945.083,-20.34,-22.18,NA,NA
NA,NA,NA,NA,NA,1945,-19.07,-19.81,NA,NA
NA,NA,NA,NA,NA,1944.917,-19.43,-19.06,NA,NA
NA,NA,NA,NA,NA,1944.833,-19.69,-19.79,NA,NA
NA,NA,NA,NA,NA,1944.75,-19.29,-19.93,NA,NA
NA,NA,NA,NA,NA,1944.667,-17.31,-16.82,NA,NA
NA,NA,NA,NA,NA,1944.583,-13.05,-15.18,NA,NA
NA,NA,NA,NA,NA,1944.5,-15.36,-17.86,NA,NA
NA,NA,NA,NA,NA,1944.417,-21.25,-20.54,NA,NA
NA,NA,NA,NA,NA,1944.333,-23.75,-23.15,NA,NA
NA,NA,NA,NA,NA,1944.25,-23,-22.46,NA,NA
NA,NA,NA,NA,NA,1944.167,-18.38,-17.87,NA,NA
NA,NA,NA,NA,NA,1944.083,-16.81,-18.25,NA,NA
NA,NA,NA,NA,NA,1944,-18.19,-17.64,NA,NA
NA,NA,NA,NA,NA,1943.917,-15.59,-17.03,NA,NA
NA,NA,NA,NA,NA,1943.833,-13.16,-13.78,NA,NA
NA,NA,NA,NA,NA,1943.75,-13.41,-13.28,NA,NA
NA,NA,NA,NA,NA,1943.667,-12.52,-13.04,NA,NA
NA,NA,NA,NA,NA,1943.583,-12.12,-12.37,NA,NA
NA,NA,NA,NA,NA,1943.5,-11.64,-12.55,NA,NA
NA,NA,NA,NA,NA,1943.417,-17.67,-19.28,NA,NA
NA,NA,NA,NA,NA,1943.333,-21.93,-23.02,NA,NA
NA,NA,NA,NA,NA,1943.25,-19.33,-18.06,NA,NA
NA,NA,NA,NA,NA,1943.167,-17.71,-18.16,NA,NA
NA,NA,NA,NA,NA,1943.083,-18.49,-19.52,NA,NA
NA,NA,NA,NA,NA,1943,-17.99,-17.52,NA,NA
NA,NA,NA,NA,NA,1942.917,-19.12,-19.07,NA,NA
NA,NA,NA,NA,NA,1942.833,-17.83,-18.37,NA,NA
NA,NA,NA,NA,NA,1942.75,-17.49,-18.11,NA,NA
NA,NA,NA,NA,NA,1942.667,-15.98,-17.58,NA,NA
NA,NA,NA,NA,NA,1942.583,-13.34,-15.1,NA,NA
NA,NA,NA,NA,NA,1942.5,-16.17,-18.65,NA,NA
NA,NA,NA,NA,NA,1942.417,-21.99,-22.48,NA,NA
NA,NA,NA,NA,NA,1942.333,-23.95,-17.15,NA,NA
NA,NA,NA,NA,NA,1942.25,-25.16,-16.28,NA,NA
NA,NA,NA,NA,NA,1942.167,-26.99,-17.4,NA,NA
NA,NA,NA,NA,NA,1942.083,-25.49,-18.1,NA,NA
NA,NA,NA,NA,NA,1942,-22.52,-19.95,NA,NA
NA,NA,NA,NA,NA,1941.917,-19.61,-22.1,NA,NA
NA,NA,NA,NA,NA,1941.833,-14.18,-24.27,NA,NA
NA,NA,NA,NA,NA,1941.75,-13.77,-17.99,NA,NA
NA,NA,NA,NA,NA,1941.667,-10.71,-13.82,NA,NA
NA,NA,NA,NA,NA,1941.583,-10.24,-10.23,NA,NA
NA,NA,NA,NA,NA,1941.5,-14.9,-13.97,NA,NA
NA,NA,NA,NA,NA,1941.417,-21,-17.7,NA,NA
NA,NA,NA,NA,NA,1941.333,-21.5,-21.59,NA,NA
NA,NA,NA,NA,NA,1941.25,-20.26,-20.58,NA,NA
NA,NA,NA,NA,NA,1941.167,-15.55,-15.92,NA,NA
NA,NA,NA,NA,NA,1941.083,-16.86,-15.97,NA,NA
NA,NA,NA,NA,NA,1941,-15.25,-15.67,NA,NA
NA,NA,NA,NA,NA,1940.917,-16.46,-15.8,NA,NA
NA,NA,NA,NA,NA,1940.833,-15.15,-15.93,NA,NA
NA,NA,NA,NA,NA,1940.75,-13.64,-14.31,NA,NA
NA,NA,NA,NA,NA,1940.667,-11.87,-11.91,NA,NA
NA,NA,NA,NA,NA,1940.583,-9.41,-11.16,NA,NA
NA,NA,NA,NA,NA,1940.5,-10.44,-10.41,NA,NA
NA,NA,NA,NA,NA,1940.417,-13.55,-14.59,NA,NA
NA,NA,NA,NA,NA,1940.333,-16.44,-17.23,NA,NA
NA,NA,NA,NA,NA,1940.25,-21.11,-21.66,NA,NA
NA,NA,NA,NA,NA,1940.167,-22.71,-21.22,NA,NA
NA,NA,NA,NA,NA,1940.083,-20.55,-19.77,NA,NA
NA,NA,NA,NA,NA,1940,-20.05,-20.66,NA,NA
NA,NA,NA,NA,NA,1939.917,-21.83,-20.93,NA,NA
NA,NA,NA,NA,NA,1939.833,-19.23,-15.4,NA,NA
NA,NA,NA,NA,NA,1939.75,-14.5,-12.89,NA,NA
NA,NA,NA,NA,NA,1939.667,-12.15,-15.2,NA,NA
NA,NA,NA,NA,NA,1939.583,-13.48,-14.72,NA,NA
NA,NA,NA,NA,NA,1939.5,-14.14,-14.24,NA,NA
NA,NA,NA,NA,NA,1939.417,-13.13,-17.35,NA,NA
NA,NA,NA,NA,NA,1939.333,-15.68,-18.02,NA,NA
NA,NA,NA,NA,NA,1939.25,-17.72,-17.4,NA,NA
NA,NA,NA,NA,NA,1939.167,-18.37,-16.13,NA,NA
NA,NA,NA,NA,NA,1939.083,-16.09,-17.11,NA,NA
NA,NA,NA,NA,NA,1939,-15.62,-18.68,NA,NA
NA,NA,NA,NA,NA,1938.917,-15.56,-18.85,NA,NA
NA,NA,NA,NA,NA,1938.833,-16.49,-16.76,NA,NA
NA,NA,NA,NA,NA,1938.75,-16.7,-16.54,NA,NA
NA,NA,NA,NA,NA,1938.667,-15.41,-15.88,NA,NA
NA,NA,NA,NA,NA,1938.583,-14.45,-15.36,NA,NA
NA,NA,NA,NA,NA,1938.5,-12.88,-13.47,NA,NA
NA,NA,NA,NA,NA,1938.417,-13.99,-13.15,NA,NA
NA,NA,NA,NA,NA,1938.333,-18.14,-15.34,NA,NA
NA,NA,NA,NA,NA,1938.25,-24.52,-22.4,NA,NA
NA,NA,NA,NA,NA,1938.167,-28.14,-26.96,NA,NA
NA,NA,NA,NA,NA,1938.083,-24.06,-24.52,NA,NA
NA,NA,NA,NA,NA,1938,-13.53,-22.08,NA,NA
NA,NA,NA,NA,NA,1937.917,-14,-14.6,NA,NA
NA,NA,NA,NA,NA,1937.833,-18.18,-16.55,NA,NA
NA,NA,NA,NA,NA,1937.75,-18.15,-16.77,NA,NA
NA,NA,NA,NA,NA,1937.667,-12.56,-14.44,NA,NA
NA,NA,NA,NA,NA,1937.583,-13.42,-13.27,NA,NA
NA,NA,NA,NA,NA,1937.5,-11.47,-12.1,NA,NA
NA,NA,NA,NA,NA,1937.417,-12.43,-14.48,NA,NA
NA,NA,NA,NA,NA,1937.333,-19.31,-20.99,NA,NA
NA,NA,NA,NA,NA,1937.25,-20.16,-22.51,NA,NA
NA,NA,NA,NA,NA,1937.167,-22.13,-19.27,NA,NA
NA,NA,NA,NA,NA,1937.083,-18.54,-13.39,NA,NA
NA,NA,NA,NA,NA,1937,-13.35,-12.37,NA,NA
NA,NA,NA,NA,NA,1936.917,-12.4,-14.57,NA,NA
NA,NA,NA,NA,NA,1936.833,-15.97,-16.02,NA,NA
NA,NA,NA,NA,NA,1936.75,-15.97,-13.54,NA,NA
NA,NA,NA,NA,NA,1936.667,-13.47,-13.92,NA,NA
NA,NA,NA,NA,NA,1936.583,-12.47,-18.6,NA,NA
NA,NA,NA,NA,NA,1936.5,-16.47,-18.9,NA,NA
NA,NA,NA,NA,NA,1936.417,-19.81,-19.2,NA,NA
NA,NA,NA,NA,NA,1936.333,-20.81,-18.74,NA,NA
NA,NA,NA,NA,NA,1936.25,-19.6,-18.93,NA,NA
NA,NA,NA,NA,NA,1936.167,-17.69,-21.4,NA,NA
NA,NA,NA,NA,NA,1936.083,-16.77,-19.24,NA,NA
NA,NA,NA,NA,NA,1936,-17.02,-16.96,NA,NA
NA,NA,NA,NA,NA,1935.917,-17.39,-16.96,NA,NA
NA,NA,NA,NA,NA,1935.833,-14.48,-15.2,NA,NA
NA,NA,NA,NA,NA,1935.75,-10.25,-13.44,NA,NA
NA,NA,NA,NA,NA,1935.667,-9.42,-11.14,NA,NA
NA,NA,NA,NA,NA,1935.583,-8.81,-8.85,NA,NA
NA,NA,NA,NA,NA,1935.5,-11.33,-10.88,NA,NA
NA,NA,NA,NA,NA,1935.417,-13.88,-13.84,NA,NA
NA,NA,NA,NA,NA,1935.333,-14.72,-13.8,NA,NA
NA,NA,NA,NA,NA,1935.25,-13.57,-13.75,NA,NA
NA,NA,NA,NA,NA,1935.167,-12.52,-15.4,NA,NA
NA,NA,NA,NA,NA,1935.083,-16.17,-17.04,NA,NA
NA,NA,NA,NA,NA,1935,-17.03,-18.09,NA,NA
NA,NA,NA,NA,NA,1934.917,-18.27,-18.19,NA,NA
NA,NA,NA,NA,NA,1934.833,-17.93,-18.28,NA,NA
NA,NA,NA,NA,NA,1934.75,-16.55,-15.54,NA,NA
NA,NA,NA,NA,NA,1934.667,-14.07,-14.72,NA,NA
NA,NA,NA,NA,NA,1934.583,-12.77,-13.89,NA,NA
NA,NA,NA,NA,NA,1934.5,-12.58,-13.07,NA,NA
NA,NA,NA,NA,NA,1934.417,-14.7,-15.56,NA,NA
NA,NA,NA,NA,NA,1934.333,-20.79,-20.91,NA,NA
NA,NA,NA,NA,NA,1934.25,-20.74,-22.19,NA,NA
NA,NA,NA,NA,NA,1934.167,-18.63,-20.54,NA,NA
NA,NA,NA,NA,NA,1934.083,-17.47,-19.41,NA,NA
NA,NA,NA,NA,NA,1934,-15.81,-18.28,NA,NA
NA,NA,NA,NA,NA,1933.917,-14.1,-16.6,NA,NA
NA,NA,NA,NA,NA,1933.833,-13.82,-14.03,NA,NA
NA,NA,NA,NA,NA,1933.75,-13.97,-13.45,NA,NA
NA,NA,NA,NA,NA,1933.667,-14.49,-14.28,NA,NA
NA,NA,NA,NA,NA,1933.583,-14.31,-15.51,NA,NA
NA,NA,NA,NA,NA,1933.5,-18.01,-16.73,NA,NA
NA,NA,NA,NA,NA,1933.417,-22.94,-20.78,NA,NA
NA,NA,NA,NA,NA,1933.333,-25.17,-22.53,NA,NA
NA,NA,NA,NA,NA,1933.25,-24.05,-24.28,NA,NA
NA,NA,NA,NA,NA,1933.167,-22.74,-24.86,NA,NA
NA,NA,NA,NA,NA,1933.083,-21.76,-22.83,NA,NA
NA,NA,NA,NA,NA,1933,-20.9,-22.04,NA,NA
NA,NA,NA,NA,NA,1932.917,-18.3,-21.25,NA,NA
NA,NA,NA,NA,NA,1932.833,-16.84,-18.29,NA,NA
NA,NA,NA,NA,NA,1932.75,-13.58,-16.46,NA,NA
NA,NA,NA,NA,NA,1932.667,-10.65,-14.63,NA,NA
NA,NA,NA,NA,NA,1932.583,-13.17,-12.78,NA,NA
NA,NA,NA,NA,NA,1932.5,-12.67,-15.13,NA,NA
NA,NA,NA,NA,NA,1932.417,-13.27,-17.48,NA,NA
NA,NA,NA,NA,NA,1932.333,-19.94,-20.94,NA,NA
