year (AD),age (BP),year (AD),age (BP),year (AD),age (BP),year (AD),age (BP),year (AD),age (BP),d18O (missing),d18O (missing),d18O (missing),d18O (missing),d13C (missing),d13C (missing),d13C (missing),d13C (missing),d18O (missing)
-24582,26532,-24582,26532,-24582,26532,-24582,26532,-4960,6910,-2.99,-2.99,-2.99,-2.99,-4.77,-4.77,-4.77,-4.77,-2.76
-24963,26913,-24963,26913,-24963,26913,-24963,26913,-5000,6950,-2.23,-2.23,-2.23,-2.23,-3.91,-3.91,-3.91,-3.91,-2.37
-25154,27104,-25154,27104,-25154,27104,-25154,27104,-5050,7000,-2.88,-2.88,-2.88,-2.88,-5.42,-5.42,-5.42,-5.42,-2.48
-25344,27294,-25344,27294,-25344,27294,-25344,27294,-5090,7040,-2.31,-2.31,-2.31,-2.31,-4.61,-4.61,-4.61,-4.61,-2.79
-25535,27485,-25535,27485,-25535,27485,-25535,27485,-5140,7090,-2.31,-2.31,-2.31,-2.31,-5.05,-5.05,-5.05,-5.05,-2.5
-25725,27675,-25725,27675,-25725,27675,-25725,27675,-5190,7140,-1.96,-1.96,-1.96,-1.96,-4.8,-4.8,-4.8,-4.8,-2.87
-25916,27866,-25916,27866,-25916,27866,-25916,27866,-5230,7180,-2.04,-2.04,-2.04,-2.04,-4.6,-4.6,-4.6,-4.6,-2.51
-26106,28056,-26106,28056,-26106,28056,-26106,28056,-5280,7230,-2.38,-2.38,-2.38,-2.38,-5.03,-5.03,-5.03,-5.03,-2.36
-26280,28230,-26280,28230,-26280,28230,-26280,28230,-5320,7270,-2.69,-2.69,-2.69,-2.69,-4.96,-4.96,-4.96,-4.96,-2.64
-26429,28379,-26429,28379,-26429,28379,-26429,28379,-5360,7310,-2.91,-2.91,-2.91,-2.91,-5.4,-5.4,-5.4,-5.4,-2.75
-26578,28528,-26578,28528,-26578,28528,-26578,28528,-5400,7350,-2.77,-2.77,-2.77,-2.77,-4.78,-4.78,-4.78,-4.78,-2.52
-26728,28678,-26728,28678,-26728,28678,-26728,28678,-5430,7380,-2.86,-2.86,-2.86,-2.86,-4.79,-4.79,-4.79,-4.79,-2.35
-26877,28827,-26877,28827,-26877,28827,-26877,28827,-5470,7420,-2.24,-2.24,-2.24,-2.24,-4.91,-4.91,-4.91,-4.91,-2.14
-27027,28977,-27027,28977,-27027,28977,-27027,28977,-5510,7460,-1.75,-1.75,-1.75,-1.75,-5.13,-5.13,-5.13,-5.13,-2.24
-27176,29126,-27176,29126,-27176,29126,-27176,29126,-5550,7500,-1.83,-1.83,-1.83,-1.83,-4.84,-4.84,-4.84,-4.84,-2.8
-27325,29275,-27325,29275,-27325,29275,-27325,29275,-5590,7540,-2.18,-2.18,-2.18,-2.18,-4.39,-4.39,-4.39,-4.39,-2.11
-27475,29425,-27475,29425,-27475,29425,-27475,29425,-5630,7580,-2.78,-2.78,-2.78,-2.78,-5.15,-5.15,-5.15,-5.15,-1.86
-27624,29574,-27624,29574,-27624,29574,-27624,29574,-5800,7750,-3.46,-3.46,-3.46,-3.46,-5.11,-5.11,-5.11,-5.11,-2.16
-27774,29724,-27774,29724,-27774,29724,-27774,29724,-5960,7910,-2.97,-2.97,-2.97,-2.97,-4.46,-4.46,-4.46,-4.46,-2.34
-27923,29873,-27923,29873,-27923,29873,-27923,29873,-6120,8070,-3.18,-3.18,-3.18,-3.18,-5.1,-5.1,-5.1,-5.1,-2.4
-28072,30022,-28072,30022,-28072,30022,-28072,30022,-6290,8240,-3.28,-3.28,-3.28,-3.28,-5.01,-5.01,-5.01,-5.01,-2.39
-28222,30172,-28222,30172,-28222,30172,-28222,30172,-6450,8400,-3.31,-3.31,-3.31,-3.31,-4.86,-4.86,-4.86,-4.86,-2.2
-28371,30321,-28371,30321,-28371,30321,-28371,30321,-6470,8420,-3.45,-3.45,-3.45,-3.45,-4.56,-4.56,-4.56,-4.56,-2.17
-28521,30471,-28521,30471,-28521,30471,-28521,30471,-6490,8440,-3.55,-3.55,-3.55,-3.55,-4.63,-4.63,-4.63,-4.63,-2.6
-28670,30620,-28670,30620,-28670,30620,-28670,30620,-6500,8450,-3.42,-3.42,-3.42,-3.42,-5.3,-5.3,-5.3,-5.3,-1.75
-28969,30919,-28969,30919,-28969,30919,-28969,30919,-6520,8470,-2.22,-2.22,-2.22,-2.22,-4.45,-4.45,-4.45,-4.45,-1.76
-29118,31068,-29118,31068,-29118,31068,-29118,31068,-6540,8490,-1.38,-1.38,-1.38,-1.38,-3.69,-3.69,-3.69,-3.69,-1.84
-29267,31217,-29267,31217,-29267,31217,-29267,31217,-6550,8500,-3.17,-3.17,-3.17,-3.17,-5.14,-5.14,-5.14,-5.14,-1.82
-29417,31367,-29417,31367,-29417,31367,-29417,31367,-6570,8520,-2.56,-2.56,-2.56,-2.56,-4.9,-4.9,-4.9,-4.9,-2.66
-29566,31516,-29566,31516,-29566,31516,-29566,31516,-6590,8540,-3.18,-3.18,-3.18,-3.18,-5.42,-5.42,-5.42,-5.42,-2.34
-29716,31666,-29716,31666,-29716,31666,-29716,31666,-6600,8550,-2.71,-2.71,-2.71,-2.71,-5.38,-5.38,-5.38,-5.38,-2.66
-29865,31815,-29865,31815,-29865,31815,-29865,31815,-6620,8570,-2.97,-2.97,-2.97,-2.97,-4.93,-4.93,-4.93,-4.93,-2.84
-30105,32055,-30105,32055,-30105,32055,-30105,32055,-6640,8590,-2.99,-2.99,-2.99,-2.99,-4.96,-4.96,-4.96,-4.96,-2.72
-30355,32305,-30355,32305,-30355,32305,-30355,32305,-6650,8600,-2.54,-2.54,-2.54,-2.54,-4.61,-4.61,-4.61,-4.61,-2.38
-30606,32556,-30606,32556,-30606,32556,-30606,32556,-6670,8620,-2.4,-2.4,-2.4,-2.4,-4.47,-4.47,-4.47,-4.47,-2.11
-30856,32806,-30856,32806,-30856,32806,-30856,32806,-6690,8640,-2.54,-2.54,-2.54,-2.54,-5.01,-5.01,-5.01,-5.01,-1.9
-31106,33056,-31106,33056,-31106,33056,-31106,33056,-6700,8650,-2.92,-2.92,-2.92,-2.92,-5.31,-5.31,-5.31,-5.31,-1.7
-31356,33306,-31356,33306,-31356,33306,-31356,33306,-6720,8670,-3.14,-3.14,-3.14,-3.14,-5.55,-5.55,-5.55,-5.55,-1.95
-31606,33556,-31606,33556,-31606,33556,-31606,33556,-6730,8680,-3.06,-3.06,-3.06,-3.06,-5.72,-5.72,-5.72,-5.72,-1.92
-31857,33807,-31857,33807,-31857,33807,-31857,33807,-6750,8700,-3.5,-3.5,-3.5,-3.5,-5.69,-5.69,-5.69,-5.69,-1.97
-32107,34057,-32107,34057,-32107,34057,-32107,34057,-6770,8720,-3.38,-3.38,-3.38,-3.38,-5.53,-5.53,-5.53,-5.53,-2.44
-32357,34307,-32357,34307,-32357,34307,-32357,34307,-6780,8730,-2.71,-2.71,-2.71,-2.71,-5.54,-5.54,-5.54,-5.54,-1.98
-32607,34557,-32607,34557,-32607,34557,-32607,34557,-6800,8750,-2.42,-2.42,-2.42,-2.42,-5.67,-5.67,-5.67,-5.67,-1.95
-32857,34807,-32857,34807,-32857,34807,-32857,34807,-6820,8770,-2.66,-2.66,-2.66,-2.66,-5.06,-5.06,-5.06,-5.06,-2.08
-33108,35058,-33108,35058,-33108,35058,-33108,35058,-6830,8780,-2.77,-2.77,-2.77,-2.77,-4.78,-4.78,-4.78,-4.78,-2.05
-33358,35308,-33358,35308,-33358,35308,-33358,35308,-6850,8800,-2.98,-2.98,-2.98,-2.98,-4.93,-4.93,-4.93,-4.93,-1.99
-33608,35558,-33608,35558,-33608,35558,-33608,35558,-6870,8820,-2.39,-2.39,-2.39,-2.39,-4.47,-4.47,-4.47,-4.47,-1.86
-33858,35808,-33858,35808,-33858,35808,-33858,35808,-6880,8830,-2.76,-2.76,-2.76,-2.76,-5,-5,-5,-5,-2.07
-34108,36058,-34108,36058,-34108,36058,-34108,36058,-6980,8930,-3.2,-3.2,-3.2,-3.2,-5.27,-5.27,-5.27,-5.27,-2.18
-34359,36309,-34359,36309,-34359,36309,-34359,36309,-7070,9020,-2.42,-2.42,-2.42,-2.42,-5.67,-5.67,-5.67,-5.67,-2.11
-34609,36559,-34609,36559,-34609,36559,-34609,36559,-7160,9110,-2.96,-2.96,-2.96,-2.96,-5.71,-5.71,-5.71,-5.71,-2.08
-34859,36809,-34859,36809,-34859,36809,-34859,36809,-7250,9200,-3.62,-3.62,-3.62,-3.62,-6.23,-6.23,-6.23,-6.23,-2.26
-35109,37059,-35109,37059,-35109,37059,-35109,37059,-7350,9300,-3.17,-3.17,-3.17,-3.17,-6.04,-6.04,-6.04,-6.04,-2.31
-35359,37309,-35359,37309,-35359,37309,-35359,37309,-7440,9390,-2.85,-2.85,-2.85,-2.85,-5.5,-5.5,-5.5,-5.5,-2.24
-35610,37560,-35610,37560,-35610,37560,-35610,37560,-7530,9480,-3.05,-3.05,-3.05,-3.05,-5.36,-5.36,-5.36,-5.36,-2.29
-35860,37810,-35860,37810,-35860,37810,-35860,37810,-7620,9570,-4.01,-4.01,-4.01,-4.01,-5.66,-5.66,-5.66,-5.66,-2.39
-36110,38060,-36110,38060,-36110,38060,-36110,38060,-7720,9670,-3.63,-3.63,-3.63,-3.63,-5.26,-5.26,-5.26,-5.26,-2.04
-36299,38249,-36299,38249,-36299,38249,-36299,38249,-7810,9760,-3.59,-3.59,-3.59,-3.59,-5.47,-5.47,-5.47,-5.47,-1.94
-36490,38440,-36490,38440,-36490,38440,-36490,38440,-7900,9850,-3.06,-3.06,-3.06,-3.06,-5.2,-5.2,-5.2,-5.2,-1.73
-36680,38630,-36680,38630,-36680,38630,-36680,38630,-7990,9940,-3.22,-3.22,-3.22,-3.22,-5.46,-5.46,-5.46,-5.46,-1.8
-36870,38820,-36870,38820,-36870,38820,-36870,38820,-8090,10040,-3.15,-3.15,-3.15,-3.15,-5.18,-5.18,-5.18,-5.18,-2.04
-37060,39010,-37060,39010,-37060,39010,-37060,39010,1530,420,-3.56,-3.56,-3.56,-3.56,-5.7,-5.7,-5.7,-5.7,-3.89
-37250,39200,-37250,39200,-37250,39200,-37250,39200,1520,430,-3.59,-3.59,-3.59,-3.59,-5.61,-5.61,-5.61,-5.61,-3.94
-37440,39390,-37440,39390,-37440,39390,-37440,39390,1500,450,-3.41,-3.41,-3.41,-3.41,-5.54,-5.54,-5.54,-5.54,-4.16
-37630,39580,-37630,39580,-37630,39580,-37630,39580,1490,460,-3.31,-3.31,-3.31,-3.31,-5.58,-5.58,-5.58,-5.58,-3.62
-37820,39770,-37820,39770,-37820,39770,-37820,39770,1470,480,-2.81,-2.81,-2.81,-2.81,-5.52,-5.52,-5.52,-5.52,-3.54
-38010,39960,-38010,39960,-38010,39960,-38010,39960,1460,490,-4.28,-4.28,-4.28,-4.28,-6.13,-6.13,-6.13,-6.13,-3.85
-38200,40150,-38200,40150,-38200,40150,-38200,40150,1450,500,-3.88,-3.88,-3.88,-3.88,-6.24,-6.24,-6.24,-6.24,-3.87
-38390,40340,-38390,40340,-38390,40340,-38390,40340,1430,520,-3.96,-3.96,-3.96,-3.96,-6.1,-6.1,-6.1,-6.1,-3.61
-38580,40530,-38580,40530,-38580,40530,-38580,40530,1420,530,-4.36,-4.36,-4.36,-4.36,-5.9,-5.9,-5.9,-5.9,-3.7
-38770,40720,-38770,40720,-38770,40720,-38770,40720,1410,540,-4.73,-4.73,-4.73,-4.73,-5.99,-5.99,-5.99,-5.99,-3.91
-38960,40910,-38960,40910,-38960,40910,-38960,40910,1390,560,-4,-4,-4,-4,-5.39,-5.39,-5.39,-5.39,-3.34
-39150,41100,-39150,41100,-39150,41100,-39150,41100,1380,570,-4.31,-4.31,-4.31,-4.31,-5.47,-5.47,-5.47,-5.47,-3.58
-39340,41290,-39340,41290,-39340,41290,-39340,41290,1370,580,-4.52,-4.52,-4.52,-4.52,-5.18,-5.18,-5.18,-5.18,-3.45
-39530,41480,-39530,41480,-39530,41480,-39530,41480,1350,600,-5.41,-5.41,-5.41,-5.41,-6.02,-6.02,-6.02,-6.02,-3.77
-39720,41670,-39720,41670,-39720,41670,-39720,41670,1340,610,-5.23,-5.23,-5.23,-5.23,-5.35,-5.35,-5.35,-5.35,-3.85
-39910,41860,-39910,41860,-39910,41860,-39910,41860,1320,630,-4.84,-4.84,-4.84,-4.84,-5.97,-5.97,-5.97,-5.97,-3.56
-40100,42050,-40100,42050,-40100,42050,-40100,42050,1310,640,-4.27,-4.27,-4.27,-4.27,-5.13,-5.13,-5.13,-5.13,-3.7
-40290,42240,-40290,42240,-40290,42240,-40290,42240,1300,650,-3.88,-3.88,-3.88,-3.88,-5.28,-5.28,-5.28,-5.28,-3.96
-40480,42430,-40480,42430,-40480,42430,-40480,42430,1260,690,-3.68,-3.68,-3.68,-3.68,-5.16,-5.16,-5.16,-5.16,-3.94
-40671,42621,-40671,42621,-40671,42621,-40671,42621,1220,730,-3.94,-3.94,-3.94,-3.94,-5.3,-5.3,-5.3,-5.3,-3.87
-40861,42811,-40861,42811,-40861,42811,-40861,42811,1190,760,-4.5,-4.5,-4.5,-4.5,-5.88,-5.88,-5.88,-5.88,-3.91
-41051,43001,-41051,43001,-41051,43001,-41051,43001,1150,800,-4.31,-4.31,-4.31,-4.31,-5.15,-5.15,-5.15,-5.15,-3.56
-41241,43191,-41241,43191,-41241,43191,-41241,43191,1110,840,-3.93,-3.93,-3.93,-3.93,-5.21,-5.21,-5.21,-5.21,-3.83
-41431,43381,-41431,43381,-41431,43381,-41431,43381,1070,880,-3.6,-3.6,-3.6,-3.6,-5.4,-5.4,-5.4,-5.4,-3.62
-41621,43571,-41621,43571,-41621,43571,-41621,43571,1040,910,-4.46,-4.46,-4.46,-4.46,-5.53,-5.53,-5.53,-5.53,-3.98
-41811,43761,-41811,43761,-41811,43761,-41811,43761,1000,950,-2.86,-2.86,-2.86,-2.86,-4.98,-4.98,-4.98,-4.98,-4.03
-42001,43951,-42001,43951,-42001,43951,-42001,43951,960,990,-3.73,-3.73,-3.73,-3.73,-5.48,-5.48,-5.48,-5.48,-4.04
-42191,44141,-42191,44141,-42191,44141,-42191,44141,930,1020,-3.15,-3.15,-3.15,-3.15,-5.41,-5.41,-5.41,-5.41,-3.54
-42381,44331,-42381,44331,-42381,44331,-42381,44331,890,1060,-3.58,-3.58,-3.58,-3.58,-5.44,-5.44,-5.44,-5.44,-3.37
-42571,44521,-42571,44521,-42571,44521,-42571,44521,850,1100,-4.78,-4.78,-4.78,-4.78,-5.54,-5.54,-5.54,-5.54,-3.91
-42761,44711,-42761,44711,-42761,44711,-42761,44711,810,1140,-4.95,-4.95,-4.95,-4.95,-5.51,-5.51,-5.51,-5.51,-3.88
-42951,44901,-42951,44901,-42951,44901,-42951,44901,780,1170,-3.66,-3.66,-3.66,-3.66,-4.84,-4.84,-4.84,-4.84,-3.97
-43141,45091,-43141,45091,-43141,45091,-43141,45091,740,1210,-4.5,-4.5,-4.5,-4.5,-5.48,-5.48,-5.48,-5.48,-3.73
-43331,45281,-43331,45281,-43331,45281,-43331,45281,700,1250,-4.28,-4.28,-4.28,-4.28,-5.53,-5.53,-5.53,-5.53,-3.44
-43521,45471,-43521,45471,-43521,45471,-43521,45471,660,1290,-4.74,-4.74,-4.74,-4.74,-5.88,-5.88,-5.88,-5.88,-3.82
-43711,45661,-43711,45661,-43711,45661,-43711,45661,630,1320,-3.8,-3.8,-3.8,-3.8,-5.67,-5.67,-5.67,-5.67,-3.51
-43901,45851,-43901,45851,-43901,45851,-43901,45851,590,1360,-4.29,-4.29,-4.29,-4.29,-5.87,-5.87,-5.87,-5.87,-3.32
-44091,46041,-44091,46041,-44091,46041,-44091,46041,550,1400,-2.94,-2.94,-2.94,-2.94,-4.91,-4.91,-4.91,-4.91,-3.39
-44281,46231,-44281,46231,-44281,46231,-44281,46231,520,1430,-3.47,-3.47,-3.47,-3.47,-5.27,-5.27,-5.27,-5.27,-3.31
-44471,46421,-44471,46421,-44471,46421,-44471,46421,480,1470,-3.29,-3.29,-3.29,-3.29,-4.83,-4.83,-4.83,-4.83,-3.59
-44661,46611,-44661,46611,-44661,46611,-44661,46611,440,1510,-4.16,-4.16,-4.16,-4.16,-4.88,-4.88,-4.88,-4.88,-3.6
-45034,46984,-45034,46984,-45034,46984,-45034,46984,400,1550,-3.95,-3.95,-3.95,-3.95,-4.98,-4.98,-4.98,-4.98,-3.55
-45454,47404,-45454,47404,-45454,47404,-45454,47404,370,1580,-3.94,-3.94,-3.94,-3.94,-4.89,-4.89,-4.89,-4.89,-3.35
-45873,47823,-45873,47823,-45873,47823,-45873,47823,330,1620,-3.86,-3.86,-3.86,-3.86,-5.02,-5.02,-5.02,-5.02,-3.67
-46292,48242,-46292,48242,-46292,48242,-46292,48242,280,1670,-3.81,-3.81,-3.81,-3.81,-5.31,-5.31,-5.31,-5.31,-3.66
-46711,48661,-46711,48661,-46711,48661,-46711,48661,240,1710,-3.54,-3.54,-3.54,-3.54,-4.88,-4.88,-4.88,-4.88,-3.6
-47130,49080,-47130,49080,-47130,49080,-47130,49080,200,1750,-3.2,-3.2,-3.2,-3.2,-5.44,-5.44,-5.44,-5.44,-3.71
-47549,49499,-47549,49499,-47549,49499,-47549,49499,150,1800,-3.54,-3.54,-3.54,-3.54,-5.3,-5.3,-5.3,-5.3,-3.7
-47968,49918,-47968,49918,-47968,49918,-47968,49918,110,1840,-3.12,-3.12,-3.12,-3.12,-5.39,-5.39,-5.39,-5.39,-3.48
-48387,50337,-48387,50337,-48387,50337,-48387,50337,60,1890,-3.59,-3.59,-3.59,-3.59,-5.58,-5.58,-5.58,-5.58,-3.4
-48807,50757,-48807,50757,-48807,50757,-48807,50757,20,1930,-2.84,-2.84,-2.84,-2.84,-4.45,-4.45,-4.45,-4.45,-3.65
-49226,51176,-49226,51176,-49226,51176,-49226,51176,-20,1970,-2.95,-2.95,-2.95,-2.95,-4.83,-4.83,-4.83,-4.83,-3.74
-49645,51595,-49645,51595,-49645,51595,-49645,51595,-70,2020,-2.56,-2.56,-2.56,-2.56,-4.36,-4.36,-4.36,-4.36,-3.56
-50064,52014,-50064,52014,-50064,52014,-50064,52014,-110,2060,-2.32,-2.32,-2.32,-2.32,-3.49,-3.49,-3.49,-3.49,-3.46
-50483,52433,-50483,52433,-50483,52433,-50483,52433,-160,2110,-2.79,-2.79,-2.79,-2.79,-4.95,-4.95,-4.95,-4.95,-3.41
-50902,52852,-50902,52852,-50902,52852,-50902,52852,-200,2150,-2.32,-2.32,-2.32,-2.32,-5.6,-5.6,-5.6,-5.6,-3.7
-51321,53271,-51321,53271,-51321,53271,-51321,53271,-240,2190,-1.97,-1.97,-1.97,-1.97,-5.15,-5.15,-5.15,-5.15,-3.46
-51740,53690,-51740,53690,-51740,53690,-51740,53690,-290,2240,-1.81,-1.81,-1.81,-1.81,-4.29,-4.29,-4.29,-4.29,-3.53
-52160,54110,-52160,54110,-52160,54110,-52160,54110,-330,2280,-1.78,-1.78,-1.78,-1.78,-5.04,-5.04,-5.04,-5.04,-3.45
-52579,54529,-52579,54529,-52579,54529,-52579,54529,-380,2330,-1.76,-1.76,-1.76,-1.76,-5.15,-5.15,-5.15,-5.15,-3.53
-52998,54948,-52998,54948,-52998,54948,-52998,54948,-420,2370,-1.4,-1.4,-1.4,-1.4,-5,-5,-5,-5,-3.46
-53417,55367,-53417,55367,-53417,55367,-53417,55367,-460,2410,-1.94,-1.94,-1.94,-1.94,-4.61,-4.61,-4.61,-4.61,-3.65
-53836,55786,-53836,55786,-53836,55786,-53836,55786,-500,2450,-2.91,-2.91,-2.91,-2.91,-5.83,-5.83,-5.83,-5.83,-3.82
-54255,56205,-54255,56205,-54255,56205,-54255,56205,-540,2490,-2.84,-2.84,-2.84,-2.84,-5.41,-5.41,-5.41,-5.41,-3.68
-54674,56624,-54674,56624,-54674,56624,-54674,56624,-580,2530,-2.19,-2.19,-2.19,-2.19,-5.61,-5.61,-5.61,-5.61,-3.88
-55093,57043,-55093,57043,-55093,57043,-55093,57043,-620,2570,-1.71,-1.71,-1.71,-1.71,-5.43,-5.43,-5.43,-5.43,-3.2
-55513,57463,-55513,57463,-55513,57463,-55513,57463,-660,2610,-1.57,-1.57,-1.57,-1.57,-5.11,-5.11,-5.11,-5.11,-3.54
-55932,57882,-55932,57882,-55932,57882,-55932,57882,-700,2650,-1.92,-1.92,-1.92,-1.92,-5.44,-5.44,-5.44,-5.44,-3.5
-56351,58301,-56351,58301,-56351,58301,-56351,58301,-740,2690,-1.88,-1.88,-1.88,-1.88,-5.58,-5.58,-5.58,-5.58,-3.65
-56770,58720,-56770,58720,-56770,58720,-56770,58720,-780,2730,-2.94,-2.94,-2.94,-2.94,-5.52,-5.52,-5.52,-5.52,-3.65
-57189,59139,-57189,59139,-57189,59139,-57189,59139,-820,2770,-1.9,-1.9,-1.9,-1.9,-2.85,-2.85,-2.85,-2.85,-3.48
-57608,59558,-57608,59558,-57608,59558,-57608,59558,-860,2810,-3.16,-3.16,-3.16,-3.16,-4.78,-4.78,-4.78,-4.78,-3.7
-58027,59977,-58027,59977,-58027,59977,-58027,59977,-900,2850,-3,-3,-3,-3,-4.82,-4.82,-4.82,-4.82,-3.76
-58447,60397,-58447,60397,-58447,60397,-58447,60397,-940,2890,-3.39,-3.39,-3.39,-3.39,-5.51,-5.51,-5.51,-5.51,-3.43
-58866,60816,-58866,60816,-58866,60816,-58866,60816,-980,2930,-3.12,-3.12,-3.12,-3.12,-5.18,-5.18,-5.18,-5.18,-3.29
-59285,61235,-59285,61235,-59285,61235,-59285,61235,-1020,2970,-3.15,-3.15,-3.15,-3.15,-5.48,-5.48,-5.48,-5.48,-3.38
-59704,61654,-59704,61654,-59704,61654,-59704,61654,-1070,3020,-3.13,-3.13,-3.13,-3.13,-5.04,-5.04,-5.04,-5.04,-3.86
-60123,62073,-60123,62073,-60123,62073,-60123,62073,-1110,3060,-3.21,-3.21,-3.21,-3.21,-4.91,-4.91,-4.91,-4.91,-3.63
-60342,62292,-60342,62292,-60342,62292,-60342,62292,-1150,3100,-3.18,-3.18,-3.18,-3.18,-5.2,-5.2,-5.2,-5.2,-3.45
-60474,62424,-60474,62424,-60474,62424,-60474,62424,-1190,3140,-3.84,-3.84,-3.84,-3.84,-5.33,-5.33,-5.33,-5.33,-3.61
-60606,62556,-60606,62556,-60606,62556,-60606,62556,-1230,3180,-3.83,-3.83,-3.83,-3.83,-4.75,-4.75,-4.75,-4.75,-3.1
-60738,62688,-60738,62688,-60738,62688,-60738,62688,-1270,3220,-3.53,-3.53,-3.53,-3.53,-4.69,-4.69,-4.69,-4.69,-3.5
-60870,62820,-60870,62820,-60870,62820,-60870,62820,-1310,3260,-3.17,-3.17,-3.17,-3.17,-4.67,-4.67,-4.67,-4.67,-3.24
-61003,62953,-61003,62953,-61003,62953,-61003,62953,-1350,3300,-3.49,-3.49,-3.49,-3.49,-4.84,-4.84,-4.84,-4.84,-3.86
-61135,63085,-61135,63085,-61135,63085,-61135,63085,-1390,3340,-2.87,-2.87,-2.87,-2.87,-5.11,-5.11,-5.11,-5.11,-3.39
-61267,63217,-61267,63217,-61267,63217,-61267,63217,-1430,3380,-3.39,-3.39,-3.39,-3.39,-5.41,-5.41,-5.41,-5.41,-3.44
-61399,63349,-61399,63349,-61399,63349,-61399,63349,-1470,3420,-3.3,-3.3,-3.3,-3.3,-4.72,-4.72,-4.72,-4.72,-3.25
-61531,63481,-61531,63481,-61531,63481,-61531,63481,-1510,3460,-3.16,-3.16,-3.16,-3.16,-4.84,-4.84,-4.84,-4.84,-3.25
-61664,63614,-61664,63614,-61664,63614,-61664,63614,-1550,3500,-2.57,-2.57,-2.57,-2.57,-4.37,-4.37,-4.37,-4.37,-3.38
-61796,63746,-61796,63746,-61796,63746,-61796,63746,-1590,3540,-3.73,-3.73,-3.73,-3.73,-5.85,-5.85,-5.85,-5.85,-3.41
-61928,63878,-61928,63878,-61928,63878,-61928,63878,-1630,3580,-3.22,-3.22,-3.22,-3.22,-4.87,-4.87,-4.87,-4.87,-3.65
-62060,64010,-62060,64010,-62060,64010,-62060,64010,-1670,3620,-3.49,-3.49,-3.49,-3.49,-5.03,-5.03,-5.03,-5.03,-3.34
-62192,64142,-62192,64142,-62192,64142,-62192,64142,-1720,3670,-3.79,-3.79,-3.79,-3.79,-5.12,-5.12,-5.12,-5.12,-3.14
-62324,64274,-62324,64274,-62324,64274,-62324,64274,-1760,3710,-2.99,-2.99,-2.99,-2.99,-4.67,-4.67,-4.67,-4.67,-3.07
-62457,64407,-62457,64407,-62457,64407,-62457,64407,-1800,3750,-3.08,-3.08,-3.08,-3.08,-5.08,-5.08,-5.08,-5.08,-3.13
-62589,64539,-62589,64539,-62589,64539,-62589,64539,-1840,3790,-2.56,-2.56,-2.56,-2.56,-4.56,-4.56,-4.56,-4.56,-3.14
-62721,64671,-62721,64671,-62721,64671,-62721,64671,-1880,3830,-3.46,-3.46,-3.46,-3.46,-4.57,-4.57,-4.57,-4.57,-3.19
-62853,64803,-62853,64803,-62853,64803,-62853,64803,-1920,3870,-2.92,-2.92,-2.92,-2.92,-4.75,-4.75,-4.75,-4.75,-3.39
-62985,64935,-62985,64935,-62985,64935,-62985,64935,-1960,3910,-3.91,-3.91,-3.91,-3.91,-5.7,-5.7,-5.7,-5.7,-3.61
-63118,65068,-63118,65068,-63118,65068,-63118,65068,-2010,3960,-3.16,-3.16,-3.16,-3.16,-4.37,-4.37,-4.37,-4.37,-3.16
-63250,65200,-63250,65200,-63250,65200,-63250,65200,-2060,4010,-3.14,-3.14,-3.14,-3.14,-4.11,-4.11,-4.11,-4.11,-3.4
-63382,65332,-63382,65332,-63382,65332,-63382,65332,-2110,4060,-3.25,-3.25,-3.25,-3.25,-5,-5,-5,-5,-3.43
-63514,65464,-63514,65464,-63514,65464,-63514,65464,-2170,4120,-2.07,-2.07,-2.07,-2.07,-3.61,-3.61,-3.61,-3.61,-3.21
-63646,65596,-63646,65596,-63646,65596,-63646,65596,-2220,4170,-3.35,-3.35,-3.35,-3.35,-4.78,-4.78,-4.78,-4.78,-3.42
-63779,65729,-63779,65729,-63779,65729,-63779,65729,-2270,4220,-0.36,-0.36,-0.36,-0.36,-3.47,-3.47,-3.47,-3.47,-3.46
-63911,65861,-63911,65861,-63911,65861,-63911,65861,-2320,4270,-0.23,-0.23,-0.23,-0.23,-3.33,-3.33,-3.33,-3.33,-3.33
-64043,65993,-64043,65993,-64043,65993,-64043,65993,-2370,4320,-2.01,-2.01,-2.01,-2.01,-4.3,-4.3,-4.3,-4.3,-3.17
-64175,66125,-64175,66125,-64175,66125,-64175,66125,-2420,4370,-2.33,-2.33,-2.33,-2.33,-4.32,-4.32,-4.32,-4.32,-3.38
-64307,66257,-64307,66257,-64307,66257,-64307,66257,-2470,4420,-2.77,-2.77,-2.77,-2.77,-4.49,-4.49,-4.49,-4.49,-3.47
-64572,66522,-64572,66522,-64572,66522,-64572,66522,-2530,4480,-3.33,-3.33,-3.33,-3.33,-5.45,-5.45,-5.45,-5.45,-3.34
-64704,66654,-64704,66654,-64704,66654,-64704,66654,-2580,4530,-3.02,-3.02,-3.02,-3.02,-5.35,-5.35,-5.35,-5.35,-3.13
-64836,66786,-64836,66786,-64836,66786,-64836,66786,-2630,4580,-3.16,-3.16,-3.16,-3.16,-5.05,-5.05,-5.05,-5.05,-2.88
-64968,66918,-64968,66918,-64968,66918,-64968,66918,-2680,4630,-2.88,-2.88,-2.88,-2.88,-4.85,-4.85,-4.85,-4.85,-3.2
-65233,67183,-65233,67183,-65233,67183,-65233,67183,-2730,4680,-3.72,-3.72,-3.72,-3.72,-5.58,-5.58,-5.58,-5.58,-3.02
