year (AD),age (BP),depth (m),dust (percent),AlProp (missing),SiProp (missing),KProp (missing),CaProp (missing),TiProp (missing),FeProp (missing),UncertaintyDust0x5B0x250x5D0x28Plus0x29 (missing),UncertaintyDust0x5B0x250x5D0x28Minus0x29 (missing)
-28580,30530,3.41,37.7,0.199,0.546,0.026,0.124,0.013,0.093,3.4,4.5
-28660,30610,3.42,28,0.213,0.532,0.027,0.115,0.013,0.1,3.4,4.4
-28750,30700,3.43,28.7,0.237,0.549,0.021,0.098,0.011,0.084,2.6,3.4
-28840,30790,3.44,33.4,0.224,0.549,0.023,0.114,0.011,0.08,3.1,4
-28920,30870,3.45,35.2,0.22,0.552,0.024,0.115,0.011,0.078,3.1,4
-29010,30960,3.46,36.2,0.224,0.558,0.023,0.105,0.011,0.079,2.7,3.5
-29090,31040,3.47,37.9,0.22,0.56,0.023,0.107,0.012,0.079,2.7,3.5
-29180,31130,3.48,34.4,0.225,0.554,0.023,0.106,0.011,0.081,2.8,3.6
-29260,31210,3.49,32.9,0.231,0.553,0.024,0.105,0.011,0.076,2.7,3.6
-29350,31300,3.5,32.7,0.238,0.558,0.023,0.097,0.011,0.073,2.4,3.1
-29400,31350,3.51,38.2,0.226,0.566,0.023,0.098,0.011,0.076,2.3,3.1
-29450,31400,3.52,35.6,0.23,0.561,0.024,0.099,0.012,0.075,2.5,3.2
-29500,31450,3.53,35.9,0.239,0.57,0.023,0.082,0.012,0.074,1.8,2.4
-29560,31510,3.54,30.7,0.245,0.558,0.022,0.089,0.011,0.075,2.2,2.8
-29610,31560,3.55,39.3,0.223,0.567,0.023,0.099,0.011,0.077,2.3,3.1
-29660,31610,3.56,31.3,0.231,0.549,0.024,0.108,0.011,0.079,2.9,3.7
-29710,31660,3.57,32.7,0.246,0.569,0.022,0.071,0.012,0.08,1.5,2
-29770,31720,3.58,32.8,0.2,0.542,0.029,0.098,0.016,0.114,2.7,3.5
-29820,31770,3.59,34.6,0.196,0.539,0.028,0.116,0.016,0.106,3.3,4.3
-29920,31870,3.61,29.2,0.215,0.539,0.029,0.098,0.015,0.104,2.7,3.5
-29980,31930,3.62,26,0.226,0.543,0.028,0.076,0.017,0.111,2,2.6
-30030,31980,3.63,29.3,0.217,0.543,0.029,0.088,0.017,0.106,2.4,3.1
-30080,32030,3.64,37.6,0.208,0.563,0.026,0.078,0.016,0.109,1.7,2.4
-30130,32080,3.65,34.1,0.209,0.554,0.028,0.081,0.017,0.112,2,2.6
-30190,32140,3.66,26.3,0.235,0.549,0.025,0.072,0.015,0.105,1.8,2.3
-30240,32190,3.67,38.6,0.21,0.567,0.026,0.077,0.015,0.106,1.6,2.3
-30290,32240,3.68,26.3,0.234,0.545,0.026,0.081,0.015,0.099,2.1,2.8
-30340,32290,3.69,26.1,0.227,0.541,0.024,0.09,0.015,0.105,2.5,3.2
-30390,32340,3.7,20.7,0.243,0.533,0.023,0.093,0.014,0.095,2.7,3.4
-30450,32400,3.71,30.9,0.227,0.551,0.024,0.09,0.014,0.094,2.3,3.1
-30500,32450,3.72,29.5,0.218,0.545,0.026,0.088,0.016,0.107,2.3,3.1
-30550,32500,3.73,36.5,0.197,0.553,0.026,0.09,0.016,0.118,2.2,3
-30600,32550,3.74,34.7,0.215,0.553,0.024,0.098,0.015,0.095,2.6,3.3
-30660,32610,3.75,27.7,0.232,0.547,0.024,0.085,0.014,0.098,2.2,2.9
-30710,32660,3.76,30.5,0.222,0.55,0.025,0.085,0.015,0.103,2.1,2.9
-30760,32710,3.77,29.2,0.226,0.546,0.023,0.094,0.015,0.097,2.5,3.3
-30810,32760,3.78,30.2,0.227,0.549,0.024,0.091,0.014,0.094,2.4,3.1
-30870,32820,3.79,31.8,0.217,0.549,0.024,0.094,0.015,0.103,2.4,3.3
-30920,32870,3.8,30,0.221,0.545,0.025,0.097,0.014,0.097,2.6,3.5
-30970,32920,3.81,32.6,0.217,0.548,0.025,0.101,0.015,0.096,2.7,3.5
-31020,32970,3.82,20.2,0.241,0.531,0.023,0.095,0.014,0.096,2.8,3.5
-31080,33030,3.83,29.1,0.222,0.542,0.024,0.101,0.015,0.096,2.8,3.7
-31130,33080,3.84,34.9,0.215,0.552,0.024,0.102,0.014,0.092,2.7,3.4
-31180,33130,3.85,34.9,0.214,0.554,0.023,0.096,0.015,0.097,2.5,3.2
-31230,33180,3.86,23.1,0.238,0.538,0.023,0.088,0.015,0.099,2.4,3.1
-31280,33230,3.87,28.5,0.225,0.543,0.024,0.097,0.015,0.096,2.6,3.5
-31340,33290,3.88,31.3,0.221,0.552,0.024,0.084,0.015,0.104,2.1,2.8
-31390,33340,3.89,32.4,0.21,0.547,0.025,0.095,0.016,0.107,2.5,3.3
-31440,33390,3.9,24.5,0.227,0.537,0.024,0.09,0.016,0.106,2.6,3.3
-31490,33440,3.91,26.9,0.223,0.541,0.026,0.088,0.015,0.107,2.4,3.1
-31550,33500,3.92,22.7,0.232,0.535,0.025,0.087,0.016,0.106,2.5,3.2
-31600,33550,3.93,31.4,0.218,0.548,0.026,0.093,0.015,0.1,2.4,3.2
-31650,33600,3.94,25.1,0.234,0.54,0.024,0.091,0.014,0.097,2.5,3.2
-31700,33650,3.95,24.8,0.24,0.544,0.024,0.083,0.014,0.095,2.2,2.8
-31760,33710,3.96,27.2,0.235,0.546,0.024,0.09,0.014,0.092,2.3,3.1
-31810,33760,3.97,36,0.21,0.554,0.024,0.099,0.015,0.099,2.5,3.3
-31910,33860,3.99,28.3,0.227,0.543,0.024,0.099,0.014,0.093,2.7,3.6
-31970,33920,4,25,0.233,0.536,0.024,0.104,0.013,0.09,3,3.8
-32020,33970,4.01,29.4,0.218,0.539,0.025,0.108,0.014,0.096,3.1,4
-32070,34020,4.02,28.7,0.218,0.539,0.026,0.104,0.014,0.1,2.9,3.9
-32120,34070,4.03,29.5,0.209,0.534,0.025,0.115,0.014,0.103,3.4,4.4
-32180,34130,4.04,28.5,0.208,0.531,0.026,0.116,0.014,0.105,3.5,4.5
-32230,34180,4.05,31.1,0.212,0.541,0.023,0.11,0.014,0.1,3.1,4
-32280,34230,4.06,29.1,0.212,0.536,0.026,0.108,0.015,0.103,3.1,4.1
-32330,34280,4.07,32.7,0.203,0.541,0.024,0.112,0.014,0.106,3.1,4.1
-32380,34330,4.08,18.9,0.22,0.513,0.026,0.119,0.015,0.106,4,4.9
-32440,34390,4.09,23.1,0.206,0.516,0.028,0.121,0.017,0.112,4,5
-32490,34440,4.1,24.1,0.212,0.523,0.027,0.113,0.017,0.108,3.6,4.5
-32540,34490,4.11,24.4,0.207,0.529,0.029,0.089,0.018,0.129,2.7,3.3
-32590,34540,4.12,18.6,0.226,0.524,0.029,0.079,0.019,0.124,2.4,2.9
-32650,34600,4.13,20.9,0.224,0.529,0.029,0.078,0.019,0.121,2.3,2.9
-32700,34650,4.14,16.2,0.241,0.525,0.029,0.076,0.018,0.111,2.3,2.8
-32750,34700,4.15,28.9,0.214,0.545,0.029,0.076,0.017,0.119,2,2.6
-32800,34750,4.16,28.1,0.225,0.546,0.028,0.078,0.017,0.106,2,2.6
-32860,34810,4.17,28.5,0.23,0.551,0.025,0.073,0.016,0.106,1.7,2.4
-32910,34860,4.18,25.1,0.233,0.542,0.026,0.081,0.016,0.102,2.2,2.8
-32960,34910,4.19,25.5,0.237,0.546,0.025,0.076,0.016,0.101,2,2.6
-33010,34960,4.2,26.6,0.234,0.545,0.026,0.082,0.016,0.098,2.1,2.8
-33070,35020,4.21,23.9,0.231,0.536,0.026,0.092,0.015,0.102,2.6,3.3
-33120,35070,4.22,20.6,0.243,0.533,0.025,0.091,0.014,0.093,2.7,3.3
-33170,35120,4.23,28.3,0.23,0.547,0.025,0.086,0.015,0.097,2.2,3
-33220,35170,4.24,29.1,0.234,0.552,0.026,0.081,0.014,0.094,2,2.7
-33270,35220,4.25,27.9,0.228,0.541,0.026,0.102,0.013,0.091,2.8,3.7
-33330,35280,4.26,33.4,0.216,0.547,0.025,0.107,0.014,0.091,2.9,3.7
-33380,35330,4.27,28.1,0.219,0.537,0.027,0.105,0.015,0.098,3,3.9
-33430,35380,4.28,24.5,0.228,0.536,0.023,0.096,0.013,0.103,2.8,3.5
-33480,35430,4.29,26.5,0.23,0.538,0.023,0.108,0.013,0.089,3.1,4
-33540,35490,4.3,31.9,0.224,0.55,0.024,0.098,0.014,0.091,2.6,3.3
-33590,35540,4.31,26.6,0.224,0.536,0.024,0.107,0.014,0.096,3.1,4
-33640,35590,4.32,23.5,0.237,0.535,0.022,0.103,0.013,0.09,3,3.8
-33690,35640,4.33,27.4,0.236,0.546,0.024,0.092,0.013,0.09,2.4,3.2
-33750,35700,4.34,29,0.234,0.55,0.024,0.086,0.014,0.092,2.2,2.9
-33800,35750,4.35,30.8,0.226,0.554,0.026,0.078,0.015,0.101,1.9,2.6
-33850,35800,4.36,30.7,0.233,0.556,0.025,0.078,0.015,0.094,1.9,2.5
-33900,35850,4.37,30.9,0.223,0.553,0.026,0.078,0.015,0.105,1.9,2.6
-33960,35910,4.38,24.1,0.246,0.546,0.026,0.075,0.015,0.094,1.9,2.5
-34010,35960,4.39,25.3,0.25,0.553,0.024,0.068,0.015,0.091,1.6,2.1
-34060,36010,4.4,24.1,0.253,0.552,0.023,0.067,0.014,0.091,1.6,2.1
-34110,36060,4.41,23.7,0.255,0.551,0.024,0.069,0.014,0.089,1.6,2.2
-34160,36110,4.42,36.6,0.235,0.575,0.022,0.068,0.013,0.087,1.4,1.9
-34220,36170,4.43,23.3,0.246,0.543,0.024,0.08,0.014,0.093,2.1,2.7
-34270,36220,4.44,25.2,0.25,0.55,0.023,0.077,0.013,0.087,1.9,2.5
-34320,36270,4.45,31.5,0.231,0.558,0.023,0.079,0.014,0.095,1.9,2.5
-34370,36320,4.46,19.3,0.252,0.537,0.024,0.079,0.015,0.095,2.2,2.7
-34430,36380,4.47,29.1,0.228,0.55,0.027,0.079,0.015,0.101,2,2.6
-34480,36430,4.48,36.2,0.209,0.552,0.027,0.105,0.014,0.094,2.7,3.6
-34530,36480,4.49,28.1,0.215,0.536,0.023,0.108,0.015,0.104,3.1,4.1
-34580,36530,4.5,30.7,0.211,0.539,0.026,0.109,0.014,0.102,3.1,4
-34640,36590,4.51,19.9,0.223,0.517,0.026,0.119,0.015,0.102,3.9,4.9
-34690,36640,4.52,23.9,0.21,0.521,0.027,0.118,0.015,0.109,3.8,4.8
-34740,36690,4.53,25.9,0.219,0.528,0.025,0.122,0.013,0.093,3.8,4.8
-34790,36740,4.54,28.4,0.205,0.529,0.024,0.12,0.014,0.107,3.6,4.7
-34850,36800,4.55,28.8,0.22,0.539,0.023,0.108,0.013,0.096,3,4
-34900,36850,4.56,27.8,0.218,0.536,0.024,0.108,0.013,0.1,3.1,4.1
-34950,36900,4.57,28.7,0.215,0.538,0.025,0.104,0.014,0.104,2.9,3.8
-35000,36950,4.58,24.7,0.224,0.532,0.026,0.104,0.014,0.1,3.1,3.9
-35060,37010,4.59,33,0.216,0.549,0.026,0.101,0.013,0.096,2.7,3.5
-35110,37060,4.6,28.5,0.217,0.539,0.025,0.103,0.014,0.103,2.9,3.8
-35160,37110,4.61,36.1,0.208,0.551,0.026,0.107,0.014,0.095,2.8,3.7
-35210,37160,4.62,29.2,0.21,0.531,0.025,0.123,0.014,0.097,3.7,4.8
-35260,37210,4.63,32.6,0.206,0.541,0.025,0.11,0.015,0.103,3.1,4
-35320,37270,4.64,19.8,0.24,0.529,0.023,0.097,0.014,0.098,2.9,3.6
-35370,37320,4.65,29.5,0.227,0.547,0.024,0.093,0.014,0.095,2.5,3.3
-35420,37370,4.66,29.3,0.222,0.545,0.025,0.092,0.016,0.101,2.4,3.2
-35470,37420,4.67,29.9,0.222,0.545,0.025,0.096,0.015,0.097,2.6,3.4
-35580,37530,4.69,28.3,0.214,0.533,0.025,0.114,0.015,0.1,3.3,4.4
-35630,37580,4.7,31.9,0.208,0.539,0.025,0.115,0.015,0.098,3.3,4.3
-35680,37630,4.71,31.5,0.22,0.548,0.026,0.094,0.015,0.098,2.5,3.3
-35740,37690,4.72,25.2,0.203,0.524,0.026,0.11,0.016,0.121,3.5,4.3
-35790,37740,4.73,28.8,0.212,0.54,0.027,0.091,0.017,0.114,2.5,3.2
-35840,37790,4.74,22.2,0.237,0.537,0.026,0.078,0.016,0.105,2.2,2.8
-35890,37840,4.75,21.9,0.24,0.539,0.025,0.077,0.016,0.103,2.1,2.7
-35950,37900,4.76,24.9,0.24,0.546,0.025,0.074,0.016,0.099,1.9,2.5
-36000,37950,4.77,23.4,0.234,0.54,0.026,0.076,0.016,0.107,2,2.6
-36050,38000,4.78,19.2,0.24,0.534,0.024,0.075,0.016,0.112,2.1,2.6
-36100,38050,4.79,21.4,0.247,0.543,0.025,0.066,0.016,0.103,1.7,2.2
-36150,38100,4.8,23.8,0.238,0.543,0.024,0.076,0.015,0.104,2,2.6
-36210,38160,4.81,29.9,0.232,0.557,0.024,0.068,0.016,0.103,1.5,2.1
-36260,38210,4.82,25.8,0.232,0.547,0.026,0.069,0.016,0.111,1.7,2.2
-36310,38260,4.83,19.2,0.261,0.543,0.023,0.065,0.015,0.093,1.6,2.1
-36360,38310,4.84,30.7,0.241,0.563,0.024,0.066,0.015,0.091,1.4,1.9
-36420,38370,4.85,28.3,0.241,0.556,0.025,0.068,0.015,0.095,1.5,2.1
-36470,38420,4.86,20.3,0.249,0.54,0.025,0.07,0.015,0.101,1.9,2.3
-36520,38470,4.87,23.1,0.241,0.545,0.026,0.066,0.016,0.108,1.7,2.2
-36570,38520,4.88,24.9,0.235,0.547,0.026,0.066,0.015,0.112,1.6,2.1
-36630,38580,4.89,25.5,0.232,0.543,0.025,0.083,0.014,0.103,2.2,2.8
-36680,38630,4.9,29.4,0.23,0.55,0.026,0.086,0.015,0.094,2.2,2.9
-36730,38680,4.91,23.6,0.248,0.545,0.024,0.08,0.014,0.09,2.1,2.7
-36780,38730,4.92,22.4,0.252,0.545,0.024,0.073,0.014,0.092,1.9,2.4
-36840,38790,4.93,28.9,0.236,0.555,0.024,0.074,0.015,0.097,1.7,2.4
-36890,38840,4.94,22.1,0.23,0.529,0.026,0.102,0.014,0.099,3.1,3.9
-36940,38890,4.95,23.5,0.229,0.536,0.027,0.084,0.017,0.107,2.4,3
-36990,38940,4.96,30.3,0.225,0.547,0.025,0.096,0.014,0.093,2.6,3.4
-37040,38990,4.97,29.9,0.22,0.547,0.026,0.089,0.014,0.104,2.3,3.1
-37150,39100,4.99,28.9,0.213,0.536,0.027,0.108,0.015,0.102,3.1,4.1
-37200,39150,5,32,0.214,0.545,0.025,0.101,0.014,0.1,2.7,3.6
-37250,39200,5.01,26,0.224,0.532,0.027,0.114,0.013,0.091,3.4,4.4
-37310,39260,5.02,34,0.203,0.537,0.026,0.13,0.013,0.091,3.8,4.9
-37360,39310,5.03,24.1,0.221,0.523,0.027,0.126,0.013,0.09,4,5.1
-37410,39360,5.04,32.9,0.209,0.537,0.026,0.13,0.013,0.086,3.8,4.9
-37460,39410,5.05,47.1,0.189,0.561,0.028,0.125,0.013,0.085,3.1,4.1
-37520,39470,5.06,48.3,0.197,0.571,0.027,0.116,0.013,0.078,2.7,3.6
-37570,39520,5.07,48.2,0.198,0.571,0.025,0.116,0.012,0.077,2.7,3.7
-37620,39570,5.08,49.9,0.205,0.584,0.026,0.1,0.012,0.074,2.1,2.8
-37670,39620,5.09,49.3,0.205,0.584,0.026,0.095,0.013,0.078,2,2.7
-37730,39680,5.1,56.8,0.195,0.599,0.028,0.091,0.012,0.075,1.6,2.3
-37790,39740,5.11,44.1,0.213,0.575,0.027,0.092,0.013,0.08,2,2.7
-37850,39800,5.12,42.6,0.221,0.576,0.026,0.089,0.012,0.075,1.9,2.6
-37920,39870,5.13,51.1,0.22,0.603,0.028,0.068,0.013,0.069,1,1.6
-37980,39930,5.14,55.9,0.21,0.616,0.027,0.058,0.013,0.077,0.6,1.1
-38040,39990,5.15,51.3,0.224,0.607,0.028,0.062,0.013,0.067,0.8,1.3
-38110,40060,5.16,60.4,0.207,0.621,0.027,0.066,0.014,0.066,0.7,1.3
-38170,40120,5.17,59.4,0.204,0.618,0.027,0.065,0.014,0.072,0.7,1.3
-38300,40250,5.19,52.8,0.204,0.597,0.027,0.078,0.014,0.08,1.4,1.9
-38360,40310,5.2,50.9,0.211,0.594,0.028,0.083,0.013,0.072,1.5,2.1
-38420,40370,5.21,36.8,0.22,0.557,0.027,0.104,0.013,0.079,2.6,3.5
-38490,40440,5.22,43.8,0.202,0.564,0.026,0.11,0.014,0.083,2.6,3.5
-38550,40500,5.23,40.4,0.217,0.567,0.027,0.096,0.013,0.08,2.2,3
-38610,40560,5.24,40.4,0.216,0.567,0.025,0.094,0.013,0.084,2.2,2.9
-38680,40630,5.25,28.5,0.225,0.539,0.025,0.111,0.013,0.087,3.2,4.1
-38740,40690,5.26,31.4,0.222,0.547,0.026,0.102,0.013,0.09,2.8,3.6
-38800,40750,5.27,30.7,0.223,0.548,0.026,0.095,0.013,0.095,2.5,3.3
-38870,40820,5.28,27.5,0.234,0.544,0.025,0.096,0.014,0.088,2.6,3.4
-38930,40880,5.29,27.5,0.231,0.543,0.025,0.095,0.014,0.092,2.6,3.4
-38990,40940,5.3,29.1,0.22,0.54,0.027,0.105,0.014,0.094,3,3.9
-39060,41010,5.31,26.6,0.221,0.532,0.025,0.115,0.013,0.093,3.4,4.4
-39120,41070,5.32,27.3,0.221,0.537,0.026,0.103,0.013,0.101,2.9,3.8
-39180,41130,5.33,31.3,0.208,0.542,0.025,0.102,0.013,0.11,2.8,3.7
-39250,41200,5.34,24.1,0.233,0.541,0.025,0.081,0.014,0.107,2.2,2.8
-39310,41260,5.35,25.5,0.232,0.541,0.026,0.089,0.014,0.099,2.5,3.2
-39370,41320,5.36,30.4,0.222,0.549,0.025,0.087,0.014,0.104,2.2,3
-39440,41390,5.37,35.2,0.214,0.558,0.026,0.084,0.014,0.104,2,2.7
-39500,41450,5.38,27.6,0.234,0.547,0.025,0.087,0.014,0.095,2.2,3
-39560,41510,5.39,30.5,0.221,0.551,0.025,0.084,0.014,0.106,2.1,2.8
-39630,41580,5.4,23.6,0.228,0.535,0.026,0.09,0.015,0.107,2.6,3.3
-39690,41640,5.41,32.4,0.214,0.55,0.025,0.087,0.016,0.107,2.2,2.9
-39750,41700,5.42,39.8,0.205,0.563,0.027,0.09,0.015,0.1,2.1,2.8
-39820,41770,5.43,30.4,0.234,0.555,0.024,0.082,0.014,0.091,2,2.6
-39880,41830,5.44,33.2,0.228,0.559,0.024,0.084,0.014,0.091,2,2.6
-39940,41890,5.45,29.1,0.228,0.551,0.025,0.079,0.014,0.103,1.9,2.6
-40010,41960,5.46,34.6,0.228,0.564,0.025,0.078,0.014,0.091,1.8,2.3
-40070,42020,5.47,37.1,0.224,0.569,0.026,0.075,0.014,0.093,1.6,2.2
-40130,42080,5.48,25.8,0.236,0.546,0.026,0.077,0.015,0.101,2,2.6
-40200,42150,5.49,19.9,0.242,0.537,0.025,0.072,0.014,0.111,2,2.4
-40260,42210,5.5,32.2,0.227,0.558,0.025,0.079,0.014,0.097,1.9,2.5
-40320,42270,5.51,31.2,0.225,0.553,0.026,0.083,0.015,0.099,2,2.7
-40390,42340,5.52,27.7,0.231,0.548,0.026,0.079,0.015,0.101,2,2.7
-40450,42400,5.53,24.4,0.233,0.541,0.025,0.083,0.014,0.105,2.3,2.9
-40520,42470,5.54,39,0.217,0.568,0.026,0.083,0.014,0.092,1.8,2.5
-40580,42530,5.55,31.1,0.229,0.554,0.025,0.084,0.014,0.094,2.1,2.8
-40640,42590,5.56,28.6,0.238,0.552,0.025,0.084,0.014,0.088,2.1,2.8
-40710,42660,5.57,37.7,0.212,0.561,0.026,0.09,0.014,0.097,2.1,2.9
-40770,42720,5.58,31.7,0.224,0.551,0.025,0.093,0.013,0.095,2.4,3.1
-40830,42780,5.59,30,0.229,0.549,0.025,0.093,0.013,0.091,2.4,3.2
-40900,42850,5.6,29.4,0.232,0.552,0.023,0.084,0.013,0.095,2.1,2.8
-40960,42910,5.61,35.7,0.212,0.553,0.026,0.101,0.014,0.094,2.6,3.4
-41020,42970,5.62,33.7,0.22,0.552,0.026,0.1,0.014,0.089,2.6,3.4
-41090,43040,5.63,33.4,0.225,0.554,0.024,0.097,0.013,0.087,2.5,3.2
-41150,43100,5.64,36.9,0.206,0.556,0.026,0.094,0.014,0.104,2.3,3.1
-41210,43160,5.65,29.6,0.239,0.555,0.025,0.083,0.014,0.086,2,2.7
-41280,43230,5.66,34.5,0.225,0.56,0.025,0.084,0.014,0.092,2,2.6
-41340,43290,5.67,32.1,0.226,0.556,0.025,0.083,0.014,0.097,2,2.7
-41400,43350,5.68,34.3,0.213,0.555,0.028,0.086,0.014,0.105,2.1,2.8
-41470,43420,5.69,27.6,0.24,0.555,0.025,0.066,0.014,0.101,1.5,2.1
-41530,43480,5.7,29.6,0.235,0.558,0.024,0.066,0.015,0.102,1.5,2
-41590,43540,5.71,34.4,0.232,0.569,0.026,0.062,0.015,0.095,1.3,1.7
-41660,43610,5.72,24,0.255,0.554,0.026,0.059,0.014,0.094,1.3,1.7
-41720,43670,5.73,24.6,0.254,0.555,0.025,0.058,0.014,0.093,1.3,1.7
-41780,43730,5.74,29.1,0.242,0.561,0.026,0.061,0.015,0.096,1.3,1.8
-41850,43800,5.75,33.5,0.229,0.565,0.027,0.065,0.015,0.1,1.4,1.9
-41910,43860,5.76,29.1,0.233,0.556,0.025,0.066,0.015,0.105,1.5,2.1
-41970,43920,5.77,36.6,0.222,0.57,0.027,0.064,0.015,0.102,1.3,1.8
-42040,43990,5.78,29.5,0.233,0.558,0.026,0.063,0.014,0.106,1.3,1.9
-42100,44050,5.79,29.7,0.235,0.558,0.027,0.065,0.014,0.101,1.4,2
-42160,44110,5.8,24.2,0.242,0.546,0.027,0.072,0.014,0.099,1.8,2.4
-42230,44180,5.81,29.7,0.234,0.555,0.026,0.076,0.014,0.095,1.8,2.5
-42290,44240,5.82,28.6,0.233,0.55,0.027,0.082,0.014,0.095,2,2.8
-42350,44300,5.83,29.7,0.231,0.553,0.025,0.081,0.013,0.097,2,2.7
-42420,44370,5.84,33.2,0.226,0.558,0.027,0.081,0.013,0.094,2,2.5
-42480,44430,5.85,27.7,0.234,0.548,0.027,0.086,0.013,0.093,2.2,2.9
-42540,44490,5.86,33.7,0.223,0.557,0.027,0.087,0.013,0.094,2.1,2.8
-42610,44560,5.87,34.1,0.219,0.557,0.027,0.086,0.013,0.1,2.1,2.7
-42670,44620,5.88,33,0.216,0.555,0.028,0.081,0.013,0.108,2,2.6
-42730,44680,5.89,40.4,0.214,0.57,0.027,0.084,0.014,0.091,1.8,2.5
-42800,44750,5.9,39.6,0.22,0.571,0.027,0.081,0.013,0.088,1.7,2.4
-42860,44810,5.91,34.3,0.229,0.565,0.026,0.072,0.013,0.094,1.6,2.1
-42920,44870,5.92,32,0.229,0.558,0.026,0.077,0.014,0.097,1.8,2.4
-42990,44940,5.93,40.9,0.215,0.572,0.027,0.081,0.014,0.091,1.7,2.4
-43050,45000,5.94,28.5,0.242,0.559,0.027,0.06,0.014,0.099,1.2,1.8
-43110,45060,5.95,33.5,0.227,0.56,0.027,0.078,0.014,0.094,1.8,2.4
-43180,45130,5.96,29,0.233,0.555,0.026,0.068,0.015,0.103,1.5,2.2
-43240,45190,5.97,40.1,0.22,0.579,0.026,0.064,0.014,0.099,1.1,1.7
-43370,45320,5.99,27.9,0.226,0.548,0.028,0.071,0.016,0.111,1.7,2.3
-43430,45380,6,29.3,0.221,0.548,0.028,0.077,0.016,0.11,1.9,2.6
-43490,45440,6.01,27.4,0.242,0.556,0.025,0.065,0.014,0.098,1.5,2
-43560,45510,6.02,27.4,0.242,0.556,0.024,0.064,0.015,0.099,1.4,2
-43620,45570,6.03,29,0.238,0.556,0.026,0.072,0.014,0.095,1.7,2.3
-43690,45640,6.04,21.4,0.256,0.547,0.024,0.063,0.014,0.096,1.5,1.9
-43750,45700,6.05,17.7,0.267,0.546,0.024,0.05,0.015,0.099,1.1,1.4
-43810,45760,6.06,20.5,0.25,0.545,0.026,0.052,0.017,0.111,1.2,1.6
-43880,45830,6.07,23.4,0.247,0.551,0.025,0.053,0.016,0.108,1.2,1.6
-43940,45890,6.08,22.4,0.255,0.553,0.026,0.046,0.015,0.105,0.9,1.3
-44000,45950,6.09,23.5,0.256,0.556,0.025,0.049,0.015,0.1,1,1.3
-44190,46140,6.12,17.2,0.263,0.543,0.025,0.049,0.016,0.105,1.2,1.4
-44260,46210,6.13,26.5,0.247,0.56,0.025,0.051,0.016,0.102,1,1.4
-44320,46270,6.14,23.4,0.257,0.556,0.025,0.05,0.015,0.098,1,1.4
-44380,46330,6.15,19.8,0.263,0.548,0.024,0.054,0.015,0.096,1.3,1.5
-44450,46400,6.16,26.2,0.259,0.564,0.023,0.047,0.014,0.092,0.8,1.2
-44510,46460,6.17,27.1,0.247,0.558,0.024,0.061,0.015,0.095,1.3,1.8
-44570,46520,6.18,26.1,0.246,0.557,0.024,0.055,0.014,0.104,1.1,1.6
-44640,46590,6.19,18.5,0.262,0.545,0.024,0.056,0.014,0.1,1.3,1.7
-44700,46650,6.2,14.9,0.27,0.538,0.025,0.056,0.015,0.097,1.4,1.8
-44760,46710,6.21,21.9,0.258,0.55,0.024,0.059,0.015,0.094,1.4,1.8
-44830,46780,6.22,19,0.253,0.539,0.025,0.065,0.016,0.102,1.7,2.1
-44890,46840,6.23,25.3,0.248,0.551,0.025,0.071,0.014,0.092,1.7,2.3
-44950,46900,6.24,18.3,0.257,0.536,0.024,0.078,0.014,0.09,2.2,2.7
-45020,46970,6.25,25.2,0.245,0.548,0.025,0.077,0.014,0.092,1.9,2.5
-45080,47030,6.26,21.7,0.258,0.547,0.023,0.072,0.013,0.087,1.8,2.3
-45140,47090,6.27,26.1,0.246,0.549,0.023,0.086,0.012,0.084,2.2,2.9
-45210,47160,6.28,21.9,0.254,0.542,0.024,0.084,0.011,0.085,2.3,2.8
-45270,47220,6.29,27.6,0.239,0.547,0.025,0.095,0.012,0.083,2.5,3.3
-45330,47280,6.3,28.3,0.236,0.546,0.026,0.097,0.012,0.083,2.6,3.4
-45400,47350,6.31,28.2,0.234,0.547,0.025,0.094,0.013,0.088,2.5,3.3
-45460,47410,6.32,39,0.211,0.559,0.027,0.104,0.012,0.087,2.6,3.4
-45520,47470,6.33,35.6,0.225,0.559,0.025,0.1,0.012,0.081,2.5,3.2
-45590,47540,6.34,40.6,0.21,0.56,0.026,0.11,0.012,0.082,2.7,3.7
-45650,47600,6.35,37.8,0.22,0.561,0.027,0.1,0.012,0.081,2.5,3.3
-45710,47660,6.36,41.7,0.212,0.568,0.026,0.098,0.012,0.084,2.3,3.1
-45770,47720,6.37,31.9,0.235,0.56,0.025,0.079,0.013,0.088,1.9,2.5
-45890,47840,6.39,37.4,0.224,0.563,0.025,0.098,0.011,0.079,2.4,3.2
-45950,47900,6.4,39.4,0.218,0.567,0.026,0.093,0.011,0.085,2.1,2.9
-46010,47960,6.41,38.9,0.227,0.57,0.026,0.088,0.012,0.078,1.9,2.6
-46070,48020,6.42,40.8,0.221,0.573,0.027,0.087,0.011,0.081,1.9,2.6
-46130,48080,6.43,38.5,0.227,0.569,0.027,0.088,0.012,0.077,2,2.7
-46190,48140,6.44,36.8,0.233,0.569,0.027,0.083,0.012,0.078,1.8,2.5
-46250,48200,6.45,28.2,0.229,0.539,0.028,0.11,0.012,0.083,3.1,4.1
-46310,48260,6.46,39,0.226,0.574,0.03,0.071,0.013,0.086,1.4,2
-46370,48320,6.47,41.9,0.217,0.579,0.031,0.067,0.014,0.093,1.3,1.8
